location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
770,29601,Las Gaviotas-770,2021-07-22T02:00:00-01:00,-32.915458,-71.48148,co,µg/m³,418.85
770,29601,Las Gaviotas-770,2021-07-22T03:00:00-01:00,-32.915458,-71.48148,co,µg/m³,358.53
770,29601,Las Gaviotas-770,2021-07-22T04:00:00-01:00,-32.915458,-71.48148,co,µg/m³,365.13
770,29601,Las Gaviotas-770,2021-07-22T05:00:00-01:00,-32.915458,-71.48148,co,µg/m³,379.62
770,29601,Las Gaviotas-770,2021-07-22T07:00:00-01:00,-32.915458,-71.48148,co,µg/m³,403.98
770,29601,Las Gaviotas-770,2021-07-22T08:00:00-01:00,-32.915458,-71.48148,co,µg/m³,486.83
770,29601,Las Gaviotas-770,2021-07-22T09:00:00-01:00,-32.915458,-71.48148,co,µg/m³,490.89
770,29601,Las Gaviotas-770,2021-07-22T11:00:00-01:00,-32.915458,-71.48148,co,µg/m³,492.23
770,29601,Las Gaviotas-770,2021-07-22T12:00:00-01:00,-32.915458,-71.48148,co,µg/m³,505.14
770,29601,Las Gaviotas-770,2021-07-22T16:00:00-01:00,-32.915458,-71.48148,co,µg/m³,451.34
770,29601,Las Gaviotas-770,2021-07-22T17:00:00-01:00,-32.915458,-71.48148,co,µg/m³,443.0
770,29601,Las Gaviotas-770,2021-07-22T20:00:00-01:00,-32.915458,-71.48148,co,µg/m³,427.09
770,29601,Las Gaviotas-770,2021-07-22T21:00:00-01:00,-32.915458,-71.48148,co,µg/m³,412.38
770,29601,Las Gaviotas-770,2021-07-22T22:00:00-01:00,-32.915458,-71.48148,co,µg/m³,431.57
770,29601,Las Gaviotas-770,2021-07-23T00:00:00-01:00,-32.915458,-71.48148,co,µg/m³,472.17
770,1326,Las Gaviotas-770,2021-07-22T02:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.92
770,1326,Las Gaviotas-770,2021-07-22T03:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.16
770,1326,Las Gaviotas-770,2021-07-22T04:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.76
770,1326,Las Gaviotas-770,2021-07-22T05:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,12.29
770,1326,Las Gaviotas-770,2021-07-22T07:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.15
770,1326,Las Gaviotas-770,2021-07-22T08:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,11.04
770,1326,Las Gaviotas-770,2021-07-22T09:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,11.05
770,1326,Las Gaviotas-770,2021-07-22T11:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,10.71
770,1326,Las Gaviotas-770,2021-07-22T12:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,11.0
770,1326,Las Gaviotas-770,2021-07-22T16:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,12.73
770,1326,Las Gaviotas-770,2021-07-22T17:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,10.18
770,1326,Las Gaviotas-770,2021-07-22T20:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,9.93
770,1326,Las Gaviotas-770,2021-07-22T21:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,10.47
770,1326,Las Gaviotas-770,2021-07-22T22:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.71
770,1326,Las Gaviotas-770,2021-07-23T00:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,24.22
770,29601,Las Gaviotas-770,2021-07-14T01:00:00-01:00,-32.915458,-71.48148,co,µg/m³,387.63
770,29601,Las Gaviotas-770,2021-07-14T02:00:00-01:00,-32.915458,-71.48148,co,µg/m³,374.06
770,1326,Las Gaviotas-770,2021-07-14T01:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.94
770,1326,Las Gaviotas-770,2021-07-14T02:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.13
770,29601,Las Gaviotas-770,2021-07-14T03:00:00-01:00,-32.915458,-71.48148,co,µg/m³,390.43
770,29601,Las Gaviotas-770,2021-07-14T04:00:00-01:00,-32.915458,-71.48148,co,µg/m³,462.27
770,1326,Las Gaviotas-770,2021-07-14T03:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.96
770,29601,Las Gaviotas-770,2021-07-14T05:00:00-01:00,-32.915458,-71.48148,co,µg/m³,466.01
770,1326,Las Gaviotas-770,2021-07-14T04:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.84
770,29601,Las Gaviotas-770,2021-07-14T06:00:00-01:00,-32.915458,-71.48148,co,µg/m³,515.1
770,1326,Las Gaviotas-770,2021-07-14T05:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.89
770,29601,Las Gaviotas-770,2021-07-14T07:00:00-01:00,-32.915458,-71.48148,co,µg/m³,575.13
770,1326,Las Gaviotas-770,2021-07-14T06:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.82
770,29601,Las Gaviotas-770,2021-07-14T09:00:00-01:00,-32.915458,-71.48148,co,µg/m³,530.46
770,1326,Las Gaviotas-770,2021-07-14T07:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,7.94
770,29601,Las Gaviotas-770,2021-07-14T10:00:00-01:00,-32.915458,-71.48148,co,µg/m³,514.17
770,1326,Las Gaviotas-770,2021-07-14T09:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.05
770,29601,Las Gaviotas-770,2021-07-14T11:00:00-01:00,-32.915458,-71.48148,co,µg/m³,645.11
770,1326,Las Gaviotas-770,2021-07-14T10:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.12
770,29601,Las Gaviotas-770,2021-07-14T12:00:00-01:00,-32.915458,-71.48148,co,µg/m³,549.08
770,1326,Las Gaviotas-770,2021-07-14T11:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.19
770,29601,Las Gaviotas-770,2021-07-14T13:00:00-01:00,-32.915458,-71.48148,co,µg/m³,595.96
770,1326,Las Gaviotas-770,2021-07-14T12:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.24
770,1326,Las Gaviotas-770,2021-07-14T13:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.85
770,29601,Las Gaviotas-770,2021-07-14T14:00:00-01:00,-32.915458,-71.48148,co,µg/m³,503.46
770,29601,Las Gaviotas-770,2021-07-14T15:00:00-01:00,-32.915458,-71.48148,co,µg/m³,437.98
770,1326,Las Gaviotas-770,2021-07-14T14:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,9.36
770,29601,Las Gaviotas-770,2021-07-14T16:00:00-01:00,-32.915458,-71.48148,co,µg/m³,404.19
770,1326,Las Gaviotas-770,2021-07-14T15:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,11.03
770,29601,Las Gaviotas-770,2021-07-14T19:00:00-01:00,-32.915458,-71.48148,co,µg/m³,422.07
770,1326,Las Gaviotas-770,2021-07-14T16:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,10.92
770,1326,Las Gaviotas-770,2021-07-14T19:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,8.45
770,29601,Las Gaviotas-770,2021-07-14T21:00:00-01:00,-32.915458,-71.48148,co,µg/m³,466.91
770,1326,Las Gaviotas-770,2021-07-14T21:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,13.74
770,29601,Las Gaviotas-770,2021-07-15T00:00:00-01:00,-32.915458,-71.48148,co,µg/m³,519.34
770,1326,Las Gaviotas-770,2021-07-15T00:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,9.54
770,1326,Las Gaviotas-770,2021-07-06T01:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,10.42
770,1326,Las Gaviotas-770,2021-07-06T15:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,6.25
770,1326,Las Gaviotas-770,2021-07-06T21:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,6.31
770,1326,Las Gaviotas-770,2021-07-06T23:00:00-01:00,-32.915458,-71.48148,so2,µg/m³,6.29
770,29601,Las Gaviotas-770,2021-07-06T01:00:00-01:00,-32.915458,-71.48148,co,µg/m³,265.17
770,29601,Las Gaviotas-770,2021-07-06T15:00:00-01:00,-32.915458,-71.48148,co,µg/m³,231.38
770,29601,Las Gaviotas-770,2021-07-06T21:00:00-01:00,-32.915458,-71.48148,co,µg/m³,263.91
770,29601,Las Gaviotas-770,2021-07-06T23:00:00-01:00,-32.915458,-71.48148,co,µg/m³,534.3
