location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
783898,4273315,Putnok-794499,2023-05-21T02:00:00+02:00,48.29351,20.42765,no2,µg/m³,4.7
783898,4273315,Putnok-794499,2023-05-21T04:00:00+02:00,48.29351,20.42765,no2,µg/m³,3.5
783898,4273150,Putnok-794499,2023-05-21T02:00:00+02:00,48.29351,20.42765,co,µg/m³,466.0
783898,4273150,Putnok-794499,2023-05-21T04:00:00+02:00,48.29351,20.42765,co,µg/m³,489.0
783898,4273036,Putnok-794499,2023-05-21T02:00:00+02:00,48.29351,20.42765,so2,µg/m³,4.2
783898,4273036,Putnok-794499,2023-05-21T04:00:00+02:00,48.29351,20.42765,so2,µg/m³,3.6
783898,4272781,Putnok-794499,2023-05-21T02:00:00+02:00,48.29351,20.42765,pm10,µg/m³,18.0
783898,4272781,Putnok-794499,2023-05-21T04:00:00+02:00,48.29351,20.42765,pm10,µg/m³,18.0
783898,4272916,Putnok-794499,2023-05-21T02:00:00+02:00,48.29351,20.42765,o3,µg/m³,37.5
783898,4272916,Putnok-794499,2023-05-21T04:00:00+02:00,48.29351,20.42765,o3,µg/m³,19.5
783898,4273315,Putnok-794499,2023-05-09T15:00:00+02:00,48.29351,20.42765,no2,µg/m³,0.6
783898,4273150,Putnok-794499,2023-05-09T15:00:00+02:00,48.29351,20.42765,co,µg/m³,374.0
783898,4273036,Putnok-794499,2023-05-09T15:00:00+02:00,48.29351,20.42765,so2,µg/m³,6.8
783898,4272781,Putnok-794499,2023-05-09T15:00:00+02:00,48.29351,20.42765,pm10,µg/m³,3.0
783898,4272916,Putnok-794499,2023-05-09T15:00:00+02:00,48.29351,20.42765,o3,µg/m³,85.7
783898,4273315,Putnok-794499,2023-05-17T12:00:00+02:00,48.29351,20.42765,no2,µg/m³,5.7
783898,4273150,Putnok-794499,2023-05-17T12:00:00+02:00,48.29351,20.42765,co,µg/m³,545.0
783898,4273036,Putnok-794499,2023-05-17T12:00:00+02:00,48.29351,20.42765,so2,µg/m³,4.0
783898,4272781,Putnok-794499,2023-05-17T12:00:00+02:00,48.29351,20.42765,pm10,µg/m³,12.0
783898,4272916,Putnok-794499,2023-05-17T12:00:00+02:00,48.29351,20.42765,o3,µg/m³,36.4
783898,4273315,Putnok-794499,2023-05-31T02:00:00+02:00,48.29351,20.42765,no2,µg/m³,5.8
783898,4273315,Putnok-794499,2023-05-31T14:00:00+02:00,48.29351,20.42765,no2,µg/m³,0.8
783898,4273315,Putnok-794499,2023-05-31T18:00:00+02:00,48.29351,20.42765,no2,µg/m³,1.4
783898,4273315,Putnok-794499,2023-05-31T19:00:00+02:00,48.29351,20.42765,no2,µg/m³,0.8
783898,4273315,Putnok-794499,2023-05-31T23:00:00+02:00,48.29351,20.42765,no2,µg/m³,5.0
783898,4273150,Putnok-794499,2023-05-31T02:00:00+02:00,48.29351,20.42765,co,µg/m³,322.0
783898,4273150,Putnok-794499,2023-05-31T14:00:00+02:00,48.29351,20.42765,co,µg/m³,261.0
783898,4273150,Putnok-794499,2023-05-31T18:00:00+02:00,48.29351,20.42765,co,µg/m³,251.0
783898,4273150,Putnok-794499,2023-05-31T19:00:00+02:00,48.29351,20.42765,co,µg/m³,251.0
