location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
2915,6351,MK0042A-2915,2021-11-24T01:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,1.3
2915,6351,MK0042A-2915,2021-11-24T02:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,6.51
2915,6351,MK0042A-2915,2021-11-24T03:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,4.44
2915,6351,MK0042A-2915,2021-11-24T04:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,5.5
2915,6351,MK0042A-2915,2021-11-24T05:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,3.38
2915,6351,MK0042A-2915,2021-11-24T06:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,1.86
2915,6351,MK0042A-2915,2021-11-24T07:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,3.8
2915,6351,MK0042A-2915,2021-11-24T08:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.38
2915,6351,MK0042A-2915,2021-11-24T09:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.88
2915,6351,MK0042A-2915,2021-11-24T10:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,0.02
2915,6351,MK0042A-2915,2021-11-24T11:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.5
2915,6351,MK0042A-2915,2021-11-24T12:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,4.06
2915,6351,MK0042A-2915,2021-11-24T13:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,1.62
2915,6351,MK0042A-2915,2021-11-24T14:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,5.17
2915,6351,MK0042A-2915,2021-11-24T15:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,3.7
2915,6351,MK0042A-2915,2021-11-24T16:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.4
2915,6351,MK0042A-2915,2021-11-24T17:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,4.39
2915,6351,MK0042A-2915,2021-11-24T18:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,5.51
2915,6351,MK0042A-2915,2021-11-24T19:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,7.02
2915,6351,MK0042A-2915,2021-11-24T20:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.65
2915,6351,MK0042A-2915,2021-11-24T21:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,6.69
2915,6351,MK0042A-2915,2021-11-24T22:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,2.83
2915,6351,MK0042A-2915,2021-11-24T23:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,5.84
2915,6351,MK0042A-2915,2021-11-25T00:00:00+01:00,41.5358299994669,20.6989,pm10,µg/m³,5.94
2915,6347,MK0042A-2915,2021-11-24T01:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,36.02
2915,6347,MK0042A-2915,2021-11-24T02:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,31.86
2915,6347,MK0042A-2915,2021-11-24T03:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,31.28
2915,6347,MK0042A-2915,2021-11-24T04:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,30.54
2915,6347,MK0042A-2915,2021-11-24T05:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,30.04
2915,6347,MK0042A-2915,2021-11-24T06:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,36.32
2915,6347,MK0042A-2915,2021-11-24T07:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,36.68
2915,6347,MK0042A-2915,2021-11-24T08:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,39.82
2915,6347,MK0042A-2915,2021-11-24T09:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,46.86
2915,6347,MK0042A-2915,2021-11-24T10:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,48.78
2915,6347,MK0042A-2915,2021-11-24T11:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,50.04
2915,6347,MK0042A-2915,2021-11-24T12:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,49.22
2915,6347,MK0042A-2915,2021-11-24T13:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,51.96
2915,6347,MK0042A-2915,2021-11-24T14:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,50.84
2915,6347,MK0042A-2915,2021-11-24T15:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,53.14
2915,6347,MK0042A-2915,2021-11-24T16:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,52.18
2915,6347,MK0042A-2915,2021-11-24T17:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,51.66
2915,6347,MK0042A-2915,2021-11-24T18:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,50.26
2915,6347,MK0042A-2915,2021-11-24T19:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,49.44
2915,6347,MK0042A-2915,2021-11-24T20:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,48.62
2915,6347,MK0042A-2915,2021-11-24T21:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,49.34
2915,6347,MK0042A-2915,2021-11-24T22:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,49.02
2915,6347,MK0042A-2915,2021-11-24T23:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,51.38
2915,6347,MK0042A-2915,2021-11-25T00:00:00+01:00,41.5358299994669,20.6989,o3,µg/m³,53.26
2915,28660,MK0042A-2915,2021-11-24T01:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T02:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3629
2915,28660,MK0042A-2915,2021-11-24T03:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3629
2915,28660,MK0042A-2915,2021-11-24T04:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T05:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T06:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T07:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3629
2915,28660,MK0042A-2915,2021-11-24T08:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T09:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T10:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3247
2915,28660,MK0042A-2915,2021-11-24T11:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T12:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3438
2915,28660,MK0042A-2915,2021-11-24T13:00:00+01:00,41.5358299994669,20.6989,no2,µg/m³,0.3629
