location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T16:00:00+01:00,50.809563,20.266099,pm10,µg/m³,18.51
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T17:00:00+01:00,50.809563,20.266099,pm10,µg/m³,33.66
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T18:00:00+01:00,50.809563,20.266099,pm10,µg/m³,90.63
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T19:00:00+01:00,50.809563,20.266099,pm10,µg/m³,60.24
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T20:00:00+01:00,50.809563,20.266099,pm10,µg/m³,39.02
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T21:00:00+01:00,50.809563,20.266099,pm10,µg/m³,61.89
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T22:00:00+01:00,50.809563,20.266099,pm10,µg/m³,71.02
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T23:00:00+01:00,50.809563,20.266099,pm10,µg/m³,72.69
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-11T00:00:00+01:00,50.809563,20.266099,pm10,µg/m³,65.53
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T16:00:00+01:00,50.809563,20.266099,no2,µg/m³,8.55111
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T17:00:00+01:00,50.809563,20.266099,no2,µg/m³,13.12318
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T18:00:00+01:00,50.809563,20.266099,no2,µg/m³,19.83781
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T19:00:00+01:00,50.809563,20.266099,no2,µg/m³,25.23247
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T20:00:00+01:00,50.809563,20.266099,no2,µg/m³,10.54063
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T21:00:00+01:00,50.809563,20.266099,no2,µg/m³,24.33336
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T22:00:00+01:00,50.809563,20.266099,no2,µg/m³,29.23064
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T23:00:00+01:00,50.809563,20.266099,no2,µg/m³,11.13366
10755,36076,"Małogoszcz, ul. Słoneczna-10755",2021-03-11T00:00:00+01:00,50.809563,20.266099,no2,µg/m³,9.31631
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T16:00:00+01:00,50.809563,20.266099,so2,µg/m³,9.21398
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T17:00:00+01:00,50.809563,20.266099,so2,µg/m³,9.77321
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T18:00:00+01:00,50.809563,20.266099,so2,µg/m³,12.06339
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T19:00:00+01:00,50.809563,20.266099,so2,µg/m³,11.07808
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T20:00:00+01:00,50.809563,20.266099,so2,µg/m³,9.08083
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T21:00:00+01:00,50.809563,20.266099,so2,µg/m³,9.21398
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T22:00:00+01:00,50.809563,20.266099,so2,µg/m³,9.29387
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-10T23:00:00+01:00,50.809563,20.266099,so2,µg/m³,8.68138
10755,35878,"Małogoszcz, ul. Słoneczna-10755",2021-03-11T00:00:00+01:00,50.809563,20.266099,so2,µg/m³,8.33519
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-02T01:00:00+01:00,50.809563,20.266099,pm10,µg/m³,45.32
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-02T02:00:00+01:00,50.809563,20.266099,pm10,µg/m³,53.12
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-02T03:00:00+01:00,50.809563,20.266099,pm10,µg/m³,54.87
10755,35879,"Małogoszcz, ul. Słoneczna-10755",2021-03-02T04:00:00+01:00,50.809563,20.266099,pm10,µg/m³,56.41
