location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T02:00:00+01:00,50.029416,18.689527,co,µg/m³,523.78
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T03:00:00+01:00,50.029416,18.689527,co,µg/m³,516.23
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T04:00:00+01:00,50.029416,18.689527,co,µg/m³,530.58
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T05:00:00+01:00,50.029416,18.689527,co,µg/m³,547.77
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T06:00:00+01:00,50.029416,18.689527,co,µg/m³,572.6
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T07:00:00+01:00,50.029416,18.689527,co,µg/m³,585.51
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T08:00:00+01:00,50.029416,18.689527,co,µg/m³,359.74
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T09:00:00+01:00,50.029416,18.689527,co,µg/m³,368.71
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T10:00:00+01:00,50.029416,18.689527,co,µg/m³,326.17
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T11:00:00+01:00,50.029416,18.689527,co,µg/m³,300.9
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T12:00:00+01:00,50.029416,18.689527,co,µg/m³,283.6
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T13:00:00+01:00,50.029416,18.689527,co,µg/m³,283.03
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T14:00:00+01:00,50.029416,18.689527,co,µg/m³,287.07
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T15:00:00+01:00,50.029416,18.689527,co,µg/m³,304.45
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T16:00:00+01:00,50.029416,18.689527,co,µg/m³,322.09
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T17:00:00+01:00,50.029416,18.689527,co,µg/m³,372.49
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T18:00:00+01:00,50.029416,18.689527,co,µg/m³,410.9
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T19:00:00+01:00,50.029416,18.689527,co,µg/m³,464.17
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T20:00:00+01:00,50.029416,18.689527,co,µg/m³,498.36
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T21:00:00+01:00,50.029416,18.689527,co,µg/m³,527.75
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T22:00:00+01:00,50.029416,18.689527,co,µg/m³,629.21
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T23:00:00+01:00,50.029416,18.689527,co,µg/m³,787.29
10723,35729,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-02T00:00:00+01:00,50.029416,18.689527,co,µg/m³,921.97
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T02:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.22407
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T03:00:00+01:00,50.029416,18.689527,so2,µg/m³,0.56416
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T04:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.02341
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T05:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.3702
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T06:00:00+01:00,50.029416,18.689527,so2,µg/m³,2.15691
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T07:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.40057
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T08:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.42106
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T09:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.26424
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T10:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.11494
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T11:00:00+01:00,50.029416,18.689527,so2,µg/m³,1.31567
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T12:00:00+01:00,50.029416,18.689527,so2,µg/m³,4.74496
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T13:00:00+01:00,50.029416,18.689527,so2,µg/m³,2.93569
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T14:00:00+01:00,50.029416,18.689527,so2,µg/m³,2.2331
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T15:00:00+01:00,50.029416,18.689527,so2,µg/m³,2.73512
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T16:00:00+01:00,50.029416,18.689527,so2,µg/m³,3.11257
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T17:00:00+01:00,50.029416,18.689527,so2,µg/m³,3.35382
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T18:00:00+01:00,50.029416,18.689527,so2,µg/m³,4.06733
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T19:00:00+01:00,50.029416,18.689527,so2,µg/m³,4.69162
10723,35730,"Żory, Os. Gen. Władysława Sikorskiego-10723",2021-03-01T20:00:00+01:00,50.029416,18.689527,so2,µg/m³,6.45552
