location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-20T01:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.003
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-20T06:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.004
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-20T12:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.004
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-20T16:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.004
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-20T01:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.001
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-20T06:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.001
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-20T12:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.001
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-20T16:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.001
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-20T01:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-20T06:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-20T12:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-20T16:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
1785688,7338552,Amnat Charoen Municipality-1755663,2023-11-20T01:00:00+07:00,15.875800000000002,104.6223,o3,ppm,0.05
1785688,7338552,Amnat Charoen Municipality-1755663,2023-11-20T06:00:00+07:00,15.875800000000002,104.6223,o3,ppm,0.051
1785688,7338552,Amnat Charoen Municipality-1755663,2023-11-20T12:00:00+07:00,15.875800000000002,104.6223,o3,ppm,0.053
1785688,7338552,Amnat Charoen Municipality-1755663,2023-11-20T16:00:00+07:00,15.875800000000002,104.6223,o3,ppm,0.053
1785688,7338554,Amnat Charoen Municipality-1755663,2023-11-20T01:00:00+07:00,15.875800000000002,104.6223,pm25,µg/m³,21.6
1785688,7338554,Amnat Charoen Municipality-1755663,2023-11-20T06:00:00+07:00,15.875800000000002,104.6223,pm25,µg/m³,23.2
1785688,7338554,Amnat Charoen Municipality-1755663,2023-11-20T12:00:00+07:00,15.875800000000002,104.6223,pm25,µg/m³,24.6
1785688,7338554,Amnat Charoen Municipality-1755663,2023-11-20T16:00:00+07:00,15.875800000000002,104.6223,pm25,µg/m³,24.8
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-16T06:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.003
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-16T10:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.004
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-16T14:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.002
1785688,7338538,Amnat Charoen Municipality-1755663,2023-11-16T16:00:00+07:00,15.875800000000002,104.6223,no2,ppm,0.003
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-16T06:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.0
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-16T10:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.0
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-16T14:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.0
1785688,7338547,Amnat Charoen Municipality-1755663,2023-11-16T16:00:00+07:00,15.875800000000002,104.6223,so2,ppm,0.0
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-16T04:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.6
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-16T06:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-16T10:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.6
1785688,7338549,Amnat Charoen Municipality-1755663,2023-11-16T14:00:00+07:00,15.875800000000002,104.6223,co,ppm,0.5
