location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
225555,1303932,Karoo-NAQI-237851,2021-04-29T20:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,7.023
225555,1303932,Karoo-NAQI-237851,2021-04-29T21:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,1.732
225555,1303932,Karoo-NAQI-237851,2021-04-29T22:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.787
225555,1303932,Karoo-NAQI-237851,2021-04-29T23:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.956
225555,1303765,Karoo-NAQI-237851,2021-04-29T20:00:00+02:00,-31.398641,19.140214,pm25,µg/m³,2.498
225555,1303765,Karoo-NAQI-237851,2021-04-29T21:00:00+02:00,-31.398641,19.140214,pm25,µg/m³,0.78
225555,1303765,Karoo-NAQI-237851,2021-04-29T22:00:00+02:00,-31.398641,19.140214,pm25,µg/m³,0.467
225555,1303765,Karoo-NAQI-237851,2021-04-29T23:00:00+02:00,-31.398641,19.140214,pm25,µg/m³,0.552
225555,1303787,Karoo-NAQI-237851,2021-04-29T20:00:00+02:00,-31.398641,19.140214,co,ppm,0.527
225555,1303787,Karoo-NAQI-237851,2021-04-29T21:00:00+02:00,-31.398641,19.140214,co,ppm,0.53
225555,1303787,Karoo-NAQI-237851,2021-04-29T22:00:00+02:00,-31.398641,19.140214,co,ppm,0.511
225555,1303787,Karoo-NAQI-237851,2021-04-29T23:00:00+02:00,-31.398641,19.140214,co,ppm,0.609
225555,1303779,Karoo-NAQI-237851,2021-04-29T20:00:00+02:00,-31.398641,19.140214,so2,ppm,0.000294
225555,1303779,Karoo-NAQI-237851,2021-04-29T21:00:00+02:00,-31.398641,19.140214,so2,ppm,0.000244
225555,1303779,Karoo-NAQI-237851,2021-04-29T22:00:00+02:00,-31.398641,19.140214,so2,ppm,6.4e-05
225555,1303779,Karoo-NAQI-237851,2021-04-29T23:00:00+02:00,-31.398641,19.140214,so2,ppm,-4.9e-05
225555,1303819,Karoo-NAQI-237851,2021-04-29T20:00:00+02:00,-31.398641,19.140214,o3,ppm,0.029286
225555,1303819,Karoo-NAQI-237851,2021-04-29T21:00:00+02:00,-31.398641,19.140214,o3,ppm,0.028582
225555,1303819,Karoo-NAQI-237851,2021-04-29T22:00:00+02:00,-31.398641,19.140214,o3,ppm,0.02901
225555,1303819,Karoo-NAQI-237851,2021-04-29T23:00:00+02:00,-31.398641,19.140214,o3,ppm,0.027821
225464,1303615,Karoo-NAQI-237760,2021-04-30T01:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.797
225464,1303615,Karoo-NAQI-237760,2021-04-30T02:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.983
225464,1303615,Karoo-NAQI-237760,2021-04-30T05:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,1.076
225464,1303615,Karoo-NAQI-237760,2021-04-30T06:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,1.048
225464,1303615,Karoo-NAQI-237760,2021-04-30T07:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.932
225464,1303615,Karoo-NAQI-237760,2021-04-30T08:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,0.754
225464,1303615,Karoo-NAQI-237760,2021-04-30T09:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,3.891
225464,1303615,Karoo-NAQI-237760,2021-04-30T10:00:00+02:00,-31.398641,19.140214,pm10,µg/m³,1.309
