location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
225474,1303898,Saltworks-NAQI-237770,2021-11-23T07:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,20.654
225474,1303898,Saltworks-NAQI-237770,2021-11-23T08:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,20.107
225474,1303898,Saltworks-NAQI-237770,2021-11-23T09:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,17.352
225474,1303898,Saltworks-NAQI-237770,2021-11-23T10:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,16.399
225474,1303898,Saltworks-NAQI-237770,2021-11-23T11:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,14.504
225474,1303898,Saltworks-NAQI-237770,2021-11-23T12:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,12.643
225474,1303898,Saltworks-NAQI-237770,2021-11-23T13:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,12.811
225474,1303898,Saltworks-NAQI-237770,2021-11-23T14:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,11.089
225474,1303898,Saltworks-NAQI-237770,2021-11-23T15:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,11.325
225474,1303898,Saltworks-NAQI-237770,2021-11-23T16:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,11.399
225474,1303898,Saltworks-NAQI-237770,2021-11-23T17:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,9.82
225474,1303898,Saltworks-NAQI-237770,2021-11-23T18:00:00+02:00,-33.763778,25.683428,pm10,µg/m³,14.376
225474,1303738,Saltworks-NAQI-237770,2021-11-23T07:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,7.61
225474,1303738,Saltworks-NAQI-237770,2021-11-23T08:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,7.37
225474,1303738,Saltworks-NAQI-237770,2021-11-23T09:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,6.127
225474,1303738,Saltworks-NAQI-237770,2021-11-23T10:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,5.144
225474,1303738,Saltworks-NAQI-237770,2021-11-23T11:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,4.537
225474,1303738,Saltworks-NAQI-237770,2021-11-23T12:00:00+02:00,-33.763778,25.683428,pm25,µg/m³,3.957
