time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,11,7,,,
2021-01-01,38,8,9,,,
2021-01-02,35,10,14,,,
2021-01-02,14,11,7,,,
2021-01-03,22,12,13,,,
2021-01-03,35,10,14,,,
2021-01-04,40,14,11,,,
2021-01-04,22,12,13,,,
2021-01-05,30,4,7,,,
2021-01-05,40,,,,,
2021-01-06,17,3,7,,,
2021-01-07,13,7,8,,,
2021-01-08,18,4,8,,,
2021-01-09,12,5,9,,,
2021-01-10,14,8,9,,,
2021-01-11,24,8,10,,,
2021-01-12,21,10,9,,,
2021-01-13,25,5,10,,,
2021-01-14,9,17,11,,,
2021-01-15,32,7,11,,,
2021-01-16,18,6,12,,,
2021-01-17,24,8,9,,,
2021-01-18,16,6,9,,,
2021-01-19,17,7,10,,,
2021-01-20,18,12,12,,,
2021-01-21,29,12,12,,,
2021-01-22,37,13,13,,,
2021-01-23,33,6,11,,,
2021-01-24,16,6,8,,,
2021-01-25,12,4,8,,,
2021-01-26,7,2,7,,,
2021-01-27,10,4,8,,,
2021-01-28,11,5,8,,,
2021-01-29,12,4,8,,,
2021-01-30,10,4,10,,,
2021-01-31,6,5,8,,,
2021-02-01,14,5,8,,,
2021-02-02,14,9,9,,,
2021-02-03,17,10,11,,,
2021-02-04,25,6,8,,,
2021-02-05,11,7,5,,,
2021-02-06,16,8,8,,,
2021-02-07,14,9,7,,,
2021-02-08,17,6,8,,,
2021-02-09,11,9,9,,,
2021-02-10,22,15,11,,,
2021-02-11,28,12,9,,,
2021-02-12,39,10,8,,,
2021-02-13,22,8,9,,,
2021-02-14,13,7,9,,,
2021-02-15,20,16,11,,,
2021-02-16,24,14,9,,,
2021-02-17,22,8,11,,,
2021-02-18,20,15,10,,,
2021-02-19,36,22,12,,,
2021-02-20,41,17,10,,,
2021-02-21,40,12,11,,,
2021-02-22,28,5,11,,,
2021-02-23,10,8,9,,,
2021-02-24,26,6,10,,,
2021-02-25,21,14,10,,,
2021-02-26,34,15,15,,,
2021-02-27,40,22,14,,,
2021-02-28,45,14,13,,,
2021-03-01,11,9,9,,,
2021-03-02,28,18,12,,,
2021-03-03,31,15,8,,,
2021-03-04,30,8,9,,,
2021-03-05,12,17,11,,,
2021-03-06,25,16,13,,,
2021-03-07,34,14,9,,,
