time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,40,25,11,0,0,3
2021-01-01,30,,,,,
2021-01-02,30,,,,,
2021-01-04,,14,4,1,0,9
2021-01-05,23,16,4,1,0,8
2021-01-06,25,11,5,0,0,9
2021-01-07,21,21,8,0,0,9
2021-01-08,38,26,8,0,0,8
2021-01-09,42,24,9,0,0,8
2021-01-10,42,24,9,0,0,8
2021-01-11,47,21,10,0,0,8
2021-01-12,41,20,9,0,0,8
2021-01-13,33,17,7,0,0,2
2021-01-14,26,15,6,0,0,3
2021-01-15,25,15,7,1,0,4
2021-01-16,25,15,7,0,0,4
2021-01-17,28,20,8,0,0,3
2021-01-18,31,19,7,0,0,4
2021-01-19,27,16,7,0,0,3
2021-01-20,20,14,9,0,0,4
2021-01-21,26,,,,,
2021-01-22,,10,5,0,0,2
2021-01-23,15,8,5,0,0,3
2021-01-24,19,10,5,0,0,2
2021-01-25,20,15,7,0,0,4
2021-01-26,25,11,9,0,0,5
2021-01-27,19,14,11,0,0,5
2021-01-28,26,10,11,0,0,5
2021-01-29,20,12,10,0,0,2
2021-01-30,22,14,10,0,0,1
2021-01-31,27,13,9,0,0,1
2021-02-01,26,13,9,0,0,1
2021-02-02,22,13,8,0,0,1
2021-02-03,23,14,7,0,0,1
2021-02-04,28,14,6,0,0,1
2021-02-05,24,14,11,0,0,1
2021-02-06,24,15,11,0,0,2
2021-02-07,31,22,11,0,0,2
2021-02-08,42,20,8,0,0,2
2021-02-09,39,23,8,0,0,2
2021-02-10,41,25,10,0,0,2
2021-02-11,40,23,7,0,0,1
2021-02-12,30,21,8,0,0,3
2021-02-13,28,14,6,0,0,2
2021-02-14,19,14,12,0,0,2
2021-02-15,26,20,10,0,0,2
2021-02-16,37,22,10,0,0,2
2021-02-17,37,22,11,0,0,3
2021-02-18,44,21,9,0,0,3
2021-02-19,42,19,8,0,0,3
2021-02-20,37,16,11,0,0,3
2021-02-21,21,16,10,0,0,4
2021-02-22,25,11,11,0,0,4
2021-02-23,16,13,9,0,0,4
2021-02-24,20,16,9,0,0,4
2021-02-25,25,16,10,0,0,4
2021-02-26,24,21,14,1,0,5
2021-02-27,30,10,10,0,0,4
2021-02-28,13,14,10,0,0,5
2021-03-01,21,14,8,0,0,4
2021-03-02,22,12,9,0,0,4
2021-03-03,18,15,7,0,0,5
2021-03-04,18,11,8,0,0,4
2021-03-05,15,13,7,0,0,5
2021-03-06,16,8,5,0,0,5
2021-03-07,11,11,4,0,0,5
2021-03-08,18,12,4,0,0,6
2021-03-09,16,12,5,0,0,5
2021-03-10,16,10,5,0,0,5
2021-03-11,16,10,7,0,0,3
2021-03-12,16,10,8,0,0,1
2021-03-13,16,8,7,0,0,1
2021-03-14,13,8,8,0,0,2
2021-03-15,12,9,7,0,0,2
2021-03-16,11,10,8,0,0,2
2021-03-17,10,10,10,1,0,2
2021-03-18,11,6,9,0,0,2
2021-03-19,9,7,8,0,0,3
2021-03-20,6,118,8,0,0,4
2021-03-21,150,13,6,0,0,4
2021-03-22,16,15,5,0,0,4
2021-03-23,14,15,7,0,0,4
2021-03-24,15,14,9,0,0,4
2021-03-25,14,11,7,0,0,4
2021-03-26,12,11,6,0,0,4
2021-03-27,25,10,5,0,0,4
2021-03-28,11,7,6,0,0,4
2021-03-29,11,8,5,0,0,4
2021-03-30,11,8,4,0,0,4
2021-03-31,9,8,9,0,0,4
2021-04-01,,20,5,0,0,4
2021-04-01,10,9,8,0,0,4
2021-04-02,17,13,9,0,0,5
2021-04-02,17,8,7,0,0,4
2021-04-03,12,15,8,0,0,5
2021-04-03,9,13,6,0,0,4
2021-04-04,12,9,12,0,0,5
2021-04-04,12,19,7,0,0,4
2021-04-05,13,8,6,0,0,5
2021-04-05,16,,,,,
2021-04-06,11,6,6,0,0,5
2021-04-07,8,9,6,0,0,5
2021-04-08,12,9,7,0,0,5
2021-04-09,14,9,8,0,0,5
2021-04-10,12,7,11,0,0,5
2021-04-11,12,10,7,0,0,5
2021-04-12,16,8,8,0,0,6
2021-04-13,10,8,10,0,0,6
2021-04-14,10,9,8,0,0,6
2021-04-15,9,56,13,0,0,5
2021-04-16,8,6,3,0,0,3
2021-04-17,4,38,4,0,0,3
2021-04-18,9,26,4,0,0,3
2021-04-19,11,9,4,0,0,4
2021-04-20,15,27,4,0,0,4
2021-04-21,9,10,5,0,0,4
2021-04-22,8,8,6,0,0,4
2021-04-23,8,7,6,0,0,4
2021-04-24,4,,,,,
2021-04-25,,12,3,0,0,4
2021-04-26,11,13,5,0,0,4
2021-04-27,10,13,5,0,0,4
2021-04-28,10,11,5,0,0,4
2021-04-29,9,11,4,0,0,4
2021-04-30,8,8,4,0,0,4
2021-05-01,9,12,4,0,0,4
2021-05-02,12,16,2,0,0,4
2021-05-03,11,9,6,1,0,4
2021-05-04,6,17,4,0,0,4
2021-05-05,16,13,3,0,0,4
2021-05-06,7,12,5,0,0,4
2021-05-07,11,6,6,0,0,4
2021-05-08,6,13,4,0,0,4
2021-05-09,10,11,2,0,0,4
2021-05-10,10,11,3,0,0,4
2021-05-11,10,11,4,0,0,4
2021-05-12,8,8,5,0,0,4
2021-05-13,8,9,4,0,0,4
2021-05-14,8,13,4,0,0,4
