time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,7,,,,
2021-01-01,5,3,,,,
2021-01-02,8,7,,,,
2021-01-02,5,4,,,,
2021-01-03,9,7,,,,
2021-01-03,5,,,,,
2021-01-04,9,8,,,,
2021-01-04,,7,,,,
2021-01-05,10,3,,,,
2021-01-05,8,,,,,
2021-01-06,4,2,,,,
2021-01-07,4,3,,,,
2021-01-08,4,4,,,,
2021-01-09,4,5,,,,
2021-01-10,7,6,,,,
2021-01-11,7,10,,,,
2021-01-12,8,10,,,,
2021-01-13,6,22,,,,
2021-01-14,8,19,,,,
2021-01-15,9,4,,,,
2021-01-16,4,8,,,,
2021-01-17,11,7,,,,
2021-01-18,13,9,,,,
2021-01-19,11,13,,,,
2021-01-20,14,12,,,,
2021-01-21,14,9,,,,
2021-01-22,7,5,,,,
2021-01-23,5,3,,,,
2021-01-24,5,3,,,,
2021-01-25,4,7,,,,
2021-01-26,5,5,,,,
2021-01-27,4,17,,,,
2021-01-28,5,10,,,,
2021-01-29,5,23,,,,
2021-01-30,5,11,,,,
2021-01-31,8,19,,,,
2021-02-01,12,20,,,,
2021-02-02,12,23,,,,
2021-02-03,10,13,,,,
2021-02-04,5,25,,,,
2021-02-05,7,15,,,,
2021-02-06,13,13,,,,
2021-02-07,9,16,,,,
2021-02-08,13,34,,,,
2021-02-09,24,14,,,,
2021-02-10,13,8,,,,
2021-02-11,9,9,,,,
2021-02-12,5,8,,,,
2021-02-13,4,27,,,,
2021-02-14,17,19,,,,
2021-02-15,9,19,,,,
2021-02-16,12,21,,,,
2021-02-17,18,19,,,,
2021-02-18,17,29,,,,
2021-02-19,17,12,,,,
2021-02-20,23,19,,,,
2021-02-21,24,4,,,,
2021-02-22,6,9,,,,
2021-02-23,9,10,,,,
2021-02-24,12,10,,,,
2021-02-25,13,10,,,,
2021-02-26,15,11,,,,
2021-02-27,8,17,,,,
2021-02-28,7,19,,,,
2021-03-01,15,24,,,,
2021-03-02,10,14,,,,
2021-03-03,13,10,,,,
2021-03-04,11,20,,,,
2021-03-05,13,22,,,,
2021-03-06,11,13,,,,
2021-03-07,7,4,,,,
2021-03-08,4,5,,,,
2021-03-09,4,7,,,,
2021-03-10,6,7,,,,
2021-03-11,8,2,,,,
2021-03-12,4,2,,,,
2021-03-13,4,2,,,,
2021-03-14,4,2,,,,
2021-03-15,4,4,,,,
2021-03-16,7,4,,,,
2021-03-17,6,6,,,,
2021-03-18,6,5,,,,
2021-03-19,4,7,,,,
2021-03-20,16,5,,,,
2021-03-21,7,3,,,,
2021-03-22,8,2,,,,
2021-03-23,4,4,,,,
2021-03-24,5,3,,,,
2021-03-25,5,5,,,,
2021-03-26,6,6,,,,
2021-03-27,6,5,,,,
2021-03-28,7,5,,,,
2021-03-29,5,4,,,,
2021-03-30,5,4,,,,
2021-03-31,9,3,,,,
2021-04-01,,8,,,,
2021-04-01,4,,,,,
2021-04-02,6,3,,,,
2021-04-03,4,3,,,,
2021-04-04,4,4,,,,
2021-04-05,7,7,,,,
2021-04-06,6,3,,,,
2021-04-07,4,3,,,,
2021-04-08,4,2,,,,
2021-04-09,4,5,,,,
2021-04-10,4,6,,,,
2021-04-11,5,7,,,,
2021-04-12,5,10,,,,
2021-04-13,6,14,,,,
2021-04-14,6,5,,,,
2021-04-15,4,6,,,,
2021-04-16,6,7,,,,
2021-04-17,6,8,,,,
2021-04-18,11,10,,,,
2021-04-19,9,4,,,,
2021-04-20,5,3,,,,
2021-04-21,6,5,,,,
2021-04-22,7,4,,,,
2021-04-23,7,4,,,,
2021-04-24,6,6,,,,
2021-04-25,6,7,,,,
2021-04-26,9,5,,,,
2021-04-27,5,5,,,,
2021-04-28,5,6,,,,
2021-04-29,6,5,,,,
2021-04-30,4,2,,,,
2021-05-01,4,2,,,,
2021-05-02,6,9,,,,
2021-05-03,4,7,,,,
2021-05-04,5,4,,,,
2021-05-05,4,4,,,,
2021-05-06,4,5,,,,
2021-05-07,5,7,,,,
2021-05-08,8,6,,,,
2021-05-09,6,6,,,,
2021-05-10,6,6,,,,
2021-05-11,6,5,,,,
2021-05-12,5,5,,,,
2021-05-13,6,6,,,,
2021-05-14,5,2,,,,
2021-05-15,4,2,,,,
2021-05-16,4,4,,,,
2021-05-17,4,3,,,,
2021-05-18,4,1,,,,
2021-05-19,4,3,,,,
2021-05-20,4,8,,,,
2021-05-21,4,11,,,,
2021-05-22,7,9,,,,
2021-05-23,9,4,,,,
2021-05-24,4,3,,,,
2021-05-25,6,2,,,,
2021-05-26,4,5,,,,
2021-05-27,5,3,,,,
2021-05-28,5,8,,,,
2021-05-29,5,9,,,,
2021-05-30,7,8,,,,
2021-05-31,9,9,,,,
2021-06-01,6,10,,,,
2021-06-02,7,9,,,,
