time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,7,5,,,,
2021-01-02,8,,,,,
2021-01-03,,53,,,,
2021-01-04,28,6,,,,
2021-01-05,6,2,,,,
2021-01-06,4,3,,,,
2021-01-07,5,1,,,,
2021-01-08,4,3,,,,
2021-01-09,13,3,,,,
2021-01-10,7,4,,,,
2021-01-11,5,4,,,,
2021-01-12,7,4,,,,
2021-01-13,4,5,,,,
2021-01-14,9,6,,,,
2021-01-15,5,5,,,,
2021-01-16,5,4,,,,
2021-01-17,7,5,,,,
2021-01-18,5,3,,,,
2021-01-19,,1,,,,
2021-01-20,4,3,,,,
2021-01-21,4,3,,,,
2021-01-22,4,9,,,,
2021-01-23,5,5,,,,
2021-01-24,5,5,,,,
2021-01-25,4,5,,,,
2021-01-26,5,2,,,,
2021-01-27,4,1,,,,
2021-01-28,4,4,,,,
2021-01-29,4,5,,,,
2021-01-30,5,8,,,,
2021-01-31,11,8,,,,
2021-02-01,19,4,,,,
2021-02-02,5,3,,,,
2021-02-03,5,6,,,,
2021-02-04,6,6,,,,
2021-02-05,5,4,,,,
2021-02-06,5,2,,,,
2021-02-07,4,5,,,,
2021-02-08,5,10,,,,
2021-02-09,18,7,,,,
2021-02-10,12,11,,,,
2021-02-11,9,,,,,
2021-02-12,,3,,,,
2021-02-13,4,3,,,,
2021-02-14,4,73,,,,
2021-02-15,18,8,,,,
2021-02-16,5,6,,,,
2021-02-17,5,3,,,,
2021-02-18,4,9,,,,
2021-02-19,6,10,,,,
2021-02-20,10,11,,,,
2021-02-21,8,13,,,,
2021-02-22,8,12,,,,
2021-02-23,10,7,,,,
2021-02-24,7,6,,,,
2021-02-25,5,4,,,,
2021-02-26,4,6,,,,
2021-02-27,5,27,,,,
2021-02-28,15,7,,,,
2021-03-01,6,8,,,,
2021-03-02,5,16,,,,
2021-03-03,8,8,,,,
2021-03-04,6,5,,,,
2021-03-05,5,5,,,,
2021-03-06,4,24,,,,
2021-03-07,10,11,,,,
2021-03-08,8,4,,,,
2021-03-09,4,4,,,,
2021-03-10,5,5,,,,
2021-03-11,5,5,,,,
2021-03-12,5,7,,,,
2021-03-13,5,6,,,,
2021-03-14,6,3,,,,
2021-03-15,4,3,,,,
2021-03-16,4,5,,,,
2021-03-17,4,8,,,,
2021-03-18,9,9,,,,
2021-03-19,9,5,,,,
2021-03-20,6,2,,,,
2021-03-21,4,3,,,,
2021-03-22,4,2,,,,
2021-03-23,5,3,,,,
2021-03-24,5,3,,,,
2021-03-25,5,3,,,,
2021-03-26,4,3,,,,
2021-03-27,5,3,,,,
2021-03-28,4,8,,,,
2021-03-29,7,8,,,,
2021-03-30,5,4,,,,
2021-03-31,5,3,,,,
2021-04-01,,4,,,,
2021-04-01,4,5,,,,
2021-04-02,5,3,,,,
2021-04-02,5,2,,,,
2021-04-03,5,4,,,,
2021-04-03,4,4,,,,
2021-04-04,5,3,,,,
2021-04-04,6,4,,,,
2021-04-05,5,3,,,,
2021-04-05,7,,,,,
2021-04-06,5,3,,,,
2021-04-07,4,3,,,,
2021-04-08,5,7,,,,
2021-04-09,5,9,,,,
2021-04-10,11,11,,,,
2021-04-11,7,9,,,,
2021-04-12,6,4,,,,
2021-04-13,5,5,,,,
2021-04-14,6,2,,,,
2021-04-15,4,5,,,,
2021-04-16,6,3,,,,
2021-04-17,5,8,,,,
2021-04-18,7,8,,,,
2021-04-19,6,4,,,,
2021-04-20,4,5,,,,
2021-04-21,6,6,,,,
2021-04-22,6,12,,,,
2021-04-23,5,6,,,,
2021-04-24,12,5,,,,
2021-04-25,11,4,,,,
2021-04-26,7,5,,,,
2021-04-27,11,4,,,,
2021-04-28,7,2,,,,
2021-04-29,5,2,,,,
2021-04-30,4,4,,,,
2021-05-01,6,5,,,,
2021-05-02,5,5,,,,
2021-05-03,5,6,,,,
2021-05-04,5,4,,,,
2021-05-05,5,1,,,,
2021-05-06,4,4,,,,
2021-05-07,5,7,,,,
2021-05-08,5,6,,,,
2021-05-09,6,7,,,,
2021-05-10,7,8,,,,
