time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,7,9,,,,
2021-01-01,4,14,,,,
2021-01-02,6,,,,,
2021-01-02,7,9,,,,
2021-01-03,,15,,,,
2021-01-03,6,,,,,
2021-01-04,10,10,,,,
2021-01-04,,15,,,,
2021-01-05,7,4,,,,
2021-01-05,10,,,,,
2021-01-06,,12,,,,
2021-01-07,9,2,,,,
2021-01-08,4,5,,,,
2021-01-09,4,4,,,,
2021-01-10,4,10,,,,
2021-01-11,10,6,,,,
2021-01-12,5,6,,,,
2021-01-13,4,8,,,,
2021-01-14,5,11,,,,
2021-01-15,5,11,,,,
2021-01-16,5,4,,,,
2021-01-17,7,7,,,,
2021-01-18,4,4,,,,
2021-01-19,4,4,,,,
2021-01-20,4,4,,,,
2021-01-21,4,6,,,,
2021-01-22,4,14,,,,
2021-01-23,6,10,,,,
2021-01-24,4,11,,,,
2021-01-25,4,6,,,,
2021-01-26,4,4,,,,
2021-01-27,4,2,,,,
2021-01-28,4,4,,,,
2021-01-29,4,5,,,,
2021-01-30,4,5,,,,
2021-01-31,5,7,,,,
2021-02-01,5,4,,,,
2021-02-02,4,7,,,,
2021-02-03,5,11,,,,
2021-02-04,6,13,,,,
2021-02-05,5,13,,,,
2021-02-06,5,8,,,,
2021-02-07,5,15,,,,
2021-02-08,6,18,,,,
2021-02-09,10,18,,,,
2021-02-10,10,21,,,,
2021-02-11,10,15,,,,
2021-02-12,5,5,,,,
2021-02-13,4,6,,,,
2021-02-14,4,18,,,,
2021-02-15,7,60,,,,
2021-02-16,23,19,,,,
2021-02-17,6,13,,,,
2021-02-18,5,19,,,,
2021-02-19,8,18,,,,
2021-02-20,8,20,,,,
2021-02-21,6,10,,,,
2021-02-22,7,16,,,,
2021-02-23,7,12,,,,
2021-02-24,5,5,,,,
2021-02-25,4,6,,,,
2021-02-26,4,15,,,,
2021-02-27,6,28,,,,
2021-02-28,10,33,,,,
2021-03-01,10,9,,,,
