time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,21,17,,,,
2021-01-01,21,18,,,,
2021-01-02,27,17,,,,
2021-01-02,21,17,,,,
2021-01-03,27,20,,,,
2021-01-03,27,17,,,,
2021-01-04,25,18,,,,
2021-01-04,27,20,,,,
2021-01-05,26,9,,,,
2021-01-05,25,,,,,
2021-01-06,16,8,,,,
2021-01-07,14,9,,,,
2021-01-08,19,8,,,,
2021-01-09,25,11,,,,
2021-01-10,24,14,,,,
2021-01-11,28,21,,,,
2021-01-12,29,24,,,,
2021-01-13,25,19,,,,
2021-01-14,24,27,,,,
2021-01-15,29,10,,,,
2021-01-16,12,9,,,,
2021-01-17,18,13,,,,
2021-01-18,19,12,,,,
2021-01-19,28,16,,,,
2021-01-20,31,22,,,,
2021-01-21,23,17,,,,
2021-01-22,23,18,,,,
2021-01-23,26,9,,,,
2021-01-24,22,7,,,,
2021-01-25,25,6,,,,
2021-01-26,12,7,,,,
2021-01-27,21,7,,,,
2021-01-28,11,12,,,,
2021-01-29,16,12,,,,
2021-01-30,19,7,,,,
2021-01-31,24,10,,,,
2021-02-01,20,14,,,,
2021-02-02,17,16,,,,
2021-02-03,17,20,,,,
2021-02-04,16,10,,,,
2021-02-05,26,13,,,,
2021-02-06,37,15,,,,
2021-02-07,28,15,,,,
2021-02-08,21,12,,,,
2021-02-09,22,17,,,,
2021-02-10,15,22,,,,
2021-02-11,29,13,16,,,
2021-02-12,21,9,21,,,
2021-02-13,20,14,23,,,
2021-02-14,22,16,27,,,
2021-02-15,26,28,23,,,
2021-02-16,18,24,22,,,
2021-02-17,30,18,29,,,
2021-02-18,23,25,33,,,
2021-02-19,37,28,33,,,
2021-02-20,29,31,38,,,
2021-02-21,32,27,31,,,
2021-02-22,29,8,32,,,
2021-02-23,24,11,30,,,
2021-02-24,19,15,28,,,
2021-02-25,21,22,32,,,
2021-02-26,21,25,37,,,
2021-02-27,34,45,33,,,
2021-02-28,42,18,26,,,
2021-03-01,23,19,28,,,
2021-03-02,19,38,30,,,
2021-03-03,32,26,23,,,
2021-03-04,29,27,26,,,
2021-03-05,22,35,28,,,
2021-03-06,27,42,29,,,
2021-03-07,30,14,22,,,
2021-03-08,26,15,17,,,
2021-03-09,15,10,20,,,
2021-03-10,24,16,26,,,
2021-03-11,14,24,27,,,
2021-03-12,25,17,21,,,
2021-03-13,24,14,17,,,
2021-03-14,21,10,20,,,
2021-03-15,14,11,21,,,
2021-03-16,24,14,19,,,
2021-03-17,14,10,22,,,
2021-03-18,24,10,34,,,
2021-03-19,26,14,22,,,
2021-03-20,18,19,23,,,
2021-03-21,23,17,22,,,
2021-03-22,18,18,23,,,
2021-03-23,20,8,21,,,
2021-03-24,15,8,23,,,
2021-03-25,19,20,22,,,
2021-03-26,22,13,26,,,
2021-03-27,23,15,26,,,
2021-03-28,15,21,27,,,
2021-03-29,29,21,23,,,
2021-03-30,14,27,27,,,
2021-03-31,20,11,27,,,
2021-04-01,,17,29,,,
2021-04-01,21,11,25,,,
2021-04-02,23,11,28,,,
2021-04-02,14,10,17,,,
2021-04-03,19,12,23,,,
2021-04-03,13,10,19,,,
2021-04-04,19,9,16,,,
2021-04-04,18,9,32,,,
2021-04-05,14,11,18,,,
2021-04-05,18,,,,,
2021-04-06,18,19,16,,,
2021-04-07,22,19,29,,,
2021-04-08,23,23,28,,,
2021-04-09,30,23,26,,,
2021-04-10,17,23,30,,,
2021-04-11,19,36,24,,,
2021-04-12,24,42,21,,,
2021-04-13,27,16,16,,,
2021-04-14,17,19,22,,,
2021-04-15,21,32,20,,,
2021-04-16,24,32,25,,,
2021-04-17,25,24,25,,,
2021-04-18,19,27,30,,,
2021-04-19,19,32,31,,,
2021-04-20,31,42,34,,,
2021-04-21,32,45,32,,,
2021-04-22,30,32,34,,,
2021-04-23,25,25,23,,,
2021-04-24,25,12,32,,,
2021-04-25,24,8,10,,,
2021-04-26,9,6,10,,,
2021-04-27,17,9,,,,
2021-04-28,27,16,,,,
2021-04-29,23,9,,,,
2021-04-30,26,8,,,,
2021-05-01,,27,25,,,
2021-05-01,28,11,20,,,
2021-05-02,36,26,27,,,
2021-05-02,23,16,23,,,
2021-05-03,38,24,29,,,
2021-05-03,27,10,33,,,
2021-05-04,38,28,29,,,
2021-05-04,27,11,25,,,
2021-05-05,37,34,35,,,
2021-05-05,24,9,21,,,
2021-05-06,50,21,23,,,
2021-05-06,27,16,22,,,
2021-05-07,25,18,19,,,
2021-05-07,21,13,26,,,
2021-05-08,23,29,23,,,
2021-05-08,25,13,24,,,
2021-05-09,34,30,22,,,
2021-05-09,20,20,24,,,
2021-05-10,26,20,17,,,
2021-05-10,25,15,28,,,
2021-05-11,20,12,18,,,
2021-05-11,29,12,17,,,
2021-05-12,16,19,19,,,
2021-05-12,17,11,24,,,
2021-05-13,24,33,26,,,
2021-05-13,26,15,23,,,
2021-05-14,50,32,16,,,
