time,pm25,pm10,O3,NO2,SO2,CO
2022-03-31,,17,,,,
2022-04-01,20,13,,,,
2022-04-02,20,13,,,,
2022-04-03,20,15,,,,
2022-04-04,26,15,,,,
2022-04-05,28,12,,,,
2022-04-06,20,9,,,,
2022-04-07,16,14,,,,
2022-04-08,25,17,,,,
2022-04-09,29,16,,,,
2022-04-10,27,14,,,,
2022-04-11,22,12,,,,
2022-04-12,20,11,,,,
2022-04-13,19,9,,,,
2022-04-14,17,10,,,,
2022-04-15,18,12,,,,
2022-04-16,19,14,,,,
2022-04-17,25,14,,,,
2022-04-18,22,15,,,,
2022-04-19,25,15,,,,
2022-04-20,26,15,,,,
2022-04-21,27,13,,,,
2022-04-22,22,11,,,,
2022-04-23,20,9,,,,
2022-04-24,15,5,,,,
2022-04-25,7,11,,,,
2022-04-26,18,14,,,,
2022-04-27,21,19,,,,
2022-04-28,25,12,,,,
2022-04-29,19,15,,,,
2022-04-30,23,10,,,,
2022-05-01,19,17,,,,
2022-05-02,21,7,,,,
2022-05-03,11,22,,,,
2022-05-04,35,24,,,,
2022-05-05,35,18,,,,
2022-05-06,32,12,,,,
2022-05-07,21,12,,,,
2022-05-08,20,12,,,,
2022-05-09,20,14,,,,
2022-05-10,22,16,,,,
2022-05-11,26,18,,,,
2022-05-12,30,17,,,,
2022-05-13,28,13,,,,
2022-05-14,20,9,,,,
2022-05-15,16,11,,,,
2022-05-16,18,28,,,,
2022-05-17,58,22,,,,
2022-05-18,37,28,,,,
2022-05-19,54,14,,,,
2022-05-20,24,15,,,,
2022-05-21,23,14,,,,
2022-05-22,23,14,,,,
2022-05-23,21,14,,,,
2022-05-24,24,13,,,,
2022-05-25,22,13,,,,
2022-05-26,24,13,,,,
2022-05-27,22,12,,,,
2022-05-28,24,13,,,,
2022-05-29,26,16,,,,
2022-05-30,32,17,,,,
2022-05-31,33,16,,,,
2022-06-01,33,16,,,,
2022-06-02,35,17,,,,
2022-06-03,34,15,,,,
2022-06-04,29,12,,,,
2022-06-05,25,16,,,,
