time,pm25,pm10,O3,NO2,SO2,CO
2023-09-28,,18,,,,
2023-09-29,35,26,,,,
2023-09-30,55,21,,,,
2023-10-01,38,17,,,,
2023-10-02,30,18,,,,
2023-10-03,31,18,,,,
2023-10-04,33,16,,,,
2023-10-05,28,18,,,,
2023-10-06,32,12,,,,
2023-10-07,22,13,,,,
2023-10-08,23,13,,,,
2023-10-09,23,13,,,,
2023-10-10,25,23,,,,
2023-10-11,53,19,,,,
2023-10-12,41,19,,,,
2023-10-13,36,12,,,,
2023-10-14,21,11,,,,
2023-10-15,19,13,,,,
2023-10-16,23,14,,,,
2023-10-17,23,19,,,,
2023-10-18,31,20,,,,
2023-10-19,36,16,,,,
2023-10-20,29,,,,,
2023-12-28,,16,,,,
2023-12-29,29,14,,,,
2023-12-30,25,15,,,,
2023-12-31,28,17,,,,
