time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,33,,,,
2023-03-31,64,15,,,,
2023-04-01,22,14,,,,
2023-04-02,20,19,,,,
2023-04-03,31,20,,,,
2023-04-04,30,16,,,,
2023-04-05,21,13,,,,
2023-04-06,18,13,,,,
2023-04-07,18,13,,,,
2023-04-08,20,14,,,,
2023-04-09,23,14,,,,
2023-04-10,20,14,,,,
2023-04-11,20,15,,,,
2023-04-12,22,15,,,,
2023-04-13,22,17,,,,
2023-04-14,27,15,,,,
2023-04-15,24,17,,,,
2023-04-16,26,20,,,,
2023-04-17,31,13,,,,
2023-04-18,23,14,,,,
2023-04-19,28,16,,,,
2023-04-20,27,17,,,,
2023-04-21,25,17,,,,
2023-04-22,25,15,,,,
2023-04-23,24,11,,,,
2023-04-24,27,4,,,,
2023-04-25,7,13,,,,
2023-04-26,21,13,,,,
2023-04-27,23,9,,,,
2023-04-28,14,10,,,,
2023-04-29,17,11,,,,
2023-04-30,18,12,,,,
2023-05-01,19,14,,,,
2023-05-02,23,14,,,,
2023-05-03,25,16,,,,
2023-05-04,26,16,,,,
2023-05-05,25,22,,,,
2023-05-06,27,18,,,,
2023-05-07,24,16,,,,
2023-05-08,22,20,,,,
2023-05-09,29,18,,,,
2023-05-10,22,16,,,,
2023-05-11,23,15,,,,
2023-05-12,20,16,,,,
2023-05-13,21,16,,,,
2023-05-14,23,16,,,,
2023-05-15,28,14,,,,
2023-05-16,21,15,,,,
2023-05-17,23,9,,,,
2023-05-18,18,,,,,
2023-06-29,,15,,,,
2023-06-30,23,9,,,,
2023-07-01,18,10,,,,
2023-07-02,19,12,,,,
2023-07-03,19,15,,,,
2023-07-04,22,17,,,,
2023-07-05,23,9,,,,
2023-07-06,16,12,,,,
2023-07-07,15,12,,,,
2023-07-08,16,23,,,,
2023-07-09,27,12,,,,
2023-07-10,19,15,,,,
2023-07-11,24,15,,,,
2023-07-12,24,20,,,,
2023-07-13,31,19,,,,
2023-07-14,27,14,,,,
2023-07-15,22,13,,,,
2023-07-16,22,14,,,,
2023-07-17,30,20,,,,
2023-07-18,33,18,,,,
2023-07-19,30,17,,,,
2023-07-20,22,13,,,,
2023-07-21,19,13,,,,
2023-07-22,15,19,,,,
2023-07-23,26,19,,,,
2023-07-24,26,17,,,,
2023-07-25,25,18,,,,
2023-07-26,28,15,,,,
2023-07-27,27,19,,,,
2023-07-28,24,8,,,,
2023-07-29,15,10,,,,
2023-07-30,18,14,,,,
2023-07-31,22,14,,,,
2023-08-01,19,16,,,,
2023-08-02,24,20,,,,
2023-08-03,26,20,,,,
2023-08-04,28,16,,,,
2023-08-05,26,18,,,,
2023-08-06,16,14,,,,
2023-08-07,13,19,,,,
2023-08-08,28,17,,,,
2023-08-09,25,16,,,,
2023-08-10,20,16,,,,
2023-08-11,19,14,,,,
2023-08-12,15,7,,,,
2023-08-13,11,7,,,,
2023-08-14,8,14,,,,
2023-08-15,23,24,,,,
2023-08-16,41,25,,,,
2023-08-17,48,18,,,,
2023-08-18,28,18,,,,
2023-08-19,27,14,,,,
2023-08-20,13,21,,,,
2023-08-21,24,26,,,,
2023-08-22,29,25,,,,
2023-08-23,33,20,,,,
2023-08-24,25,20,,,,
2023-08-25,25,15,,,,
2023-08-26,26,17,,,,
2023-08-27,21,21,,,,
2023-08-28,20,24,,,,
2023-08-29,34,25,,,,
2023-08-30,34,24,,,,
2023-08-31,30,20,,,,
2023-09-01,27,17,,,,
2023-09-02,21,16,,,,
2023-09-03,26,12,,,,
2023-09-04,19,12,,,,
2023-09-05,19,16,,,,
2023-09-06,26,21,,,,
2023-09-07,29,10,,,,
2023-09-08,18,12,,,,
2023-09-09,16,19,,,,
2023-09-10,26,17,,,,
2023-09-11,25,15,,,,
2023-09-12,23,22,,,,
2023-09-13,25,18,,,,
2023-09-14,25,34,,,,
2023-09-15,62,28,,,,
2023-09-16,54,25,,,,
2023-09-17,39,22,,,,
2023-09-18,28,20,,,,
2023-09-19,25,29,,,,
2023-09-20,51,19,,,,
2023-09-21,28,27,,,,
2023-09-22,39,26,,,,
2023-09-23,45,21,,,,
2023-09-24,32,32,,,,
2023-09-25,40,27,,,,
2023-09-26,47,17,,,,
2023-09-27,22,16,,,,
2023-09-28,,15,,,,
2023-09-28,11,15,,,,
2023-09-29,13,17,,,,
2023-09-29,13,17,,,,
2023-09-30,13,20,,,,
2023-09-30,13,,,,,
2023-10-01,32,8,,,,
2023-10-02,18,8,,,,
2023-10-03,19,8,,,,
2023-10-04,16,8,,,,
2023-10-05,13,11,,,,
2023-10-06,21,10,,,,
2023-10-07,18,13,,,,
2023-10-08,17,14,,,,
2023-10-09,20,17,,,,
2023-10-10,19,16,,,,
2023-10-11,30,15,,,,
2023-10-12,21,16,,,,
2023-10-13,21,,,,,
2023-10-14,,11,,,,
2023-10-15,14,12,,,,
2023-10-16,18,13,,,,
2023-10-17,17,18,,,,
2023-10-18,32,17,,,,
2023-10-19,27,16,,,,
2023-10-20,32,11,,,,
2023-10-21,17,6,,,,
2023-10-22,12,11,,,,
2023-10-23,16,12,,,,
2023-10-24,18,13,,,,
2023-10-25,19,17,,,,
2023-10-26,30,16,,,,
2023-10-27,25,15,,,,
2023-10-28,26,22,,,,
2023-10-29,38,21,,,,
2023-10-30,37,18,,,,
2023-10-31,32,15,,,,
2023-11-01,23,15,,,,
2023-11-02,23,14,,,,
2023-11-03,19,15,,,,
2023-11-04,25,14,,,,
2023-11-05,26,15,,,,
2023-11-06,23,16,,,,
2023-11-07,24,18,,,,
2023-11-08,29,25,,,,
2023-11-09,43,21,,,,
2023-11-10,37,17,,,,
2023-11-11,29,23,,,,
2023-11-12,34,22,,,,
2023-11-13,38,23,,,,
2023-11-14,35,21,,,,
2023-11-15,29,16,,,,
2023-11-16,26,10,,,,
2023-11-17,13,14,,,,
2023-11-18,26,23,,,,
2023-11-19,33,19,,,,
2023-11-20,30,21,,,,
2023-11-21,32,25,,,,
2023-11-22,41,28,,,,
2023-11-23,47,22,,,,
2023-11-24,36,22,,,,
2023-11-25,44,23,,,,
2023-11-26,33,19,,,,
2023-11-27,29,19,,,,
2023-11-28,33,24,,,,
2023-11-29,44,23,,,,
2023-11-30,40,22,,,,
2023-12-01,40,23,,,,
2023-12-02,48,17,,,,
2023-12-03,26,19,,,,
2023-12-04,40,19,,,,
2023-12-05,29,16,,,,
2023-12-06,23,19,,,,
2023-12-07,32,22,,,,
2023-12-08,25,28,,,,
2023-12-09,58,31,,,,
2023-12-10,66,30,,,,
2023-12-11,55,31,,,,
2023-12-12,64,25,,,,
2023-12-13,46,26,,,,
2023-12-14,48,28,,,,
2023-12-15,55,28,,,,
2023-12-16,53,22,,,,
2023-12-17,33,20,,,,
2023-12-18,30,22,,,,
2023-12-19,37,27,,,,
2023-12-20,38,50,,,,
2023-12-21,83,32,,,,
2023-12-22,45,19,,,,
2023-12-23,22,17,,,,
2023-12-24,19,22,,,,
2023-12-25,27,20,,,,
2023-12-26,24,19,,,,
2023-12-27,25,20,,,,
2023-12-28,,18,,,,
2023-12-28,,18,,,,
2023-12-28,24,18,,,,
2023-12-29,28,21,,,,
2023-12-29,28,21,,,,
2023-12-29,27,18,,,,
2023-12-30,32,19,,,,
2023-12-30,32,19,,,,
2023-12-30,28,,,,,
2023-12-31,28,20,,,,
2023-12-31,28,20,,,,
