time,pm25,pm10,O3,NO2,SO2,CO
2021-12-30,,12,6,0,,
2021-12-31,17,15,6,0,,
2022-01-01,16,13,7,0,,
2022-01-02,14,11,6,0,,
2022-01-03,16,10,5,0,,
2022-01-04,15,14,8,0,,
2022-01-05,18,,,,,
2022-03-31,,13,8,0,,
2022-04-01,16,16,6,0,,
2022-04-02,11,19,4,0,,
2022-04-03,13,15,6,0,,
2022-04-04,21,19,4,0,,
2022-04-05,34,19,5,1,,
2022-04-06,36,18,6,0,,
2022-04-07,30,22,8,0,,
2022-04-08,33,22,7,0,,
2022-04-09,29,25,8,0,,
2022-04-10,26,25,7,0,,
2022-04-11,22,29,9,0,,
2022-04-12,26,20,11,0,,
2022-04-13,27,11,16,0,,
2022-04-14,16,22,16,1,,
2022-04-15,27,24,14,1,,
2022-04-16,28,23,8,0,,
2022-04-17,22,7,6,0,,
2022-04-18,7,19,6,0,,
2022-04-19,27,10,5,0,,
2022-04-20,14,10,5,0,,
2022-04-21,13,12,35,0,,
2022-04-22,15,15,9,1,,
2022-04-23,21,10,6,0,,
2022-04-24,17,20,6,0,,
2022-04-25,20,11,6,0,,
2022-04-26,13,13,6,0,,
2022-04-27,19,15,6,0,,
2022-04-28,23,18,7,0,,
2022-04-29,17,19,14,0,,
2022-04-30,24,14,12,1,,
2022-05-01,21,8,7,0,,
2022-05-02,10,18,6,0,,
2022-05-03,19,23,7,0,,
2022-05-04,28,18,6,0,,
2022-05-05,22,18,6,0,,
2022-05-06,20,32,7,0,,
2022-05-07,29,39,10,1,,
2022-05-08,32,42,10,1,,
2022-05-09,30,32,10,0,,
2022-05-10,24,36,9,0,,
2022-05-11,31,30,7,0,,
2022-05-12,33,33,7,0,,
2022-05-13,26,29,6,1,,
2022-05-14,30,28,8,0,,
2022-05-15,29,26,12,1,,
2022-05-16,25,24,15,1,,
2022-05-17,28,13,10,1,,
2022-05-18,21,12,7,0,,
2022-05-19,21,12,10,1,,
2022-05-20,18,18,7,0,,
2022-05-21,21,9,9,0,,
2022-05-22,12,12,3,0,,
2022-05-23,18,9,3,0,,
2022-05-24,17,8,4,0,,
2022-05-25,14,4,7,0,,
2022-05-26,5,4,7,0,,
2022-05-27,3,6,7,1,,
2022-05-28,6,8,12,1,,
2022-05-29,12,10,14,1,,
2022-05-30,17,11,11,1,,
2022-05-31,19,9,12,0,,
2022-06-01,15,12,13,1,,
2022-06-02,24,9,14,0,,
2022-06-03,10,17,14,0,,
2022-06-04,15,13,12,1,,
2022-06-05,16,15,6,1,,
2022-06-06,18,13,6,1,,
2022-06-07,13,13,7,1,,
2022-06-08,14,14,8,1,,
2022-06-09,15,21,7,0,,
2022-06-10,15,21,7,0,,
2022-06-11,18,31,7,0,,
2022-06-12,21,29,7,2,,
2022-06-13,20,28,7,2,,
2022-06-14,22,22,9,0,,
2022-06-15,21,20,8,0,,
2022-06-16,24,30,9,7,,
