time,pm25,pm10,O3,NO2,SO2,CO
2021-12-31,7,,,,,
2022-01-01,6,45,,,,
2022-01-02,6,46,,,,
2022-01-03,5,56,,,,
2022-01-04,5,52,,,,
2022-01-05,6,,,,,
2022-03-31,,15,,,,
2022-04-01,6,24,,,,
2022-04-02,7,21,,,,
2022-04-03,13,10,,,,
2022-04-04,8,15,,,,
2022-04-05,11,6,,,,
2022-04-06,5,11,,,,
2022-04-07,6,17,,,,
2022-04-08,7,21,,,,
2022-04-09,10,12,,,,
2022-04-10,8,29,,,,
2022-04-11,11,19,,,,
2022-04-12,14,15,,,,
2022-04-13,9,16,,,,
2022-04-14,6,15,,,,
2022-04-15,7,24,,,,
2022-04-16,11,25,,,,
2022-04-17,8,30,,,,
2022-04-18,6,27,,,,
2022-04-19,9,18,,,,
2022-04-20,8,12,,,,
2022-04-21,5,18,,,,
2022-04-22,6,14,,,,
2022-04-23,6,12,,,,
2022-04-24,7,13,,,,
2022-04-25,5,22,,,,
2022-04-26,10,7,,,,
2022-04-27,8,8,,,,
2022-04-28,9,14,,,,
2022-04-29,8,18,,,,
2022-04-30,7,94,,,,
2022-05-01,16,32,,,,
2022-05-02,8,13,,,,
2022-05-03,5,12,,,,
2022-05-04,5,10,,,,
2022-05-05,4,15,,,,
2022-05-06,5,17,,,,
2022-05-07,5,22,,,,
2022-05-08,7,13,,,,
2022-05-09,4,27,,,,
2022-05-10,8,26,,,,
2022-05-11,12,26,,,,
2022-05-12,11,25,,,,
2022-05-13,11,32,,,,
2022-05-14,13,39,,,,
2022-05-15,12,15,,,,
2022-05-16,5,21,,,,
2022-05-17,8,20,,,,
2022-05-18,8,28,,,,
2022-05-19,11,15,,,,
2022-05-20,6,20,,,,
2022-05-21,6,21,,,,
2022-05-22,9,21,,,,
2022-05-23,11,25,,,,
2022-05-24,18,19,,,,
2022-05-25,13,17,,,,
2022-05-26,6,37,,,,
2022-05-27,10,13,,,,
2022-05-28,9,7,,,,
2022-05-29,6,6,,,,
2022-05-30,2,17,,,,
2022-05-31,6,11,,,,
2022-06-01,4,48,,,,
2022-06-02,14,12,,,,
2022-06-03,7,92,,,,
2022-06-04,21,24,,,,
2022-06-05,8,22,,,,
2022-06-06,8,19,,,,
2022-06-07,8,19,,,,
2022-06-08,10,18,,,,
2022-06-09,10,17,,,,
2022-06-10,7,7,,,,
2022-06-11,7,9,,,,
2022-06-12,7,11,,,,
2022-06-13,8,13,,,,
2022-06-14,9,22,,,,
2022-06-15,13,20,,,,
2022-06-16,12,21,,,,
2022-06-17,10,82,,,,
2022-06-18,28,12,,,,
2022-06-19,6,19,,,,
2022-06-20,10,17,,,,
2022-06-21,11,15,,,,
2022-06-22,11,14,,,,
2022-06-23,8,21,,,,
2022-06-24,8,27,,,,
2022-06-25,30,45,,,,
2022-06-26,15,70,,,,
2022-06-27,16,23,,,,
2022-06-28,7,15,,,,
2022-06-29,7,9,,,,
2022-06-30,,23,,,,
2022-06-30,6,,,,,
2022-07-01,7,15,,,,
2022-07-02,7,9,,,,
2022-07-03,6,,,,,
2022-08-07,,8,,,,
2022-08-08,9,14,,,,
2022-08-09,16,11,,,,
2022-08-10,20,4,,,,
2022-08-11,6,6,,,,
2022-08-12,9,5,,,,
2022-08-13,7,12,,,,
2022-08-14,9,20,,,,
2022-08-15,10,20,,,,
2022-08-16,16,17,,,,
2022-08-17,18,19,,,,
2022-08-18,17,14,,,,
2022-08-19,10,10,,,,
2022-08-20,12,8,,,,
2022-08-21,8,7,,,,
2022-08-22,7,9,,,,
2022-08-23,7,8,,,,
2022-08-24,6,16,,,,
2022-08-25,22,21,,,,
2022-08-26,35,24,,,,
2022-08-27,41,9,,,,
2022-08-28,18,4,,,,
2022-08-29,4,11,,,,
2022-08-30,7,16,,,,
2022-08-31,17,16,,,,
2022-09-01,15,11,,,,
2022-09-02,6,6,,,,
2022-09-03,4,7,,,,
2022-09-04,4,13,,,,
2022-09-05,7,8,,,,
2022-09-06,8,9,,,,
2022-09-07,11,7,,,,
2022-09-08,7,5,,,,
2022-09-09,5,6,,,,
2022-09-10,9,10,,,,
2022-09-11,13,8,,,,
2022-09-12,12,4,,,,
2022-09-13,5,7,,,,
2022-09-14,8,8,,,,
2022-09-15,9,7,,,,
2022-09-16,8,16,,,,
2022-09-17,33,5,,,,
2022-09-18,12,10,,,,
2022-09-19,13,11,,,,
2022-09-20,11,9,,,,
2022-09-21,10,6,,,,
2022-09-22,6,8,,,,
2022-09-23,10,15,,,,
2022-09-24,25,10,,,,
2022-09-25,9,15,,,,
2022-09-26,17,30,,,,
2022-09-27,34,19,,,,
2022-09-28,14,13,,,,
2022-09-29,,11,,,,
2022-09-29,15,11,,,,
2022-09-30,11,6,,,,
2022-09-30,11,6,,,,
2022-10-01,7,5,,,,
2022-10-01,7,5,,,,
2022-10-02,9,8,,,,
2022-10-02,9,,,,,
2022-10-03,12,13,,,,
2022-10-04,18,21,,,,
2022-10-05,39,13,,,,
2022-10-06,14,11,,,,
2022-10-07,11,11,,,,
2022-10-08,22,12,,,,
2022-10-09,24,22,,,,
2022-10-10,22,12,,,,
2022-10-11,16,8,,,,
2022-10-12,14,9,,,,
2022-10-13,15,7,,,,
2022-10-14,10,9,,,,
2022-10-15,5,11,,,,
2022-10-16,5,11,,,,
2022-10-17,16,11,,,,
2022-10-18,15,6,,,,
2022-10-19,5,5,,,,
2022-10-20,4,8,,,,
2022-10-21,7,8,,,,
2022-10-22,8,6,,,,
2022-10-23,6,7,,,,
2022-10-24,5,16,,,,
2022-10-25,9,15,,,,
2022-10-26,14,15,,,,
2022-10-27,17,8,,,,
2022-10-28,9,8,,,,
2022-10-29,9,6,,,,
2022-10-30,7,10,,,,
2022-10-31,7,10,,,,
2022-11-01,5,14,,,,
2022-11-02,7,12,,,,
2022-11-03,7,11,,,,
2022-11-04,8,7,,,,
2022-11-05,5,7,,,,
2022-11-06,16,20,,,,
2022-11-07,42,10,,,,
2022-11-08,17,5,,,,
2022-11-09,5,4,,,,
2022-11-10,3,6,,,,
2022-11-11,2,5,,,,
2022-11-12,6,4,,,,
2022-11-13,5,,,,,
2022-11-18,,18,,,,
2022-11-19,32,11,,,,
2022-11-20,21,6,,,,
2022-11-21,5,8,,,,
2022-11-22,5,8,,,,
2022-11-23,6,6,,,,
2022-11-24,8,13,,,,
2022-11-25,27,12,,,,
2022-11-26,18,13,,,,
2022-11-27,19,12,,,,
2022-11-28,9,9,,,,
2022-11-29,5,17,,,,
2022-11-30,15,15,,,,
2022-12-01,18,12,,,,
2022-12-02,10,7,,,,
2022-12-03,9,10,,,,
2022-12-04,16,8,,,,
2022-12-05,9,16,,,,
2022-12-06,17,12,,,,
2022-12-07,6,6,,,,
2022-12-08,7,6,,,,
2022-12-09,4,13,,,,
2022-12-10,12,10,,,,
2022-12-11,9,8,,,,
2022-12-12,10,8,,,,
2022-12-13,7,7,,,,
2022-12-14,4,13,,,,
2022-12-15,11,10,,,,
2022-12-16,5,11,,,,
2022-12-17,5,10,,,,
2022-12-18,6,15,,,,
2022-12-19,9,12,,,,
2022-12-20,5,8,,,,
2022-12-21,7,9,,,,
2022-12-22,13,6,,,,
2022-12-23,9,6,,,,
2022-12-24,11,8,,,,
2022-12-25,11,6,,,,
2022-12-26,6,5,,,,
2022-12-27,4,8,,,,
2022-12-28,7,6,,,,
2022-12-29,,6,,,,
2022-12-29,7,9,,,,
2022-12-30,4,5,,,,
2022-12-30,12,6,,,,
2022-12-31,4,6,,,,
2022-12-31,4,5,,,,
2023-01-01,4,6,,,,
2023-01-01,4,,,,,
2023-01-02,6,5,,,,
2023-01-03,6,7,,,,
2023-01-04,9,8,,,,
2023-01-05,8,10,,,,
2023-01-06,7,8,,,,
2023-01-07,7,7,,,,
2023-01-08,3,11,,,,
2023-01-09,4,7,,,,
2023-01-10,7,5,,,,
2023-01-11,7,9,,,,
2023-01-12,8,11,,,,
2023-01-13,9,8,,,,
2023-01-14,8,5,,,,
2023-01-15,4,6,,,,
2023-01-16,3,11,,,,
2023-01-17,7,7,,,,
2023-01-18,9,5,,,,
2023-01-19,7,7,,,,
2023-01-20,10,8,,,,
2023-01-21,10,7,,,,
2023-01-22,6,3,,,,
2023-01-23,3,4,,,,
2023-01-24,3,10,,,,
2023-01-25,4,9,,,,
2023-01-26,5,9,,,,
2023-01-27,5,10,,,,
2023-01-28,4,5,,,,
2023-01-29,2,5,,,,
2023-01-30,3,9,,,,
2023-01-31,5,8,,,,
2023-02-01,5,5,,,,
2023-02-02,5,7,,,,
2023-02-03,8,7,,,,
2023-02-04,7,7,,,,
2023-02-05,5,6,,,,
2023-02-06,5,,,,,
2023-02-11,,6,,,,
2023-02-12,3,8,,,,
2023-02-13,4,5,,,,
2023-02-14,3,7,,,,
2023-02-15,8,9,,,,
2023-02-16,5,8,,,,
2023-02-17,3,13,,,,
2023-02-18,5,15,,,,
2023-02-19,6,11,,,,
2023-02-20,5,5,,,,
2023-02-21,1,7,,,,
2023-02-22,3,11,,,,
2023-02-23,5,14,,,,
2023-02-24,5,6,,,,
2023-02-25,3,9,,,,
2023-02-26,4,8,,,,
2023-02-27,4,9,,,,
2023-02-28,5,8,,,,
2023-03-01,4,13,,,,
2023-03-02,8,14,,,,
2023-03-03,12,10,,,,
2023-03-04,8,17,,,,
2023-03-05,10,13,,,,
2023-03-06,6,24,,,,
2023-03-07,7,14,,,,
2023-03-08,5,12,,,,
2023-03-09,6,15,,,,
2023-03-10,7,12,,,,
2023-03-11,4,9,,,,
2023-03-12,4,10,,,,
2023-03-13,5,11,,,,
2023-03-14,5,10,,,,
2023-03-15,5,10,,,,
2023-03-16,6,9,,,,
2023-03-17,5,10,,,,
2023-03-18,5,14,,,,
2023-03-19,4,18,,,,
2023-03-20,5,16,,,,
2023-03-21,6,9,,,,
2023-03-22,9,8,,,,
2023-03-23,6,8,,,,
2023-03-24,6,9,,,,
2023-03-25,8,9,,,,
2023-03-26,9,8,,,,
2023-03-27,8,9,,,,
2023-03-28,8,14,,,,
2023-03-29,8,16,,,,
2023-03-30,,9,,,,
2023-03-30,10,17,,,,
2023-03-31,8,8,,,,
2023-03-31,10,10,,,,
2023-04-01,6,15,,,,
2023-04-01,10,,,,,
2023-04-02,5,10,,,,
2023-04-03,5,10,,,,
2023-04-04,7,8,,,,
2023-04-05,3,7,,,,
2023-04-06,4,13,,,,
2023-04-07,6,18,,,,
2023-04-08,10,19,,,,
2023-04-09,7,17,,,,
2023-04-10,9,20,,,,
2023-04-11,12,18,,,,
2023-04-12,11,20,,,,
2023-04-13,12,18,,,,
