time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,17,,,,
2021-01-01,14,13,,,,
2021-01-02,27,9,,,,
2021-01-02,17,9,,,,
2021-01-03,17,9,,,,
2021-01-03,14,17,,,,
2021-01-04,21,10,,,,
2021-01-04,27,9,,,,
2021-01-05,23,11,,,,
2021-01-05,17,9,,,,
2021-01-06,25,10,,,,
2021-01-06,21,,,,,
2021-01-07,24,16,,,,
2021-01-08,33,13,,,,
2021-01-09,21,10,,,,
2021-01-10,20,8,,,,
2021-01-11,20,9,,,,
2021-01-12,23,29,,,,
2021-01-13,79,16,,,,
2021-01-14,45,32,,,,
2021-01-15,84,7,,,,
2021-01-16,18,15,,,,
2021-01-17,50,17,,,,
2021-01-18,56,15,,,,
2021-01-19,45,20,,,,
2021-01-20,51,55,,,,
2021-01-21,153,8,,,,
2021-01-22,16,10,,,,
2021-01-23,19,11,,,,
2021-01-24,28,18,,,,
2021-01-25,56,13,,,,
2021-01-26,33,15,,,,
2021-01-27,41,18,,,,
2021-01-28,27,18,,,,
2021-01-29,44,19,,,,
2021-01-30,38,21,,,,
2021-01-31,43,35,,,,
2021-02-01,75,7,,,,
2021-02-02,18,7,,,,
2021-02-03,17,10,,,,
2021-02-04,16,10,,,,
2021-02-05,22,12,,,,
2021-02-06,23,15,,,,
2021-02-07,24,12,,,,
2021-02-08,23,16,,,,
2021-02-09,46,10,,,,
2021-02-10,14,15,,,,
2021-02-11,25,10,,,,
2021-02-12,16,10,,,,
2021-02-13,14,15,,,,
2021-02-14,27,12,,,,
2021-02-15,21,15,,,,
2021-02-16,24,10,,,,
2021-02-17,17,11,,,,
2021-02-18,13,11,,,,
2021-02-19,17,11,,,,
2021-02-20,18,9,,,,
2021-02-21,18,8,,,,
2021-02-22,15,24,,,,
2021-02-23,65,15,,,,
2021-02-24,32,17,,,,
2021-02-25,42,15,,,,
2021-02-26,30,16,,,,
2021-02-27,21,9,,,,
2021-02-28,13,8,,,,
2021-03-01,14,7,,,,
2021-03-02,12,13,,,,
2021-03-03,17,10,,,,
2021-03-04,17,10,,,,
2021-03-05,13,8,,,,
2021-03-06,13,7,,,,
2021-03-07,9,12,,,,
2021-03-08,15,9,,,,
2021-03-09,11,9,,,,
2021-03-10,11,14,,,,
2021-03-11,19,11,,,,
2021-03-12,17,24,,,,
2021-03-13,29,16,,,,
2021-03-14,21,17,,,,
2021-03-15,35,18,,,,
2021-03-16,38,,,,,
2021-03-17,,10,,,,
2021-03-18,12,14,,,,
2021-03-19,21,9,,,,
2021-03-20,12,10,,,,
2021-03-21,23,12,,,,
2021-03-22,32,,,,,
2021-03-24,,13,,,,
2021-03-25,19,12,,,,
2021-03-26,19,14,,,,
2021-03-27,19,14,,,,
2021-03-28,,12,,,,
2021-03-28,30,11,,,,
2021-03-29,14,,,,,
2021-03-29,14,10,,,,
2021-03-30,,11,,,,
2021-03-30,11,,,,,
2021-03-31,10,10,,,,
2021-03-31,,12,,,,
2021-04-01,13,12,,,,
2021-04-01,19,17,,,,
2021-04-02,15,14,,,,
2021-04-02,24,15,,,,
2021-04-03,20,20,,,,
2021-04-03,23,10,,,,
2021-04-04,34,10,,,,
2021-04-04,17,13,,,,
2021-04-05,9,15,,,,
2021-04-05,16,,,,,
2021-04-06,24,17,,,,
2021-04-07,27,13,,,,
2021-04-08,18,15,,,,
2021-04-09,16,12,,,,
2021-04-10,12,15,,,,
2021-04-11,16,12,,,,
2021-04-12,16,14,,,,
2021-04-13,18,15,,,,
2021-04-14,23,17,,,,
2021-04-15,41,13,,,,
2021-04-16,29,12,,,,
2021-04-17,22,15,,,,
2021-04-18,36,10,,,,
2021-04-19,15,11,,,,
2021-04-20,17,9,,,,
2021-04-21,14,10,,,,
2021-04-22,12,11,,,,
2021-04-23,13,9,,,,
2021-04-24,17,12,,,,
2021-04-25,18,12,,,,
2021-04-26,18,13,,,,
2021-04-27,20,15,,,,
2021-04-28,30,17,,,,
2021-04-29,20,17,,,,
2021-04-30,21,13,,,,
2021-05-01,15,7,,,,
2021-05-02,5,3,,,,
2021-05-03,7,7,,,,
2021-05-04,10,10,,,,
