Country Name,Country Code,Indicator Name,2020,2021
Aruba,ABW,Forest area (sq. km),4.2,4.2
Africa Eastern and Southern,AFE,Forest area (sq. km),4479395,4446875.546
Afghanistan,AFG,Forest area (sq. km),12084.4,12084.4
Africa Western and Central,AFW,Forest area (sq. km),1792580.7,1784915.233
Angola,AGO,Forest area (sq. km),666073.8,660523.133
Albania,ALB,Forest area (sq. km),7889,7889
Andorra,AND,Forest area (sq. km),160,160
Arab World,ARB,Forest area (sq. km),367980.7,365652.433
United Arab Emirates,ARE,Forest area (sq. km),3173,3173
Argentina,ARG,Forest area (sq. km),285730,284636.667
Armenia,ARM,Forest area (sq. km),3284.7,3282.6
American Samoa,ASM,Forest area (sq. km),171.3,171
Antigua and Barbuda,ATG,Forest area (sq. km),81.2,80.533
Australia,AUS,Forest area (sq. km),1340051,1340051
Austria,AUT,Forest area (sq. km),38991.5,39027.4
Azerbaijan,AZE,Forest area (sq. km),11317.7,11432.967
Burundi,BDI,Forest area (sq. km),2796.4,2796.4
Belgium,BEL,Forest area (sq. km),6893,6893
Benin,BEN,Forest area (sq. km),31351.5,30851.5
Burkina Faso,BFA,Forest area (sq. km),62164,61664
Bangladesh,BGD,Forest area (sq. km),18834,18834
Bulgaria,BGR,Forest area (sq. km),38930,39060
Bahrain,BHR,Forest area (sq. km),7,7.2
"Bahamas, The",BHS,Forest area (sq. km),5098.6,5098.6
Bosnia and Herzegovina,BIH,Forest area (sq. km),21879.1,21879.1
Belarus,BLR,Forest area (sq. km),87676,87821
Belize,BLZ,Forest area (sq. km),12770.5,12658.9
Bermuda,BMU,Forest area (sq. km),10,10
Bolivia,BOL,Forest area (sq. km),508337.6,506207.733
Brazil,BRA,Forest area (sq. km),4966196,4953913.667
Barbados,BRB,Forest area (sq. km),63,63
Brunei Darussalam,BRN,Forest area (sq. km),3800,3800
Bhutan,BTN,Forest area (sq. km),27250.8,27270.6
Botswana,BWA,Forest area (sq. km),152547,151364
Central African Republic,CAF,Forest area (sq. km),223030,222730
Canada,CAN,Forest area (sq. km),3469281,3468911.133
Central Europe and the Baltics,CEB,Forest area (sq. km),381881.8,382195.367
Switzerland,CHE,Forest area (sq. km),12691.1,12725.5
Channel Islands,CHI,Forest area (sq. km),10.2,10.2
Chile,CHL,Forest area (sq. km),182107,183336.2
China,CHN,Forest area (sq. km),2199781.8,2218577.5
Cote d'Ivoire,CIV,Forest area (sq. km),28367.1,27238.267
Cameroon,CMR,Forest area (sq. km),203404.8,202844.8
"Congo, Dem. Rep.",COD,Forest area (sq. km),1261552.4,1250538.633
"Congo, Rep.",COG,Forest area (sq. km),219460,219310
Colombia,COL,Forest area (sq. km),591419.1,589426.267
Comoros,COM,Forest area (sq. km),329.2,324.8
Cabo Verde,CPV,Forest area (sq. km),457.2,460.2
Costa Rica,CRI,Forest area (sq. km),30348.7,30512.4
Caribbean small states,CSS,Forest area (sq. km),363639.2,363347.032
Cuba,CUB,Forest area (sq. km),32420,32420
Curacao,CUW,Forest area (sq. km),0.7,0.7
Cayman Islands,CYM,Forest area (sq. km),127.2,126.6
Cyprus,CYP,Forest area (sq. km),1725.3,1725.1
Czechia,CZE,Forest area (sq. km),26770.9,26789
Germany,DEU,Forest area (sq. km),114190,114190
Djibouti,DJI,Forest area (sq. km),58,58.733
Dominica,DMA,Forest area (sq. km),478.7,478.7
Denmark,DNK,Forest area (sq. km),6284.4,6293.8
Dominican Republic,DOM,Forest area (sq. km),21441,21521.9
Algeria,DZA,Forest area (sq. km),19490,19583.333
East Asia & Pacific (excluding high income),EAP,Forest area (sq. km),4875109.1,4882779.933
Early-demographic dividend,EAR,Forest area (sq. km),7589317.5,7567416.765
East Asia & Pacific,EAS,Forest area (sq. km),6640831.4,6648558.5
Europe & Central Asia (excluding high income),ECA,Forest area (sq. km),8850901.7,8853655.959
Europe & Central Asia,ECS,Forest area (sq. km),10571470.3,10576123.193
Ecuador,ECU,Forest area (sq. km),124978.3,124335.6
"Egypt, Arab Rep.",EGY,Forest area (sq. km),449.8,449.8
Euro area,EMU,Forest area (sq. km),1036486.8,1038021.867
Eritrea,ERI,Forest area (sq. km),10552.6,10521
Spain,ESP,Forest area (sq. km),185721.7,185764.6
Estonia,EST,Forest area (sq. km),24384,24384
Ethiopia,ETH,Forest area (sq. km),170685,169955
European Union,EUU,Forest area (sq. km),1592313.8,1594136.834
Fragile and conflict affected situations,FCS,Forest area (sq. km),4710928,4685468.513
Finland,FIN,Forest area (sq. km),224090,224090
Fiji,FJI,Forest area (sq. km),11400.2,11467
France,FRA,Forest area (sq. km),172530,173364
Faroe Islands,FRO,Forest area (sq. km),0.8,0.8
"Micronesia, Fed. Sts.",FSM,Forest area (sq. km),644.2,644.5
Gabon,GAB,Forest area (sq. km),235306,235187.2
United Kingdom,GBR,Forest area (sq. km),31900,31986.667
Georgia,GEO,Forest area (sq. km),28224,28224
Ghana,GHA,Forest area (sq. km),79857.1,79929.333
Gibraltar,GIB,Forest area (sq. km),0,0
