Country Name,Country Code,Indicator Name,2021,2022
Aruba,ABW,Urban population,46734,46891
Africa Eastern and Southern,AFE,Urban population,262377061,272666107
Afghanistan,AFG,Urban population,10551772,10946834
Africa Western and Central,AFW,Urban population,231704052,240494466
Angola,AGO,Urban population,23276246,24229338
Albania,ALB,Urban population,1770478,1772138
Andorra,AND,Urban population,69438,70094
Arab World,ARB,Urban population,270693478,276754580
United Arab Emirates,ARE,Urban population,8175678,8265048
Argentina,ARG,Urban population,42248949,42696478
Armenia,ARM,Urban population,1770343,1767628
American Samoa,ASM,Urban population,39257,38604
Antigua and Barbuda,ATG,Urban population,22727,22828
Australia,AUS,Urban population,22182436,22491671
Austria,AUT,Urban population,5283472,5357839
Azerbaijan,AZE,Urban population,5755809,5798042
Burundi,BDI,Urban population,1764450,1858290
Belgium,BEL,Urban population,11368027,11469977
Benin,BEN,Urban population,6364839,6614208
Burkina Faso,BFA,Urban population,6904253,7227715
Bangladesh,BGD,Urban population,65957486,67979820
Bulgaria,BGR,Urban population,5228804,4936942
Bahrain,BHR,Urban population,1311407,1321226
"Bahamas, The",BHS,Urban population,340051,342304
Bosnia and Herzegovina,BIH,Urban population,1616664,1611622
Belarus,BLR,Urban population,7433696,7412540
Belize,BLZ,Urban population,184818,188030
Bermuda,BMU,Urban population,63764,63532
Bolivia,BOL,Urban population,8513008,8658337
Brazil,BRA,Urban population,187143228,188517733
Barbados,BRB,Urban population,87864,88219
Brunei Darussalam,BRN,Urban population,349858,354056
Bhutan,BTN,Urban population,334381,341823
Botswana,BWA,Urban population,1852275,1899705
Central African Republic,CAF,Urban population,2327367,2405727
Canada,CAN,Urban population,31213082,31825973
Central Europe and the Baltics,CEB,Urban population,63575916,62907756
Switzerland,CHE,Urban population,6441016,6502136
Channel Islands,CHI,Urban population,53552,54099
Chile,CHL,Urban population,17118329,17234034
China,CHN,Urban population,882894483,897578430
Cote d'Ivoire,CIV,Urban population,14338150,14829623
Cameroon,CMR,Urban population,15815458,16395044
"Congo, Dem. Rep.",COD,Urban population,44336645,46373413
"Congo, Rep.",COG,Urban population,3984863,4103831
Colombia,COL,Urban population,42109638,42562637
Comoros,COM,Urban population,243308,249894
Cabo Verde,CPV,Urban population,394509,400642
Costa Rica,CRI,Urban population,4196609,4250456
Caribbean small states,CSS,Urban population,3874297,3901641
Cuba,CUB,Urban population,8700275,8678348
Curacao,CUW,Urban population,135666,133534
Cayman Islands,CYM,Urban population,68136,68706
Cyprus,CYP,Urban population,831814,837383
Czechia,CZE,Urban population,7796754,7937601
Germany,DEU,Urban population,64513567,65067459
Djibouti,DJI,Urban population,864734,878521
Dominica,DMA,Urban population,51699,52152
Denmark,DNK,Urban population,5167981,5216337
Dominican Republic,DOM,Urban population,9251516,9415142
Algeria,DZA,Urban population,32807002,33575039
East Asia & Pacific (excluding high income),EAP,Urban population,1239647126,1260994650
Early-demographic dividend,EAR,Urban population,1578426435,1609926158
East Asia & Pacific,EAS,Urban population,1457029753,1478192456
Europe & Central Asia (excluding high income),ECA,Urban population,272594684,270648381
Europe & Central Asia,ECS,Urban population,671185302,671116429
Ecuador,ECU,Urban population,11454802,11623246
"Egypt, Arab Rep.",EGY,Urban population,46831955,47689118
Euro area,EMU,Urban population,266552326,268477343
Eritrea,ERI,Urban population,1519988,1570319
Spain,ESP,Urban population,38433346,38845702
Estonia,EST,Urban population,923866,938914
Ethiopia,ETH,Urban population,26671558,27959125
European Union,EUU,Urban population,336261975,337610159
Fragile and conflict affected situations,FCS,Urban population,440511719,451064400
Finland,FIN,Urban population,4742889,4760527
Fiji,FJI,Urban population,533870,541393
France,FRA,Urban population,55053076,55402736
Faroe Islands,FRO,Urban population,22522,22711
"Micronesia, Fed. Sts.",FSM,Urban population,26097,26505
Gabon,GAB,Urban population,2116964,2167652
United Kingdom,GBR,Urban population,56403965,56522518
Georgia,GEO,Urban population,2220419,2238527
Ghana,GHA,Urban population,19038233,19621881
Gibraltar,GIB,Urban population,32669,32649
Guinea,GIN,Urban population,5042529,5220537
"Gambia, The",GMB,Urban population,1669008,1727830
Guinea-Bissau,GNB,Urban population,919432,948368
Equatorial Guinea,GNQ,Urban population,1202330,1239599
Greece,GRC,Urban population,8459382,8378759
Grenada,GRD,Urban population,45724,46246
Greenland,GRL,Urban population,49575,49707
Guatemala,GTM,Urban population,8938987,9141704
Guam,GUM,Urban population,162033,163342
Guyana,GUY,Urban population,216404,218534
High income,HIC,Urban population,1010757385,1015828480
"Hong Kong SAR, China",HKG,Urban population,7413100,7346100
Honduras,HND,Urban population,6062373,6217985
Heavily indebted poor countries (HIPC),HPC,Urban population,323069791,336136778
Croatia,HRV,Urban population,2245088,2244692
Haiti,HTI,Urban population,6635469,6814295
Hungary,HUN,Urban population,7014911,6996224
IBRD only,IBD,Urban population,2784973112,2823311086
IDA & IBRD total,IBT,Urban population,3474329057,3537666424
IDA total,IDA,Urban population,689355945,714355338
IDA blend,IDB,Urban population,259746916,268328132
Indonesia,IDN,Urban population,156833203,159608946
IDA only,IDX,Urban population,429609029,446027206
Isle of Man,IMN,Urban population,44723,45024
India,IND,Urban population,498179071,508368361
Not classified,INX,Urban population,,
Ireland,IRL,Urban population,3216796,3290772
"Iran, Islamic Rep.",IRN,Urban population,67125144,68013036
Iraq,IRQ,Urban population,30960655,31749763
Iceland,ISL,Urban population,349960,359052
Israel,ISR,Urban population,8684851,8865824
Italy,ITA,Urban population,42189154,42234940
Jamaica,JAM,Urban population,1601946,1611831
Jordan,JOR,Urban population,10214721,10363475
Japan,JPN,Urban population,115459909,115058684
Kazakhstan,KAZ,Urban population,10986561,11378782
Kenya,KEN,Urban population,15102890,15669052
Kyrgyz Republic,KGZ,Urban population,2516047,2612867
Cambodia,KHM,Urban population,4092180,4211076
Kiribati,KIR,Urban population,72601,74878
St. Kitts and Nevis,KNA,Urban population,14713,14769
"Korea, Rep.",KOR,Urban population,42127573,42039227
Kuwait,KWT,Urban population,4250114,4268873
Latin America & Caribbean (excluding high income),LAC,Urban population,479683163,484570535
Lao PDR,LAO,Urban population,2742742,2830480
Lebanon,LBN,Urban population,4982643,4900251
Liberia,LBR,Urban population,2730335,2813868
Libya,LBY,Urban population,5455170,5538569
St. Lucia,LCA,Urban population,34026,34263
Latin America & Caribbean,LCN,Urban population,532977678,538111356
Least developed countries: UN classification,LDC,Urban population,387803426,403058700
Low income,LIC,Urban population,233286830,242942201
Liechtenstein,LIE,Urban population,5649,5717
Sri Lanka,LKA,Urban population,4178622,4220157
Lower middle income,LMC,Urban population,1319929318,1347964987
Low & middle income,LMY,Urban population,3418348229,3482153947
Lesotho,LSO,Urban population,672573,690433
Late-demographic dividend,LTE,Urban population,1506866350,1526796321
Lithuania,LTU,Urban population,1911545,1938682
Luxembourg,LUX,Urban population,586759,600078
Latvia,LVA,Urban population,1289387,1288129
"Macao SAR, China",MAC,Urban population,686607,695168
St. Martin (French part),MAF,Urban population,,
Morocco,MAR,Urban population,23753114,24196351
Monaco,MCO,Urban population,36686,36469
Moldova,MDA,Urban population,1116146,1096117
Madagascar,MDG,Urban population,11336960,11809744
Maldives,MDV,Urban population,214329,217560
Middle East & North Africa,MEA,Urban population,319935581,326009552
Mexico,MEX,Urban population,102651435,103660854
Marshall Islands,MHL,Urban population,32867,32640
Middle income,MIC,Urban population,3185061399,3239211746
North Macedonia,MKD,Urban population,1213985,1216459
Mali,MLI,Urban population,9786489,10265849
Malta,MLT,Urban population,491624,503893
Myanmar,MMR,Urban population,16918421,17213307
Middle East & North Africa (excluding high income),MNA,Urban population,260037321,265243417
Montenegro,MNE,Urban population,419986,420717
Mongolia,MNG,Urban population,2302772,2342494
Northern Mariana Islands,MNP,Urban population,45468,45578
Mozambique,MOZ,Urban population,12069961,12590070
Mauritania,MRT,Urban population,2590523,2695952
Mauritius,MUS,Urban population,516348,515236
Malawi,MWI,Urban population,3519490,3668876
Malaysia,MYS,Urban population,26085557,26544440
North America,NAC,Urban population,306441356,308798139
Namibia,NAM,Urban population,1341107,1385057
New Caledonia,NCL,Urban population,194478,194713
Niger,NER,Urban population,4230083,4427576
Nigeria,NGA,Urban population,112560662,116965442
Nicaragua,NIC,Urban population,4060795,4138184
Netherlands,NLD,Urban population,16230689,16441734
Norway,NOR,Urban population,4506374,4565651
Nepal,NPL,Urban population,6309750,6552761
Nauru,NRU,Urban population,12511,12668
New Zealand,NZL,Urban population,4436133,4452023
OECD members,OED,Urban population,1114552402,1121461327
Oman,OMN,Urban population,3934799,4015701
Other small states,OSS,Urban population,20655834,21074984
Pakistan,PAK,Urban population,86636953,88979079
Panama,PAN,Urban population,2992584,3048137
Peru,PER,Urban population,26466645,26799750
Philippines,PHL,Urban population,54302696,55441746
Palau,PLW,Urban population,14686,14797
Papua New Guinea,PNG,Urban population,1338796,1377571
Poland,POL,Urban population,22676585,22142391
Pre-demographic dividend,PRE,Urban population,435065831,452453175
Puerto Rico,PRI,Urban population,3053620,3015917
"Korea, Dem. People's Rep.",PRK,Urban population,16269323,16401834
Portugal,PRT,Urban population,6926780,7014163
Paraguay,PRY,Urban population,4189606,4259528
West Bank and Gaza,PSE,Urban population,3790664,3898258
Pacific island small states,PSS,Urban population,1022974,1043828
Post-demographic dividend,PST,Urban population,913922034,914233426
French Polynesia,PYF,Urban population,188701,190414
Qatar,QAT,Urban population,2668826,2676741
Romania,ROU,Urban population,10388823,10378525
Russian Federation,RUS,Urban population,108002735,108359438
Rwanda,RWA,Urban population,2364984,2441369
South Asia,SAS,Urban population,672362364,687606395
Saudi Arabia,SAU,Urban population,30380961,30848829
Sudan,SDN,Urban population,16250768,16854089
Senegal,SEN,Urban population,8202086,8499952
Singapore,SGP,Urban population,5453566,5637022
Solomon Islands,SLB,Urban population,177869,185298
Sierra Leone,SLE,Urban population,3652200,3771972
El Salvador,SLV,Urban population,4679934,4737530
San Marino,SMR,Urban population,32942,32897
Somalia,SOM,Urban population,7974917,8327846
Serbia,SRB,Urban population,3871714,3790272
Sub-Saharan Africa (excluding high income),SSA,Urban population,494023571,513090569
South Sudan,SSD,Urban population,2204901,2274958
Sub-Saharan Africa,SSF,Urban population,494081113,513160573
Small states,SST,Urban population,25553105,26020453
Sao Tome and Principe,STP,Urban population,167493,172252
Suriname,SUR,Urban population,405913,409804
Slovak Republic,SVK,Urban population,2931708,2928203
Slovenia,SVN,Urban population,1168445,1177453
Sweden,SWE,Urban population,9190703,9280104
Eswatini,SWZ,Urban population,290545,295322
Sint Maarten (Dutch part),SXM,Urban population,42668,42848
Seychelles,SYC,Urban population,57542,70004
Syrian Arab Republic,SYR,Urban population,11968088,12560283
Turks and Caicos Islands,TCA,Urban population,42332,42982
Chad,TCD,Urban population,4085514,4264761
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population,1223390314,1244605484
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population,307905180,305413989
Togo,TGO,Urban population,3748225,3886437
Thailand,THA,Urban population,37349283,37919842
Tajikistan,TJK,Urban population,2703303,2783595
Turkmenistan,TKM,Urban population,3361056,3440076
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population,520343429,525534824
Timor-Leste,TLS,Urban population,418673,430207
Middle East & North Africa (IDA & IBRD countries),TMN,Urban population,256246657,261345159
Tonga,TON,Urban population,24494,24711
South Asia (IDA & IBRD),TSA,Urban population,672362364,687606395
Sub-Saharan Africa (IDA & IBRD countries),TSS,Urban population,494081113,513160573
Trinidad and Tobago,TTO,Urban population,812644,816659
Tunisia,TUN,Urban population,8570328,8675724
Turkiye,TUR,Urban population,64430760,65453229
Tuvalu,TUV,Urban population,7259,7412
Tanzania,TZA,Urban population,22862550,24025884
Uganda,UGA,Urban population,11717016,12360019
Ukraine,UKR,Urban population,30569541,26569220
Upper middle income,UMC,Urban population,1865132081,1891246759
Uruguay,URY,Urban population,3275607,3275203
United States,USA,Urban population,275164510,276908634
Uzbekistan,UZB,Urban population,17606637,17990170
St. Vincent and the Grenadines,VCT,Urban population,55768,56002
"Venezuela, RB",VEN,Urban population,24907533,25012473
British Virgin Islands,VGB,Urban population,15225,15443
Virgin Islands (U.S.),VIR,Urban population,101678,101340
Viet Nam,VNM,Urban population,37088534,38063117
Vanuatu,VUT,Urban population,81907,84351
World,WLD,Urban population,4454013147,4522994900
Samoa,WSM,Urban population,38813,39175
Kosovo,XKX,Urban population,,
"Yemen, Rep.",YEM,Urban population,12713103,13205029
South Africa,ZAF,Urban population,40295863,40928486
Zambia,ZMB,Urban population,8800295,9160288
Zimbabwe,ZWE,Urban population,5166388,5287038
