time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,16,,0,2,2,1
2021-01-01,6,,0,1,1,1
2021-01-02,22,,0,1,1,1
2021-01-02,16,,0,2,2,1
2021-01-03,33,,0,1,1,1
2021-01-03,22,,0,1,1,1
2021-01-04,27,,0,1,1,1
2021-01-04,33,,0,1,2,1
2021-01-05,15,,0,1,1,1
2021-01-05,27,,,,1,
2021-01-06,11,,0,1,1,1
2021-01-06,,,,,1,
2021-01-07,12,,0,1,1,1
2021-01-08,12,,0,1,1,1
2021-01-09,13,,0,1,1,1
2021-01-10,16,,0,1,,1
2021-01-11,4,,0,3,,1
2021-01-12,5,,0,1,2,1
2021-01-13,5,,0,1,1,1
2021-01-14,8,,0,,,1
2021-01-15,6,,0,1,1,1
2021-01-16,10,,0,1,,1
2021-01-17,5,,0,1,1,1
2021-01-18,6,,0,1,1,1
2021-01-19,9,,0,1,1,1
2021-01-20,19,,0,2,2,1
2021-01-21,16,,0,1,,1
2021-01-22,8,,0,1,1,1
2021-01-23,7,,0,1,1,1
2021-01-24,7,,0,1,1,1
2021-01-25,11,,0,1,1,1
2021-01-26,8,,0,3,2,1
2021-01-27,17,,0,2,1,1
2021-01-28,15,,0,1,1,1
2021-01-29,13,,0,1,,1
2021-01-30,12,,0,1,1,1
2021-01-31,19,,0,1,1,1
2021-02-01,13,,0,2,1,2
2021-02-02,14,,0,4,1,1
2021-02-03,19,,0,2,3,1
2021-02-04,15,,0,1,,1
2021-02-05,5,,0,1,,1
2021-02-06,9,,0,1,,2
2021-02-07,11,,0,8,,2
2021-02-08,19,,0,1,1,3
2021-02-09,12,,0,2,1,2
2021-02-10,11,,0,1,1,3
2021-02-11,9,,0,2,2,2
2021-02-12,21,,0,4,1,3
2021-02-13,41,,0,6,1,1
2021-02-14,35,,0,2,3,1
2021-02-15,28,,0,7,1,1
2021-02-16,13,,0,2,1,1
2021-02-17,13,,0,1,1,1
2021-02-18,22,,0,2,1,1
2021-02-19,14,,0,1,2,2
2021-02-20,28,,0,4,1,3
2021-02-21,32,,0,7,1,2
2021-02-22,29,,0,1,2,2
2021-02-23,21,,0,1,1,2
2021-02-24,32,,0,1,1,2
2021-02-25,19,,0,1,1,2
2021-02-26,10,,0,1,1,1
2021-02-27,8,,0,1,1,2
2021-02-28,10,,0,1,1,2
2021-03-01,14,,0,2,1,2
2021-03-02,15,,0,1,2,2
2021-03-03,5,,0,1,1,4
2021-03-04,11,,0,1,1,2
2021-03-05,33,,0,1,1,2
2021-03-06,20,,0,1,1,1
2021-03-07,15,,0,1,1,1
2021-03-08,20,,0,1,1,2
2021-03-09,6,,0,1,1,2
2021-03-10,9,,0,1,,2
2021-03-11,19,,0,3,1,2
2021-03-12,22,,0,1,1,1
2021-03-13,11,,0,1,1,1
2021-03-14,18,,0,1,1,1
2021-03-15,19,,0,1,1,1
2021-03-16,10,,0,2,1,1
2021-03-17,15,,0,12,1,1
2021-03-18,18,,0,4,3,1
2021-03-19,11,,0,1,1,1
2021-03-20,13,,0,1,1,1
2021-03-21,14,,0,5,1,2
2021-03-22,22,,0,13,1,2
2021-03-23,30,,0,11,3,1
2021-03-24,28,,0,2,2,2
2021-03-25,18,,0,1,1,2
2021-03-26,5,,0,1,1,2
2021-03-27,4,,0,10,1,2
2021-03-28,19,,0,4,8,2
2021-03-29,13,,0,1,5,2
2021-03-30,20,,0,1,1,3
2021-03-31,,,0,6,3,2
2021-03-31,12,,0,1,1,2
2021-04-01,21,,0,4,1,2
2021-04-01,18,,0,9,,2
2021-04-02,21,,0,3,2,2
2021-04-02,36,,0,5,2,2
2021-04-03,13,,0,1,1,2
2021-04-03,33,,0,3,2,2
2021-04-04,11,,0,2,1,1
2021-04-04,32,,0,12,1,2
2021-04-05,10,,0,2,1,2
2021-04-05,31,,,,5,
2021-04-06,23,,0,1,1,2
2021-04-07,30,,0,1,1,2
2021-04-08,15,,0,1,1,1
2021-04-09,4,,0,1,1,1
2021-04-10,8,,0,1,1,1
2021-04-11,4,,0,2,1,1
2021-04-12,8,,0,1,2,1
2021-04-13,13,,0,8,12,1
2021-04-14,26,,0,6,4,1
2021-04-15,19,,0,1,1,2
2021-04-16,7,,0,2,3,1
2021-04-17,5,,0,6,5,2
2021-04-18,14,,0,3,2,2
2021-04-19,10,,0,3,3,2
2021-04-20,17,,0,2,2,2
2021-04-21,9,,0,1,1,2
2021-04-22,4,,0,1,1,2
2021-04-23,3,,0,1,1,2
2021-04-24,11,,0,5,1,2
2021-04-25,14,,0,4,5,2
2021-04-26,35,,0,7,2,2
2021-04-27,52,,0,4,2,2
2021-04-28,50,,0,5,2,2
2021-04-29,48,,0,2,1,2
2021-04-30,23,,0,6,7,2
2021-05-01,18,,0,5,2,1
2021-05-02,15,,0,6,7,1
2021-05-03,16,,0,9,6,1
2021-05-04,21,,0,6,4,1
2021-05-05,25,,0,5,5,1
2021-05-06,17,,0,1,,1
2021-05-07,17,,0,1,1,1
2021-05-08,14,,0,4,1,1
2021-05-09,15,,0,4,2,1
2021-05-10,16,,0,2,1,1
2021-05-11,13,,0,2,1,1
2021-05-12,12,,0,1,1,1
2021-05-13,13,,0,3,2,1
2021-05-14,21,,0,6,2,2
2021-05-15,25,,0,2,1,2
2021-05-16,15,,0,1,1,2
2021-05-17,16,,0,1,,2
2021-05-18,5,,0,1,,1
2021-05-19,3,,0,3,3,1
2021-05-20,11,,0,8,3,2
2021-05-21,22,,0,3,4,2
2021-05-22,17,,0,2,2,2
2021-05-23,10,,0,3,,2
2021-05-24,17,,0,3,1,2
2021-05-25,13,,0,1,1,2
2021-05-26,10,,0,2,3,1
2021-05-27,20,,0,2,1,1
2021-05-28,13,,0,1,1,2
2021-05-29,6,,0,3,1,1
2021-05-30,18,,0,2,1,1
2021-05-31,30,,0,1,1,2
2021-06-01,24,,0,1,1,1
2021-06-02,10,,0,1,,1
2021-06-03,8,,0,3,1,1
