time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,54,,0,8,,2
2021-01-01,31,,0,14,1,2
2021-01-02,31,,0,11,1,2
2021-01-02,39,,0,17,,2
2021-01-03,27,,0,9,,2
2021-01-03,42,,0,8,,2
2021-01-04,29,,0,11,1,2
2021-01-04,44,,0,7,1,2
2021-01-05,36,,0,6,,2
2021-01-05,54,,,,1,
2021-01-06,19,,0,1,,1
2021-01-07,13,,0,2,,1
2021-01-07,,,,,1,
2021-01-08,3,,0,6,,2
2021-01-09,10,,0,11,,2
2021-01-10,20,,0,8,,2
2021-01-11,24,,0,13,,2
2021-01-12,23,,0,9,,2
2021-01-13,24,,0,2,,4
2021-01-14,10,,0,1,,1
2021-01-15,25,,0,5,,1
2021-01-16,31,,0,12,,1
2021-01-17,24,,0,10,,1
2021-01-18,33,,0,9,,1
2021-01-19,23,,0,9,,1
2021-01-20,34,,0,14,1,1
2021-01-21,31,,0,14,,1
2021-01-22,30,,0,23,1,2
2021-01-23,36,,0,10,,1
2021-01-24,11,,0,8,,2
2021-01-25,14,,0,12,,2
2021-01-26,29,,0,6,,2
2021-01-27,15,,0,6,,2
2021-01-28,18,,0,14,,2
2021-01-29,23,,0,19,,3
2021-01-30,25,,0,24,1,3
2021-01-31,34,,0,12,,2
2021-02-01,15,,0,8,,2
2021-02-02,17,,0,14,,3
2021-02-03,28,,0,4,,2
2021-02-04,13,,0,4,,2
2021-02-05,14,,0,20,,3
2021-02-06,23,,0,9,,2
2021-02-07,18,,0,15,,3
2021-02-08,30,,0,32,,5
2021-02-09,35,,0,29,1,4
2021-02-10,22,,0,14,,3
2021-02-11,14,,0,17,,3
2021-02-12,15,,0,26,,4
2021-02-13,30,,0,10,,3
2021-02-14,39,,0,14,,3
2021-02-15,47,,0,10,,3
2021-02-16,38,,0,24,,5
2021-02-17,38,,0,20,,4
2021-02-18,20,,0,29,1,6
2021-02-19,40,,0,25,1,4
2021-02-20,33,,0,34,1,8
2021-02-21,42,,0,20,,4
2021-02-22,15,,0,16,,4
2021-02-23,17,,0,24,,4
2021-02-24,31,,0,8,,1
2021-02-25,14,,0,22,,2
2021-02-26,27,,0,23,1,3
2021-02-27,30,,0,18,,2
2021-02-28,15,,0,23,1,3
2021-03-01,25,,0,27,1,4
2021-03-02,34,,0,23,1,3
2021-03-03,34,,0,24,1,3
2021-03-04,32,,0,12,,2
2021-03-05,18,,0,27,1,4
2021-03-06,37,,0,24,1,4
2021-03-07,26,,0,19,,3
2021-03-08,21,,0,23,1,2
2021-03-09,16,,0,10,,1
2021-03-10,41,,0,8,,1
2021-03-11,18,,0,2,,1
2021-03-12,24,,0,19,,3
2021-03-13,37,,0,32,1,4
2021-03-14,20,,0,28,1,3
2021-03-15,20,,0,22,1,3
2021-03-16,29,,0,15,,3
2021-03-17,36,,0,9,,2
2021-03-18,6,,0,4,,2
2021-03-19,3,,0,20,,3
2021-03-20,14,,0,16,,3
2021-03-21,14,,0,27,,3
2021-03-22,16,,0,21,,3
2021-03-23,16,,0,24,1,3
2021-03-24,28,,0,13,,3
2021-03-25,50,,0,14,,3
2021-03-26,62,,0,30,,4
2021-03-27,15,,0,28,,4
2021-03-28,20,,0,35,,5
2021-03-29,26,,0,39,,7
2021-03-30,54,,0,31,1,5
2021-03-31,38,,0,9,,3
2021-04-01,,,0,28,1,4
2021-04-01,5,,0,6,,3
2021-04-02,13,,0,18,,4
2021-04-02,5,,,,,
2021-04-03,13,,0,32,,5
2021-04-04,25,,0,30,1,5
2021-04-05,29,,0,33,,4
2021-04-06,38,,0,24,1,3
2021-04-07,32,,0,11,,1
2021-04-08,9,,0,19,,2
2021-04-09,15,,0,21,1,3
2021-04-10,21,,0,5,,2
2021-04-11,5,,0,17,,2
2021-04-12,19,,0,10,,2
2021-04-13,11,,0,16,,3
2021-04-14,23,,0,14,,2
2021-04-15,12,,0,20,1,3
2021-04-16,16,,0,23,,3
2021-04-17,18,,0,19,,3
2021-04-18,16,,0,25,1,3
2021-04-19,29,,0,25,1,3
2021-04-20,32,,0,10,1,2
2021-04-21,28,,0,2,,2
2021-04-22,24,,0,5,,2
2021-04-23,32,,0,8,,2
2021-04-24,36,,0,10,,2
2021-04-25,41,,0,12,,3
2021-04-26,57,,0,13,,3
2021-04-27,66,,0,24,1,4
2021-04-28,33,,0,19,1,3
2021-04-29,12,,0,25,1,5
2021-04-30,44,,0,19,1,4
2021-05-01,96,,0,16,,4
2021-05-02,49,,0,25,1,5
2021-05-03,26,,0,14,,3
2021-05-04,36,,0,8,,3
2021-05-05,16,,0,13,,3
2021-05-06,46,,0,21,,4
2021-05-07,58,,0,24,1,4
2021-05-08,48,,0,15,1,4
2021-05-09,42,,0,23,1,4
2021-05-10,33,,0,18,1,3
2021-05-11,17,,0,7,1,3
2021-05-12,32,,0,5,,3
2021-05-13,33,,0,16,,4
2021-05-14,29,,0,38,,6
2021-05-15,82,,0,26,,4
2021-05-16,27,,0,22,1,4
2021-05-17,32,,0,8,,1
2021-05-18,6,,0,8,,1
2021-05-19,4,,0,7,,1
2021-05-20,4,,0,9,,2
2021-05-21,9,,0,14,,2
2021-05-22,19,,0,13,,2
2021-05-23,21,,0,12,,2
2021-05-24,12,,0,14,,2
2021-05-25,24,,0,14,,2
2021-05-26,31,,0,14,1,2
2021-05-27,15,,0,8,1,2
2021-05-28,14,,0,24,,3
2021-05-29,24,,0,22,,3
2021-05-30,26,,0,22,,3
2021-05-31,33,,0,16,,3
2021-06-01,31,,0,13,,3
2021-06-02,25,,0,13,,3
2021-06-03,15,,0,9,1,3
2021-06-04,20,,0,6,,3
2021-06-05,34,,0,11,,3
2021-06-06,22,,0,12,,3
2021-06-07,30,,0,14,,3
2021-06-08,24,,0,7,,3
2021-06-09,22,,0,2,,3
2021-06-10,38,,0,5,1,1
2021-06-11,19,,0,13,,1
2021-06-12,29,,0,17,,2
2021-06-13,24,,0,13,,1
2021-06-14,20,,0,3,,1
2021-06-15,19,,0,12,,1
2021-06-16,19,,0,4,,1
2021-06-17,18,,0,12,,2
2021-06-18,15,,0,7,,1
2021-06-19,34,,0,14,,2
2021-06-20,16,,0,7,,2
2021-06-21,33,,0,7,,2
2021-06-22,30,,0,4,,2
2021-06-23,,,0,17,1,2
2021-06-23,16,,0,3,,2
2021-06-24,43,,0,10,,2
2021-06-24,6,,0,3,,2
2021-06-25,25,,0,10,1,2
2021-06-25,6,,0,7,,2
2021-06-26,24,,0,10,1,2
2021-06-26,10,,0,15,,2
2021-06-27,27,,0,11,,2
2021-06-27,26,,0,17,1,2
2021-06-28,12,,0,11,1,2
2021-06-28,43,,0,10,1,2
2021-06-29,39,,0,12,1,2
2021-06-29,25,,0,10,1,2
2021-06-30,32,,0,6,,2
2021-06-30,24,,0,10,,2
2021-07-01,16,,0,11,,2
2021-07-01,27,,,,1,
2021-07-02,6,,0,7,,2
2021-07-02,,,,,1,
2021-07-03,12,,0,4,,2
2021-07-04,6,,0,11,1,1
2021-07-05,37,,0,12,1,1
2021-07-06,33,,0,10,,1
2021-07-07,22,,0,13,1,1
2021-07-08,33,,0,12,1,2
2021-07-09,28,,0,7,2,1
2021-07-10,31,,0,5,,1
2021-07-11,39,,0,8,,2
2021-07-12,11,,0,11,1,2
2021-07-13,22,,0,8,5,2
2021-07-14,23,,0,5,,2
