time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,,26,0,0,2
2021-01-01,22,,24,0,0,2
2021-01-02,19,,23,0,0,2
2021-01-02,14,,26,0,0,2
2021-01-03,20,,16,0,0,1
2021-01-03,19,,23,0,0,2
2021-01-04,14,,18,1,0,1
2021-01-04,20,,16,0,0,1
2021-01-05,14,,20,0,0,1
2021-01-05,14,,,,,
2021-01-06,15,,24,0,0,1
2021-01-07,14,,24,0,1,1
2021-01-08,7,,22,0,0,1
2021-01-09,9,,22,0,0,1
2021-01-10,17,,28,0,0,1
2021-01-11,20,,21,0,0,1
2021-01-12,16,,18,1,0,1
2021-01-13,16,,24,0,0,1
2021-01-14,15,,19,0,0,2
2021-01-15,9,,18,3,0,2
2021-01-16,18,,21,0,0,2
2021-01-17,23,,20,2,0,2
2021-01-18,15,,13,2,0,2
2021-01-19,24,,23,1,0,2
2021-01-20,17,,18,1,0,2
2021-01-21,17,,16,1,0,2
2021-01-22,16,,14,1,0,2
2021-01-23,16,,19,0,0,2
2021-01-24,12,,22,0,0,1
2021-01-25,17,,22,0,0,1
2021-01-26,12,,16,2,0,2
2021-01-27,9,,22,0,0,1
2021-01-28,11,,26,0,0,1
2021-01-29,12,,24,1,0,1
2021-01-30,15,,24,1,0,1
2021-01-31,23,,29,0,0,1
2021-02-01,19,,29,0,0,2
2021-02-02,15,,24,0,0,1
2021-02-03,13,,26,1,0,1
2021-02-04,15,,26,0,0,1
2021-02-05,18,,25,0,0,2
2021-02-06,22,,26,0,0,2
2021-02-07,33,,24,2,0,2
2021-02-08,22,,23,0,0,2
2021-02-09,16,,26,0,0,2
2021-02-10,29,,25,2,0,2
2021-02-11,46,,22,1,0,1
2021-02-12,35,,22,1,0,1
2021-02-13,22,,24,0,0,1
2021-02-14,22,,24,0,0,1
2021-02-15,11,,26,0,0,0
2021-02-16,11,,17,0,1,0
2021-02-17,15,,23,1,0,1
2021-02-18,18,,25,1,0,0
2021-02-19,21,,23,1,0,0
2021-02-20,19,,18,1,0,0
2021-02-21,30,,26,0,0,0
2021-02-22,23,,26,0,0,0
2021-02-23,18,,27,0,0,0
2021-02-24,12,,27,0,0,0
2021-02-25,16,,21,3,0,0
2021-02-26,18,,23,3,0,0
2021-02-27,28,,19,1,1,0
2021-02-28,17,,17,1,0,0
2021-03-01,25,,18,1,0,0
2021-03-02,19,,24,0,0,0
2021-03-03,22,,25,0,0,0
2021-03-04,20,,18,1,0,0
2021-03-05,9,,23,0,0,0
2021-03-06,20,,21,2,0,0
2021-03-07,30,,18,0,1,
2021-03-08,18,,16,1,1,0
2021-03-09,7,,19,0,1,0
2021-03-10,13,,20,2,1,0
2021-03-11,11,,18,1,1,0
2021-03-12,11,,23,1,1,0
2021-03-13,10,,19,1,0,0
2021-03-14,14,,22,0,0,0
2021-03-15,13,,24,1,1,0
2021-03-16,8,,25,2,1,0
2021-03-17,20,,26,2,1,0
2021-03-18,21,,24,3,0,1
2021-03-19,18,,27,0,0,1
2021-03-20,14,,27,0,0,1
2021-03-21,8,,25,0,0,1
2021-03-22,12,,26,0,0,1
2021-03-23,12,,29,0,0,0
2021-03-24,5,,28,1,0,1
2021-03-25,11,,28,1,0,1
2021-03-26,20,,29,0,0,1
2021-03-27,22,,29,0,0,1
2021-03-28,15,,27,0,0,1
2021-03-29,12,,25,1,0,1
2021-03-30,22,,24,1,0,1
2021-03-31,21,,27,0,0,2
2021-04-01,,,27,1,0,1
2021-04-01,19,,27,0,0,2
2021-04-02,13,,30,0,0,2
2021-04-02,17,,26,2,0,1
2021-04-03,10,,29,0,0,1
2021-04-03,22,,28,0,0,1
2021-04-04,4,,28,0,1,1
2021-04-04,21,,29,0,0,2
2021-04-05,3,,28,0,0,1
2021-04-05,15,,,,,
2021-04-06,2,,27,1,0,1
2021-04-07,17,,26,1,,1
2021-04-08,18,,27,1,0,1
2021-04-09,14,,25,1,0,0
2021-04-10,17,,25,1,0,0
2021-04-11,16,,25,1,0,1
2021-04-12,18,,24,2,0,1
2021-04-13,20,,22,0,0,0
2021-04-14,17,,28,0,0,0
2021-04-15,10,,20,0,1,1
2021-04-16,16,,23,0,0,0
2021-04-17,18,,28,1,0,0
2021-04-18,17,,29,1,0,0
2021-04-19,15,,27,1,0,2
2021-04-20,18,,26,1,0,4
2021-04-21,16,,,0,,
2021-04-22,20,,26,0,0,4
2021-04-23,12,,30,2,0,2
2021-04-24,21,,30,3,0,0
2021-04-25,36,,30,1,0,0
2021-04-26,18,,30,2,0,0
2021-04-27,18,,31,2,0,0
2021-04-28,23,,31,2,0,0
2021-04-29,21,,33,1,0,0
2021-04-30,18,,32,2,0,0
2021-05-01,25,,34,1,0,0
2021-05-02,17,,23,5,11,0
2021-05-03,23,,38,1,49,0
2021-05-04,15,,33,0,,0
2021-05-05,10,,34,0,,0
2021-05-06,25,,30,2,,0
2021-05-07,35,,31,3,,0
2021-05-08,16,,35,2,,0
2021-05-09,23,,38,2,,0
2021-05-10,24,,32,5,,0
2021-05-11,20,,38,2,,0
2021-05-12,18,,33,1,,0
2021-05-13,13,,35,2,,0
2021-05-14,13,,37,2,,0
2021-05-15,20,,38,1,,0
2021-05-16,28,,36,2,,0
2021-05-17,20,,36,1,0,0
2021-05-18,18,,32,2,0,0
2021-05-19,22,,36,1,23,0
2021-05-20,22,,33,1,0,0
2021-05-21,21,,32,1,0,0
2021-05-22,20,,44,1,15,0
2021-05-23,19,,37,1,,0
2021-05-24,22,,31,1,,0
2021-05-25,21,,38,1,,0
2021-05-26,20,,33,0,,0
2021-05-27,17,,34,2,,0
2021-05-28,18,,67,0,,0
2021-05-29,12,,27,4,,0
2021-05-30,30,,27,0,,0
2021-05-31,21,,32,0,,0
2021-06-01,14,,27,0,,0
2021-06-02,15,,28,0,,0
2021-06-03,17,,30,0,,0
2021-06-04,20,,26,1,,0
2021-06-05,18,,29,0,,0
2021-06-06,19,,39,0,0,0
2021-06-07,20,,41,3,0,0
2021-06-08,42,,31,0,0,0
2021-06-09,35,,36,2,2,0
2021-06-10,18,,29,1,0,0
2021-06-11,18,,27,1,0,0
2021-06-12,16,,34,1,1,0
2021-06-13,22,,36,0,0,0
2021-06-14,28,,30,1,0,0
2021-06-15,22,,37,1,1,0
2021-06-16,22,,35,0,0,0
2021-06-17,20,,39,0,0,0
2021-06-18,27,,47,0,1,0
2021-06-19,31,,38,2,0,0
2021-06-20,30,,34,3,0,0
2021-06-21,41,,41,0,1,0
2021-06-22,23,,27,0,0,0
2021-06-23,16,,30,2,0,0
2021-06-24,21,,40,0,2,0
2021-06-25,16,,31,1,0,0
2021-06-26,19,,35,1,0,0
2021-06-27,31,,34,2,1,0
2021-06-28,30,,37,0,0,0
2021-06-29,22,,33,0,0,0
2021-06-30,16,,39,0,1,0
2021-07-01,,,34,2,1,0
2021-07-01,11,,,,,
2021-07-02,30,,37,0,0,0
2021-07-03,22,,33,0,0,0
2021-07-04,16,,39,0,1,0
2021-07-05,11,,29,0,0,0
2021-07-06,16,,33,0,0,0
2021-07-07,12,,33,0,3,0
2021-07-08,6,,32,0,0,0
2021-07-09,12,,26,5,0,0
2021-07-10,17,,26,2,4,0
2021-07-11,20,,34,0,0,0
2021-07-12,9,,34,0,,0
2021-07-13,3,,32,0,0,0
2021-07-14,12,,31,1,0,0
2021-07-15,23,,30,0,0,0
2021-07-16,24,,34,0,0,0
2021-07-17,23,,33,0,,0
2021-07-18,24,,30,0,0,0
2021-07-19,14,,32,2,0,0
2021-07-20,4,,29,4,0,0
2021-07-21,11,,28,2,0,0
2021-07-22,28,,37,1,0,0
2021-07-23,24,,28,0,0,0
2021-07-24,17,,24,0,0,0
2021-07-25,12,,29,2,0,0
2021-07-26,13,,41,0,,0
2021-07-27,23,,34,0,,0
2021-07-28,11,,21,2,0,0
2021-07-29,9,,22,1,0,0
2021-07-30,13,,27,0,,0
2021-07-31,16,,23,0,0,0
2021-08-01,8,,29,0,,0
2021-08-02,10,,27,1,,0
2021-08-03,19,,25,1,0,0
2021-08-04,26,,21,5,0,0
2021-08-05,27,,29,0,,0
2021-08-06,22,,25,0,,0
2021-08-07,8,,26,0,,0
2021-08-08,7,,25,0,,0
2021-08-09,6,,29,3,,0
2021-08-10,10,,29,2,0,0
2021-08-11,13,,30,1,,0
2021-08-12,13,,33,0,,0
2021-08-13,17,,24,3,0,0
2021-08-14,18,9,26,2,,0
2021-08-15,13,11,28,2,0,0
2021-08-16,19,15,25,3,0,0
2021-08-17,25,14,30,1,,0
2021-08-18,19,12,27,1,,0
2021-08-19,15,15,32,1,,0
2021-08-20,20,13,33,0,,0
2021-08-21,23,13,33,0,,0
2021-08-22,21,4,30,1,,0
2021-08-23,9,5,24,0,,0
2021-08-24,11,9,28,0,,0
2021-08-25,18,13,45,1,0,0
2021-08-26,25,14,31,1,0,0
2021-08-27,28,14,25,0,0,0
2021-08-28,24,13,22,3,0,0
2021-08-29,21,9,17,7,0,0
2021-08-30,16,13,29,1,0,0
2021-08-31,20,6,19,0,0,
2021-09-01,7,7,26,1,0,
2021-09-02,15,11,29,0,0,
2021-09-03,23,9,66,0,0,
2021-09-04,18,7,25,0,0,1
2021-09-05,19,11,19,2,0,1
2021-09-06,26,9,30,0,0,1
2021-09-07,17,17,32,4,0,1
2021-09-08,43,19,11,5,0,1
2021-09-09,39,14,11,0,0,0
2021-09-10,17,9,15,0,,0
2021-09-11,9,8,18,0,0,0
2021-09-12,12,7,11,0,0,0
2021-09-13,12,8,13,4,0,0
2021-09-14,13,10,21,0,0,0
2021-09-15,16,9,17,0,0,0
2021-09-16,13,6,14,0,0,0
2021-09-17,13,8,8,0,0,0
2021-09-18,15,9,27,0,0,0
2021-09-19,17,9,26,0,0,0
2021-09-20,20,9,14,3,0,0
2021-09-21,22,16,12,0,0,0
2021-09-22,37,11,10,0,0,0
2021-09-23,18,7,14,0,0,0
2021-09-24,13,9,16,0,0,0
2021-09-25,15,8,9,0,0,0
2021-09-26,16,6,6,0,0,0
2021-09-27,14,6,7,1,0,0
2021-09-28,14,8,14,0,0,0
2021-09-29,14,6,12,2,0,0
2021-09-30,,6,13,0,0,0
2021-09-30,13,6,13,0,0,0
2021-10-01,12,4,13,0,0,0
2021-10-01,12,4,13,0,0,0
2021-10-02,6,7,14,2,0,0
2021-10-02,6,7,14,2,0,0
2021-10-03,11,7,17,0,0,0
2021-10-03,11,7,17,0,0,0
2021-10-04,15,5,16,1,0,0
2021-10-04,15,,,,,0
2021-10-05,8,6,26,0,0,0
2021-10-06,11,9,21,0,0,0
2021-10-07,22,9,17,0,0,0
2021-10-08,18,8,18,1,0,0
2021-10-09,10,6,17,1,0,0
2021-10-10,10,7,22,2,0,0
2021-10-11,15,10,18,1,0,0
2021-10-12,23,8,17,2,1,0
2021-10-13,15,9,21,0,0,0
2021-10-14,18,10,20,0,0,0
2021-10-15,22,9,21,0,0,0
2021-10-16,21,8,22,1,0,0
2021-10-17,20,8,22,0,0,0
2021-10-18,20,9,17,0,,0
2021-10-19,21,8,22,0,0,0
2021-10-20,21,8,23,0,0,0
2021-10-21,17,8,12,0,0,0
2021-10-22,15,4,15,0,0,
2021-10-23,5,3,16,1,0,0
2021-10-24,5,6,15,2,0,
2021-10-25,14,7,20,0,0,
2021-10-26,17,8,24,2,0,0
2021-10-27,18,14,22,1,0,0
2021-10-28,43,12,19,0,0,0
2021-10-29,35,8,21,0,0,
2021-10-30,15,5,27,0,0,0
2021-10-31,11,5,21,0,0,
2021-11-01,13,9,23,1,0,
2021-11-02,20,8,20,1,0,1
2021-11-03,20,10,17,0,0,1
2021-11-04,22,8,26,0,0,1
2021-11-05,17,7,19,0,0,1
2021-11-06,18,7,23,0,0,1
2021-11-07,22,14,22,0,0,1
2021-11-08,45,9,16,2,0,1
2021-11-09,18,9,23,0,0,1
2021-11-10,21,14,20,0,0,1
2021-11-11,41,11,26,0,0,1
2021-11-12,25,9,17,1,0,1
2021-11-13,19,12,15,4,0,1
2021-11-14,33,13,19,1,0,1
2021-11-15,39,10,12,2,0,1
2021-11-16,25,11,18,0,0,1
2021-11-17,21,17,20,0,0,1
2021-11-18,36,17,17,0,0,1
2021-11-19,38,14,15,0,0,1
2021-11-20,35,7,14,1,0,1
2021-11-21,14,8,15,2,0,1
2021-11-22,19,10,19,0,0,1
2021-11-23,26,12,20,0,0,1
2021-11-24,30,7,14,2,0,1
2021-11-25,16,10,18,0,0,1
2021-11-26,18,9,19,0,0,1
2021-11-27,18,7,19,0,0,1
2021-11-28,14,9,15,3,0,1
2021-11-29,19,11,13,3,0,1
2021-11-30,28,11,11,0,0,1
2021-12-01,26,6,19,2,0,1
2021-12-02,12,9,18,0,0,1
2021-12-03,14,4,19,0,0,1
2021-12-04,5,3,18,1,0,0
2021-12-05,4,4,20,0,0,0
2021-12-06,6,7,18,0,0,1
2021-12-07,13,5,24,0,0,1
2021-12-08,11,8,10,1,0,1
2021-12-09,17,10,26,0,0,1
2021-12-10,20,7,17,0,0,0
2021-12-11,14,7,18,0,0,0
