time,pm25,pm10,O3,NO2,SO2,CO
2023-10-14,,,,0,0,
2023-10-15,,,,0,0,
2023-10-16,,,,0,0,
2023-10-17,,,,0,0,
2023-10-18,,1,,0,0,
2023-10-19,1,1,,0,0,
2023-10-20,2,1,,0,0,
2023-10-21,1,1,,0,0,
2023-10-22,,1,,,0,
2023-10-23,1,1,,0,0,
2023-10-24,1,1,,0,0,
2023-10-25,,1,,0,0,
2023-10-26,1,1,,0,0,
2023-10-27,1,1,,,0,
2023-10-28,1,1,,,0,
2023-10-29,1,1,,0,0,
2023-10-30,1,1,,0,0,
2023-10-31,1,1,,0,0,
2023-11-01,1,1,,0,0,
2023-11-02,1,1,,,0,
2023-11-03,1,1,,0,0,
2023-11-04,,,,0,0,
2023-11-05,,,,0,0,
2023-11-06,,,,0,0,
2023-11-07,,,,0,0,
2023-11-08,,,,0,0,
2023-11-09,,,,0,0,
2023-11-14,,,18,0,0,
2023-11-15,,,,0,0,
2023-11-16,,,,0,,
2023-11-17,,,,0,,
2023-12-04,,,22,,,
2023-12-05,,,21,,,
2023-12-06,,,23,,,
2023-12-07,,,24,,,
2023-12-08,,,22,,,
2023-12-09,,,17,,,
2023-12-10,,,16,,,
2023-12-11,,,23,,,
2023-12-12,,,23,,,
2023-12-13,,,19,,,
2023-12-14,,,23,,,
2023-12-15,,,23,,,
2023-12-16,,,22,,,
2023-12-17,,,21,,,
2023-12-18,,,20,,,
2023-12-19,,,18,,,
2023-12-20,,,18,,,
2023-12-21,,,18,,,
2023-12-22,,,26,,,
2023-12-23,,,26,,,
2023-12-24,,,26,,,
2023-12-25,,,29,2,,
2023-12-26,,,29,1,,
2023-12-27,,,24,3,,
2023-12-28,,,23,5,,
2023-12-29,,,24,7,,
2023-12-30,,,22,6,,
2023-12-31,,,22,10,,
