time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,8,51,19,0,7,
2021-01-01,8,50,12,0,7,
2021-01-02,12,57,12,1,8,
2021-01-02,8,51,19,0,7,
2021-01-03,19,54,23,1,8,
2021-01-03,12,57,12,1,8,
2021-01-04,14,61,16,1,8,
2021-01-04,19,54,23,1,8,
2021-01-05,20,54,14,3,7,
2021-01-05,14,,,,,
2021-01-06,8,67,14,0,6,
2021-01-07,17,54,12,0,7,
2021-01-08,5,53,13,0,7,
2021-01-09,10,56,19,0,8,
2021-01-10,9,53,22,1,7,
2021-01-11,8,54,26,0,6,
2021-01-12,6,56,25,1,6,
2021-01-13,9,57,26,2,5,
2021-01-14,10,58,24,0,5,
2021-01-15,11,59,25,1,5,
2021-01-16,11,64,22,0,5,
2021-01-17,17,67,19,0,6,
2021-01-18,28,60,20,0,6,
2021-01-19,14,61,23,1,5,
2021-01-20,12,62,24,1,4,
2021-01-21,10,63,20,1,4,
2021-01-22,14,62,23,0,5,
2021-01-23,13,63,19,1,5,
2021-01-24,16,63,25,0,6,
2021-01-25,15,65,27,0,7,
2021-01-26,13,63,21,0,7,
2021-01-27,11,63,18,0,6,
2021-01-28,12,64,20,0,6,
2021-01-29,13,65,20,0,7,
2021-01-30,15,64,22,0,6,
2021-01-31,14,65,23,0,6,
2021-02-01,12,65,21,0,6,
2021-02-02,14,66,21,0,7,
2021-02-03,13,65,20,0,6,
2021-02-04,14,65,18,1,5,
2021-02-05,13,65,21,0,7,
2021-02-06,14,67,20,1,6,
2021-02-07,18,67,22,0,7,
2021-02-08,17,66,27,1,7,
2021-02-09,14,67,22,1,5,
2021-02-10,19,66,24,0,7,
2021-02-11,15,66,23,0,8,
2021-02-12,14,67,21,1,7,
2021-02-13,16,67,21,0,6,
2021-02-14,16,67,21,0,5,
2021-02-15,17,69,20,2,5,
2021-02-16,24,68,26,1,5,
2021-02-17,18,69,27,1,6,
2021-02-18,19,69,17,2,6,
2021-02-19,22,69,19,1,6,
2021-02-20,19,68,30,1,5,
2021-02-21,18,69,30,1,6,
2021-02-22,16,69,24,1,7,
2021-02-23,19,68,22,0,7,
2021-02-24,18,71,22,1,7,
2021-02-25,21,69,24,0,8,
2021-02-26,17,72,21,1,7,
2021-02-27,24,70,22,1,7,
2021-02-28,25,70,21,1,8,
2021-03-01,24,71,17,0,7,
2021-03-02,23,71,22,1,8,
2021-03-03,25,70,23,0,8,
2021-03-04,20,71,28,1,8,
2021-03-05,24,72,26,1,6,
2021-03-06,24,71,24,0,6,
2021-03-07,21,71,22,1,7,
2021-03-08,25,71,20,1,8,
2021-03-09,24,71,20,1,7,
2021-03-10,25,72,22,0,5,
2021-03-11,32,72,22,0,5,
2021-03-12,34,72,25,0,4,
2021-03-13,28,72,20,1,3,
2021-03-14,37,72,16,1,4,
2021-03-15,33,72,14,2,4,
2021-03-16,31,73,26,1,5,
2021-03-17,31,71,24,0,5,
2021-03-18,30,73,16,2,4,
2021-03-19,37,71,14,0,5,
2021-03-20,30,71,14,1,6,
2021-03-21,32,72,18,0,6,
2021-03-22,28,72,19,1,5,
2021-03-23,33,72,21,2,6,
2021-03-24,37,72,21,1,7,
2021-03-25,30,72,20,1,7,
2021-03-26,36,72,17,2,5,
2021-03-27,39,71,22,2,6,
2021-03-28,32,71,22,1,6,
2021-03-29,36,71,21,2,6,
2021-03-30,37,71,19,1,5,
2021-03-31,36,70,24,1,5,
2021-04-01,,71,28,1,6,
2021-04-01,35,71,25,0,5,
2021-04-02,38,70,26,1,7,
2021-04-02,36,70,26,1,5,
2021-04-03,42,69,23,0,7,
2021-04-03,35,70,29,0,7,
2021-04-04,40,71,20,2,6,
2021-04-04,35,70,25,0,7,
2021-04-05,41,71,23,2,6,
2021-04-05,37,,,,,
2021-04-06,43,70,22,3,6,
2021-04-07,50,69,24,0,7,
2021-04-08,46,71,16,2,8,
2021-04-09,49,,,,,
2021-04-16,,71,22,0,7,
2021-04-17,45,68,25,0,5,
2021-04-18,54,69,24,2,4,
2021-04-19,60,68,27,1,4,
2021-04-20,54,69,25,2,5,
2021-04-21,55,68,26,0,5,
2021-04-22,53,68,24,1,4,
2021-04-23,54,69,21,1,4,
2021-04-24,55,68,15,3,4,
2021-04-25,56,66,17,3,5,
2021-04-26,60,65,14,4,5,
2021-04-27,69,66,15,1,4,
2021-04-28,66,63,20,0,4,
2021-04-29,67,64,19,0,3,
2021-04-30,68,62,23,0,3,
2021-05-01,73,64,22,0,4,
2021-05-02,73,63,12,3,,
2021-05-03,74,,23,2,,
2021-05-04,,,21,4,,
2021-05-05,,,23,3,,
2021-05-06,,,15,3,,
2021-05-07,,,14,2,,
2021-05-08,,,19,6,,
2021-05-09,,,26,3,,
2021-05-10,,,22,5,,
2021-05-11,,,19,4,0,
2021-05-12,,,20,2,0,
2021-05-13,,,19,0,0,
2021-05-14,,,16,3,0,
2021-05-15,,,19,3,0,
2021-05-16,,,16,4,1,
2021-05-17,,,12,1,1,
2021-05-18,,,5,1,1,
2021-05-19,,,7,3,2,
2021-05-20,,,9,4,1,
2021-05-21,,,15,7,0,
2021-05-22,,,22,5,0,
2021-05-23,,,19,3,0,
2021-05-24,,,13,1,0,
2021-05-25,,,19,2,0,
2021-05-26,,,22,1,0,
2021-05-27,,,16,3,0,
2021-05-28,,,15,1,1,
2021-05-29,,,13,2,0,
2021-05-30,,,23,3,0,
2021-05-31,,,17,6,1,
2021-06-01,,,20,3,1,
2021-06-02,,,19,1,0,
2021-06-03,,,18,2,0,
2021-06-04,,,25,4,0,
2021-06-05,,,29,4,0,
2021-06-06,,,28,1,1,
2021-06-07,,,23,2,0,
2021-06-08,,,24,1,,
2021-06-09,,,21,1,0,
2021-06-10,,,22,4,0,
2021-06-11,,,19,5,0,
2021-06-12,,,22,5,0,
2021-06-13,,,23,3,1,
2021-06-14,,6,28,0,0,
2021-06-15,15,6,26,1,0,
2021-06-16,15,7,22,2,0,
2021-06-17,18,11,13,3,,
2021-06-18,24,9,20,1,0,
2021-06-19,19,9,18,3,0,
2021-06-20,19,10,26,2,0,
2021-06-21,19,12,31,2,0,
2021-06-22,15,6,24,0,0,
2021-06-23,10,7,25,0,0,
2021-06-24,15,12,28,2,0,
2021-06-25,21,9,29,1,0,
2021-06-26,16,5,27,1,1,
2021-06-27,14,6,25,0,0,
2021-06-28,13,5,25,0,0,
2021-06-29,14,6,24,1,0,
2021-06-30,14,6,25,1,0,
2021-07-01,,6,25,0,0,
2021-07-01,13,,,,,
2021-07-02,13,5,25,0,0,
2021-07-03,14,6,24,1,0,
2021-07-04,14,6,25,1,0,
2021-07-05,13,8,28,1,0,
2021-07-06,17,13,22,1,,
2021-07-07,26,10,25,1,0,
2021-07-08,20,9,26,1,0,
2021-07-09,17,11,21,0,0,
2021-07-10,18,7,7,0,,
2021-07-11,15,6,18,1,,
2021-07-12,15,10,24,1,0,
2021-07-13,15,9,27,1,0,
2021-07-14,13,9,31,1,0,
2021-07-15,11,9,35,2,0,
2021-07-16,12,18,29,1,,
2021-07-17,16,14,31,1,,
2021-07-18,12,13,34,1,,
2021-07-19,14,18,32,1,,
2021-07-20,20,16,30,2,0,
2021-07-21,16,8,31,1,0,
2021-07-22,12,8,32,2,0,
2021-07-23,10,17,32,0,0,
2021-07-24,16,12,35,0,0,
2021-07-25,16,12,41,1,0,
2021-07-26,17,7,23,0,0,
2021-07-27,10,13,24,0,0,
2021-07-28,13,20,25,0,0,
2021-07-29,15,28,29,0,0,
2021-07-30,17,24,28,0,1,
2021-07-31,18,18,26,1,1,
2021-08-01,17,10,23,0,1,
2021-08-02,13,13,23,1,0,
2021-08-03,15,14,22,1,0,
2021-08-04,14,37,24,1,0,
2021-08-05,25,28,26,1,0,
2021-08-06,21,17,23,1,0,
2021-08-07,15,13,21,2,0,
2021-08-08,13,13,21,1,0,
2021-08-09,13,16,26,1,0,
2021-08-10,14,33,21,1,0,
2021-08-11,21,10,20,1,0,
2021-08-12,11,23,24,0,0,
2021-08-13,16,31,23,0,0,
2021-08-14,22,23,23,1,0,
2021-08-15,16,,,,0,
2021-08-16,,51,29,0,,
2021-08-17,32,45,32,0,1,
2021-08-18,34,22,28,0,0,
2021-08-19,20,34,29,1,0,
2021-08-20,25,49,28,1,0,
2021-08-21,32,24,25,0,1,
2021-08-22,16,4,15,0,2,
2021-08-23,10,7,29,1,1,
2021-08-24,14,23,31,0,0,
2021-08-25,19,9,25,1,0,
2021-08-26,13,3,24,1,1,
2021-08-27,6,2,19,1,1,
2021-08-28,3,2,18,1,1,
2021-08-29,4,3,17,1,1,
2021-08-30,4,11,16,0,1,
2021-08-31,10,10,15,1,2,
2021-09-01,8,12,8,0,2,
2021-09-02,9,10,9,0,2,
2021-09-03,11,5,15,1,3,
2021-09-04,7,3,14,9,3,
2021-09-05,3,2,20,1,2,
2021-09-06,3,12,25,1,1,
2021-09-07,9,26,25,2,1,
2021-09-08,19,38,26,0,1,
2021-09-09,37,35,26,1,2,
2021-09-10,28,20,24,0,2,
2021-09-11,18,4,17,1,2,
2021-09-12,7,4,22,2,3,
2021-09-13,4,5,18,1,2,
2021-09-14,7,16,25,1,1,
2021-09-15,13,27,24,2,1,
2021-09-16,16,21,23,0,1,
2021-09-17,14,47,24,1,2,
2021-09-18,31,36,21,1,1,
2021-09-19,21,30,19,8,1,
2021-09-20,19,15,19,0,2,
2021-09-21,14,10,25,3,2,
2021-09-22,13,20,25,0,2,
2021-09-23,28,27,25,0,3,
2021-09-24,33,38,27,0,3,
2021-09-25,29,27,23,0,3,
2021-09-26,21,18,22,1,2,
2021-09-27,17,56,23,0,2,
2021-09-28,38,15,21,1,2,
2021-09-29,17,21,19,0,3,
2021-09-30,,10,19,0,2,
2021-09-30,19,10,19,0,2,
2021-10-01,18,34,24,0,3,
2021-10-01,18,34,24,0,2,
2021-10-02,32,15,14,3,2,
2021-10-02,32,15,14,3,3,
2021-10-03,16,16,14,1,2,
2021-10-03,16,16,14,1,2,
2021-10-04,22,40,18,0,2,
2021-10-04,22,,,,2,
2021-10-05,49,36,19,0,3,
2021-10-06,40,13,25,0,4,
2021-10-07,36,12,22,0,3,
2021-10-08,16,12,22,0,4,
2021-10-09,16,17,22,0,3,
2021-10-10,16,16,20,0,3,
2021-10-11,16,30,19,0,3,
2021-10-12,25,23,18,2,3,
2021-10-13,27,14,16,1,4,
2021-10-14,15,4,13,2,2,
2021-10-15,2,18,16,1,2,
