time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,23,,13,0,0,
2021-01-01,17,,11,0,0,
2021-01-02,23,,11,0,0,
2021-01-02,23,,11,0,0,
2021-01-03,11,,9,0,0,
2021-01-03,23,,13,0,0,
2021-01-04,13,,8,0,0,
2021-01-04,11,,11,0,0,
2021-01-05,14,,8,1,1,
2021-01-05,13,,9,,,
2021-01-06,15,,13,0,0,
2021-01-07,16,,15,0,0,
2021-01-08,22,,11,0,0,
2021-01-09,19,,15,0,0,
2021-01-10,22,,14,0,,
2021-01-11,23,,10,0,,
2021-01-12,18,,11,0,,
2021-01-13,19,,12,0,,
2021-01-14,22,,14,0,1,
2021-01-15,19,,12,0,0,
2021-01-16,21,,12,0,0,
2021-01-17,6,,11,0,2,
2021-01-18,18,,8,0,0,
2021-01-19,13,,11,0,0,
2021-01-20,23,,9,0,2,
2021-01-21,20,,11,0,0,
2021-01-22,16,,8,0,,
2021-01-23,16,,8,0,0,
2021-01-24,17,,12,0,0,
2021-01-25,19,,12,0,0,
2021-01-26,19,,10,0,3,
2021-01-27,13,,11,1,0,
2021-01-28,16,,11,2,0,
2021-01-29,18,,12,0,0,
2021-01-30,17,,13,2,0,
2021-01-31,14,,15,1,0,
2021-02-01,18,,15,0,1,
2021-02-02,24,,14,2,1,
2021-02-03,16,,14,0,0,
2021-02-04,17,,15,1,0,
2021-02-05,26,,14,0,4,
2021-02-06,25,,13,0,,
2021-02-07,33,,12,0,0,
2021-02-08,20,,9,2,,
2021-02-09,39,,11,1,0,
2021-02-10,44,,12,1,0,
2021-02-11,43,,10,0,0,
2021-02-12,19,,10,0,0,
2021-02-13,17,,11,0,0,
2021-02-14,7,,11,0,0,
2021-02-15,18,,13,1,0,
2021-02-16,19,,10,3,0,
2021-02-17,14,,13,5,0,
2021-02-18,18,,11,3,0,
2021-02-19,17,,12,0,0,
2021-02-20,35,,11,2,0,
2021-02-21,38,,13,0,0,
2021-02-22,17,,14,0,,
2021-02-23,27,,14,0,,
2021-02-24,19,,13,0,0,
2021-02-25,30,,12,0,0,
2021-02-26,17,,12,0,0,
2021-02-27,18,,8,0,0,
2021-02-28,16,,9,3,0,
2021-03-01,19,,11,2,0,
2021-03-02,21,,15,0,1,
2021-03-03,46,,14,1,0,
2021-03-04,24,,8,1,0,
2021-03-05,16,,13,2,0,
2021-03-06,30,,14,0,0,
2021-03-07,22,,15,0,0,
2021-03-08,33,,11,0,0,
2021-03-09,7,,11,0,0,
2021-03-10,9,,11,1,0,
2021-03-11,11,,10,1,0,
2021-03-12,16,,9,1,0,
2021-03-13,18,,9,0,0,
2021-03-14,22,,10,0,0,
2021-03-15,12,,7,0,0,
2021-03-16,21,,13,2,0,
2021-03-17,18,,13,0,0,
2021-03-18,18,,13,0,0,
2021-03-19,24,,13,0,0,
2021-03-20,14,,13,0,,
2021-03-21,21,,10,2,0,
2021-03-22,23,,15,0,0,
2021-03-23,17,,11,3,0,
2021-03-24,12,,12,1,0,
2021-03-25,19,,12,1,0,
2021-03-26,21,,13,0,1,
2021-03-27,35,,15,1,4,
2021-03-28,39,,11,1,2,
