time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,5,,14,,,
2021-01-01,6,,18,,,
2021-01-02,13,,20,,,
2021-01-02,5,,14,,,
2021-01-03,14,,21,,,
2021-01-03,13,,20,,,
2021-01-04,12,,22,,,
2021-01-04,14,,21,,,
2021-01-05,13,,22,,,
2021-01-05,12,,,,,
2021-01-06,25,,27,,,
2021-01-07,17,,15,,,
2021-01-08,10,,29,,,
2021-01-09,12,,30,,,
2021-01-10,38,,23,,,
2021-01-11,13,,23,,,
2021-01-12,15,,24,,,
2021-01-13,11,,27,,,
2021-01-14,9,,26,,,
2021-01-15,12,,22,,,
2021-01-16,11,,24,,,
2021-01-17,23,,26,,,
2021-01-18,24,,22,,,
2021-01-19,11,,22,,,
2021-01-20,10,,21,,,
2021-01-21,7,,17,,,
2021-01-22,15,,29,,,
2021-01-23,25,,,,,
2021-01-24,,,23,,,
2021-01-25,24,,22,,,
2021-01-26,22,,23,,,
2021-01-27,11,,26,,,
2021-01-28,24,,24,,,
2021-01-29,15,,23,,,
2021-01-30,8,,27,,,
2021-01-31,22,,23,,,
2021-02-01,19,,28,,,
2021-02-02,10,,23,,,
2021-02-03,11,,27,,,
2021-02-04,35,,29,,,
2021-02-05,47,,30,,,
2021-02-06,56,,37,,,
2021-02-07,51,,32,,,
2021-02-08,54,,37,,,
2021-02-09,44,,28,,,
2021-02-10,24,,24,,,
2021-02-11,9,,22,,,
2021-02-12,25,,20,,,
2021-02-13,16,,23,,,
2021-02-14,22,,27,,,
2021-02-15,26,,23,,,
2021-02-16,7,,28,,,
2021-02-17,23,,27,,,
2021-02-18,26,,22,,,
2021-02-19,22,,26,,,
2021-02-20,30,,24,,,
2021-02-21,18,,22,,,
2021-02-22,14,,21,,,
2021-02-23,16,,24,,,
2021-02-24,19,,22,,,
2021-02-25,21,,19,,,
2021-02-26,13,,16,,,
2021-02-27,23,,22,,,
2021-02-28,15,,17,,,
2021-03-01,27,,17,,,
2021-03-02,24,,21,,,
2021-03-03,,,28,,,
2021-03-04,8,,23,,,
2021-03-05,35,,14,,,
2021-03-06,51,,24,,,
2021-03-07,8,,28,,,
2021-03-08,8,,27,,,
2021-03-09,6,,26,,,
2021-03-10,20,,17,,,
2021-03-11,37,,22,,,
2021-03-12,12,,16,,,
2021-03-13,49,,17,,,
2021-03-14,16,,23,,,
2021-03-15,11,,22,,,
2021-03-16,13,,24,,,
2021-03-17,11,,26,,,
2021-03-18,12,,27,,,
2021-03-19,16,,24,,,
2021-03-20,17,,20,,,
2021-03-21,36,,17,,,
2021-03-22,33,,17,,,
2021-03-23,59,,25,,,
2021-03-24,23,,24,,,
2021-03-25,16,,23,,,
2021-03-26,20,,24,,,
2021-03-27,24,,27,,,
2021-03-28,13,,25,,,
2021-03-29,15,,24,,,
2021-03-30,16,,26,,,
2021-03-31,12,,26,,,
2021-04-01,,,27,,,
2021-04-01,16,,28,,,
2021-04-02,25,,25,,,
2021-04-02,17,,27,,,
2021-04-03,11,,28,,,
2021-04-03,22,,24,,,
2021-04-04,9,,24,,,
2021-04-04,19,,24,,,
2021-04-05,15,,28,,,
2021-04-05,24,,,,,
2021-04-06,13,,26,,,
2021-04-07,16,,20,,,
2021-04-08,17,,28,,,
2021-04-09,46,,22,,,
2021-04-10,24,,16,,,
2021-04-11,57,,18,,,
2021-04-12,53,,23,,,
2021-04-13,39,,20,,,
2021-04-14,9,,24,,,
2021-04-15,12,,26,,,
2021-04-16,9,,25,,,
2021-04-17,11,,28,,,
2021-04-18,11,,26,,,
2021-04-19,22,,24,,,
2021-04-20,9,,27,,,
2021-04-21,12,,28,,,
2021-04-22,17,,26,,,
2021-04-23,17,,28,,,
2021-04-24,23,,28,,,
2021-04-25,12,,28,,,
2021-04-26,11,,31,,,
2021-04-27,6,,29,,,
2021-04-28,16,,29,,,
2021-04-29,16,,32,,,
2021-04-30,9,,31,,,
2021-05-01,22,,33,,,
2021-05-02,5,,33,,,
2021-05-03,9,,33,,,
2021-05-04,19,,32,,,
2021-05-05,20,,30,,,
2021-05-06,25,,32,,,
2021-05-07,17,,32,,,
2021-05-08,20,,32,,,
2021-05-09,18,,30,,,
2021-05-10,24,,29,,,
2021-05-11,12,,31,,,
2021-05-12,24,,30,,,
2021-05-13,14,,28,,,
2021-05-14,12,,27,,,
2021-05-15,13,,31,,,
2021-05-16,17,,32,,,
2021-05-17,18,,32,,,
2021-05-18,15,,33,,,
2021-05-19,22,,41,,,
2021-05-20,42,,41,,,
2021-05-21,30,,34,,,
2021-05-22,40,,31,,,
2021-05-23,20,,32,,,
2021-05-24,15,,34,,,
2021-05-25,18,,35,,,
2021-05-26,25,,34,,,
2021-05-27,38,,32,,,
2021-05-28,10,,33,,,
2021-05-29,11,,32,,,
2021-05-30,30,,32,,,
2021-05-31,10,,35,,,
2021-06-01,10,,32,,,
2021-06-02,10,,32,,,
2021-06-03,12,,32,,,
2021-06-04,26,,33,,,
2021-06-05,21,,48,,,
2021-06-06,34,,37,,,
2021-06-07,41,,34,,,
2021-06-08,7,,36,,,
2021-06-09,10,,35,,,
2021-06-10,15,,32,,,
2021-06-11,17,,35,,,
2021-06-12,17,,31,,,
2021-06-13,33,,34,,,
2021-06-14,13,,34,,,
2021-06-15,14,,37,,,
2021-06-16,23,,41,,,
2021-06-17,26,,43,,,
2021-06-18,25,,45,,,
2021-06-19,32,,33,,,
2021-06-20,29,,28,,,
2021-06-21,12,,24,,,
2021-06-22,9,,25,,,
2021-06-23,20,,24,,,
2021-06-24,16,,32,,,
2021-06-25,7,,41,,,
2021-06-26,22,,30,,,
2021-06-27,23,,33,,,
2021-06-28,9,,34,,,
2021-06-29,9,,35,,,
2021-06-30,26,,38,,,
2021-07-01,,,33,,,
2021-07-01,35,,,,,
2021-07-02,9,,34,,,
2021-07-03,9,,35,,,
2021-07-04,26,,38,,,
2021-07-05,35,,36,,,
2021-07-06,26,,34,,,
2021-07-07,26,,39,,,
2021-07-08,28,,39,,,
2021-07-09,16,,34,,,
2021-07-10,17,,38,,,
2021-07-11,36,,34,,,
2021-07-12,29,,27,,,
2021-07-13,12,,23,,,
2021-07-14,9,,34,,,
2021-07-15,22,,22,,,
2021-07-16,11,,30,,,
2021-07-17,5,,21,,,
2021-07-18,15,,33,,,
2021-07-19,20,,35,,,
2021-07-20,37,,30,,,
2021-07-21,7,,32,,,
2021-07-22,8,,33,,,
2021-07-23,13,,42,,,
2021-07-24,22,,46,,,
2021-07-25,33,,29,,,
2021-07-26,26,,32,,,
2021-07-27,11,,34,,,
2021-07-28,24,,30,,,
2021-07-29,21,,25,,,
2021-07-30,19,,28,,,
2021-07-31,12,,30,,,
2021-08-01,18,,30,,,
2021-08-02,23,,27,,,
2021-08-03,20,,26,,,
2021-08-04,21,,23,,,
2021-08-05,10,,28,,,
2021-08-06,9,,32,,,
2021-08-07,11,,31,,,
2021-08-08,9,,32,,,
2021-08-09,13,,30,,,
2021-08-10,5,,19,,,
2021-08-11,5,,31,,,
2021-08-12,8,,33,,,
2021-08-13,19,,39,,,
2021-08-14,22,,44,,,
2021-08-15,27,,49,,,
2021-08-16,32,,48,,,
2021-08-17,32,,50,,,
2021-08-18,22,,55,,,
2021-08-19,27,,47,,,
2021-08-20,38,,52,,,
2021-08-21,36,,32,,,
2021-08-22,31,,31,,,
2021-08-23,20,,34,,,
2021-08-24,17,,45,,,
2021-08-25,33,,35,,,
2021-08-26,25,,30,,,
2021-08-27,7,,29,,,
2021-08-28,17,,32,,,
2021-08-29,16,,33,,,
2021-08-30,16,,43,,,
2021-08-31,20,,46,,,
2021-09-01,32,,45,,,
2021-09-02,19,,25,,,
2021-09-03,34,,42,,,
2021-09-04,27,,45,,,
2021-09-05,28,,48,,,
2021-09-06,41,,35,,,
2021-09-07,33,,23,,,
2021-09-08,27,,26,,,
2021-09-09,18,,25,,,
2021-09-10,9,,29,,,
2021-09-11,21,,27,,,
2021-09-12,20,,30,,,
2021-09-13,24,,16,,,
2021-09-14,22,,32,,,
2021-09-15,15,,28,,,
2021-09-16,14,,30,,,
2021-09-17,17,,32,,,
2021-09-18,26,,28,,,
2021-09-19,17,,29,,,
2021-09-20,13,,33,,,
2021-09-21,29,,17,,,
2021-09-22,7,,40,,,
2021-09-23,7,,45,,,
2021-09-24,21,,35,,,
2021-09-25,40,,31,,,
2021-09-26,22,,27,,,
2021-09-27,30,,23,,,
2021-09-28,13,,19,,,
2021-09-29,12,,27,,,
2021-09-30,,,18,,,
2021-09-30,12,,18,,,
2021-10-01,10,,17,,,
2021-10-01,10,,17,,,
2021-10-02,11,,17,,,
2021-10-02,11,,17,,,
2021-10-03,18,,16,,,
2021-10-03,18,,16,,,
2021-10-04,18,,34,,,
2021-10-04,18,,,,,
2021-10-05,26,,34,,,
2021-10-06,48,,15,,,
2021-10-07,7,,15,,,
2021-10-08,5,,15,,,
2021-10-09,10,,18,,,
2021-10-10,17,,20,,,
2021-10-11,20,,21,,,
2021-10-12,32,,28,,,
2021-10-13,24,,28,,,
2021-10-14,11,,33,,,
2021-10-15,22,,21,,,
2021-10-16,13,,9,,,
2021-10-17,23,,17,,,
2021-10-18,48,,24,,,
2021-10-19,102,,26,,,
2021-10-20,53,,19,,,
2021-10-21,16,,17,,,
2021-10-22,20,,20,,,
2021-10-23,21,,36,,,
2021-10-24,26,,33,,,
2021-10-25,54,,30,,,
2021-10-26,61,,24,,,
2021-10-27,63,,20,,,
2021-10-28,16,,27,,,
2021-10-29,32,,20,,,
2021-10-30,15,,16,,,
2021-10-31,14,,19,,,
2021-11-01,21,,21,,,
2021-11-02,48,,20,,,
2021-11-03,32,,26,,,
2021-11-04,23,,37,,,
2021-11-05,39,,41,,,
2021-11-06,43,,30,,,
2021-11-07,51,,33,,,
2021-11-08,39,,34,,,
2021-11-09,48,,27,,,
2021-11-10,50,,34,,,
2021-11-11,32,,28,,,
2021-11-12,19,,27,,,
2021-11-13,18,,23,,,
2021-11-14,8,,22,,,
2021-11-15,19,,23,,,
2021-11-16,20,,23,,,
2021-11-17,21,,26,,,
2021-11-18,26,,28,,,
2021-11-19,16,,21,,,
2021-11-20,41,,16,,,
2021-11-21,50,,15,,,
2021-11-22,46,,26,,,
2021-11-23,30,,33,,,
2021-11-24,13,,32,,,
2021-11-25,20,,32,,,
2021-11-26,20,,20,,,
2021-11-27,14,,18,,,
2021-11-28,20,,35,,,
2021-11-29,38,,30,,,
2021-11-30,31,,24,,,
2021-12-01,14,,24,,,
2021-12-02,11,,17,,,
2021-12-03,7,,14,,,
2021-12-04,7,,16,,,
2021-12-05,17,,29,,,
2021-12-06,20,,17,,,
2021-12-07,7,,28,,,
2021-12-08,8,,32,,,
2021-12-09,26,,21,,,
2021-12-10,13,,22,,,
2021-12-11,22,,36,,,
2021-12-12,31,,26,,,
2021-12-13,25,,15,,,
2021-12-14,6,,32,,,
2021-12-15,38,,24,,,
2021-12-16,8,,24,,,
2021-12-17,19,,33,,,
2021-12-18,43,,20,,,
2021-12-19,30,,14,,,
2021-12-20,9,,26,,,
2021-12-21,12,,28,,,
2021-12-22,42,,22,,,
2021-12-23,8,,21,,,
2021-12-24,5,,16,,,
2021-12-25,5,,29,,,
2021-12-26,15,,22,,,
2021-12-27,10,,19,,,
2021-12-28,29,,19,,,
2021-12-29,6,,21,,,
2021-12-30,,,15,,,
2021-12-30,9,,12,,,
2021-12-31,14,,18,,,
2021-12-31,5,,15,,,
2022-01-01,39,,16,,,
2022-01-01,14,,18,,,
2022-01-02,22,,16,,,
2022-01-02,39,,16,,,
2022-01-03,12,,19,,,
2022-01-03,22,,,,,
2022-01-04,15,,21,,,
2022-01-05,15,,22,,,
2022-01-06,31,,19,,,
2022-01-07,30,,19,,,
2022-01-08,29,,20,,,
2022-01-09,28,,25,,,
2022-01-10,14,,25,,,
2022-01-11,13,,21,,,
2022-01-12,11,,31,,,
2022-01-13,13,,22,,,
2022-01-14,14,,24,,,
2022-01-15,8,,16,,,
2022-01-16,,,18,,,
2022-01-17,5,,34,,,
2022-01-18,20,,36,,,
2022-01-19,34,,28,,,
2022-01-20,41,,19,,,
2022-01-21,5,,16,,,
2022-01-22,5,,19,,,
2022-01-23,14,,19,,,
2022-01-24,12,,14,,,
2022-01-25,5,,22,,,
2022-01-26,22,,26,,,
2022-01-27,13,,25,,,
2022-01-28,20,,23,,,
2022-01-29,10,,25,,,
2022-01-30,12,,21,,,
2022-01-31,5,,19,,,
2022-02-01,23,,21,,,
2022-02-02,16,,21,,,
2022-02-03,21,,19,,,
2022-02-04,9,,28,,,
2022-02-05,31,,26,,,
2022-02-06,44,,28,,,
2022-02-07,44,,23,,,
2022-02-08,40,,25,,,
2022-02-09,13,,26,,,
2022-02-10,11,,24,,,
2022-02-11,10,,16,,,
2022-02-12,10,,17,,,
2022-02-13,15,,19,,,
2022-02-14,8,,20,,,
2022-02-15,5,,19,,,
2022-02-16,16,,22,,,
2022-02-17,37,,23,,,
2022-02-18,5,,23,,,
2022-02-19,8,,24,,,
2022-02-20,43,,26,,,
2022-02-21,55,,24,,,
2022-02-22,5,,21,,,
2022-02-23,25,,14,,,
2022-02-24,35,,24,,,
2022-02-25,7,,26,,,
2022-02-26,5,,21,,,
2022-02-27,10,,22,,,
2022-02-28,9,,21,,,
2022-03-01,23,,25,,,
2022-03-02,10,,26,,,
2022-03-03,31,,28,,,
2022-03-04,5,,26,,,
2022-03-05,7,,23,,,
2022-03-06,5,,23,,,
2022-03-07,17,,27,,,
2022-03-08,5,,27,,,
2022-03-09,13,,27,,,
2022-03-10,9,,22,,,
2022-03-11,53,,29,,,
2022-03-12,26,,26,,,
2022-03-13,13,,25,,,
2022-03-14,19,,24,,,
2022-03-15,14,,26,,,
2022-03-16,29,,26,,,
2022-03-17,39,,26,,,
2022-03-18,10,,24,,,
2022-03-19,16,,24,,,
2022-03-20,10,,23,,,
2022-03-21,28,,28,,,
2022-03-22,11,,27,,,
2022-03-23,16,,28,,,
2022-03-24,8,,26,,,
2022-03-25,22,,19,,,
2022-03-26,32,,20,,,
2022-03-27,10,,22,,,
2022-03-28,11,,21,,,
2022-03-29,15,,19,,,
2022-03-30,20,,24,,,
2022-03-31,,,28,,,
2022-03-31,19,,15,,,
2022-04-01,13,,24,,,
2022-04-01,36,,24,,,
2022-04-02,44,,23,,,
2022-04-02,32,,27,,,
2022-04-03,24,,25,,,
2022-04-03,9,,,,,
2022-04-04,13,,27,,,
2022-04-05,14,,28,,,
2022-04-06,15,,30,,,
2022-04-07,20,,27,,,
2022-04-08,24,,24,,,
2022-04-09,31,,24,,,
2022-04-10,30,,28,,,
2022-04-11,26,,27,,,
2022-04-12,17,,24,,,
2022-04-13,20,,28,,,
2022-04-14,20,,28,,,
2022-04-15,18,,28,,,
2022-04-16,14,,26,,,
2022-04-17,23,,26,,,
2022-04-18,15,,27,,,
2022-04-19,17,,28,,,
2022-04-20,27,,29,,,
2022-04-21,8,,29,,,
2022-04-22,13,,26,,,
2022-04-23,17,,28,,,
2022-04-24,19,,28,,,
2022-04-25,35,,29,,,
2022-04-26,11,,29,,,
2022-04-27,25,,30,,,
2022-04-28,28,,32,,,
2022-04-29,32,,32,,,
2022-04-30,45,,29,,,
2022-05-01,29,,26,,,
2022-05-02,7,,25,,,
2022-05-03,23,,27,,,
2022-05-04,16,,29,,,
2022-05-05,30,,32,,,
2022-05-06,50,,27,,,
2022-05-07,28,,28,,,
2022-05-08,34,,24,,,
2022-05-09,27,,27,,,
2022-05-10,26,,26,,,
2022-05-11,18,,26,,,
2022-05-12,13,,27,,,
2022-05-13,12,,30,,,
2022-05-14,10,,39,,,
2022-05-15,44,,30,,,
2022-05-16,28,,28,,,
2022-05-17,5,,30,,,
2022-05-18,11,,35,,,
2022-05-19,23,,29,,,
2022-05-20,23,,28,,,
2022-05-21,19,,24,,,
2022-05-22,14,,30,,,
2022-05-23,10,,32,,,
2022-05-24,5,,37,,,
2022-05-25,16,,35,,,
2022-05-26,27,,28,,,
