time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,61,,,,,
2021-01-02,60,,,,,
2021-01-03,56,,,,,
2021-01-04,56,,,,,
2021-01-05,56,,,,,
2021-04-02,109,,,,,
2021-04-03,115,,,,,
2021-04-04,97,,,,,
2021-04-05,121,,,,,
2021-04-06,105,,,,,
2021-04-07,84,,,,,
2021-04-08,77,,,,,
2021-04-09,80,,,,,
2021-04-10,92,,,,,
2021-04-11,89,,,,,
2021-04-12,100,,,,,
2021-04-13,86,,,,,
2021-04-14,96,,,,,
2021-04-15,98,,,,,
2021-04-16,106,,,,,
2021-04-17,110,,,,,
2021-04-18,107,,,,,
2021-04-19,117,,,,,
2021-04-20,132,,,,,
2021-04-21,158,,,,,
2021-04-22,157,,,,,
2021-04-23,156,,,,,
2021-04-24,159,,,,,
2021-04-25,156,,,,,
2021-04-26,149,,,,,
2021-04-27,132,,,,,
2021-04-28,134,,,,,
2021-04-29,110,,,,,
2021-04-30,107,,,,,
2021-05-01,119,,,,,
2021-05-02,116,,,,,
2021-05-03,125,,,,,
2021-05-04,125,,,,,
2021-05-05,122,,,,,
2021-05-06,91,,,,,
2021-05-07,96,,,,,
2021-05-08,111,,,,,
2021-05-09,101,,,,,
2021-05-10,97,,,,,
2021-05-11,119,,,,,
2021-05-12,106,,,,,
2021-05-13,95,,,,,
2021-05-14,86,,,,,
2021-05-15,100,,,,,
2021-05-16,89,,,,,
2021-05-17,105,,,,,
2021-05-18,86,,,,,
2021-05-19,93,,,,,
2021-05-20,108,,,,,
2021-05-21,119,,,,,
2021-05-22,150,,,,,
2021-05-23,149,,,,,
2021-05-24,124,,,,,
2021-05-25,123,,,,,
2021-05-26,85,,,,,
2021-05-27,86,,,,,
2021-05-28,88,,,,,
2021-05-29,104,,,,,
2021-05-30,110,,,,,
2021-05-31,105,,,,,
2021-06-01,99,,,,,
2021-06-02,87,,,,,
2021-06-03,87,,,,,
2021-06-04,88,,,,,
2021-06-05,87,,,,,
2021-06-06,91,,,,,
2021-06-07,87,,,,,
2021-06-08,85,,,,,
2021-06-09,79,,,,,
2021-06-10,70,,,,,
2021-06-11,87,,,,,
2021-06-12,71,,,,,
2021-06-13,80,,,,,
2021-06-14,93,,,,,
2021-06-15,107,,,,,
2021-06-17,88,,,,,
2021-06-18,90,,,,,
2021-06-19,72,,,,,
2021-06-20,159,,,,,
2021-06-20,78,,,,,
2021-06-21,151,,,,,
2021-06-21,81,,,,,
2021-06-22,159,,,,,
2021-06-22,102,,,,,
2021-06-23,146,,,,,
2021-06-23,81,,,,,
2021-06-24,120,,,,,
2021-06-24,85,,,,,
2021-06-25,106,,,,,
2021-06-25,104,,,,,
2021-06-26,100,,,,,
2021-06-26,134,,,,,
2021-06-27,97,,,,,
