time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,43,,,,,
2021-01-01,42,,,,,
2021-01-02,39,,,,,
2021-01-02,43,,,,,
2021-01-03,31,,,,,
2021-01-03,39,,,,,
2021-01-04,38,,,,,
2021-01-04,31,,,,,
2021-01-05,40,,,,,
2021-01-05,38,,,,,
2021-01-06,36,,,,,
2021-01-07,34,,,,,
2021-01-08,48,,,,,
2021-01-09,47,,,,,
2021-01-10,45,,,,,
2021-01-11,41,,,,,
2021-01-12,42,,,,,
2021-01-13,41,,,,,
2021-01-14,40,,,,,
2021-01-15,40,,,,,
2021-01-16,49,,,,,
2021-01-17,58,,,,,
2021-01-18,48,,,,,
2021-01-19,38,,,,,
2021-01-20,32,,,,,
2021-01-21,31,,,,,
2021-01-22,36,,,,,
2021-01-23,38,,,,,
2021-01-24,38,,,,,
2021-01-25,32,,,,,
2021-01-26,31,,,,,
2021-01-27,32,,,,,
2021-01-28,38,,,,,
2021-01-29,37,,,,,
2021-01-30,46,,,,,
2021-01-31,54,,,,,
2021-02-01,51,,,,,
2021-02-02,51,,,,,
2021-02-03,46,,,,,
2021-02-04,57,,,,,
2021-02-05,56,,,,,
2021-02-06,48,,,,,
2021-02-07,42,,,,,
2021-02-08,31,,,,,
2021-02-09,35,,,,,
2021-02-10,51,,,,,
2021-02-11,47,,,,,
2021-02-12,44,,,,,
2021-02-13,47,,,,,
2021-02-14,47,,,,,
2021-02-15,40,,,,,
2021-02-16,42,,,,,
2021-02-17,47,,,,,
2021-02-18,52,,,,,
2021-02-19,48,,,,,
2021-02-20,50,,,,,
2021-02-21,58,,,,,
2021-02-22,55,,,,,
2021-02-23,42,,,,,
2021-02-24,46,,,,,
2021-02-25,39,,,,,
2021-02-26,34,,,,,
2021-02-27,41,,,,,
2021-02-28,53,,,,,
2021-03-01,49,,,,,
2021-03-02,50,,,,,
2021-03-03,44,,,,,
2021-03-04,40,,,,,
2021-03-05,40,,,,,
2021-03-06,41,,,,,
2021-03-07,44,,,,,
2021-03-08,49,,,,,
2021-03-09,53,,,,,
2021-03-10,45,,,,,
2021-03-11,50,,,,,
2021-03-12,47,,,,,
2021-03-13,49,,,,,
2021-03-14,42,,,,,
2021-03-15,50,,,,,
2021-03-16,53,,,,,
2021-03-17,45,,,,,
2021-03-18,45,,,,,
2021-03-19,52,,,,,
2021-03-20,48,,,,,
2021-03-21,44,,,,,
2021-03-22,36,,,,,
2021-03-23,44,,,,,
2021-03-24,44,,,,,
2021-03-25,41,,,,,
2021-03-26,48,,,,,
2021-03-27,57,,,,,
2021-03-28,46,,,,,
2021-03-29,40,,,,,
2021-03-30,35,,,,,
2021-03-31,47,,,,,
2021-04-01,58,,,,,
2021-04-02,39,,,,,
2021-04-02,52,,,,,
2021-04-03,41,,,,,
2021-04-03,55,,,,,
2021-04-04,39,,,,,
2021-04-04,29,,,,,
2021-04-05,42,,,,,
2021-04-05,30,,,,,
2021-04-06,44,,,,,
2021-04-07,45,,,,,
2021-04-08,40,,,,,
2021-04-09,41,,,,,
2021-04-10,48,,,,,
2021-04-11,37,,,,,
2021-04-12,43,,,,,
2021-04-13,45,,,,,
2021-04-14,43,,,,,
2021-04-15,42,,,,,
2021-04-16,37,,,,,
2021-04-17,49,,,,,
2021-04-18,44,,,,,
2021-04-19,50,,,,,
2021-04-20,60,,,,,
2021-04-21,44,,,,,
2021-04-22,37,,,,,
2021-04-23,45,,,,,
2021-04-24,58,,,,,
2021-04-25,46,,,,,
2021-04-26,36,,,,,
2021-04-27,43,,,,,
2021-04-28,37,,,,,
2021-04-29,44,,,,,
2021-04-30,40,,,,,
2021-05-01,35,,,,,
2021-05-02,43,,,,,
2021-05-02,33,,,,,
2021-05-03,32,,,,,
2021-05-03,35,,,,,
2021-05-04,17,,,,,
2021-05-04,46,,,,,
2021-05-05,20,,,,,
2021-05-05,40,,,,,
2021-05-06,44,,,,,
2021-05-06,39,,,,,
2021-05-07,30,,,,,
2021-05-07,40,,,,,
2021-05-08,23,,,,,
2021-05-08,40,,,,,
2021-05-09,25,,,,,
2021-05-09,35,,,,,
2021-05-10,25,,,,,
2021-05-10,32,,,,,
2021-05-11,28,,,,,
2021-05-11,43,,,,,
2021-05-12,35,,,,,
2021-05-12,53,,,,,
2021-05-13,50,,,,,
2021-05-13,56,,,,,
2021-05-14,47,,,,,
2021-05-14,53,,,,,
2021-05-15,46,,,,,
2021-05-15,47,,,,,
2021-05-16,43,,,,,
2021-05-16,52,,,,,
2021-05-17,37,,,,,
2021-05-17,55,,,,,
2021-05-18,44,,,,,
2021-05-18,56,,,,,
2021-05-19,51,,,,,
2021-05-19,46,,,,,
2021-05-20,55,,,,,
2021-05-20,44,,,,,
2021-05-21,55,,,,,
2021-05-21,32,,,,,
2021-05-22,31,,,,,
2021-05-22,13,,,,,
2021-05-23,22,,,,,
2021-05-23,10,,,,,
2021-05-24,37,,,,,
2021-05-24,18,,,,,
2021-05-25,38,,,,,
2021-05-25,37,,,,,
2021-05-26,35,,,,,
2021-05-26,43,,,,,
2021-05-27,36,,,,,
2021-05-27,40,,,,,
2021-05-28,49,,,,,
2021-05-28,41,,,,,
2021-05-29,41,,,,,
2021-05-29,46,,,,,
2021-05-30,41,,,,,
2021-05-30,34,,,,,
2021-05-31,44,,,,,
2021-05-31,37,,,,,
2021-06-01,50,,,,,
2021-06-01,33,,,,,
2021-06-02,57,,,,,
2021-06-02,40,,,,,
2021-06-03,5,,,,,
2021-06-03,42,,,,,
2021-06-04,4,,,,,
2021-06-04,38,,,,,
2021-06-05,34,,,,,
2021-06-06,35,,,,,
2021-06-07,37,,,,,
2021-06-08,32,,,,,
2021-06-09,42,,,,,
2021-06-10,43,,,,,
2021-06-11,35,,,,,
2021-06-12,38,,,,,
2021-06-13,36,,,,,
2021-06-14,45,,,,,
2021-06-15,45,,,,,
2021-06-16,49,,,,,
2021-06-17,54,,,,,
2021-06-18,46,,,,,
2021-06-19,49,,,,,
2021-06-20,44,,,,,
2021-06-21,42,,,,,
2021-06-22,41,,,,,
2021-06-23,42,,,,,
2021-06-24,42,,,,,
2021-06-25,45,,,,,
2021-06-26,48,,,,,
2021-06-27,48,,,,,
2021-06-28,43,,,,,
2021-06-29,32,,,,,
2021-06-30,17,,,,,
2021-07-01,20,,,,,
2021-10-01,88,,,,,
2021-10-02,52,,,,,
2021-10-03,61,,,,,
2021-10-04,60,,,,,
2021-10-05,6,,,,,
2021-10-06,8,,,,,
2021-10-07,35,,,,,
2021-10-08,73,,,,,
2021-10-09,62,,,,,
2021-10-10,61,,,,,
2021-10-11,58,,,,,
2021-10-12,77,,,,,
2021-10-13,73,,,,,
2021-10-14,79,,,,,
2021-10-15,106,,,,,
2021-10-16,80,,,,,
2021-10-17,77,,,,,
2021-10-18,65,,,,,
2021-10-19,59,,,,,
2021-10-20,54,,,,,
2021-10-21,48,,,,,
2021-10-22,56,,,,,
2021-10-23,70,,,,,
2021-10-24,69,,,,,
2021-10-25,57,,,,,
2021-10-26,69,,,,,
2021-10-27,70,,,,,
2021-10-28,65,,,,,
2021-10-29,69,,,,,
2021-10-30,77,,,,,
2021-10-31,69,,,,,
2021-11-01,62,,,,,
2021-11-02,56,,,,,
2021-11-03,44,,,,,
2021-11-04,41,,,,,
2021-11-05,46,,,,,
2021-11-06,44,,,,,
2021-11-07,50,,,,,
2021-11-08,56,,,,,
2021-11-09,55,,,,,
2021-11-10,59,,,,,
2021-11-11,62,,,,,
2021-11-12,63,,,,,
2021-11-13,58,,,,,
2021-11-14,54,,,,,
2021-11-15,42,,,,,
2021-11-16,39,,,,,
2021-11-17,38,,,,,
2021-11-18,29,,,,,
2021-11-19,32,,,,,
2021-11-20,43,,,,,
2021-11-21,35,,,,,
2021-11-22,88,,,,,
2021-11-23,81,,,,,
2021-11-24,61,,,,,
2021-11-25,65,,,,,
2021-11-26,56,,,,,
2021-11-27,52,,,,,
2021-11-28,52,,,,,
2021-11-29,55,,,,,
2021-11-30,48,,,,,
2021-12-01,41,,,,,
2021-12-02,43,,,,,
2021-12-03,56,,,,,
2021-12-04,53,,,,,
2021-12-05,60,,,,,
2021-12-06,59,,,,,
2021-12-07,64,,,,,
2021-12-08,65,,,,,
2021-12-09,52,,,,,
2021-12-10,51,,,,,
2021-12-11,57,,,,,
2021-12-12,60,,,,,
2021-12-13,72,,,,,
2021-12-14,49,,,,,
2021-12-15,44,,,,,
2021-12-16,43,,,,,
2021-12-17,52,,,,,
2021-12-18,57,,,,,
2021-12-19,52,,,,,
2021-12-20,60,,,,,
2021-12-21,60,,,,,
2021-12-22,52,,,,,
2021-12-23,44,,,,,
2021-12-24,50,,,,,
2021-12-25,51,,,,,
2021-12-26,60,,,,,
2021-12-27,50,,,,,
2021-12-28,51,,,,,
2022-04-01,52,,,,,
2022-04-02,46,,,,,
2022-04-03,50,,,,,
2022-04-04,53,,,,,
2022-04-05,52,,,,,
2022-04-06,47,,,,,
