time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,,1,8,8,18
2023-03-31,85,,1,7,3,4
2023-04-01,78,,1,8,3,4
2023-04-02,73,,1,9,3,3
2023-04-03,64,,1,9,3,3
2023-04-04,64,,1,8,3,4
2023-04-05,52,,1,9,3,3
2023-04-06,63,,1,8,3,2
2023-04-07,72,,1,9,3,0
2023-04-08,90,,1,7,7,8
2023-04-09,75,,0,4,3,2
2023-04-10,69,,,3,3,5
2023-04-11,64,,,3,3,2
2023-04-12,60,,,4,3,2
2023-04-13,69,,,4,6,8
2023-04-14,70,,,3,3,0
2023-04-15,66,,,3,3,1
2023-04-16,54,,,4,3,2
2023-04-17,62,,,4,3,4
2023-04-18,38,,,4,3,1
2023-04-19,63,,,3,3,2
2023-04-20,52,,,4,7,9
2023-04-21,51,,0,4,3,4
2023-04-22,50,,,5,3,3
2023-04-23,54,,,4,3,2
2023-04-24,50,,,4,3,2
2023-04-25,34,,,6,3,3
2023-04-26,36,,,3,3,3
2023-04-27,43,,0,4,3,4
2023-04-28,63,,,5,6,10
2023-04-29,55,,,5,3,2
2023-04-30,57,,,4,3,3
2023-05-01,49,,,4,3,1
2023-05-02,54,,0,4,3,2
2023-05-03,59,,,5,3,3
2023-05-04,53,,,6,3,4
2023-05-05,67,,,5,9,7
2023-05-06,60,,,5,3,2
2023-05-07,49,,,5,3,1
2023-05-08,87,,,5,3,4
2023-05-09,51,,,5,3,2
2023-05-10,61,,,5,3,2
2023-05-11,68,,,5,9,6
2023-05-12,75,,20,8,3,2
2023-05-13,70,,12,5,3,1
2023-05-14,64,,10,5,3,1
2023-05-15,65,,10,4,3,2
2023-05-16,58,,13,5,3,0
2023-05-17,48,,9,5,3,3
2023-05-18,57,,,,,
2023-06-29,,,13,5,3,0
2023-06-30,48,,9,5,3,3
2023-07-01,57,,11,4,3,1
2023-07-02,58,,10,5,3,1
2023-07-03,56,,23,6,9,6
2023-07-04,64,,4,7,3,6
2023-07-05,68,,3,6,3,4
2023-07-06,67,,4,5,3,6
2023-07-07,52,,4,7,3,7
2023-07-08,52,,4,7,3,6
2023-07-09,54,,11,7,11,9
2023-07-10,67,,9,6,3,3
2023-07-11,51,,9,7,3,5
2023-07-12,42,,7,7,3,6
2023-07-13,39,,12,7,3,7
2023-07-14,67,,11,6,3,7
