time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,56,19,17,1,,31
2021-01-02,46,16,16,2,0,12
2021-01-03,29,24,17,4,0,9
2021-01-04,61,23,16,3,1,23
2021-01-05,56,20,27,3,1,18
2021-01-06,46,21,15,3,1,25
2021-01-07,41,22,17,5,0,12
2021-01-08,54,24,13,6,3,32
2021-01-09,50,22,16,4,0,42
2021-01-10,39,31,15,6,1,14
2021-01-11,48,38,15,7,2,13
2021-01-12,65,35,12,8,1,42
2021-01-13,58,27,16,8,2,9
2021-01-14,43,40,17,7,2,7
2021-01-15,67,36,17,1,1,7
2021-01-16,56,16,15,2,,6
2021-01-17,33,18,15,1,,8
2021-01-18,48,21,14,1,0,21
2021-01-19,32,29,13,3,0,17
2021-01-20,35,30,33,6,11,14
2021-01-21,47,33,18,5,1,13
2021-01-22,51,24,16,3,1,17
2021-01-23,48,24,15,6,,11
2021-01-24,66,25,19,3,,19
2021-01-25,72,16,20,3,,10
2021-01-26,43,12,19,1,,7
2021-01-27,29,16,29,3,1,18
2021-01-28,27,30,16,6,1,32
2021-01-29,50,35,27,4,1,9
2021-01-30,60,25,17,3,,15
2021-01-31,52,10,17,1,,7
2021-02-01,23,13,18,1,,7
2021-02-02,34,22,19,3,,
2021-02-03,54,23,16,2,,27
2021-02-04,45,30,16,3,,14
2021-02-05,38,36,25,7,0,23
2021-02-06,50,39,14,5,1,29
2021-02-07,55,33,19,4,1,15
2021-02-08,50,35,27,4,28,15
2021-02-09,50,32,17,5,1,6
2021-02-10,54,22,14,4,,11
2021-02-11,33,23,21,3,1,22
2021-02-12,41,22,15,2,,12
2021-02-13,35,25,18,3,,18
2021-02-14,36,28,17,4,0,16
2021-02-15,36,37,30,9,1,21
2021-02-16,42,33,17,4,1,8
2021-02-17,53,17,16,2,1,5
2021-02-18,41,12,16,0,1,5
2021-02-19,29,7,16,1,,5
2021-02-20,12,6,13,3,,7
2021-02-21,16,12,14,2,1,12
2021-02-22,30,14,16,7,1,17
2021-02-23,31,13,15,0,2,11
2021-02-24,28,19,15,1,1,39
2021-02-25,22,35,16,0,0,36
2021-02-26,38,30,30,1,0,10
2021-02-27,46,18,15,3,1,8
2021-02-28,32,26,16,3,0,27
2021-03-01,32,33,37,5,0,17
2021-03-02,45,31,17,4,0,22
2021-03-03,47,26,2,5,1,23
2021-03-04,32,34,4,5,1,23
2021-03-05,42,42,51,8,3,18
2021-03-06,63,31,17,1,,14
2021-03-07,52,24,15,2,2,7
2021-03-08,54,9,11,0,1,6
2021-03-09,30,16,14,1,1,15
2021-03-10,26,34,27,7,15,13
2021-03-11,44,23,10,2,1,19
2021-03-12,32,15,10,3,1,7
2021-03-13,17,13,10,2,,11
2021-03-14,18,13,12,2,1,22
2021-03-15,18,13,35,4,1,13
2021-03-16,14,36,,,,15
2021-03-17,54,31,14,4,1,17
2021-03-18,46,28,18,3,1,10
2021-03-19,49,11,11,0,1,9
2021-03-20,24,12,10,2,,20
2021-03-21,26,17,11,2,1,18
2021-03-22,28,29,14,5,2,15
2021-03-23,44,32,12,6,2,24
2021-03-24,46,27,7,2,1,27
2021-03-25,17,25,9,3,1,23
2021-03-26,33,25,9,3,2,26
2021-03-27,43,23,9,3,2,16
2021-03-28,44,11,8,0,0,10
2021-03-29,25,12,10,1,0,14
2021-03-30,29,12,8,2,0,12
2021-03-31,21,23,24,12,6,27
2021-04-01,,35,12,5,1,25
2021-04-01,35,29,11,4,1,22
2021-04-02,56,38,14,5,2,28
2021-04-02,45,30,17,5,2,27
2021-04-03,60,38,16,5,2,49
2021-04-03,56,24,11,4,1,20
2021-04-04,62,31,10,4,2,34
2021-04-04,50,27,11,2,0,22
2021-04-05,50,36,22,6,1,24
2021-04-05,46,,,,,
2021-04-06,58,23,10,2,1,22
2021-04-07,43,11,9,1,0,10
2021-04-08,24,16,9,3,6,25
2021-04-09,27,24,11,2,0,15
2021-04-10,32,29,16,5,1,22
