time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,75,28,38,10,3,7
2021-01-01,73,36,27,9,4,7
2021-01-02,72,34,34,12,5,7
2021-01-02,75,28,38,10,3,7
2021-01-03,68,35,24,11,4,7
2021-01-03,72,34,34,12,5,7
2021-01-04,61,36,21,11,5,6
2021-01-04,68,35,24,11,4,7
2021-01-05,60,42,41,13,6,8
2021-01-05,61,,,,,
2021-01-06,86,47,38,15,6,8
2021-01-07,92,94,57,17,5,9
2021-01-08,124,58,35,18,5,10
2021-01-09,102,55,34,18,6,10
2021-01-10,97,51,36,12,5,9
2021-01-11,91,33,27,9,5,5
2021-01-12,41,43,32,12,7,8
2021-01-13,72,41,38,9,5,4
2021-01-14,53,48,12,17,7,8
2021-01-15,88,49,22,16,5,10
2021-01-16,102,47,32,12,4,9
2021-01-17,95,50,31,19,6,10
2021-01-18,103,57,40,19,5,11
2021-01-19,112,66,68,18,5,13
2021-01-20,145,56,61,9,4,8
2021-01-21,109,68,23,10,6,4
2021-01-22,65,37,22,10,8,4
2021-01-23,48,52,24,19,8,9
2021-01-24,94,69,32,22,9,12
2021-01-25,124,99,37,22,8,13
2021-01-26,174,72,34,17,6,10
2021-01-27,116,50,28,14,8,6
2021-01-28,71,69,26,21,12,13
2021-01-29,118,75,30,21,11,15
2021-01-30,132,69,34,16,7,11
2021-01-31,122,57,26,15,7,9
2021-02-01,101,53,21,11,9,8
2021-02-02,73,40,23,10,7,6
2021-02-03,62,64,28,17,14,11
2021-02-04,104,71,33,19,14,12
2021-02-05,126,43,32,11,10,8
2021-02-06,75,84,25,20,9,16
2021-02-07,156,49,18,8,9,5
2021-02-08,50,51,21,16,13,10
2021-02-09,84,53,22,17,17,10
2021-02-10,103,59,28,18,15,10
2021-02-11,114,59,30,17,12,11
2021-02-12,113,47,24,16,12,7
2021-02-13,82,64,24,20,16,11
2021-02-14,116,84,17,24,15,17
2021-02-15,160,104,29,24,13,16
2021-02-16,176,99,33,20,13,17
2021-02-17,172,37,32,13,7,8
2021-02-18,84,15,18,8,4,7
2021-02-19,52,22,23,7,6,5
2021-02-20,61,31,17,11,9,7
2021-02-21,75,37,19,9,8,6
2021-02-22,77,52,20,15,15,11
2021-02-23,107,76,17,19,23,19
2021-02-24,143,69,19,19,19,13
2021-02-25,139,36,21,7,7,3
2021-02-26,60,47,20,10,8,6
2021-02-27,92,48,18,10,10,6
2021-02-28,67,43,23,12,11,7
2021-03-01,77,40,21,11,10,7
2021-03-02,80,49,23,15,14,10
2021-03-03,110,54,26,18,16,13
2021-03-04,110,35,23,11,10,8
2021-03-05,69,67,20,20,20,15
2021-03-06,137,80,25,22,23,17
2021-03-07,152,82,18,24,20,20
2021-03-08,160,42,23,14,11,8
2021-03-09,81,57,23,18,16,11
2021-03-10,116,62,20,19,19,14
2021-03-11,131,101,14,22,17,25
2021-03-12,194,86,24,23,12,15
2021-03-13,159,67,21,24,18,14
2021-03-14,126,61,22,10,9,7
2021-03-15,78,52,22,11,11,8
2021-03-16,85,49,22,12,15,7
2021-03-17,85,48,22,14,13,8
2021-03-18,97,71,20,20,24,15
2021-03-19,137,62,22,13,12,10
2021-03-20,90,72,20,18,26,15
2021-03-21,129,83,21,22,27,22
2021-03-22,162,84,24,23,26,22
2021-03-23,163,100,19,26,24,26
2021-03-24,187,118,22,27,19,24
2021-03-25,210,58,26,14,11,9
2021-03-26,87,72,25,20,20,18
2021-03-27,141,67,23,21,22,18
2021-03-28,138,76,21,25,18,14
2021-03-29,147,88,17,25,16,18
2021-03-30,171,67,20,11,8,7
2021-03-31,85,55,23,9,10,7
2021-04-01,,67,25,20,26,15
2021-04-01,73,73,23,18,25,14
2021-04-02,143,38,26,12,14,8
2021-04-02,141,49,27,16,19,13
2021-04-03,71,53,23,12,22,12
2021-04-03,110,45,26,14,16,9
2021-04-04,96,47,23,6,9,6
2021-04-04,96,56,24,15,23,14
2021-04-05,66,64,23,18,24,14
2021-04-05,116,,,,,
2021-04-06,131,75,20,20,30,21
2021-04-07,155,61,22,18,28,17
2021-04-08,132,58,23,15,21,16
2021-04-09,134,69,24,16,15,14
2021-04-10,141,79,28,15,13,12
2021-04-11,126,61,26,18,19,10
2021-04-12,125,73,30,12,11,7
2021-04-13,116,51,29,8,11,5
2021-04-14,80,53,30,16,22,14
2021-04-15,133,47,28,13,14,10
2021-04-16,100,35,28,9,13,6
2021-04-17,86,57,22,22,26,17
2021-04-18,125,62,19,23,22,13
2021-04-19,146,71,32,18,12,11
2021-04-20,159,86,27,23,18,15
2021-04-21,175,72,28,24,22,18
2021-04-22,154,73,16,25,22,21
2021-04-23,166,58,32,15,12,16
2021-04-24,125,58,28,13,13,9
2021-04-25,111,56,30,6,6,5
2021-04-26,64,56,30,12,18,11
2021-04-27,108,42,28,13,14,9
2021-04-28,101,58,30,25,24,16
2021-04-29,147,64,30,10,9,10
2021-04-30,138,50,27,11,13,8
2021-05-01,88,60,22,18,18,12
2021-05-02,134,57,34,16,16,13
2021-05-03,130,62,34,19,17,14
2021-05-04,136,69,35,14,9,11
2021-05-05,140,45,30,8,7,6
2021-05-06,97,36,27,10,11,6
2021-05-07,86,53,30,16,16,13
2021-05-08,122,88,30,23,21,15
2021-05-09,180,100,33,17,16,14
2021-05-10,191,101,37,12,12,11
2021-05-11,187,76,34,14,16,16
2021-05-12,161,79,25,12,11,17
2021-05-13,165,41,30,5,6,6
2021-05-14,67,36,30,5,7,9
2021-05-15,68,46,27,2,5,7
2021-05-16,55,54,28,9,12,8
2021-05-17,88,63,33,16,13,13
2021-05-18,134,78,39,18,14,15
2021-05-19,161,88,41,24,17,19
2021-05-20,170,54,35,6,6,5
2021-05-21,74,54,30,6,7,5
2021-05-22,67,43,61,11,14,8
2021-05-23,100,63,36,19,16,12
2021-05-24,141,102,39,18,18,15
2021-05-25,175,90,36,18,19,13
2021-05-26,160,66,25,16,21,14
2021-05-27,140,32,33,6,6,7
2021-05-28,80,31,35,7,8,9
2021-05-29,80,38,37,6,7,9
2021-05-30,80,38,36,4,7,7
2021-05-31,71,26,33,6,6,6
2021-06-01,63,25,35,5,7,3
2021-06-02,59,45,33,11,12,7
2021-06-03,106,67,41,15,12,12
2021-06-04,151,85,44,18,11,18
2021-06-05,174,91,47,18,11,14
2021-06-06,177,113,48,20,12,17
2021-06-07,200,124,44,20,12,20
2021-06-08,219,108,33,23,16,19
2021-06-09,200,103,38,16,9,19
2021-06-10,181,68,43,13,7,13
2021-06-11,150,74,34,8,6,5
2021-06-12,64,59,37,11,7,5
2021-06-13,80,68,33,18,10,8
2021-06-14,118,79,42,18,14,12
2021-06-15,139,88,34,14,8,13
2021-06-16,164,44,31,11,6,7
2021-06-17,99,52,34,14,10,12
2021-06-18,100,80,40,11,8,9
2021-06-19,127,91,40,19,8,12
2021-06-20,151,84,52,13,8,12
2021-06-21,161,74,47,12,8,9
2021-06-22,159,81,42,23,7,14
2021-06-23,136,49,37,12,8,10
2021-06-24,113,67,37,12,7,8
2021-06-25,103,66,39,17,11,11
2021-06-26,124,96,51,23,12,12
2021-06-27,161,90,49,22,11,9
2021-06-28,141,86,38,21,10,9
2021-06-29,132,32,39,5,3,3
2021-06-30,50,27,39,4,3,3
2021-07-01,52,,,,,
2021-09-30,,21,38,4,3,5
2021-10-01,62,36,46,8,3,6
2021-10-02,86,38,34,10,3,5
2021-10-03,73,12,35,3,3,4
2021-10-04,20,17,36,4,3,4
2021-10-05,42,19,57,6,3,5
2021-10-06,51,38,57,8,6,6
2021-10-07,71,44,56,8,4,6
2021-10-08,83,35,47,4,3,6
2021-10-09,75,28,44,3,3,6
2021-10-10,66,30,47,5,3,7
2021-10-11,71,29,54,4,3,6
2021-10-12,68,31,37,3,2,7
2021-10-13,61,18,22,2,1,4
2021-10-14,41,11,16,3,2,4
2021-10-15,33,13,20,3,1,5
2021-10-16,37,24,35,6,2,5
2021-10-17,61,33,46,6,2,5
2021-10-18,69,26,39,5,2,5
2021-10-19,62,22,29,3,2,4
2021-10-20,54,25,37,6,1,4
2021-10-21,55,35,46,7,2,5
2021-10-22,70,44,58,9,1,6
2021-10-23,92,38,63,7,1,5
2021-10-24,82,40,61,8,1,5
2021-10-25,82,45,54,7,1,5
2021-10-26,88,42,50,9,2,5
2021-10-27,81,47,69,7,2,6
2021-10-28,89,50,52,5,5,7
2021-10-29,95,36,35,3,2,4
2021-10-30,65,22,59,1,1,5
2021-10-31,54,19,49,3,1,7
2021-11-01,54,17,43,4,2,6
2021-11-02,51,17,56,5,3,6
2021-11-03,51,14,33,4,2,5
2021-11-04,40,15,57,3,2,5
2021-11-05,32,14,32,6,1,5
2021-11-06,44,21,46,9,2,5
2021-11-07,55,29,52,6,2,6
2021-11-08,67,25,40,5,2,5
2021-11-09,53,22,78,4,2,6
2021-11-10,60,21,66,7,2,6
2021-11-11,52,22,35,6,2,6
2021-11-12,51,18,37,6,2,5
2021-11-13,48,22,38,6,3,6
2021-11-14,56,30,36,7,2,6
2021-11-15,60,37,34,7,4,7
2021-11-16,62,28,34,5,2,6
2021-11-17,61,21,31,6,3,4
2021-11-18,49,32,38,8,3,5
2021-11-19,65,34,45,5,2,5
2021-11-20,57,13,46,6,2,6
2021-11-21,32,22,53,4,3,8
2021-11-22,56,28,42,3,3,8
2021-11-23,68,24,29,6,2,6
2021-11-24,49,19,60,3,3,5
2021-11-25,52,38,73,7,4,6
2021-11-26,70,39,74,7,4,8
2021-11-27,71,35,67,6,3,7
2021-11-28,71,56,59,12,3,9
2021-11-29,94,37,51,11,4,7
2021-11-30,68,38,28,13,3,6
2021-12-01,70,28,38,10,3,5
2021-12-02,59,36,52,11,5,6
2021-12-03,62,44,37,11,6,6
2021-12-04,80,36,38,9,6,6
2021-12-05,65,30,36,10,4,5
2021-12-06,46,27,22,9,3,5
2021-12-07,48,13,25,5,2,4
2021-12-08,27,20,48,9,4,7
2021-12-09,53,29,57,7,3,7
2021-12-10,61,19,56,5,3,6
2021-12-11,50,39,48,7,3,6
2021-12-12,40,14,27,8,3,6
2021-12-13,35,25,35,11,5,6
2021-12-14,52,26,42,6,3,5
2021-12-15,57,23,38,8,5,5
2021-12-16,47,28,36,9,4,5
2021-12-17,54,21,33,7,3,5
2021-12-18,52,24,39,9,4,6
2021-12-19,56,33,27,11,3,6
2021-12-20,66,17,37,5,3,4
2021-12-21,39,13,36,6,3,6
2021-12-22,35,16,31,10,6,5
2021-12-23,42,22,27,10,4,4
2021-12-24,46,22,28,9,6,5
2021-12-25,50,26,23,9,4,7
2021-12-26,63,21,30,8,6,6
2021-12-27,52,32,21,11,5,7
2021-12-28,68,35,29,6,3,5
2021-12-29,56,44,31,11,4,5
2021-12-30,,25,37,8,3,4
2021-12-30,55,53,37,11,4,8
2021-12-31,52,65,39,12,5,5
2021-12-31,99,25,37,8,3,4
2022-01-01,60,63,46,6,3,6
2022-01-01,52,65,39,12,5,5
2022-01-02,69,17,31,4,3,4
2022-01-02,60,63,46,6,3,6
2022-01-03,42,18,22,6,3,4
2022-01-03,69,,,,,
2022-01-04,32,12,21,8,3,3
2022-01-05,24,11,22,6,3,4
2022-01-06,22,20,18,9,5,5
2022-01-07,39,26,39,10,4,7
2022-01-08,56,34,30,6,4,5
2022-01-09,50,30,28,12,5,5
2022-01-10,85,41,45,14,6,6
2022-01-11,342,40,31,14,5,7
2022-01-12,68,46,29,16,5,9
2022-01-13,78,38,30,8,5,5
2022-01-14,62,45,25,4,4,3
2022-01-15,30,42,23,10,5,7
2022-01-16,51,50,26,13,5,8
2022-01-17,72,31,25,4,3,4
2022-01-18,50,30,34,12,5,5
2022-01-19,67,46,33,19,6,7
2022-01-20,88,47,33,14,8,9
2022-01-21,91,53,35,20,8,9
2022-01-22,107,59,37,21,8,11
2022-01-23,115,63,45,16,6,13
2022-01-24,123,68,49,17,7,9
2022-01-25,143,45,35,16,7,8
2022-01-26,79,45,26,17,8,8
2022-01-27,83,53,35,20,9,10
2022-01-28,103,65,38,21,8,11
2022-01-29,124,45,33,14,6,10
2022-01-30,88,29,33,10,5,6
2022-01-31,75,48,29,16,8,9
2022-02-01,117,54,31,15,6,12
2022-02-02,132,76,32,14,6,13
2022-02-03,159,70,42,9,5,12
2022-02-04,148,105,38,25,8,13
2022-02-05,122,54,19,17,7,9
2022-02-06,113,30,25,7,5,6
2022-02-07,54,21,25,7,6,7
2022-02-08,48,28,24,12,8,7
2022-02-09,78,41,23,14,9,7
2022-02-10,82,57,21,17,15,12
2022-02-11,120,60,24,17,15,13
