time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,27,26,11,2,7
2023-03-31,96,32,30,17,2,6
2023-04-01,108,28,25,10,2,6
2023-04-02,70,28,31,14,2,6
2023-04-03,77,42,24,22,2,6
2023-04-04,95,23,24,6,2,6
2023-04-05,57,22,22,9,2,6
2023-04-06,66,24,19,9,2,6
2023-04-07,58,20,25,5,2,8
2023-04-08,17,22,37,5,2,6
2023-04-09,44,35,42,9,2,5
2023-04-10,85,43,46,14,3,6
2023-04-11,93,60,16,29,3,7
2023-04-12,117,52,42,17,3,7
2023-04-13,115,41,45,9,3,8
2023-04-14,99,60,52,11,3,7
2023-04-15,115,52,57,13,3,5
2023-04-16,82,49,90,16,3,6
2023-04-17,105,57,52,14,4,6
2023-04-18,113,41,28,7,2,6
2023-04-19,91,39,42,9,2,6
2023-04-20,101,56,54,14,3,5
2023-04-21,108,49,63,17,3,5
2023-04-22,85,63,75,29,3,7
2023-04-23,132,70,59,17,4,7
2023-04-24,147,74,73,19,3,7
2023-04-25,154,57,55,15,3,7
2023-04-26,119,59,58,14,3,7
2023-04-27,119,55,71,15,3,5
2023-04-28,91,59,46,29,3,6
2023-04-29,101,60,48,22,3,6
2023-04-30,103,60,63,21,3,7
2023-05-01,120,54,64,12,3,7
2023-05-02,106,50,45,17,3,7
2023-05-03,93,53,34,18,2,3
2023-05-04,121,67,42,8,3,4
2023-05-05,97,73,42,18,3,3
2023-05-06,128,57,64,14,3,5
2023-05-07,126,55,55,15,3,5
2023-05-08,128,40,37,12,2,4
2023-05-09,94,56,59,18,2,5
2023-05-10,146,33,31,7,2,4
2023-05-11,78,33,28,9,2,4
2023-05-12,84,33,13,12,2,4
2023-05-13,84,43,12,10,2,4
2023-05-14,102,30,13,7,2,3
2023-05-15,83,31,8,11,2,4
2023-05-16,86,,8,14,2,5
2023-05-17,83,15,9,7,2,6
2023-05-18,41,20,7,8,2,5
2023-05-19,58,20,5,11,2,6
2023-05-20,75,32,17,12,2,6
2023-05-21,95,40,9,16,2,7
2023-05-22,114,,12,14,2,6
2023-05-23,83,39,24,14,2,6
2023-05-24,100,32,24,10,2,5
2023-05-25,87,,,,,
2023-06-29,,39,24,14,2,6
2023-06-30,100,32,24,10,2,5
2023-07-01,87,32,26,11,2,5
2023-07-02,73,29,26,10,2,5
2023-07-03,67,33,15,7,2,5
2023-07-04,67,27,11,8,2,6
2023-07-05,56,23,38,6,2,6
2023-07-06,51,55,33,9,3,5
2023-07-07,95,62,39,14,3,6
2023-07-08,116,49,51,13,2,5
2023-07-09,90,37,28,12,2,5
2023-07-10,74,51,70,18,2,7
2023-07-11,106,47,37,12,2,5
2023-07-12,93,51,23,20,2,6
2023-07-13,98,43,37,14,3,7
2023-07-14,88,40,96,12,4,8
2023-07-15,83,38,41,5,2,6
2023-07-16,82,36,22,10,2,6
2023-07-17,78,30,31,13,2,7
