time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,54,22,30,9,2,7
2021-01-02,69,44,85,11,2,6
2021-01-03,88,48,79,14,3,5
2021-01-04,88,53,81,15,5,5
2021-01-05,110,,,,,
2021-04-01,,59,,25,9,5
2021-04-02,126,62,,21,8,6
2021-04-03,144,75,,19,7,8
2021-04-04,159,75,,15,5,9
2021-04-05,132,41,,10,3,6
2021-04-06,63,44,,16,5,4
2021-04-07,65,43,,18,6,3
2021-04-08,78,49,,18,5,6
2021-04-09,111,60,,29,6,7
2021-04-10,111,79,,46,10,7
2021-04-11,152,93,,61,10,10
2021-04-12,167,116,,76,12,11
2021-04-13,171,129,,78,11,10
2021-04-14,184,105,,24,7,7
2021-04-15,135,79,,26,6,5
2021-04-16,124,95,,49,9,8
2021-04-17,161,114,,54,12,9
2021-04-18,170,57,,29,3,7
2021-04-19,104,29,,19,3,5
2021-04-20,68,62,,16,3,8
2021-04-21,136,61,,21,3,7
2021-04-22,128,56,,30,4,8
2021-04-23,107,57,,23,3,10
2021-04-24,102,55,,19,3,11
2021-04-25,113,61,,17,3,11
2021-04-26,116,48,,17,3,7
2021-04-27,86,80,,33,3,9
2021-04-28,152,78,,34,3,9
2021-04-29,134,68,,34,4,8
2021-04-30,125,67,,28,3,5
2021-05-01,127,53,,12,2,4
2021-05-02,96,60,,13,3,7
2021-05-03,111,51,,15,2,3
2021-05-04,89,60,,17,3,5
2021-05-05,117,59,,19,3,5
2021-05-06,127,55,,19,3,5
2021-05-07,105,28,,7,2,8
2021-05-08,71,9,,6,,7
2021-05-09,23,10,,6,2,6
2021-05-10,44,26,,4,2,4
2021-05-11,67,25,,10,2,4
2021-05-12,76,42,,8,2,5
2021-05-13,106,44,,8,2,5
2021-05-14,112,35,,7,2,4
2021-05-15,85,19,,4,2,6
2021-05-16,56,32,,9,3,4
2021-05-17,40,50,,18,3,4
2021-05-18,123,52,,15,3,5
2021-05-19,115,50,,12,3,5
2021-05-20,102,53,,19,3,7
2021-05-21,108,62,,20,4,8
2021-05-22,126,47,,11,2,5
2021-05-23,81,41,,17,2,5
2021-05-24,81,37,,15,2,6
2021-05-25,70,16,,7,2,7
2021-05-26,41,41,,14,4,9
2021-05-27,82,71,,28,5,10
2021-05-28,130,16,,6,2,8
2021-05-29,34,36,,11,3,7
2021-05-30,73,34,,12,2,8
2021-05-31,74,59,,19,2,10
2021-06-01,124,49,,19,2,8
2021-06-02,100,23,,6,2,7
2021-06-03,58,43,,14,4,8
2021-06-04,82,67,,17,5,8
2021-06-05,128,61,,19,4,7
2021-06-06,108,67,,27,4,6
2021-06-07,117,70,,17,4,7
2021-06-08,120,54,,21,5,8
2021-06-09,101,81,,24,5,8
2021-06-10,146,58,,13,2,5
2021-06-11,89,55,,16,5,5
2021-06-12,91,56,,23,5,6
2021-06-13,96,49,,19,3,5
2021-06-14,84,40,,17,2,4
2021-06-15,68,49,,17,7,4
2021-06-16,86,28,,9,2,7
2021-06-17,50,76,,10,2,6
2021-06-18,89,104,,21,7,9
2021-06-19,143,74,,16,4,8
2021-06-20,147,95,,29,7,8
2021-06-21,152,58,,15,3,3
2021-06-22,79,54,,19,4,2
2021-06-23,86,57,,17,5,5
2021-06-24,98,43,,11,5,3
2021-06-25,71,34,,8,2,2
