time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,55,2,19,1,9
2023-03-31,102,49,8,21,1,8
2023-04-01,98,22,21,14,1,4
2023-04-02,47,36,37,17,2,5
2023-04-03,71,37,9,17,3,7
2023-04-04,69,30,18,9,1,5
2023-04-05,62,22,19,9,0,3
2023-04-06,47,24,18,9,0,4
2023-04-07,55,20,15,8,1,7
2023-04-08,29,28,45,9,0,5
2023-04-09,58,46,43,14,1,5
2023-04-10,90,70,51,35,5,7
2023-04-11,144,84,28,67,3,8
2023-04-12,150,64,45,36,5,7
2023-04-13,114,49,54,14,3,6
2023-04-14,93,71,60,17,2,6
2023-04-15,147,57,57,14,1,4
2023-04-16,94,67,97,23,2,4
2023-04-17,121,74,38,30,3,7
2023-04-18,134,42,27,8,1,5
2023-04-19,81,51,37,11,1,5
2023-04-20,101,73,44,26,2,6
2023-04-21,148,50,51,22,1,5
2023-04-22,83,84,92,41,4,7
2023-04-23,147,66,54,23,3,6
2023-04-24,130,68,75,17,2,5
2023-04-25,138,73,68,25,4,6
2023-04-26,149,74,112,33,3,6
2023-04-27,148,54,89,23,2,4
2023-04-28,86,56,43,25,3,3
2023-04-29,80,46,48,19,2,3
2023-04-30,64,61,92,25,5,6
2023-05-01,102,56,77,17,2,7
2023-05-02,97,55,52,17,2,5
2023-05-03,103,52,38,19,4,5
2023-05-04,89,85,44,12,4,4
2023-05-05,95,80,42,11,3,5
2023-05-06,108,56,59,9,2,5
2023-05-07,87,54,81,14,2,6
2023-05-08,100,53,53,12,2,5
2023-05-09,86,56,80,10,2,6
2023-05-10,105,35,32,5,1,5
2023-05-11,63,35,31,5,1,4
2023-05-12,65,31,15,7,1,4
2023-05-13,62,40,34,6,1,3
2023-05-14,93,32,26,6,1,3
2023-05-15,62,30,11,15,1,4
2023-05-16,60,18,,19,2,7
2023-05-17,52,13,6,16,2,6
2023-05-18,29,19,11,17,2,6
2023-05-19,44,31,4,16,2,8
2023-05-20,62,31,,16,1,5
2023-05-21,63,33,0,,2,7
2023-05-22,53,26,2,16,1,6
2023-05-23,59,30,4,25,1,8
2023-05-24,69,40,20,28,1,5
2023-05-25,76,,,,,
2023-06-29,,30,4,25,1,8
2023-06-30,69,40,20,28,1,5
2023-07-01,76,32,27,16,1,4
2023-07-02,60,26,22,11,1,3
2023-07-03,56,27,16,10,1,5
2023-07-04,65,38,18,14,3,7
2023-07-05,67,23,56,11,2,5
2023-07-06,31,67,45,10,2,5
2023-07-07,92,67,38,20,2,6
