time,pm25,pm10,O3,NO2,SO2,CO
2023-06-29,,37,9,22,1,7
2023-06-30,84,57,17,25,2,7
2023-07-01,125,39,25,15,1,3
2023-07-02,84,36,16,13,1,3
2023-07-03,76,32,9,11,1,3
2023-07-04,75,44,12,16,2,5
2023-07-05,83,28,42,11,2,4
2023-07-06,53,67,33,17,1,4
2023-07-07,106,64,29,26,1,5
2023-07-08,118,67,32,27,1,4
2023-07-09,118,60,29,22,1,4
2023-07-10,91,54,63,20,1,4
2023-07-11,93,49,36,16,1,4
2023-07-12,89,66,18,24,2,4
2023-07-13,108,58,35,20,3,6
2023-07-14,101,62,121,23,5,6
2023-07-15,115,54,68,8,1,4
2023-07-16,97,46,27,13,1,3
2023-07-17,85,35,33,18,2,4
2023-07-18,75,69,89,28,2,7
2023-07-19,138,28,28,16,1,4
2023-07-20,66,44,32,13,1,4
2023-07-21,84,45,29,10,1,3
2023-07-22,83,39,14,14,1,4
2023-07-23,76,25,8,12,2,5
2023-07-24,52,32,43,16,2,5
2023-07-25,67,55,42,24,2,6
2023-07-26,99,45,45,13,1,4
2023-07-27,87,34,27,13,1,5
2023-07-28,67,44,60,13,2,4
2023-07-29,70,57,44,16,1,5
2023-07-30,101,50,59,10,1,4
2023-07-31,80,38,38,10,1,3
2023-08-01,68,35,37,9,1,
2023-08-02,68,33,28,8,1,2
2023-08-03,64,35,17,10,1,3
2023-08-04,61,26,12,12,2,5
2023-08-05,58,40,28,18,2,6
2023-08-06,83,54,31,21,1,6
2023-08-07,117,55,32,20,1,4
2023-08-08,93,51,23,25,1,5
2023-08-09,93,28,9,22,2,7
2023-08-10,72,52,1,21,4,9
2023-08-11,101,55,34,24,3,7
2023-08-12,131,55,98,18,2,6
2023-08-13,123,46,54,12,1,4
2023-08-14,97,32,40,10,1,3
2023-08-15,67,47,74,12,1,4
2023-08-16,90,42,52,15,2,4
2023-08-17,94,48,40,8,1,3
2023-08-18,92,38,32,6,,3
2023-08-19,73,36,44,8,1,3
2023-08-20,76,38,50,14,2,5
2023-08-21,73,37,22,19,1,5
2023-08-22,79,54,48,18,2,5
2023-08-23,102,35,38,10,1,3
2023-08-24,70,35,60,8,1,3
2023-08-25,71,36,73,9,2,3
2023-08-26,78,51,89,14,3,5
2023-08-27,97,59,75,23,6,6
2023-08-28,117,55,76,18,4,6
2023-08-29,101,43,45,19,3,5
2023-08-30,92,51,139,14,4,5
2023-08-31,110,40,104,9,2,3
2023-09-01,78,30,28,9,1,1
2023-09-02,66,45,24,24,1,2
2023-09-03,82,40,24,15,1,2
2023-09-04,77,24,20,12,1,2
2023-09-05,65,21,15,14,1,2
2023-09-06,62,25,48,12,1,2
2023-09-07,69,31,43,14,1,2
2023-09-08,75,35,71,10,1,2
2023-09-09,73,36,100,7,1,1
2023-09-10,74,43,71,8,2,2
2023-09-11,94,36,61,16,1,3
2023-09-12,90,42,95,10,1,3
2023-09-13,86,29,26,14,1,2
2023-09-14,71,17,14,10,1,1
2023-09-15,57,18,11,13,1,2
2023-09-16,69,23,21,9,1,2
2023-09-17,61,26,35,8,1,1
2023-09-18,63,26,31,5,1,1
2023-09-19,56,23,29,2,1,1
2023-09-20,57,23,15,9,1,2
2023-09-21,54,25,20,12,1,2
2023-09-22,63,25,21,9,1,1
2023-09-23,65,34,33,14,2,2
2023-09-24,78,48,86,23,2,4
2023-09-25,92,28,26,14,1,2
2023-09-26,62,28,56,10,2,1
2023-09-27,63,28,44,6,1,1
2023-09-28,,21,13,7,1,1
2023-09-28,70,21,13,7,1,1
2023-09-29,58,24,23,10,1,2
2023-09-29,58,24,23,10,1,2
2023-09-30,64,21,27,7,1,1
2023-09-30,64,,,,,
2023-10-01,57,26,19,12,1,2
2023-10-02,55,25,32,8,0,2
2023-10-03,62,20,27,4,0,1
2023-10-04,52,20,24,3,0,1
2023-10-05,56,21,28,4,0,1
2023-10-06,54,17,26,4,0,1
2023-10-07,49,24,44,5,1,2
2023-10-08,59,20,35,4,1,1
2023-10-09,51,19,49,5,1,
2023-10-10,42,25,68,6,1,2
2023-10-11,60,28,69,8,3,2
2023-10-12,67,49,85,16,5,3
2023-10-13,104,33,23,13,3,3
2023-10-14,81,18,20,5,1,2
2023-10-15,49,22,24,8,1,2
2023-10-16,59,25,29,13,2,3
2023-10-17,65,18,44,10,1,2
2023-10-18,53,24,41,11,2,3
2023-10-19,66,24,53,10,2,2
2023-10-20,62,20,79,8,2,2
2023-10-21,60,19,76,8,2,2
2023-10-22,58,24,58,11,3,2
2023-10-23,64,47,72,18,4,4
2023-10-24,110,31,35,13,4,3
2023-10-25,75,30,44,11,3,3
2023-10-26,65,38,46,12,4,4
2023-10-27,81,23,25,12,1,3
2023-10-28,61,28,42,12,1,3
2023-10-29,70,24,33,15,2,2
2023-10-30,61,32,75,14,2,3
2023-10-31,75,41,117,13,2,3
2023-11-01,89,24,37,7,2,2
2023-11-02,57,22,35,7,2,2
2023-11-03,61,28,35,6,2,2
2023-11-04,66,27,37,8,2,2
2023-11-05,64,25,31,10,3,2
2023-11-06,59,32,45,11,4,3
2023-11-07,67,37,27,16,3,3
2023-11-08,75,32,76,14,2,3
2023-11-09,72,28,24,8,2,3
2023-11-10,61,23,24,8,2,3
2023-11-11,55,27,36,8,1,
2023-11-12,67,29,31,12,1,4
2023-11-13,72,38,47,11,2,3
2023-11-14,81,40,13,16,2,4
2023-11-15,88,42,23,19,3,4
2023-11-16,101,44,104,20,2,5
2023-11-17,97,32,33,8,,3
2023-11-18,69,26,31,10,2,3
2023-11-19,58,25,55,9,2,3
2023-11-20,62,26,33,15,2,3
2023-11-21,67,26,30,17,2,4
2023-11-22,69,33,17,24,2,5
2023-11-23,80,46,42,20,3,5
2023-11-24,97,25,50,10,2,3
2023-11-25,65,25,42,11,1,3
2023-11-26,65,23,27,15,2,5
2023-11-27,64,28,35,12,4,5
2023-11-28,65,28,37,11,3,5
2023-11-29,65,29,25,11,2,4
2023-11-30,66,19,14,9,1,5
2023-12-01,67,29,30,15,3,5
2023-12-02,74,36,48,15,3,5
2023-12-03,85,38,41,16,2,5
2023-12-04,83,36,21,16,3,4
2023-12-05,76,16,4,14,1,4
2023-12-06,54,25,14,15,1,4
2023-12-07,55,28,19,15,2,4
2023-12-08,69,16,13,13,1,3
2023-12-09,49,22,6,14,2,4
2023-12-10,56,27,26,14,1,3
2023-12-11,64,31,11,22,1,4
2023-12-12,69,23,5,21,1,5
2023-12-13,58,20,4,19,1,5
2023-12-14,44,29,37,17,1,4
2023-12-15,62,33,33,19,2,4
2023-12-16,65,36,37,17,2,4
2023-12-17,68,34,77,14,1,3
2023-12-18,65,26,57,10,2,3
2023-12-19,57,38,87,13,3,3
2023-12-20,70,42,55,17,3,4
2023-12-21,77,54,89,20,1,5
2023-12-22,105,39,54,14,1,4
2023-12-23,68,32,58,12,1,3
2023-12-24,60,40,69,15,2,3
2023-12-25,73,44,68,20,1,4
2023-12-26,84,44,78,25,2,5
2023-12-27,94,46,79,19,2,6
2023-12-28,104,34,66,9,2,4
2023-12-29,78,41,71,11,3,5
2023-12-30,92,,,,,
