time,pm25,pm10,O3,NO2,SO2,CO
2021-04-01,,73,17,22,12,10
2021-04-02,136,35,24,15,8,4
2021-04-03,76,94,23,15,6,5
2021-04-04,112,34,20,12,6,3
2021-04-05,83,39,22,16,9,5
2021-04-06,81,54,21,20,8,9
2021-04-07,100,52,23,23,8,7
2021-04-08,103,81,22,22,9,11
2021-04-09,132,129,9,32,11,10
2021-04-10,161,134,21,25,13,14
2021-04-11,153,76,13,21,13,13
2021-04-12,139,134,22,18,5,8
2021-04-13,160,56,25,19,4,7
2021-04-14,108,59,19,19,4,6
2021-04-15,102,89,22,17,6,9
2021-04-16,130,71,13,18,11,15
2021-04-17,128,108,10,23,6,18
2021-04-18,180,141,10,30,7,20
2021-04-19,205,148,10,39,13,30
2021-04-20,216,91,19,31,7,17
2021-04-21,168,125,13,34,10,21
2021-04-22,198,141,10,36,9,23
2021-04-23,216,107,18,26,3,17
2021-04-24,176,89,18,27,15,16
2021-04-25,152,55,29,8,2,3
2021-04-26,92,84,15,25,11,15
2021-04-27,140,143,15,25,16,20
2021-04-28,159,108,8,23,7,14
2021-04-29,166,82,25,17,4,14
2021-04-30,136,62,22,19,5,7
2021-05-01,122,87,24,20,11,15
2021-05-02,153,77,21,27,7,11
2021-05-03,126,132,19,32,10,21
2021-05-04,190,124,26,25,11,16
2021-05-05,163,61,26,14,7,7
2021-05-06,123,73,23,23,6,12
2021-05-07,156,110,31,28,11,16
2021-05-08,185,133,39,31,11,21
2021-05-09,216,143,42,29,17,29
2021-05-10,238,152,22,27,20,33
2021-05-11,241,158,3,28,16,43
2021-05-12,261,54,16,13,6,13
2021-05-13,122,22,29,6,3,3
2021-05-14,80,25,30,3,2,2
2021-05-15,86,24,28,3,3,2
2021-05-16,79,59,27,19,6,8
2021-05-17,121,120,19,35,9,20
2021-05-18,186,125,19,38,12,19
2021-05-19,180,179,9,43,13,22
2021-05-20,202,78,30,23,10,12
2021-05-21,131,55,22,14,7,8
2021-05-22,105,60,20,19,8,11
2021-05-23,129,90,24,24,9,15
2021-05-24,168,101,39,27,8,16
2021-05-25,183,107,34,33,9,18
2021-05-26,191,75,26,27,12,19
2021-05-27,161,20,34,7,1,3
2021-05-28,71,60,15,23,2,6
2021-05-29,150,101,12,31,5,17
2021-05-30,184,114,22,28,6,17
2021-05-31,194,91,30,19,4,12
2021-06-01,145,34,28,13,2,3
2021-06-02,74,69,23,26,3,8
2021-06-03,141,92,26,35,6,14
2021-06-04,172,136,36,39,7,14
2021-06-05,229,134,31,37,6,12
2021-06-06,229,89,34,29,4,9
2021-06-07,174,93,17,29,7,14
2021-06-08,182,83,33,26,2,13
2021-06-09,180,118,27,37,5,16
2021-06-10,210,443,29,27,2,10
2021-06-11,239,99,29,13,3,5
2021-06-12,105,147,22,31,6,9
2021-06-13,147,67,25,25,5,10
2021-06-14,144,84,24,24,3,9
2021-06-15,170,56,29,14,1,4
2021-06-16,132,27,34,8,1,1
2021-06-17,81,168,25,21,2,3
2021-06-18,126,97,32,30,5,6
2021-06-19,149,114,34,27,6,8
2021-06-20,149,105,43,33,6,8
2021-06-21,159,143,25,46,12,20
2021-06-22,202,104,30,33,8,22
2021-06-23,187,417,31,18,1,5
2021-06-24,206,71,33,18,3,3
2021-06-25,93,137,39,30,6,8
2021-06-26,158,145,52,32,8,11
2021-06-27,168,135,64,34,14,16
2021-06-28,173,137,17,49,16,17
2021-06-29,184,40,36,16,2,3
2021-06-30,97,58,36,21,3,4
2021-07-01,101,,,,,
2022-12-29,,68,54,20,4,10
2022-12-30,140,12,28,11,1,6
2022-12-31,47,16,21,8,1,6
2023-01-01,52,13,25,10,0,2
2023-01-02,30,37,26,15,2,5
2023-01-03,59,52,26,20,1,4
2023-01-04,87,68,33,25,3,6
2023-01-05,139,61,19,26,3,6
2023-01-06,124,30,24,9,1,3
2023-01-07,51,24,28,12,1,2
2023-01-08,38,44,27,17,2,6
2023-01-09,74,71,30,28,3,6
2023-01-10,135,90,38,31,2,6
2023-01-11,164,105,50,42,3,7
2023-01-12,180,137,55,36,2,11
2023-01-13,206,51,22,7,2,4
2023-01-14,74,24,21,9,1,1
2023-01-15,27,46,22,16,2,4
2023-01-16,63,78,25,23,2,6
2023-01-17,135,87,29,32,3,8
2023-01-18,151,97,45,34,3,8
2023-01-19,167,87,25,17,2,6
2023-01-20,125,46,24,15,2,5
2023-01-21,65,59,30,21,4,8
2023-01-22,94,92,41,30,4,9
2023-01-23,161,80,33,25,3,7
2023-01-24,142,31,14,11,2,3
2023-01-25,44,50,9,24,3,7
2023-01-26,67,79,5,26,5,13
2023-01-27,126,78,13,24,3,10
2023-01-28,154,55,23,17,1,5
2023-01-29,103,35,18,17,3,5
2023-01-30,50,67,7,23,6,12
2023-01-31,97,44,19,15,4,5
2023-02-01,64,31,24,13,3,3
2023-02-02,49,61,18,22,2,5
2023-02-03,122,105,3,33,4,11
2023-02-04,168,62,30,18,3,6
2023-02-05,122,80,30,23,3,7
2023-02-06,154,109,32,30,4,11
2023-02-07,190,87,18,19,3,15
2023-02-08,180,83,7,20,3,17
2023-02-09,166,29,23,9,2,5
2023-02-10,77,17,23,10,1,2
2023-02-11,35,50,12,23,4,7
2023-02-12,101,62,19,18,3,7
2023-02-13,109,75,9,27,5,10
2023-02-14,123,122,11,31,4,13
2023-02-15,197,93,18,21,4,11
2023-02-16,158,93,21,24,4,11
2023-02-17,171,75,8,20,4,12
2023-02-18,127,44,23,16,2,6
2023-02-19,93,65,12,22,5,10
2023-02-20,117,70,11,26,5,9
2023-02-21,141,97,5,22,5,12
2023-02-22,175,88,26,11,2,10
2023-02-23,126,30,23,8,3,3
2023-02-24,39,60,11,19,5,10
2023-02-25,104,61,23,12,3,7
2023-02-26,106,33,23,0,1,1
2023-02-27,32,31,21,3,1,2
2023-02-28,43,31,22,12,2,3
2023-03-01,62,65,12,22,5,8
2023-03-02,127,52,24,14,4,9
2023-03-03,102,45,44,13,6,7
2023-03-04,85,58,14,21,3,9
2023-03-05,113,60,19,23,4,7
2023-03-06,105,57,15,26,4,6
2023-03-07,109,64,26,20,8,13
2023-03-08,115,68,13,23,4,11
2023-03-09,125,42,27,9,3,7
2023-03-10,78,25,21,14,3,4
2023-03-11,47,403,25,16,1,3
2023-03-12,174,185,25,6,1,2
2023-03-13,94,70,13,17,3,5
2023-03-14,80,43,26,10,3,5
2023-03-15,70,18,23,4,2,4
2023-03-16,39,23,25,1,0,1
2023-03-17,23,37,18,15,3,5
2023-03-18,65,57,17,20,4,10
2023-03-19,109,72,14,23,4,12
2023-03-20,144,36,23,10,3,4
2023-03-21,57,21,26,2,1,2
2023-03-22,23,26,78,9,3,5
2023-03-23,57,44,22,13,4,9
2023-03-24,94,70,8,25,8,16
2023-03-25,133,63,21,19,5,13
2023-03-26,113,53,21,13,3,11
2023-03-27,91,45,19,19,2,7
2023-03-28,80,45,24,16,3,8
2023-03-29,84,51,14,20,4,11
2023-03-30,,47,24,15,4,9
2023-03-30,108,68,13,21,4,12
2023-03-31,88,52,17,15,5,11
2023-03-31,127,66,18,19,6,13
2023-04-01,101,84,12,22,8,17
2023-04-01,114,,,,,
2023-04-02,159,115,9,29,6,19
2023-04-03,195,135,16,26,4,16
2023-04-04,202,80,13,19,4,9
2023-04-05,114,82,20,18,6,13
2023-04-06,131,70,19,19,5,12
2023-04-07,118,59,16,21,5,11
2023-04-08,111,105,4,30,7,17
2023-04-09,172,115,3,32,12,23
2023-04-10,182,68,26,16,2,12
2023-04-11,129,22,27,4,1,2
2023-04-12,39,22,24,2,1,3
2023-04-13,33,40,20,9,1,6
2023-04-14,70,93,22,13,2,11
2023-04-15,133,100,22,14,3,10
2023-04-16,140,108,27,12,2,10
2023-04-17,130,39,28,4,1,2
2023-04-18,49,119,26,14,9,11
2023-04-19,189,115,26,12,9,16
2023-04-20,192,55,29,3,3,5
2023-04-21,94,30,28,3,1,2
2023-04-22,40,57,60,11,3,8
2023-04-23,112,56,27,9,4,9
2023-04-24,105,20,27,3,1,2
2023-04-25,30,53,26,11,2,4
2023-04-26,78,66,29,14,2,5
2023-04-27,101,78,20,24,8,13
2023-04-28,138,91,34,16,4,12
2023-04-29,127,51,31,5,2,4
2023-04-30,55,36,26,10,3,5
2023-05-01,56,72,17,23,4,11
2023-05-02,145,59,24,20,3,9
2023-05-03,126,117,24,31,7,15
2023-05-04,205,112,18,28,11,18
2023-05-05,184,62,29,20,5,11
2023-05-06,125,67,31,22,5,9
2023-05-07,122,59,23,22,6,11
2023-05-08,117,73,20,16,1,7
2023-05-09,167,119,7,27,2,13
2023-05-10,206,74,27,13,3,9
2023-05-11,143,24,33,7,1,4
2023-05-12,52,34,26,12,3,5
2023-05-13,68,54,23,16,3,7
