time,pm25,pm10,O3,NO2,SO2,CO
2023-09-28,,54,132,7,3,7
2023-09-29,82,39,43,6,0,4
2023-09-30,59,23,37,3,,1
2023-10-01,34,27,40,6,,2
2023-10-02,54,58,118,7,3,5
2023-10-03,67,78,112,24,4,8
2023-10-04,97,43,56,9,0,2
2023-10-05,75,36,66,6,0,2
2023-10-06,49,34,54,9,0,3
2023-10-07,57,44,80,11,0,4
2023-10-08,50,35,51,10,0,3
2023-10-09,46,34,35,13,0,3
2023-10-10,49,26,34,10,,2
2023-10-11,50,40,66,12,0,5
2023-10-12,45,25,46,6,1,2
2023-10-13,38,28,51,6,0,1
2023-10-14,38,43,85,11,1,5
2023-10-15,54,47,100,11,3,7
2023-10-16,55,61,123,10,5,8
2023-10-17,86,67,120,10,6,10
2023-10-18,117,45,51,12,2,3
2023-10-19,71,18,35,8,2,1
2023-10-20,41,27,80,9,2,4
2023-10-21,42,35,68,11,2,4
2023-10-22,56,32,69,7,2,3
2023-10-23,59,47,62,10,3,4
2023-10-24,68,26,45,3,2,2
2023-10-25,52,32,34,8,2,3
2023-10-26,60,21,24,11,2,2
2023-10-27,42,17,14,10,1,1
2023-10-28,38,29,20,7,,1
2023-10-29,42,29,31,6,2,1
2023-10-30,51,34,60,5,3,4
2023-10-31,62,43,69,4,3,6
2023-11-01,82,44,59,7,3,7
2023-11-02,77,29,31,8,2,3
2023-11-03,54,20,37,6,2,1
2023-11-04,42,20,42,5,3,2
2023-11-05,46,37,40,12,3,2
2023-11-06,64,31,60,13,2,3
2023-11-07,46,35,47,8,2,2
2023-11-08,44,36,44,10,1,3
2023-11-09,44,22,23,11,0,3
2023-11-10,43,18,43,4,1,2
2023-11-11,38,37,60,11,1,4
2023-11-12,43,55,81,11,2,7
2023-11-13,76,55,79,23,1,6
2023-11-14,82,42,68,12,1,4
2023-11-15,64,51,71,10,2,8
2023-11-16,103,57,57,11,2,6
2023-11-17,106,54,58,10,1,4
2023-11-18,106,26,40,12,0,3
2023-11-19,50,45,43,15,0,3
2023-11-20,60,53,73,16,2,6
2023-11-21,57,44,47,15,1,5
2023-11-22,68,31,54,12,0,2
2023-11-23,53,34,36,13,0,3
2023-11-24,33,34,25,14,0,3
2023-11-25,38,29,31,5,1,2
2023-11-26,30,31,31,9,0,1
2023-11-27,36,29,44,10,0,2
2023-11-28,30,27,29,15,1,2
2023-11-29,36,35,36,16,1,3
2023-11-30,31,46,85,14,4,5
2023-12-01,42,54,74,18,4,4
2023-12-02,44,56,94,12,2,4
2023-12-03,67,66,64,18,1,4
2023-12-04,107,56,64,17,2,2
2023-12-05,74,55,56,13,3,6
2023-12-06,74,50,92,14,2,4
2023-12-07,45,34,31,12,1,2
2023-12-08,45,37,42,15,1,4
2023-12-09,57,46,54,8,3,6
2023-12-10,82,27,36,11,1,1
2023-12-11,41,32,50,12,2,3
2023-12-12,46,48,72,15,4,6
2023-12-13,58,42,68,9,4,6
2023-12-14,58,53,72,12,2,5
2023-12-15,61,51,60,16,4,3
2023-12-16,67,47,70,8,0,2
2023-12-17,63,47,35,9,4,2
2023-12-18,77,32,34,11,3,1
2023-12-19,53,47,59,12,8,4
2023-12-20,62,38,34,10,2,4
2023-12-21,71,27,36,11,3,1
2023-12-22,54,38,14,18,6,2
2023-12-23,55,41,33,16,3,4
2023-12-24,73,55,28,18,7,9
2023-12-25,112,58,32,15,2,5
2023-12-26,139,42,27,18,4,2
2023-12-27,72,67,63,18,8,6
2023-12-28,106,37,30,12,1,2
2023-12-29,76,38,30,14,4,2
2023-12-30,77,,,,,
