time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,79,66,22,20,8,4
2021-01-02,143,56,18,15,5,2
2021-01-03,110,42,28,17,5,1
2021-01-04,73,38,25,14,3,1
2021-01-05,61,,,,,
2021-04-01,,63,11,23,11,8
2021-04-02,140,37,21,15,7,3
2021-04-03,66,82,24,15,11,5
2021-04-04,101,48,23,8,9,3
2021-04-05,70,49,27,12,11,5
2021-04-06,85,53,26,12,10,5
2021-04-07,88,50,26,14,10,5
2021-04-08,103,86,28,10,12,4
2021-04-09,98,169,26,12,5,7
2021-04-10,134,139,19,19,7,7
2021-04-11,153,110,9,26,9,12
2021-04-12,160,122,19,19,4,8
2021-04-13,160,92,26,14,5,5
2021-04-14,143,87,30,13,5,8
2021-04-15,117,84,18,18,9,6
2021-04-16,119,51,17,12,5,5
2021-04-17,99,73,10,23,6,10
2021-04-18,157,110,15,28,7,12
2021-04-19,185,125,19,31,9,14
2021-04-20,214,71,27,24,4,11
2021-04-21,154,96,16,29,12,14
2021-04-22,178,116,15,31,10,15
2021-04-23,201,99,28,21,4,10
2021-04-24,187,126,31,25,12,13
2021-04-25,211,94,30,13,3,3
2021-04-26,93,90,22,20,9,8
2021-04-27,128,77,26,22,8,7
2021-04-28,129,86,15,19,5,9
2021-04-29,164,90,28,16,5,8
2021-04-30,136,52,29,14,6,5
2021-05-01,90,93,22,21,11,8
2021-05-02,159,88,33,17,9,7
2021-05-03,150,84,35,12,7,7
2021-05-04,140,85,37,15,9,6
2021-05-05,109,58,32,8,4,3
2021-05-06,92,50,37,7,7,5
2021-05-07,98,63,40,6,8,5
2021-05-08,138,84,63,8,11,8
2021-05-09,172,82,57,7,10,7
2021-05-10,164,130,49,10,8,9
2021-05-11,237,92,28,7,8,8
2021-05-12,192,109,22,12,4,9
2021-05-13,204,49,36,7,4,4
2021-05-14,105,54,35,4,4,3
2021-05-15,96,31,30,4,4,1
2021-05-16,58,55,37,8,9,5
2021-05-17,108,69,38,9,8,6
2021-05-18,118,75,36,12,8,5
2021-05-19,89,103,30,18,12,8
2021-05-20,126,85,33,11,5,4
2021-05-21,103,46,31,9,7,4
2021-05-22,87,47,22,10,5,4
2021-05-23,103,69,24,18,7,7
2021-05-24,162,64,44,16,5,6
2021-05-25,153,79,44,21,9,7
2021-05-26,157,64,24,23,9,7
2021-05-27,153,33,23,9,3,5
2021-05-28,101,66,29,11,6,7
2021-05-29,158,59,43,8,5,5
2021-05-30,145,75,39,13,8,6
2021-05-31,163,89,25,13,5,6
2021-06-01,159,37,26,9,4,2
2021-06-02,66,41,32,14,7,4
2021-06-03,88,80,39,18,13,6
2021-06-04,170,101,40,17,9,8
2021-06-05,191,56,40,9,5,3
2021-06-06,143,60,46,11,5,4
2021-06-07,152,66,48,10,4,5
2021-06-08,162,87,38,14,5,6
2021-06-09,179,72,31,12,7,5
2021-06-10,165,437,23,10,5,4
2021-06-11,205,289,28,12,4,2
2021-06-12,112,189,37,16,9,5
2021-06-13,138,77,36,13,6,5
2021-06-14,115,57,32,13,5,4
2021-06-15,116,124,27,9,4,4
2021-06-16,126,53,34,8,4,1
2021-06-17,56,73,33,13,7,4
2021-06-18,79,63,44,13,8,5
2021-06-19,102,90,39,13,7,5
2021-06-20,140,89,63,18,9,6
2021-06-21,147,77,32,14,7,6
2021-06-22,147,101,37,16,5,8
2021-06-23,189,333,34,11,3,5
2021-06-24,190,228,33,10,5,3
2021-06-25,132,115,43,15,7,4
2021-06-26,113,136,60,16,9,5
2021-06-27,138,68,38,13,8,4
2021-06-28,102,57,33,17,6,4
2021-06-29,100,43,33,9,5,4
2021-06-30,110,50,47,13,6,3
2021-07-01,104,,,,,
2022-03-31,,73,13,23,6,0
2022-04-01,150,67,14,25,8,0
2022-04-02,149,56,12,21,6,0
2022-04-03,137,81,7,24,5,0
2022-04-04,173,93,7,24,6,0
2022-04-05,191,76,4,21,3,0
2022-04-06,176,118,16,23,3,0
2022-04-07,241,75,31,16,10,0
2022-04-08,159,62,59,17,3,0
2022-04-09,137,98,7,22,2,0
2022-04-10,202,47,19,16,3,0
2022-04-11,114,71,24,14,5,0
2022-04-12,159,75,17,16,4,0
2022-04-13,151,27,23,14,4,0
2022-04-14,57,50,20,16,7,0
2022-04-15,106,93,26,24,9,0
2022-04-16,186,84,20,20,7,0
2022-04-17,158,31,22,8,5,0
2022-04-18,78,43,13,12,7,0
2022-04-19,117,63,10,15,3,0
2022-04-20,168,84,16,22,4,0
2022-04-21,188,37,31,7,6,0
2022-04-22,111,84,21,13,4,0
2022-04-23,192,74,23,14,3,0
2022-04-24,156,52,24,16,3,0
2022-04-25,142,51,27,12,4,0
2022-04-26,138,73,33,12,5,0
2022-04-27,174,84,37,8,7,0
2022-04-28,185,70,29,2,5,0
2022-04-29,92,19,32,2,5,0
2022-04-30,62,24,37,2,6,0
2022-05-01,80,51,43,4,8,0
2022-05-02,140,20,32,3,4,0
2022-05-03,60,25,33,4,5,0
2022-05-04,77,44,27,7,7,0
2022-05-05,118,53,35,15,7,0
2022-05-06,133,54,35,13,7,0
2022-05-07,145,62,33,10,5,0
2022-05-08,158,75,38,16,6,0
2022-05-09,172,73,21,17,5,0
2022-05-10,172,86,24,17,5,0
2022-05-11,180,63,17,11,4,0
2022-05-12,143,44,33,7,3,0
2022-05-13,105,38,28,7,2,0
2022-05-14,87,55,30,10,3,0
2022-05-15,123,39,33,8,4,0
2022-05-16,81,80,22,16,6,0
2022-05-17,159,40,32,8,3,0
2022-05-18,68,48,29,10,6,0
2022-05-19,82,39,30,6,3,0
2022-05-20,55,35,32,7,3,0
2022-05-21,59,49,31,9,5,0
2022-05-22,85,95,38,16,8,0
2022-05-23,167,95,43,10,6,0
2022-05-24,165,66,37,7,5,0
2022-05-25,81,72,42,8,6,0
2022-05-26,98,89,30,9,7,0
2022-05-27,136,31,34,4,4,0
2022-05-28,36,56,36,7,5,0
2022-05-29,79,80,37,17,7,0
2022-05-30,116,193,36,7,4,0
2022-05-31,121,55,36,6,5,0
2022-06-01,55,75,32,10,7,0
2022-06-02,93,81,42,10,6,3
2022-06-03,113,117,51,10,7,2
2022-06-04,143,148,49,13,7,2
2022-06-05,144,113,75,7,6,2
2022-06-06,147,119,43,10,7,4
2022-06-07,173,78,29,6,5,3
2022-06-08,161,82,24,8,5,5
2022-06-09,162,94,44,5,4,3
2022-06-10,147,252,47,7,5,4
2022-06-11,164,127,31,8,4,4
2022-06-12,126,36,32,3,5,1
2022-06-13,46,36,28,5,4,1
2022-06-14,69,47,36,5,4,1
2022-06-15,113,60,39,10,6,2
2022-06-16,131,87,27,13,8,3
2022-06-17,163,66,37,14,6,2
2022-06-18,129,86,43,8,5,3
2022-06-19,150,63,20,5,3,1
2022-06-20,126,99,16,11,3,1
2022-06-21,149,99,35,11,5,3
2022-06-22,125,40,39,3,2,1
2022-06-23,23,62,44,6,4,1
2022-06-24,76,74,34,7,3,3
2022-06-25,124,58,37,6,4,3
2022-06-26,102,41,40,8,5,1
2022-06-27,66,48,44,10,5,1
2022-06-28,81,57,43,10,4,2
