time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,134,58,63,7,3,6
2021-01-02,116,50,31,5,2,6
2021-01-03,102,37,25,5,,5
2021-01-04,82,43,23,7,2,4
2021-01-05,77,,,,,
2021-07-01,,34,27,4,1,4
2021-07-02,84,53,26,7,1,5
2021-07-03,120,50,34,7,1,6
2021-07-04,135,39,45,4,2,3
2021-07-05,77,52,27,12,2,5
2021-07-06,92,56,52,10,2,5
2021-07-07,99,51,50,10,2,5
2021-07-08,117,45,50,9,2,5
2021-07-09,115,49,72,10,2,4
2021-07-10,93,50,61,12,2,4
2021-07-11,97,53,42,11,2,5
2021-07-12,104,48,60,10,2,5
2021-07-13,93,73,37,10,2,6
2021-07-14,143,63,46,8,2,4
2021-07-15,132,56,56,8,1,3
2021-07-16,123,209,39,9,2,2
2021-07-17,154,169,46,6,2,1
2021-07-18,126,81,28,14,2,2
2021-07-19,92,60,52,8,2,2
2021-07-20,89,50,36,9,2,3
2021-07-21,89,53,24,7,1,4
2021-07-22,132,43,47,8,2,3
2021-07-23,105,50,43,8,2,3
2021-07-24,104,54,29,6,1,2
2021-07-25,128,61,32,8,1,2
2021-07-26,140,57,43,9,4,6
2021-07-27,131,62,58,11,2,3
2021-07-28,112,65,47,9,2,2
2021-07-29,94,51,51,4,2,1
2021-07-30,66,50,51,7,3,12
2021-07-31,79,61,60,7,2,2
2021-08-01,83,56,52,6,3,1
2021-08-02,88,39,26,7,3,2
2021-08-03,79,69,67,7,3,3
2021-08-04,107,66,52,8,2,2
2021-08-05,88,67,57,5,3,2
2021-08-06,99,78,55,6,3,2
2021-08-07,105,84,68,5,3,2
2021-08-08,108,26,77,5,3,2
2021-08-09,65,35,53,5,3,3
2021-08-10,76,73,46,6,2,3
2021-08-11,139,62,47,5,2,3
2021-08-12,134,51,,7,2,3
2021-08-13,109,28,,8,2,3
2021-08-14,68,23,,6,2,4
2021-08-15,59,26,,4,2,2
2021-08-16,76,26,44,5,2,3
2021-08-17,64,33,41,6,2,2
2021-08-18,71,52,38,8,2,3
2021-08-19,131,45,49,8,3,3
2021-08-20,115,36,50,6,3,3
2021-08-21,92,40,67,4,3,4
2021-08-22,96,48,38,6,2,4
2021-08-23,104,54,49,7,2,2
2021-08-24,75,67,49,8,4,3
2021-08-25,94,29,39,8,2,2
