time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,135,74,19,10,7,10
2021-01-02,127,52,13,15,7,13
2021-01-03,84,52,22,11,5,7
2021-01-04,54,52,17,15,6,6
2021-01-05,73,44,11,18,8,5
2021-01-06,78,42,40,12,6,4
2021-01-07,72,62,41,23,5,7
2021-01-08,130,80,8,32,7,9
2021-01-09,161,90,8,35,7,9
2021-01-10,170,115,12,28,9,10
2021-01-11,175,92,17,18,5,8
2021-01-12,120,56,7,20,7,9
2021-01-13,117,37,30,6,3,8
2021-01-14,89,54,17,13,5,10
2021-01-15,136,64,24,18,5,10
2021-01-16,131,100,37,21,11,12
2021-01-17,182,75,37,14,10,10
2021-01-18,166,67,52,17,9,9
2021-01-19,159,77,47,17,7,10
2021-01-20,169,136,31,14,7,8
2021-01-21,153,138,31,19,7,7
2021-01-22,153,88,28,18,12,7
2021-01-23,114,76,43,18,8,6
2021-01-24,145,84,53,16,7,7
2021-01-25,157,97,61,21,10,9
2021-01-26,172,115,21,21,9,10
2021-01-27,161,72,11,19,9,12
2021-01-28,111,84,24,20,8,8
2021-01-29,149,84,37,24,14,10
2021-01-30,165,90,30,18,5,10
2021-01-31,175,94,21,17,8,8
2021-02-01,128,89,25,15,7,7
2021-02-02,101,66,25,16,8,7
2021-02-03,92,71,35,12,4,7
2021-02-04,124,63,16,13,4,8
2021-02-05,129,90,33,16,8,10
2021-02-06,137,79,29,17,6,8
2021-02-07,99,75,23,17,6,7
2021-02-08,104,88,22,21,7,9
2021-02-09,151,115,41,21,10,11
2021-02-10,175,99,60,13,6,8
2021-02-11,168,90,37,18,6,9
2021-02-12,169,150,45,20,12,13
2021-02-13,253,122,34,27,12,12
2021-02-14,205,85,41,15,5,8
2021-02-15,170,145,25,20,9,12
2021-02-16,241,101,5,22,6,13
2021-02-17,193,17,29,11,3,12
2021-02-18,59,44,21,13,4,9
2021-02-19,91,42,18,11,5,8
2021-02-20,107,40,16,7,3,8
2021-02-21,130,38,18,7,3,9
2021-02-22,129,55,15,14,7,9
2021-02-23,148,49,12,14,4,10
2021-02-24,147,66,6,17,5,9
2021-02-25,144,80,13,24,6,11
2021-02-26,152,67,13,19,6,10
2021-02-27,135,62,16,19,6,8
2021-02-28,128,82,11,22,7,10
2021-03-01,169,121,3,28,8,15
2021-03-02,226,96,2,26,8,14
2021-03-03,184,74,16,15,4,12
2021-03-04,167,85,19,19,5,13
2021-03-05,175,90,13,22,7,12
2021-03-06,176,91,24,19,6,11
2021-03-07,177,90,17,21,7,13
2021-03-08,171,109,12,24,7,15
2021-03-09,183,69,14,22,8,10
2021-03-10,142,107,7,24,7,11
2021-03-11,184,108,3,22,3,13
2021-03-12,172,105,5,25,5,15
2021-03-13,176,91,7,28,8,13
2021-03-14,167,83,21,15,5,8
2021-03-15,116,47,19,12,8,5
2021-03-16,75,66,14,20,8,8
2021-03-17,137,89,15,26,10,12
2021-03-18,171,92,13,27,8,9
2021-03-19,179,92,17,27,11,15
2021-03-20,164,60,14,19,7,7
2021-03-21,136,74,10,26,11,12
2021-03-22,164,91,18,28,12,14
2021-03-23,178,86,30,21,7,9
2021-03-24,179,93,17,22,8,10
2021-03-25,171,100,27,25,9,14
2021-03-26,171,92,13,17,10,10
2021-03-27,160,,,,,
2021-03-28,,191,4,48,8,22
2021-03-29,314,166,13,35,9,19
2021-03-30,248,77,19,10,5,7
2021-03-31,90,57,21,12,6,5
2021-04-01,,111,11,28,11,17
2021-04-01,62,46,20,15,6,4
2021-04-02,200,64,19,24,8,9
2021-04-02,74,55,19,17,7,6
2021-04-03,138,94,22,18,7,8
2021-04-03,106,96,14,29,10,11
2021-04-04,129,60,21,9,6,4
2021-04-04,179,105,11,34,14,17
2021-04-05,68,51,24,15,6,4
2021-04-05,194,,,,,
2021-04-06,75,54,21,17,9,5
2021-04-07,79,62,18,22,10,7
2021-04-08,118,79,24,16,7,4
2021-04-09,111,143,24,12,5,4
2021-04-10,144,147,52,23,11,7
2021-04-11,167,222,14,31,12,14
2021-04-12,202,155,14,18,7,10
2021-04-13,171,131,15,20,7,8
2021-04-14,174,102,25,17,6,7
2021-04-15,123,76,20,22,8,6
2021-04-16,112,88,21,16,7,7
2021-04-17,163,87,12,15,6,8
2021-04-18,166,115,16,23,6,12
2021-04-19,190,149,30,22,10,16
2021-04-20,247,129,29,23,11,14
2021-04-21,226,173,8,30,10,19
2021-04-22,272,110,26,19,12,16
2021-04-23,189,131,31,24,9,21
2021-04-24,207,112,42,17,7,10
2021-04-25,187,150,28,11,5,5
2021-04-26,130,105,23,17,5,5
2021-04-27,138,76,29,19,8,7
2021-04-28,140,80,23,20,8,8
2021-04-29,148,74,16,22,9,8
2021-04-30,141,78,25,12,8,6
2021-05-01,127,103,22,19,8,10
2021-05-02,169,101,41,16,8,8
2021-05-03,172,89,33,12,9,5
2021-05-04,139,76,34,13,9,3
2021-05-05,115,117,41,9,10,8
2021-05-06,122,50,33,7,7,3
2021-05-07,107,56,36,7,5,3
2021-05-08,130,83,40,11,7,6
2021-05-09,157,71,56,7,14,5
2021-05-10,145,89,29,7,6,5
2021-05-11,171,63,25,5,5,4
2021-05-12,138,119,31,7,5,12
2021-05-13,201,56,29,3,3,4
2021-05-14,112,59,35,5,5,4
2021-05-15,118,56,37,6,7,3
2021-05-16,86,74,38,12,7,5
2021-05-17,156,74,43,12,7,5
2021-05-18,126,72,37,14,8,4
2021-05-19,112,65,38,19,8,4
2021-05-20,127,117,33,14,8,6
2021-05-21,143,54,35,8,7,3
2021-05-22,94,61,36,11,5,4
2021-05-23,111,63,30,12,5,8
2021-05-24,140,82,48,13,7,7
2021-05-25,158,88,33,12,9,7
2021-05-26,165,56,15,14,4,7
2021-05-27,116,21,27,6,3,5
2021-05-28,57,48,39,8,5,5
2021-05-29,84,52,44,8,4,4
2021-05-30,83,61,39,11,6,5
2021-05-31,88,71,44,9,4,4
2021-06-01,92,49,31,5,3,2
2021-06-02,51,45,33,9,5,3
2021-06-03,91,78,42,15,5,5
2021-06-04,157,73,46,14,5,5
2021-06-05,123,50,38,14,4,5
2021-06-06,81,59,31,16,4,5
2021-06-07,91,62,34,10,4,5
2021-06-08,100,58,36,9,4,4
2021-06-09,93,58,35,9,4,4
2021-06-10,87,163,32,11,4,7
2021-06-11,130,571,27,8,4,2
2021-06-12,172,197,46,16,7,4
2021-06-13,160,111,66,14,5,5
2021-06-14,150,77,24,10,5,5
2021-06-15,114,166,20,15,7,7
2021-06-16,121,108,31,10,6,3
2021-06-17,77,80,35,17,10,4
2021-06-18,95,79,33,14,10,3
2021-06-19,90,98,34,16,8,6
2021-06-20,128,107,47,17,11,6
2021-06-21,123,74,21,16,7,6
2021-06-22,114,83,40,12,5,9
2021-06-23,149,531,32,12,5,8
2021-06-24,197,634,15,15,8,7
2021-06-25,212,140,46,16,17,6
2021-06-26,148,124,32,15,7,5
2021-06-27,133,83,33,13,6,4
2021-06-28,112,68,35,11,5,5
2021-06-29,77,36,30,5,3,6
2021-06-30,58,48,42,8,5,6
2021-07-01,,83,33,13,6,4
2021-07-01,67,,,,,
2021-07-02,112,68,35,11,5,5
2021-07-03,77,36,30,5,3,6
2021-07-04,58,48,42,8,5,6
2021-07-05,67,61,43,15,8,6
2021-07-06,81,71,56,15,9,6
2021-07-07,101,81,66,17,6,6
2021-07-08,123,85,63,13,8,6
2021-07-09,122,77,48,13,11,6
2021-07-10,107,59,60,13,6,4
2021-07-11,81,62,27,10,6,5
2021-07-12,78,78,64,11,7,6
2021-07-13,118,59,35,5,6,4
2021-07-14,53,60,44,12,7,4
2021-07-15,79,122,44,7,6,4
2021-07-16,101,524,24,5,5,2
2021-07-17,179,,,,,
2021-07-22,,47,46,6,4,4
2021-07-23,74,55,41,6,4,4
2021-07-24,81,48,40,2,4,4
2021-07-25,58,42,31,3,5,3
2021-07-26,64,53,45,7,8,4
2021-07-27,86,74,46,7,7,4
2021-07-28,88,83,70,8,8,2
2021-07-29,80,96,40,10,10,2
2021-07-30,106,104,41,12,10,3
2021-07-31,113,56,50,6,5,2
2021-08-01,75,54,38,7,7,2
2021-08-02,73,52,26,11,7,3
2021-08-03,81,94,40,9,6,4
2021-08-04,94,99,54,10,11,6
2021-08-05,117,94,48,8,9,3
2021-08-06,112,280,39,7,7,2
2021-08-07,181,134,59,11,19,6
2021-08-08,165,97,62,8,9,4
2021-08-09,143,104,65,6,7,3
2021-08-10,125,54,54,5,7,3
2021-08-11,98,76,25,14,10,5
2021-08-12,146,,,,,
2021-08-14,,43,38,3,4,4
2021-08-15,83,19,34,4,4,2
2021-08-16,24,45,48,8,10,4
2021-08-17,61,53,77,7,9,4
2021-08-18,72,50,46,7,8,3
2021-08-19,78,59,41,5,5,4
2021-08-20,98,58,59,8,8,3
2021-08-21,87,56,65,7,8,2
2021-08-22,79,68,45,5,7,1
2021-08-23,71,103,63,11,13,2
2021-08-24,112,106,51,7,9,1
2021-08-25,108,73,52,6,4,3
2021-08-26,86,88,67,8,6,3
2021-08-27,94,109,61,6,4,3
2021-08-28,124,92,104,7,9,3
2021-08-29,116,54,72,5,5,3
2021-08-30,69,68,90,6,6,4
2021-08-31,92,67,80,7,3,6
2021-09-01,109,74,93,10,2,5
2021-09-02,95,67,53,6,2,6
