time,pm25,pm10,O3,NO2,SO2,CO
2021-07-01,,20,,8,0,4
2021-07-02,38,17,,6,0,2
2021-07-03,34,15,,6,0,2
2021-07-04,33,41,,4,0,1
2021-07-05,34,40,,13,1,2
2021-07-06,45,60,,21,2,4
2021-07-07,72,51,,27,1,1
2021-07-08,64,38,,11,1,6
2021-07-09,57,56,,19,1,2
2021-07-10,70,58,,18,1,3
2021-07-11,59,43,,18,0,3
2021-07-12,60,40,,11,0,3
2021-07-13,72,61,,14,0,3
2021-07-14,105,52,,20,1,3
2021-07-15,62,54,,22,1,4
2021-07-16,64,81,,22,1,5
2021-07-17,128,125,,9,1,3
2021-07-18,106,68,,14,2,5
2021-07-19,60,71,,21,1,1
2021-07-20,74,67,,26,1,2
2021-07-21,71,51,,21,0,2
2021-07-22,66,53,,15,0,5
2021-07-23,82,45,,8,3,8
2021-07-24,93,52,,11,3,9
2021-07-25,102,33,,10,0,4
2021-07-26,62,47,,14,0,5
2021-07-27,76,35,,8,0,6
2021-07-28,71,67,,11,0,5
2021-07-29,83,81,,10,1,5
2021-07-30,63,74,,13,1,8
2021-07-31,66,46,,10,0,4
2021-08-01,42,51,,13,0,4
2021-08-02,36,54,,15,0,6
2021-08-03,57,34,,11,0,7
2021-08-04,64,87,,14,1,5
2021-08-05,85,76,,20,1,6
2021-08-06,81,74,,9,0,4
2021-08-07,81,114,,8,1,3
2021-08-08,113,53,,12,1,5
2021-08-09,89,55,,14,2,7
2021-08-10,94,28,,5,0,4
2021-08-11,73,53,,14,0,8
2021-08-12,125,59,,20,0,7
2021-08-13,137,38,,15,0,6
2021-08-14,92,18,,10,0,5
2021-08-15,58,12,,7,0,3
2021-08-16,32,22,,6,0,2
2021-08-17,33,42,,15,1,5
2021-08-18,73,49,,27,0,6
2021-08-19,95,12,,5,0,3
2021-08-20,30,,,,,
2021-09-07,,11,,19,1,5
2021-09-08,,51,,21,0,7
2021-09-09,76,36,,13,1,7
2021-09-10,70,53,,12,0,9
2021-09-11,94,35,,12,0,5
2021-09-12,61,14,,9,0,5
2021-09-13,22,20,,9,0,5
2021-09-14,42,20,,5,0,4
2021-09-15,32,20,,9,0,3
2021-09-16,40,37,,13,0,6
2021-09-17,73,19,,4,0,4
2021-09-18,40,28,,7,0,5
2021-09-19,49,36,,12,1,6
2021-09-20,57,39,,13,0,5
2021-09-21,57,40,,15,0,8
2021-09-22,58,40,,15,0,6
2021-09-23,57,44,,14,0,4
2021-09-24,61,36,,10,0,5
2021-09-25,62,32,,8,0,6
2021-09-26,66,38,,13,0,7
2021-09-27,77,32,,11,0,6
