time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,145,44,26,18,7,9
2021-01-02,99,63,27,16,14,9
2021-01-03,88,38,24,9,6,5
2021-01-04,50,40,25,13,10,7
2021-01-05,118,82,31,21,19,15
2021-01-06,117,97,44,24,16,16
2021-01-07,169,89,73,22,16,14
2021-01-08,179,64,62,16,18,8
2021-01-09,141,91,88,24,19,16
2021-01-10,200,68,26,19,17,12
2021-01-11,149,53,25,18,12,9
2021-01-12,85,62,27,18,11,10
2021-01-13,95,55,28,16,17,8
2021-01-14,79,73,36,26,19,13
2021-01-15,123,62,30,20,9,8
2021-01-16,104,87,31,27,29,11
2021-01-17,110,81,28,25,25,12
2021-01-18,109,156,51,37,24,20
2021-01-19,188,132,85,28,23,23
2021-01-20,213,98,53,16,11,7
2021-01-21,134,56,25,17,15,6
2021-01-22,80,65,27,21,13,8
2021-01-23,100,97,25,26,17,15
2021-01-24,134,107,27,30,21,19
2021-01-25,176,135,17,36,24,22
2021-01-26,210,94,23,21,16,9
2021-01-27,117,97,23,26,26,12
2021-01-28,134,98,18,27,30,17
2021-01-29,153,97,25,33,27,15
2021-01-30,161,109,44,32,35,15
2021-01-31,184,91,25,22,14,6
2021-02-01,101,98,28,20,16,9
2021-02-02,114,77,23,31,17,8
2021-02-03,104,123,15,30,32,16
2021-02-04,164,114,20,37,31,18
2021-02-05,175,102,32,33,30,15
2021-02-06,176,114,26,24,20,10
2021-02-07,125,71,23,16,13,8
2021-02-08,87,73,22,22,27,13
2021-02-09,135,83,13,27,37,14
2021-02-10,149,113,39,32,28,19
2021-02-11,200,84,37,21,30,10
2021-02-12,156,75,23,24,20,7
2021-02-13,114,112,23,27,28,14
2021-02-14,152,124,36,37,29,14
2021-02-15,209,98,25,23,27,11
2021-02-16,144,122,27,33,27,17
2021-02-17,221,47,24,11,8,9
2021-02-18,146,52,26,6,8,4
2021-02-19,53,33,27,13,10,6
2021-02-20,84,42,24,13,21,10
2021-02-21,111,39,24,11,13,9
2021-02-22,88,92,24,23,29,14
2021-02-23,158,104,19,27,31,24
2021-02-24,188,77,26,18,20,13
2021-02-25,158,27,27,9,9,5
2021-02-26,76,41,24,10,11,6
2021-02-27,77,50,25,17,16,8
2021-02-28,98,68,24,19,23,13
2021-03-01,157,72,25,19,26,14
2021-03-02,164,89,21,23,28,16
2021-03-03,170,105,18,27,32,19
2021-03-04,191,88,27,25,25,11
2021-03-05,139,104,25,25,28,15
2021-03-06,159,111,19,30,35,19
2021-03-07,212,118,28,29,26,17
2021-03-08,190,63,26,20,25,11
2021-03-09,122,107,19,31,26,19
2021-03-10,174,139,17,32,42,23
2021-03-11,222,167,19,36,44,22
2021-03-12,223,71,25,21,26,16
2021-03-13,144,89,28,22,25,15
2021-03-14,169,49,26,8,15,5
2021-03-15,72,49,22,19,20,8
2021-03-16,86,68,23,20,29,13
2021-03-17,147,93,23,24,37,13
2021-03-18,148,121,19,35,42,20
2021-03-19,193,68,27,17,15,9
2021-03-20,115,116,21,30,35,19
2021-03-21,177,116,24,32,46,19
2021-03-22,201,128,21,36,45,21
2021-03-23,215,202,15,41,48,27
2021-03-24,259,123,30,34,31,18
2021-03-25,179,85,27,25,23,10
2021-03-26,116,72,21,26,22,13
2021-03-27,144,120,15,31,40,22
2021-03-28,198,94,24,21,28,20
2021-03-29,182,54,23,13,16,10
2021-03-30,134,83,27,6,14,6
2021-03-31,75,57,26,18,24,9
2021-04-01,78,83,25,25,32,14
2021-04-02,147,55,26,20,26,12
2021-04-03,126,85,24,24,42,17
2021-04-04,185,107,21,27,35,18
2021-04-05,201,,,,,
2021-07-01,,124,88,27,18,13
2021-07-02,176,89,46,30,18,9
2021-07-03,166,96,36,9,6,6
2021-07-04,70,55,38,16,10,6
2021-07-05,84,93,37,25,18,9
2021-07-06,146,52,43,17,11,5
2021-07-07,95,59,37,11,10,4
2021-07-08,77,72,43,18,13,8
2021-07-09,119,78,50,27,18,10
2021-07-10,159,104,67,23,20,9
2021-07-11,172,69,42,14,15,6
2021-07-12,117,45,37,11,11,6
2021-07-13,94,38,41,6,6,5
2021-07-14,59,47,39,16,10,7
2021-07-15,102,93,54,16,16,6
2021-07-16,142,58,35,9,6,3
2021-07-17,60,58,38,15,9,5
2021-07-18,71,75,38,27,11,8
2021-07-19,122,105,52,33,12,12
2021-07-20,164,182,113,23,17,13
2021-07-21,169,101,75,21,14,7
2021-07-22,158,58,45,22,8,6
2021-07-23,117,42,37,14,11,9
2021-07-24,159,52,40,8,6,8
2021-07-25,106,50,43,13,8,7
2021-07-26,78,89,56,24,14,8
2021-07-27,155,79,37,16,10,9
2021-07-28,140,96,42,22,13,9
2021-07-29,89,60,35,17,9,7
2021-07-30,94,57,32,19,7,7
2021-07-31,97,53,29,15,10,12
2021-08-01,112,59,44,11,7,6
2021-08-02,63,86,55,9,10,8
2021-08-03,103,52,40,11,10,7
2021-08-04,124,83,41,15,17,7
2021-08-05,76,125,74,13,14,7
2021-08-06,128,209,38,14,18,5
2021-08-07,160,82,35,11,10,5
2021-08-08,97,76,39,19,16,10
2021-08-09,110,61,47,19,18,7
2021-08-10,94,62,51,18,18,8
2021-08-11,99,58,45,17,14,7
2021-08-12,81,55,38,16,13,7
2021-08-13,144,55,50,11,10,5
2021-08-14,119,30,32,11,5,7
2021-08-15,70,49,32,18,16,10
2021-08-16,83,84,50,26,26,11
2021-08-17,136,118,62,26,15,11
2021-08-18,137,90,100,17,16,12
2021-08-19,153,81,64,13,12,10
2021-08-20,145,57,79,15,7,9
2021-08-21,137,83,95,12,12,11
2021-08-22,178,95,63,12,8,8
2021-08-23,159,98,37,18,14,9
2021-08-24,124,69,36,14,13,5
2021-08-25,76,45,35,15,17,8
2021-08-26,81,58,39,20,12,9
2021-08-27,145,45,38,9,10,6
2021-08-28,91,69,42,17,18,7
2021-08-29,92,61,48,17,14,6
