time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,80,71,79,20,9,0
2021-01-02,127,78,26,23,7,0
2021-01-03,156,60,22,22,7,0
2021-01-04,100,67,24,20,5,0
2021-01-05,91,,,,,
2021-09-30,,42,87,9,4,0
2021-10-01,70,27,40,4,3,0
2021-10-02,61,24,50,8,3,0
2021-10-03,59,56,107,15,6,0
2021-10-04,109,59,75,9,5,0
2021-10-05,120,39,51,7,4,0
2021-10-06,75,38,31,9,4,0
2021-10-07,75,43,80,7,4,0
2021-10-08,81,41,78,8,5,0
2021-10-09,77,45,83,7,5,0
2021-10-10,76,45,56,8,6,0
2021-10-11,89,47,54,6,4,0
2021-10-12,85,31,35,7,5,0
2021-10-13,71,40,54,8,5,0
2021-10-14,77,23,51,7,4,0
2021-10-15,62,14,29,6,3,0
2021-10-16,43,21,43,5,4,0
2021-10-17,49,27,40,4,3,0
2021-10-18,67,25,43,6,4,0
2021-10-19,58,25,26,6,3,0
2021-10-20,58,25,39,3,3,0
2021-10-21,51,24,53,5,3,0
2021-10-22,61,23,,5,3,0
2021-10-23,67,39,,9,4,0
2021-10-24,70,38,,10,5,0
2021-10-25,68,26,,7,4,0
2021-10-26,53,14,,4,3,0
2021-10-27,37,7,,3,3,0
2021-10-28,22,9,,4,3,0
2021-10-29,35,22,,5,4,0
2021-10-30,59,50,,13,6,0
2021-10-31,104,42,,9,6,0
2021-11-01,81,39,,8,4,0
2021-11-02,74,43,87,8,5,0
2021-11-03,82,25,36,6,4,0
2021-11-04,52,27,34,7,8,0
2021-11-05,53,30,44,7,4,0
2021-11-06,58,32,60,9,6,0
2021-11-07,62,51,97,11,4,0
2021-11-08,106,78,99,23,6,0
2021-11-09,132,60,84,12,8,0
2021-11-10,114,48,75,10,5,0
2021-11-11,96,45,64,11,4,0
2021-11-12,90,50,44,13,3,0
2021-11-13,98,42,74,10,3,0
2021-11-14,73,42,77,12,4,0
2021-11-15,77,40,76,8,4,0
2021-11-16,75,49,98,14,3,0
2021-11-17,91,33,74,9,2,0
2021-11-18,69,58,97,18,5,0
2021-11-19,111,35,63,9,2,0
2021-11-20,86,44,103,10,4,0
2021-11-21,82,50,50,12,6,0
2021-11-22,92,24,42,7,3,0
2021-11-23,51,41,72,8,3,0
2021-11-24,77,63,70,10,5,0
2021-11-25,101,56,37,17,5,0
2021-11-26,85,26,49,10,2,0
2021-11-27,62,28,43,10,3,0
2021-11-28,90,25,31,10,2,0
2021-11-29,76,18,29,10,2,0
2021-11-30,52,42,52,8,2,0
2021-12-01,81,15,30,8,1,0
2021-12-02,42,29,58,11,3,0
2021-12-03,70,50,78,16,4,0
2021-12-04,96,29,45,9,3,0
2021-12-05,56,8,39,6,1,0
2021-12-06,26,25,31,10,3,0
2021-12-07,37,44,55,13,4,0
2021-12-08,80,53,82,17,6,0
2021-12-09,95,59,80,19,5,0
2021-12-10,117,65,86,19,5,0
2021-12-11,129,58,91,12,3,0
2021-12-12,109,46,88,7,3,0
2021-12-13,79,40,65,10,3,0
2021-12-14,64,53,76,11,3,0
2021-12-15,81,42,80,8,3,0
2021-12-16,72,55,95,14,5,0
2021-12-17,99,47,60,10,2,0
2021-12-18,84,42,47,11,3,0
2021-12-19,65,46,57,9,3,0
2021-12-20,71,19,29,7,2,0
2021-12-21,59,45,70,9,5,0
2021-12-22,74,65,92,21,6,0
2021-12-23,119,55,79,10,3,0
2021-12-24,98,37,70,7,3,0
2021-12-25,59,20,40,7,2,0
2021-12-26,47,18,36,7,2,0
2021-12-27,48,37,35,11,2,0
2021-12-28,68,30,29,12,3,0
2021-12-29,67,45,79,17,4,0
2021-12-30,,58,81,16,14,0
2021-12-30,88,59,84,17,8,0
2021-12-31,94,71,96,12,7,0
2021-12-31,103,58,81,16,14,0
2022-01-01,122,62,80,9,6,0
2022-01-01,94,71,96,12,7,0
2022-01-02,112,60,73,10,5,0
2022-01-02,122,62,80,9,6,0
2022-01-03,107,25,32,6,2,0
2022-01-03,112,,,,,
2022-01-04,50,47,37,8,3,0
2022-01-05,90,23,26,8,2,0
2022-01-06,50,32,27,10,3,0
2022-01-07,68,57,31,19,3,0
2022-01-08,98,41,29,10,3,0
2022-01-09,78,33,40,11,3,0
2022-01-10,80,37,44,13,4,0
2022-01-11,59,47,58,13,4,0
2022-01-12,79,72,82,19,6,0
2022-01-13,121,55,34,11,3,0
2022-01-14,97,43,30,8,3,0
2022-01-15,50,40,35,13,4,0
2022-01-16,59,60,38,23,10,0
2022-01-17,113,66,30,20,4,0
2022-01-18,106,50,24,21,4,0
2022-01-19,81,88,28,26,7,0
2022-01-20,170,88,44,23,6,0
2022-01-21,147,60,51,27,5,0
2022-01-22,113,93,59,36,9,0
2022-01-23,166,101,76,37,8,0
2022-01-24,174,115,65,46,10,0
2022-01-25,175,105,71,26,9,0
2022-01-26,167,76,49,25,15,0
2022-01-27,135,100,64,33,11,0
2022-01-28,168,108,76,37,12,0
2022-01-29,175,105,74,21,8,0
2022-01-30,169,68,36,15,4,0
2022-01-31,131,65,30,23,7,0
2022-02-01,120,109,45,34,9,0
2022-02-02,173,135,63,36,8,0
2022-02-03,199,62,42,15,4,0
2022-02-04,107,45,42,13,3,0
2022-02-05,75,35,32,13,4,0
2022-02-06,73,36,29,10,5,0
2022-02-07,75,55,30,20,8,0
2022-02-08,100,61,28,23,9,0
2022-02-09,105,57,31,22,6,0
2022-02-10,91,76,32,30,10,0
2022-02-11,139,110,32,31,14,0
2022-02-12,169,118,5,38,13,0
2022-02-13,174,135,,48,15,0
2022-02-14,197,123,32,38,6,0
2022-02-15,194,134,56,33,9,0
2022-02-16,201,120,65,28,10,0
2022-02-17,198,103,48,35,7,0
2022-02-18,178,74,50,19,5,0
2022-02-19,136,63,34,17,3,0
2022-02-20,117,65,23,14,4,0
2022-02-21,67,76,23,21,10,0
2022-02-22,120,98,24,29,11,0
2022-02-23,161,116,28,38,9,0
2022-02-24,171,129,26,42,11,0
2022-02-25,185,101,36,28,7,0
2022-02-26,168,46,31,18,4,0
2022-02-27,83,70,26,24,6,0
2022-02-28,137,39,24,15,3,0
2022-03-01,78,59,23,22,6,0
2022-03-02,95,79,19,26,14,0
2022-03-03,149,82,20,29,11,0
2022-03-04,142,104,28,38,16,0
2022-03-05,170,114,34,41,19,0
2022-03-06,188,122,31,40,13,0
2022-03-07,192,47,25,15,5,0
2022-03-08,81,56,22,22,6,0
2022-03-09,113,73,31,24,8,0
2022-03-10,142,122,35,35,6,0
2022-03-11,187,172,23,40,8,0
2022-03-12,270,76,26,20,6,0
2022-03-13,117,56,20,20,8,0
2022-03-14,96,84,26,22,8,0
2022-03-15,171,132,29,33,8,0
2022-03-16,217,121,28,26,6,0
2022-03-17,199,44,26,11,4,0
2022-03-18,54,70,21,21,12,0
2022-03-19,123,97,21,26,14,0
2022-03-20,166,91,25,26,13,0
2022-03-21,166,111,25,33,15,0
2022-03-22,177,134,28,37,11,0
2022-03-23,212,123,22,28,7,0
2022-03-24,196,50,25,7,3,0
2022-03-25,75,30,25,9,5,0
2022-03-26,61,47,23,17,9,0
2022-03-27,89,71,25,22,15,0
2022-03-28,143,84,27,27,18,0
2022-03-29,167,93,21,32,15,0
2022-03-30,170,83,23,31,19,0
2022-03-31,,119,25,40,14,0
2022-03-31,151,88,21,33,19,0
2022-04-01,188,91,23,25,9,0
2022-04-01,163,76,29,28,17,0
2022-04-02,163,38,23,17,4,0
2022-04-02,152,87,26,25,9,0
2022-04-03,98,92,25,29,8,0
2022-04-03,143,,,,,
2022-04-04,174,137,29,38,13,0
2022-04-05,228,112,35,26,10,0
2022-04-06,206,119,27,31,9,0
2022-04-07,216,89,18,29,12,0
2022-04-08,184,73,23,20,8,0
2022-04-09,163,109,13,35,12,0
2022-04-10,197,52,26,22,6,0
2022-04-11,99,76,22,27,13,0
2022-04-12,142,92,22,29,11,0
2022-04-13,175,80,28,24,10,0
2022-04-14,153,92,30,31,9,0
2022-04-15,166,97,33,28,15,0
2022-04-16,174,96,26,25,9,0
2022-04-17,181,41,27,16,5,0
2022-04-18,84,59,27,24,10,0
2022-04-19,139,59,15,25,5,0
2022-04-20,146,63,26,14,3,0
2022-04-21,162,53,33,14,6,0
2022-04-22,124,97,27,28,14,0
2022-04-23,185,93,33,19,9,0
2022-04-24,188,59,31,12,7,0
2022-04-25,141,64,30,13,9,0
2022-04-26,153,64,32,18,13,0
2022-04-27,152,80,44,17,22,0
2022-04-28,174,88,37,8,11,0
2022-04-29,159,56,37,7,11,0
2022-04-30,116,57,40,10,15,0
2022-05-01,136,61,49,11,14,0
2022-05-02,154,67,41,11,11,0
2022-05-03,158,38,36,10,12,0
2022-05-04,89,45,37,13,12,0
2022-05-05,115,56,34,19,19,0
2022-05-06,132,73,41,22,17,0
2022-05-07,161,82,42,28,18,0
2022-05-08,171,64,37,16,8,0
2022-05-09,154,67,41,16,6,0
2022-05-10,160,78,50,18,5,0
2022-05-11,170,88,54,20,7,0
2022-05-12,179,81,24,17,5,0
2022-05-13,171,53,27,10,5,0
2022-05-14,137,60,33,11,5,0
2022-05-15,148,32,31,7,5,0
2022-05-16,70,48,27,19,5,0
2022-05-17,105,53,33,13,4,0
2022-05-18,108,55,37,19,10,0
2022-05-19,114,72,36,22,9,0
2022-05-20,156,53,34,18,7,0
2022-05-21,96,45,32,15,7,0
2022-05-22,90,75,46,19,8,0
2022-05-23,157,81,51,22,9,0
2022-05-24,162,78,41,22,8,0
2022-05-25,132,75,43,26,12,0
2022-05-26,124,89,44,26,12,0
2022-05-27,160,85,41,20,6,0
2022-05-28,137,91,41,28,9,0
2022-05-29,138,135,49,37,15,0
2022-05-30,175,152,44,25,10,0
2022-05-31,163,65,37,13,6,0
2022-06-01,70,63,38,18,6,0
2022-06-02,107,71,44,17,8,0
2022-06-03,133,111,59,27,8,0
2022-06-04,155,115,78,27,9,0
2022-06-05,171,91,44,23,7,0
2022-06-06,162,88,68,25,7,0
2022-06-07,165,67,53,16,7,0
2022-06-08,146,97,45,22,3,0
2022-06-09,186,124,49,20,3,0
2022-06-10,168,84,45,20,6,0
2022-06-11,150,96,46,25,7,0
2022-06-12,166,38,30,10,3,0
2022-06-13,83,47,25,15,5,0
2022-06-14,96,51,28,13,3,0
2022-06-15,132,45,34,12,5,0
2022-06-16,95,59,22,22,7,0
2022-06-17,128,66,39,20,7,0
2022-06-18,130,64,45,14,7,0
2022-06-19,139,67,54,16,5,0
2022-06-20,155,31,25,17,3,0
