time,pm25,pm10,O3,NO2,SO2,CO
2021-04-01,,208,11,37,12,0
2021-04-02,298,101,20,21,13,0
2021-04-03,166,137,20,16,8,0
2021-04-04,138,79,22,10,7,0
2021-04-05,79,74,24,15,9,0
2021-04-06,98,83,23,20,11,0
2021-04-07,128,85,21,23,12,0
2021-04-08,142,105,25,19,11,0
2021-04-09,129,194,23,15,7,0
2021-04-10,150,140,26,17,10,0
2021-04-11,147,117,37,22,9,0
2021-04-12,167,219,11,27,13,0
2021-04-13,181,137,22,18,8,0
2021-04-14,165,117,25,18,9,0
2021-04-15,130,87,27,15,7,0
2021-04-16,133,101,31,15,7,0
2021-04-17,157,83,18,16,5,0
2021-04-18,148,158,15,26,11,0
2021-04-19,225,238,19,34,12,0
2021-04-20,323,194,36,30,10,0
2021-04-21,285,169,25,25,9,0
2021-04-22,258,154,12,28,11,0
2021-04-23,251,130,36,22,14,0
2021-04-24,209,112,29,18,8,0
2021-04-25,193,150,28,12,7,0
2021-04-26,142,136,33,10,6,0
2021-04-27,147,97,34,15,10,0
2021-04-28,136,93,30,19,14,0
2021-04-29,153,123,30,16,11,0
2021-04-30,154,81,31,12,7,0
2021-05-01,115,111,35,13,9,0
2021-05-02,170,104,37,15,10,0
2021-05-03,160,93,38,10,9,0
2021-05-04,160,87,38,10,7,0
2021-05-05,149,113,28,12,10,0
2021-05-06,144,55,32,8,7,0
2021-05-07,92,63,37,6,6,0
2021-05-08,122,75,43,7,7,0
2021-05-09,157,102,44,8,8,0
2021-05-10,186,84,33,4,8,0
2021-05-11,157,63,30,4,5,0
2021-05-12,136,78,19,5,4,0
2021-05-13,160,64,28,5,5,0
2021-05-14,129,69,33,6,6,0
2021-05-15,127,68,36,7,10,0
2021-05-16,100,97,41,10,10,0
2021-05-17,147,75,41,8,7,0
2021-05-18,126,72,38,9,7,0
2021-05-19,96,64,42,9,8,0
2021-05-20,101,115,35,16,12,0
2021-05-21,141,60,33,6,12,0
2021-05-22,60,48,28,8,10,0
2021-05-23,68,52,14,16,5,0
2021-05-24,124,97,36,15,10,0
2021-05-25,180,82,35,13,10,0
2021-05-26,152,62,15,13,5,0
