time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,63,31,40,4,4,0
2021-01-01,62,37,39,7,4,0
2021-01-02,52,34,35,8,4,0
2021-01-02,68,30,65,4,4,0
2021-01-03,56,46,28,7,5,0
2021-01-03,63,31,40,4,4,0
2021-01-04,68,30,28,7,5,0
2021-01-04,52,34,35,8,4,0
2021-01-05,46,29,36,10,4,0
2021-01-05,56,46,28,7,5,0
2021-01-06,57,55,43,10,5,0
2021-01-06,68,,,,,
2021-01-07,92,46,49,9,5,0
2021-01-08,78,38,46,8,5,0
2021-01-09,67,44,45,12,5,0
2021-01-10,77,48,57,9,5,0
2021-01-11,83,39,32,8,5,0
2021-01-12,52,45,38,13,5,0
2021-01-13,81,39,23,7,5,0
2021-01-14,51,51,34,11,6,0
2021-01-15,78,52,33,12,5,0
2021-01-16,122,48,41,12,4,0
2021-01-17,90,63,59,15,4,0
2021-01-18,125,81,74,17,4,0
2021-01-19,158,73,77,10,4,0
2021-01-20,132,64,61,7,4,0
2021-01-21,85,75,30,7,4,0
2021-01-22,67,31,30,5,3,0
2021-01-23,44,42,33,13,4,0
2021-01-24,79,72,45,16,5,0
2021-01-25,133,75,64,18,4,0
2021-01-26,155,84,69,16,5,0
2021-01-27,168,51,35,11,4,0
2021-01-28,67,62,28,15,4,0
2021-01-29,97,62,32,15,5,0
2021-01-30,102,58,34,13,4,0
2021-01-31,114,111,31,9,5,0
2021-02-01,148,61,28,8,5,0
2021-02-02,73,48,28,8,4,0
2021-02-03,47,50,34,10,5,0
2021-02-04,73,75,43,16,4,0
2021-02-05,134,57,42,11,5,0
2021-02-06,119,116,37,14,6,0
2021-02-07,158,69,27,8,3,0
2021-02-08,63,55,26,13,5,0
2021-02-09,83,61,29,14,4,0
2021-02-10,108,41,39,8,3,0
2021-02-11,74,36,42,10,4,0
2021-02-12,79,72,44,13,4,0
2021-02-13,134,81,36,17,4,0
2021-02-14,138,72,41,17,4,0
2021-02-15,139,79,42,16,4,0
2021-02-16,159,51,44,6,3,0
2021-02-17,116,25,27,3,3,0
2021-02-18,40,15,24,5,3,0
2021-02-19,42,19,24,5,3,0
2021-02-20,38,34,13,10,4,0
2021-02-21,69,20,23,4,4,0
2021-02-22,52,30,22,7,4,0
2021-02-23,62,45,17,10,6,0
2021-02-24,98,77,24,16,7,0
2021-02-25,159,48,20,10,5,0
2021-02-26,91,29,23,5,6,0
2021-02-27,58,32,20,8,5,0
2021-02-28,63,46,20,10,5,0
