time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,63,41,79,11,4,5
2021-01-02,89,27,70,3,4,4
2021-01-03,67,31,30,5,3,4
2021-01-04,54,22,34,4,3,5
2021-01-05,41,,,,,
2021-07-01,,41,18,20,1,4
2021-07-02,107,56,18,18,1,6
2021-07-03,146,46,24,12,1,5
2021-07-04,115,41,41,7,1,3
2021-07-05,78,37,42,12,1,1
2021-07-06,65,35,37,12,2,1
2021-07-07,63,37,35,23,1,1
2021-07-08,74,37,37,20,2,2
2021-07-09,84,43,36,16,1,3
2021-07-10,83,46,46,14,1,3
2021-07-11,73,25,30,5,1,3
2021-07-12,58,29,20,9,1,5
2021-07-13,81,56,49,12,1,6
2021-07-14,136,38,29,13,1,3
2021-07-15,61,38,36,11,1,3
2021-07-16,53,53,80,12,2,5
2021-07-17,131,109,45,15,1,5
2021-07-18,148,53,50,9,2,3
2021-07-19,62,42,66,8,2,4
2021-07-20,60,33,58,5,1,4
2021-07-21,54,42,55,3,1,4
2021-07-22,61,41,38,5,1,4
2021-07-23,64,58,43,17,1,7
2021-07-24,144,44,8,19,1,7
2021-07-25,114,43,31,10,1,4
2021-07-26,81,37,50,7,1,3
2021-07-27,75,43,32,11,1,5
2021-07-28,98,60,69,17,1,8
2021-07-29,156,66,62,13,2,6
2021-07-30,118,65,63,13,2,4
2021-07-31,82,48,52,10,1,4
2021-08-01,70,41,44,7,1,3
2021-08-02,64,43,58,3,2,4
2021-08-03,64,25,31,4,1,6
2021-08-04,67,57,82,8,2,7
2021-08-05,126,53,67,10,2,5
2021-08-06,65,121,65,11,1,6
2021-08-07,106,88,85,8,2,6
2021-08-08,147,57,84,9,2,5
2021-08-09,123,37,93,5,2,5
2021-08-10,76,41,37,9,1,7
2021-08-11,114,41,33,9,1,5
2021-08-12,110,28,34,3,1,5
2021-08-13,84,31,55,4,1,6
2021-08-14,86,41,60,5,1,6
2021-08-15,90,22,37,7,1,5
2021-08-16,57,33,71,11,1,6
2021-08-17,87,38,53,12,2,5
2021-08-18,100,16,43,9,1,4
2021-08-19,41,25,39,11,1,6
2021-08-20,67,37,58,14,1,5
2021-08-21,98,21,56,8,1,3
2021-08-22,60,15,43,8,1,3
2021-08-23,47,35,88,8,1,5
2021-08-24,89,70,90,13,2,5
2021-08-25,137,38,36,15,1,5
2021-08-26,99,41,69,11,2,6
2021-08-27,97,52,45,13,2,5
2021-08-28,96,51,82,14,2,4
2021-08-29,76,39,78,10,2,3
2021-08-30,74,33,71,9,2,3
2021-08-31,61,23,40,7,1,2
2021-09-01,46,25,33,7,1,2
2021-09-02,37,46,37,13,1,4
2021-09-03,103,35,61,9,1,4
2021-09-04,90,38,81,10,2,4
2021-09-05,83,41,95,11,3,4
2021-09-06,83,25,61,11,2,3
2021-09-07,48,19,51,7,1,2
2021-09-08,48,19,36,8,2,3
2021-09-09,57,17,26,8,1,2
2021-09-10,48,29,64,12,1,4
2021-09-11,78,19,36,7,1,3
2021-09-12,58,25,32,7,1,4
2021-09-13,77,30,43,8,1,5
2021-09-14,87,34,35,8,1,5
2021-09-15,76,27,44,7,1,5
2021-09-16,73,24,38,7,1,4
2021-09-17,69,51,34,13,1,9
2021-09-18,133,16,30,11,1,5
2021-09-19,55,23,42,9,1,5
2021-09-20,66,35,69,9,1,5
2021-09-21,89,40,47,9,2,5
2021-09-22,99,37,62,10,1,4
2021-09-23,82,36,64,9,2,4
2021-09-24,76,26,45,6,1,3
2021-09-25,57,14,33,6,1,3
2021-09-26,39,16,26,7,1,4
2021-09-27,50,16,35,7,1,4
2021-09-28,54,21,35,7,1,4
2021-09-29,59,20,30,6,,4
2021-09-30,57,25,31,6,1,4
2021-10-01,67,21,24,7,1,5
2021-10-02,67,30,32,7,1,5
2021-10-03,79,34,23,8,1,6
2021-10-04,93,,,,,
2022-03-31,,63,47,22,2,6
2022-04-01,156,53,38,20,2,5
2022-04-02,131,21,31,14,1,3
2022-04-03,59,27,19,16,1,3
2022-04-04,50,41,21,21,1,4
2022-04-05,98,41,24,25,2,4
2022-04-06,93,54,23,17,2,6
2022-04-07,142,88,8,28,2,11
2022-04-08,184,53,23,15,1,6
2022-04-09,123,46,8,26,1,5
2022-04-10,115,,,,,
2022-04-11,,35,26,14,2,4
