time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,71,41,76,14,2,4
2021-01-02,107,30,74,8,1,3
2021-01-03,79,26,26,12,2,2
2021-01-04,59,18,36,6,2,4
2021-01-05,48,,,,,
2021-07-01,,38,17,18,1,5
2021-07-02,99,56,18,16,1,8
2021-07-03,141,47,29,13,1,6
2021-07-04,123,39,42,4,2,4
2021-07-05,75,36,41,11,2,4
2021-07-06,66,38,31,21,2,4
2021-07-07,75,36,29,29,2,3
2021-07-08,73,37,48,27,2,4
2021-07-09,95,42,35,26,2,3
2021-07-10,89,49,42,25,1,3
2021-07-11,77,28,25,19,2,3
2021-07-12,63,25,24,11,1,5
2021-07-13,76,55,46,15,1,6
2021-07-14,140,34,28,19,1,3
2021-07-15,60,36,32,20,2,3
2021-07-16,52,58,71,23,2,5
2021-07-17,138,104,42,22,2,5
2021-07-18,150,54,47,20,2,3
2021-07-19,70,47,65,20,2,3
2021-07-20,69,37,51,14,1,3
2021-07-21,62,41,51,9,1,3
2021-07-22,64,44,38,12,1,3
2021-07-23,70,55,42,18,1,7
2021-07-24,139,38,15,17,1,6
2021-07-25,106,51,26,19,1,3
2021-07-26,95,37,44,18,1,2
2021-07-27,68,38,26,20,1,3
2021-07-28,96,60,82,20,1,6
2021-07-29,156,69,65,16,2,4
2021-07-30,124,73,70,18,3,4
2021-07-31,96,44,52,10,2,4
2021-08-01,73,38,43,12,2,3
2021-08-02,64,45,61,6,2,3
2021-08-03,64,25,34,6,1,4
2021-08-04,68,61,88,8,3,6
2021-08-05,133,62,61,17,3,3
2021-08-06,69,121,67,17,2,4
2021-08-07,122,122,83,17,3,5
2021-08-08,144,62,88,16,3,5
2021-08-09,127,42,94,12,2,3
2021-08-10,65,44,30,15,1,6
2021-08-11,120,29,27,15,1,3
2021-08-12,75,27,24,12,1,2
2021-08-13,72,32,52,11,1,2
2021-08-14,85,42,56,11,1,3
2021-08-15,86,19,40,7,1,4
2021-08-16,52,35,63,11,2,5
2021-08-17,96,37,36,18,2,4
2021-08-18,89,18,34,15,1,3
2021-08-19,47,29,36,10,1,5
2021-08-20,75,38,57,16,1,4
2021-08-21,106,24,59,9,1,2
2021-08-22,61,14,39,8,1,2
2021-08-23,38,39,105,8,2,5
2021-08-24,102,69,105,18,2,5
2021-08-25,152,37,34,17,1,4
2021-08-26,92,40,60,6,1,5
2021-08-27,96,50,49,12,1,4
2021-08-28,99,55,86,14,2,3
2021-08-29,83,47,80,9,1,3
2021-08-30,87,35,64,8,1,2
2021-08-31,59,27,39,7,1,2
2021-09-01,39,22,30,9,1,2
2021-09-02,31,49,41,11,1,3
2021-09-03,113,33,70,7,1,4
2021-09-04,88,45,87,13,2,4
2021-09-05,97,45,105,12,2,4
2021-09-06,90,30,57,15,2,2
2021-09-07,53,19,45,11,1,2
2021-09-08,42,24,33,9,1,2
2021-09-09,57,17,32,7,1,2
2021-09-10,54,39,59,16,1,4
2021-09-11,97,27,39,12,1,3
2021-09-12,66,27,31,10,,3
2021-09-13,77,33,44,10,1,3
2021-09-14,93,31,39,9,1,3
2021-09-15,77,21,33,11,1,3
2021-09-16,56,25,19,17,1,2
2021-09-17,71,48,25,18,1,6
2021-09-18,129,17,25,22,1,3
2021-09-19,57,28,45,18,1,3
2021-09-20,78,38,61,23,2,3
2021-09-21,88,47,60,19,2,3
2021-09-22,94,43,72,19,2,3
2021-09-23,87,43,66,14,2,2
2021-09-24,83,30,56,7,1,2
2021-09-25,59,16,35,6,1,1
2021-09-26,42,16,27,8,1,2
2021-09-27,53,18,30,9,,3
2021-09-28,54,21,42,8,1,2
2021-09-29,53,22,36,7,1,2
2021-09-30,57,23,42,8,1,2
2021-10-01,57,21,20,9,1,2
2021-10-02,67,29,37,6,1,3
2021-10-03,81,37,20,11,1,4
2021-10-04,103,,,,,
2022-03-30,,71,20,36,3,11
2022-03-31,167,61,21,33,2,10
2022-04-01,150,23,20,19,1,5
2022-04-02,67,28,17,16,1,5
2022-04-03,62,43,15,25,1,7
2022-04-04,104,42,12,26,1,7
2022-04-05,106,60,17,21,2,9
2022-04-06,152,94,8,28,2,13
2022-04-07,189,55,21,16,2,9
2022-04-08,128,49,1,30,3,9
2022-04-09,130,,,,,
2022-04-10,,34,15,23,2,3
2022-04-11,79,66,14,21,2,6
2022-04-12,162,74,26,26,2,8
2022-04-13,170,45,10,29,2,4
2022-04-14,86,45,17,24,2,4
2022-04-15,117,49,22,28,2,5
2022-04-16,125,43,21,17,2,6
2022-04-17,109,26,15,23,2,3
2022-04-18,59,24,4,29,2,3
2022-04-19,74,18,20,18,2,3
2022-04-20,61,47,24,13,2,6
2022-04-21,134,68,16,19,2,7
2022-04-22,165,48,26,21,2,5
2022-04-23,131,39,26,13,1,6
2022-04-24,110,22,24,10,1,3
2022-04-25,64,29,26,9,1,4
2022-04-26,88,34,27,8,1,5
2022-04-27,99,58,35,13,1,7
2022-04-28,152,75,34,8,2,7
2022-04-29,155,29,31,5,1,4
2022-04-30,79,19,29,6,1,4
2022-05-01,64,28,33,7,1,5
2022-05-02,85,47,33,8,1,6
2022-05-03,125,22,28,8,1,4
2022-05-04,61,11,26,11,1,4
2022-05-05,41,13,23,10,1,4
2022-05-06,48,21,18,20,1,4
2022-05-07,63,30,25,15,1,4
2022-05-08,87,37,27,22,1,4
2022-05-09,106,44,20,24,1,5
2022-05-10,115,46,29,16,1,5
2022-05-11,122,47,33,18,1,6
2022-05-12,127,56,19,19,1,5
2022-05-13,130,38,24,21,1,4
2022-05-14,94,27,29,12,1,3
2022-05-15,64,22,24,20,1,3
2022-05-16,58,25,27,8,1,3
2022-05-17,76,31,28,12,1,4
2022-05-18,66,35,19,22,1,5
2022-05-19,80,52,22,30,3,6
2022-05-20,136,38,29,13,2,5
2022-05-21,100,29,23,22,1,5
2022-05-22,73,24,21,22,1,4
2022-05-23,65,41,35,15,1,5
2022-05-24,112,61,25,16,1,6
2022-05-25,129,52,33,16,1,6
2022-05-26,132,70,32,15,1,7
2022-05-27,166,69,36,18,1,5
2022-05-28,161,61,27,21,1,5
2022-05-29,145,43,24,18,1,4
2022-05-30,111,84,27,16,1,4
2022-05-31,107,46,21,15,1,3
2022-06-01,46,37,27,13,1,3
2022-06-02,74,46,21,21,1,4
2022-06-03,106,53,28,21,1,4
2022-06-04,109,57,26,18,1,3
2022-06-05,101,59,23,30,3,4
2022-06-06,112,44,22,20,3,3
2022-06-07,91,49,32,14,3,3
2022-06-08,102,60,36,17,3,5
2022-06-09,141,52,25,16,4,5
2022-06-10,104,46,25,21,3,4
2022-06-11,103,13,25,10,2,2
2022-06-12,50,27,23,11,2,4
2022-06-13,85,52,24,14,3,5
2022-06-14,140,24,20,16,4,3
2022-06-15,69,11,26,13,3,3
2022-06-16,39,25,27,15,3,3
2022-06-17,62,35,34,14,2,4
2022-06-18,99,30,30,18,3,3
2022-06-19,68,15,21,10,3,2
2022-06-20,43,33,46,9,3,4
2022-06-21,89,60,45,19,4,5
2022-06-22,111,39,36,12,4,2
2022-06-23,58,43,50,14,4,2
2022-06-24,63,39,54,12,3,4
2022-06-25,89,32,37,9,2,3
2022-06-26,84,27,45,5,3,2
2022-06-27,71,25,53,4,3,3
2022-06-28,71,22,50,,2,2
2022-06-29,68,,,,,
2022-06-30,,27,45,5,3,2
2022-07-01,71,25,53,4,3,3
2022-07-02,71,22,50,,2,2
2022-07-03,68,24,49,,2,2
2022-07-04,67,29,43,,3,3
2022-07-05,76,40,72,,3,3
2022-07-06,102,47,88,,3,3
2022-07-07,109,47,86,,3,
2022-07-08,84,47,82,,3,
2022-07-09,78,40,66,,2,
2022-07-10,81,45,84,,3,
2022-07-11,97,38,81,,3,
2022-07-12,83,16,40,,2,
2022-07-13,51,17,28,,2,
2022-07-14,55,20,60,,2,
2022-07-15,52,42,52,,3,
2022-07-16,101,33,54,,4,
2022-07-17,74,32,68,,4,
2022-07-18,74,48,86,,4,
2022-07-19,124,52,90,,3,
2022-07-20,126,50,78,,3,
2022-07-21,133,46,65,,3,
2022-07-22,117,19,35,,2,
2022-07-23,62,12,39,,2,
2022-07-24,48,24,41,,2,
2022-07-25,71,23,27,,2,
2022-07-26,74,46,45,8,3,4
2022-07-27,66,74,35,7,2,3
2022-07-28,81,19,43,5,3,3
2022-07-29,51,24,50,6,,3
2022-07-30,71,34,62,6,3,3
2022-07-31,95,46,70,8,3,3
2022-08-01,119,51,96,15,4,3
2022-08-02,121,42,76,9,3,3
2022-08-03,107,28,65,7,3,2
2022-08-04,66,26,66,7,3,2
2022-08-05,65,17,42,6,2,1
2022-08-06,60,20,50,7,3,1
2022-08-07,61,23,46,9,3,1
2022-08-08,50,26,41,8,3,1
2022-08-09,60,24,37,8,2,1
2022-08-10,68,25,32,9,2,2
2022-08-11,76,20,39,9,2,2
2022-08-12,64,29,55,10,3,3
2022-08-13,81,28,57,11,3,2
2022-08-14,76,39,76,12,4,2
2022-08-15,93,46,82,11,4,3
2022-08-16,115,32,73,11,4,2
2022-08-17,81,33,57,10,3,2
2022-08-18,83,27,27,13,3,2
2022-08-19,77,25,52,11,2,1
2022-08-20,74,28,58,6,3,1
2022-08-21,77,23,50,5,3,1
2022-08-22,62,16,42,6,4,1
2022-08-23,56,22,59,7,3,1
2022-08-24,70,37,31,14,3,2
2022-08-25,105,48,93,11,3,2
2022-08-26,121,26,51,7,3,2
2022-08-27,75,20,28,8,3,2
2022-08-28,68,42,54,10,3,4
2022-08-29,104,25,50,8,3,1
2022-08-30,46,40,55,7,3,3
2022-08-31,103,44,54,7,3,3
2022-09-01,121,15,35,4,2,1
2022-09-02,53,19,50,7,2,2
2022-09-03,65,19,23,7,2,2
2022-09-04,59,35,84,5,2,3
2022-09-05,95,36,53,6,2,3
2022-09-06,93,24,49,11,3,3
2022-09-07,63,29,68,6,2,5
2022-09-08,82,15,32,5,1,2
2022-09-09,52,24,42,2,1,2
2022-09-10,68,26,31,2,1,2
2022-09-11,78,13,25,11,1,2
2022-09-12,48,41,73,10,1,3
2022-09-13,111,52,88,10,2,4
2022-09-14,127,52,79,10,2,4
2022-09-15,128,44,95,9,2,3
2022-09-16,114,29,67,8,1,2
