time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,78,57,58,16,2,5
2021-01-02,101,51,58,17,2,5
2021-01-03,93,61,47,20,2,4
2021-01-04,95,58,53,18,3,5
2021-01-05,96,,,,,
2021-07-01,,62,,27,2,8
2021-07-02,121,58,,26,2,8
2021-07-03,123,74,,24,2,8
2021-07-04,146,31,,16,2,6
2021-07-05,63,42,,16,3,3
2021-07-06,69,62,,18,3,3
2021-07-07,91,52,,21,4,2
2021-07-08,75,42,,19,2,3
2021-07-09,79,47,,18,3,2
2021-07-10,83,60,,20,3,2
2021-07-11,86,51,,28,2,5
2021-07-12,109,55,,29,2,7
2021-07-13,122,48,,22,2,7
2021-07-14,96,44,,16,2,4
2021-07-15,88,45,,24,2,4
2021-07-16,93,66,,26,3,5
2021-07-17,122,77,,22,3,5
2021-07-18,116,68,,12,3,2
2021-07-19,64,62,,18,4,2
2021-07-20,83,58,,20,3,2
2021-07-21,89,62,,19,3,3
2021-07-22,86,59,,21,2,4
2021-07-23,89,64,,22,3,5
2021-07-24,106,57,,21,3,5
2021-07-25,94,50,,14,3,3
2021-07-26,59,55,,14,3,2
2021-07-27,79,59,,23,3,5
2021-07-28,107,56,,19,2,6
2021-07-29,98,54,,20,3,5
2021-07-30,85,80,,28,4,6
2021-07-31,111,77,,22,4,5
2021-08-01,105,56,,15,3,3
2021-08-02,73,66,,17,3,3
2021-08-03,89,88,,23,2,9
2021-08-04,131,47,,17,3,4
2021-08-05,65,66,,26,4,4
2021-08-06,89,75,,30,3,6
2021-08-07,140,65,,29,2,7
2021-08-08,138,48,,16,3,5
2021-08-09,95,62,,17,3,6
2021-08-10,121,49,,22,2,5
2021-08-11,96,65,,24,3,6
2021-08-12,117,51,,17,2,5
2021-08-13,104,46,,18,2,5
2021-08-14,93,45,,12,2,3
2021-08-15,78,63,,20,3,4
2021-08-16,89,49,,15,2,6
2021-08-17,87,20,,15,1,7
2021-08-18,49,31,,20,2,7
2021-08-19,70,35,,27,2,9
2021-08-20,76,22,,15,2,7
2021-08-21,55,24,,20,2,5
2021-08-22,54,51,,30,2,5
2021-08-23,93,41,,25,3,8
2021-08-24,82,50,,25,3,5
2021-08-25,93,63,,24,3,6
2021-08-26,110,53,,25,1,6
2021-08-27,96,42,,27,2,5
2021-08-28,68,49,,26,2,4
2021-08-29,79,44,,19,2,4
2021-08-30,84,39,,15,2,3
2021-08-31,67,39,,26,1,6
2021-09-01,76,55,,23,1,5
