time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,130,31,33,11,2,5
2021-01-02,59,46,35,17,5,8
2021-01-03,81,26,27,8,2,1
2021-01-04,35,22,30,11,5,2
2021-01-05,32,51,31,23,5,9
2021-01-06,101,68,57,20,4,8
2021-01-07,129,61,78,17,4,5
2021-01-08,144,70,52,20,3,7
2021-01-09,124,46,52,16,3,5
2021-01-10,74,38,40,14,3,6
2021-01-11,71,38,31,18,4,5
2021-01-12,72,54,32,17,4,4
2021-01-13,72,46,26,18,4,10
2021-01-14,85,60,42,23,4,9
2021-01-15,108,43,33,16,4,5
2021-01-16,69,49,34,21,4,6
2021-01-17,61,78,27,26,6,14
2021-01-18,136,103,80,22,5,12
2021-01-19,175,84,100,17,4,7
2021-01-20,157,100,63,15,3,8
2021-01-21,130,50,27,14,5,7
2021-01-22,66,35,29,20,4,4
2021-01-23,63,59,30,28,6,8
2021-01-24,107,82,50,29,6,10
2021-01-25,150,101,66,25,5,11
2021-01-26,172,73,26,20,6,7
2021-01-27,107,77,27,31,9,12
2021-01-28,138,80,28,30,14,14
2021-01-29,139,97,23,36,23,22
2021-01-30,160,101,49,18,5,10
2021-01-31,196,48,27,15,11,3
2021-02-01,59,54,49,18,6,5
2021-02-02,76,51,29,17,6,6
2021-02-03,79,58,32,20,11,12
2021-02-04,93,65,36,18,4,6
2021-02-05,124,86,30,20,3,9
2021-02-06,157,63,27,17,8,7
2021-02-07,85,56,24,13,10,6
2021-02-08,66,62,26,23,10,14
2021-02-09,118,82,16,31,17,22
2021-02-10,142,66,34,21,6,7
2021-02-11,133,63,38,20,3,7
2021-02-12,126,91,25,20,5,11
2021-02-13,142,73,25,25,9,16
2021-02-14,131,145,43,18,3,9
2021-02-15,186,152,17,29,6,14
2021-02-16,212,108,39,25,7,10
2021-02-17,194,68,20,19,4,13
2021-02-18,149,42,24,9,1,3
2021-02-19,32,36,45,10,3,8
2021-02-20,54,46,30,17,5,10
2021-02-21,103,30,25,11,5,6
2021-02-22,69,60,25,24,10,16
2021-02-23,125,103,14,30,20,25
2021-02-24,178,65,26,22,9,9
2021-02-25,136,31,22,11,8,4
2021-02-26,70,33,25,12,6,6
2021-02-27,72,42,26,16,9,9
2021-02-28,87,85,24,22,9,18
2021-03-01,153,81,24,26,8,22
2021-03-02,175,136,15,29,12,25
2021-03-03,230,89,20,26,19,23
2021-03-04,167,40,29,21,8,4
2021-03-05,79,87,29,32,14,18
2021-03-06,157,67,25,26,11,13
2021-03-07,125,74,26,30,10,11
2021-03-08,140,47,28,18,5,6
2021-03-09,98,81,21,26,10,17
2021-03-10,150,68,23,21,7,14
2021-03-11,138,118,24,27,10,19
2021-03-12,178,86,28,20,7,14
2021-03-13,144,89,19,26,12,18
2021-03-14,180,38,29,9,4,6
2021-03-15,69,34,26,12,9,6
2021-03-16,84,57,29,19,11,10
2021-03-17,121,73,26,21,11,15
2021-03-18,158,74,25,22,12,15
2021-03-19,158,64,23,16,8,12
2021-03-20,117,125,20,26,15,19
2021-03-21,180,93,19,27,15,23
2021-03-22,161,55,25,22,11,9
2021-03-23,122,94,24,25,9,11
2021-03-24,181,85,28,21,6,9
2021-03-25,160,45,27,20,7,4
2021-03-26,82,60,21,21,16,10
2021-03-27,118,69,25,23,12,15
2021-03-28,146,87,20,21,7,15
2021-03-29,168,63,22,15,6,9
2021-03-30,143,49,27,9,9,6
2021-03-31,69,37,25,11,6,2
2021-04-01,,102,18,26,16,26
2021-04-01,58,52,27,22,13,8
2021-04-02,180,56,29,20,14,9
2021-04-02,105,69,23,20,10,15
2021-04-03,118,57,22,14,11,7
2021-04-03,141,113,23,25,19,24
2021-04-04,107,48,26,9,9,3
2021-04-04,196,119,24,25,15,26
2021-04-05,73,32,33,11,10,4
2021-04-05,188,,,,,
2021-04-06,72,48,29,17,14,8
2021-04-07,87,72,27,21,13,14
2021-04-08,138,52,22,21,11,10
2021-04-09,112,68,21,17,12,9
2021-04-10,116,112,32,17,11,7
2021-04-11,153,101,28,24,20,20
2021-04-12,157,69,30,11,8,5
2021-04-13,102,69,29,17,11,10
2021-04-14,123,61,30,18,7,8
2021-04-15,105,65,30,14,9,7
2021-04-16,105,70,27,18,16,13
2021-04-17,116,43,29,11,7,5
2021-04-18,78,66,21,18,5,8
2021-04-19,140,95,28,17,5,11
2021-04-20,184,115,28,27,10,20
2021-04-21,216,134,26,32,11,23
2021-04-22,235,345,7,45,21,51
2021-04-23,400,178,23,26,6,23
2021-04-24,283,113,23,28,15,35
2021-04-25,208,53,38,13,9,7
2021-04-26,110,52,22,17,12,11
2021-04-27,108,40,24,11,5,5
2021-04-28,92,83,23,26,11,18
2021-04-29,173,73,25,11,3,7
2021-04-30,136,61,22,15,7,9
2021-05-01,82,109,12,25,23,28
2021-05-02,174,71,28,17,11,14
2021-05-03,125,89,34,16,10,10
2021-05-04,162,112,29,17,6,13
2021-05-05,177,44,28,10,7,7
2021-05-06,101,53,28,16,10,9
2021-05-07,110,64,32,10,5,7
2021-05-08,143,85,31,16,7,12
2021-05-09,159,95,49,15,8,12
2021-05-10,188,111,35,11,10,8
2021-05-11,216,69,28,9,3,7
2021-05-12,162,35,26,5,2,3
2021-05-13,72,31,33,8,5,6
2021-05-14,69,65,29,13,8,13
2021-05-15,119,44,28,6,4,2
2021-05-16,58,40,33,9,12,4
2021-05-17,74,94,42,15,6,11
2021-05-18,164,86,39,20,9,16
2021-05-19,172,104,29,22,7,13
2021-05-20,180,47,35,8,3,4
2021-05-21,72,63,46,11,7,7
2021-05-22,91,59,29,18,7,13
2021-05-23,115,93,35,19,5,16
2021-05-24,169,128,39,28,12,19
2021-05-25,217,97,39,25,9,15
2021-05-26,185,38,30,10,3,3
2021-05-27,87,50,34,6,3,2
2021-05-28,67,56,46,11,9,10
2021-05-29,111,60,42,12,6,7
2021-05-30,133,53,40,11,5,4
2021-05-31,106,76,33,8,2,5
2021-06-01,81,57,34,9,3,3
2021-06-02,83,83,33,20,12,15
2021-06-03,164,83,35,20,7,14
2021-06-04,164,118,38,25,9,16
2021-06-05,205,152,57,25,7,17
2021-06-06,239,110,61,17,5,9
2021-06-07,193,88,42,22,8,9
2021-06-08,162,72,36,22,5,5
2021-06-09,152,86,47,18,5,9
2021-06-10,153,82,44,14,3,6
2021-06-11,163,60,37,14,8,4
2021-06-12,65,89,42,24,8,10
2021-06-13,123,78,30,18,5,9
2021-06-14,153,88,51,27,7,11
2021-06-15,169,65,33,11,3,7
2021-06-16,150,26,36,8,3,2
2021-06-17,43,59,32,15,3,4
2021-06-18,69,115,45,16,7,10
2021-06-19,131,116,35,25,9,15
2021-06-20,184,104,61,16,4,9
2021-06-21,162,97,56,22,8,10
2021-06-22,153,59,49,14,3,5
2021-06-23,111,70,38,15,1,5
2021-06-24,129,63,39,14,17,4
2021-06-25,59,65,29,22,5,6
2021-06-26,81,97,42,22,5,6
2021-06-27,134,175,81,31,12,19
2021-06-28,193,80,34,24,4,5
2021-06-29,125,61,36,10,2,6
2021-06-30,71,55,49,12,4,5
2021-07-01,,175,81,31,12,19
2021-07-01,86,,,,,
2021-07-02,193,80,34,24,4,5
2021-07-03,125,61,36,10,2,6
2021-07-04,71,55,49,12,4,5
2021-07-05,86,68,65,16,4,7
2021-07-06,130,59,44,13,4,4
2021-07-07,105,58,40,11,4,4
2021-07-08,95,67,46,17,6,9
2021-07-09,119,98,56,25,10,15
2021-07-10,178,70,60,19,5,7
2021-07-11,145,52,51,11,4,4
2021-07-12,90,29,49,9,2,3
2021-07-13,55,21,43,6,9,5
2021-07-14,46,34,42,10,3,4
2021-07-15,73,53,54,10,3,4
2021-07-16,76,41,37,8,1,3
2021-07-17,53,50,34,9,1,3
2021-07-18,56,53,51,16,3,8
