time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,50,35,35,7,8,7
2021-01-01,,16,29,3,2,4
2021-01-02,63,44,29,3,2,5
2021-01-02,50,35,35,7,8,7
2021-01-03,69,38,21,9,10,6
2021-01-03,63,44,29,3,2,5
2021-01-04,64,46,32,13,12,9
2021-01-04,69,38,21,9,10,6
2021-01-05,79,76,17,25,15,15
2021-01-05,64,,,,,
2021-01-06,142,77,36,17,22,14
2021-01-07,97,62,37,10,18,7
2021-01-08,86,78,40,20,17,12
2021-01-09,105,67,30,14,26,9
2021-01-10,91,44,32,4,2,4
2021-01-11,56,29,36,8,2,7
2021-01-12,57,27,35,8,2,6
2021-01-13,59,33,50,10,8,7
2021-01-14,60,43,37,12,9,8
2021-01-15,67,31,31,10,7,5
2021-01-16,60,50,36,24,14,11
2021-01-17,83,38,38,20,5,9
2021-01-18,67,71,36,32,31,14
2021-01-19,106,239,38,5,3,2
2021-01-20,127,95,31,14,12,8
2021-01-21,106,62,24,12,8,8
2021-01-22,78,61,33,14,13,8
2021-01-23,63,73,40,14,14,11
2021-01-24,88,62,42,13,3,10
2021-01-25,105,49,32,8,3,6
2021-01-26,68,76,14,22,18,11
2021-01-27,104,82,16,26,22,14
2021-01-28,119,60,33,19,22,9
2021-01-29,99,68,34,11,14,6
2021-01-30,97,80,32,3,2,1
2021-01-31,88,42,34,7,3,4
2021-02-01,61,29,30,10,3,3
2021-02-02,56,65,28,23,25,11
2021-02-03,91,52,37,13,7,7
2021-02-04,83,64,37,12,11,9
2021-02-05,86,77,36,2,2,5
2021-02-06,81,50,35,8,3,6
2021-02-07,77,74,33,23,23,15
2021-02-08,115,89,22,28,23,18
2021-02-09,140,77,32,20,14,13
2021-02-10,138,111,42,30,13,18
2021-02-11,172,95,15,31,15,15
2021-02-12,145,75,36,20,12,11
2021-02-13,115,102,25,21,15,17
2021-02-14,170,93,48,19,9,15
2021-02-15,161,104,34,12,11,10
2021-02-16,149,75,29,4,2,7
2021-02-17,109,22,22,3,2,5
2021-02-18,53,18,19,8,5,4
2021-02-19,45,42,16,12,5,6
2021-02-20,87,27,24,3,2,3
2021-02-21,62,35,21,8,6,6
2021-02-22,80,71,24,22,16,10
2021-02-23,119,71,19,16,12,10
2021-02-24,149,64,27,14,4,7
2021-02-25,134,58,28,12,4,9
2021-02-26,121,52,16,16,10,9
2021-02-27,93,63,21,17,13,11
2021-02-28,131,37,27,8,3,5
2021-03-01,87,70,15,18,10,11
2021-03-02,120,58,14,10,5,9
2021-03-03,121,24,26,3,2,4
2021-03-04,65,51,19,12,9,8
2021-03-05,113,115,8,24,11,22
2021-03-06,187,86,30,14,8,15
2021-03-07,168,55,27,7,3,7
2021-03-08,125,62,20,14,9,10
2021-03-09,118,84,14,17,9,15
2021-03-10,164,48,31,3,3,5
2021-03-11,88,24,16,10,3,5
2021-03-12,56,34,34,10,2,5
2021-03-13,67,75,30,5,3,4
2021-03-14,81,32,26,3,3,4
2021-03-15,56,61,20,10,12,9
2021-03-16,103,41,26,10,4,6
2021-03-17,72,46,25,14,8,10
2021-03-18,89,27,33,8,5,6
2021-03-19,66,36,31,10,3,8
2021-03-20,87,37,31,7,5,7
2021-03-21,75,37,32,12,7,9
2021-03-22,78,95,22,24,31,23
2021-03-23,156,108,31,15,20,18
2021-03-24,140,56,30,5,3,5
2021-03-25,80,34,33,6,3,5
2021-03-26,63,64,15,20,18,23
2021-03-27,117,59,32,11,7,6
2021-03-28,69,64,30,19,17,16
2021-03-29,112,43,29,6,4,4
2021-03-30,68,41,22,6,6,6
2021-03-31,67,27,26,5,4,5
2021-04-01,,44,26,8,4,7
2021-04-01,63,48,28,9,10,9
2021-04-02,72,44,30,3,3,5
2021-04-02,89,49,33,2,3,5
2021-04-03,68,55,26,5,5,6
2021-04-03,64,43,28,13,6,9
2021-04-04,79,29,27,4,4,4
2021-04-04,84,59,22,15,15,15
2021-04-05,59,29,29,7,5,4
2021-04-05,108,,,,,
2021-04-06,57,29,29,9,5,7
2021-04-07,64,67,33,1,2,3
2021-04-08,66,136,33,1,,4
2021-04-09,101,565,32,1,2,4
2021-04-10,188,611,32,6,18,6
2021-04-11,261,282,33,11,20,12
2021-04-12,148,52,29,4,5,7
2021-04-13,72,40,27,3,3,6
2021-04-14,68,72,34,3,3,6
2021-04-15,79,91,19,19,19,14
2021-04-16,105,93,23,17,11,13
2021-04-17,122,91,21,17,17,11
2021-04-18,108,75,34,13,12,8
2021-04-19,100,87,10,24,27,17
2021-04-20,125,98,19,24,21,17
2021-04-21,151,101,30,19,11,15
2021-04-22,160,97,32,4,3,4
2021-04-23,87,77,31,10,4,7
2021-04-24,81,244,31,10,5,7
2021-04-25,131,63,32,2,2,3
2021-04-26,69,42,33,2,2,4
2021-04-27,54,32,34,1,2,3
2021-04-28,46,90,35,2,3,4
2021-04-29,93,60,28,6,3,5
2021-04-30,79,72,22,19,28,15
2021-05-01,110,52,32,9,6,6
2021-05-02,80,52,34,11,12,10
2021-05-03,81,88,36,1,2,4
2021-05-04,91,52,36,4,4,4
2021-05-05,67,52,27,11,13,10
2021-05-06,85,47,36,10,15,9
2021-05-07,79,69,35,18,23,15
2021-05-08,129,94,35,18,44,12
2021-05-09,123,72,38,6,9,6
2021-05-10,109,194,36,19,38,18
2021-05-11,239,46,35,7,11,7
2021-05-12,72,31,32,4,4,5
2021-05-13,54,28,33,2,3,4
2021-05-14,47,42,32,4,4,4
2021-05-15,60,41,33,9,7,8
2021-05-16,71,54,36,11,23,17
2021-05-17,91,50,35,2,2,3
2021-05-18,67,62,34,1,3,3
2021-05-19,79,64,29,3,3,4
2021-05-20,78,71,32,8,7,6
2021-05-21,88,52,33,12,6,7
2021-05-22,79,60,39,10,6,9
2021-05-23,98,72,37,16,18,11
2021-05-24,127,230,33,7,12,7
2021-05-25,127,198,29,6,9,7
2021-05-26,130,95,26,5,4,6
2021-05-27,100,64,36,2,3,5
2021-05-28,54,78,35,15,16,13
2021-05-29,109,79,38,5,4,6
2021-05-30,87,58,34,10,12,8
2021-05-31,80,64,35,7,4,4
2021-06-01,79,46,40,9,7,6
2021-06-02,76,71,36,19,11,10
2021-06-03,105,81,51,18,12,13
2021-06-04,142,68,41,23,15,11
2021-06-05,117,72,55,18,26,10
2021-06-06,103,70,42,19,25,8
2021-06-07,98,71,47,13,6,9
2021-06-08,136,70,48,15,14,7
2021-06-09,82,86,43,7,4,5
2021-06-10,122,816,34,4,2,2
2021-06-11,413,527,28,5,2,5
2021-06-12,175,505,6,12,5,10
2021-06-13,173,548,7,15,9,13
2021-06-14,174,606,33,7,3,7
2021-06-15,208,79,35,3,2,3
2021-06-16,78,36,35,6,3,5
2021-06-17,55,76,35,20,30,13
2021-06-18,102,96,43,21,28,14
2021-06-19,127,55,39,5,4,3
2021-06-20,60,83,48,10,13,6
2021-06-21,103,90,42,2,2,3
2021-06-22,95,187,35,14,25,11
2021-06-23,135,728,30,10,7,5
2021-06-24,270,121,33,9,7,7
2021-06-25,113,123,41,9,7,7
2021-06-26,131,35,39,4,2,5
2021-06-27,53,24,35,4,2,5
2021-06-28,44,37,28,9,2,6
2021-06-29,57,18,35,6,3,3
2021-06-30,41,38,35,10,5,4
2021-07-01,52,,,,,
2021-09-30,,34,62,8,8,7
2021-10-01,57,109,46,3,3,4
2021-10-02,88,37,51,5,7,5
2021-10-03,54,66,46,9,10,5
2021-10-04,62,36,62,4,3,5
2021-10-05,41,26,64,5,4,6
2021-10-06,37,27,79,6,3,6
2021-10-07,50,51,74,7,12,7
2021-10-08,61,52,85,11,19,14
2021-10-09,76,79,85,11,16,10
2021-10-10,86,50,70,9,6,8
2021-10-11,82,49,81,10,19,11
2021-10-12,93,40,60,7,9,8
2021-10-13,76,62,79,8,13,7
2021-10-14,80,61,91,6,5,7
2021-10-15,90,54,68,8,12,8
2021-10-16,88,40,86,5,6,7
2021-10-17,82,45,86,8,15,8
2021-10-18,86,41,79,5,9,7
2021-10-19,76,40,51,2,4,6
2021-10-20,67,31,49,2,4,6
2021-10-21,64,37,49,3,5,6
2021-10-22,50,36,46,2,4,7
2021-10-23,58,40,50,4,7,7
2021-10-24,54,67,38,6,9,8
2021-10-25,92,50,51,5,5,9
2021-10-26,78,46,81,7,6,11
2021-10-27,86,49,72,9,13,9
2021-10-28,75,42,69,6,12,5
2021-10-29,59,42,71,7,13,6
2021-10-30,60,40,55,2,2,4
2021-10-31,48,26,44,2,3,3
2021-11-01,41,52,58,6,8,5
2021-11-02,58,33,50,2,3,4
2021-11-03,58,63,42,14,23,12
2021-11-04,88,32,54,5,4,6
2021-11-05,59,65,55,8,8,8
2021-11-06,128,54,58,15,12,12
2021-11-07,77,38,51,3,5,6
2021-11-08,61,37,52,5,8,6
2021-11-09,55,,,,,
2021-11-19,,31,50,4,2,5
2021-11-20,42,55,59,9,9,7
2021-11-21,63,66,48,8,13,9
2021-11-22,98,60,28,5,5,9
2021-11-23,85,35,26,1,2,2
2021-11-24,50,16,31,2,2,4
2021-11-25,40,41,37,11,14,8
2021-11-26,55,28,29,8,3,5
2021-11-27,38,29,51,9,4,6
2021-11-28,49,41,69,7,4,6
2021-11-29,54,45,53,12,5,8
2021-11-30,64,43,68,9,7,10
2021-12-01,77,43,76,12,17,9
2021-12-02,72,64,77,13,20,11
2021-12-03,95,49,42,7,5,6
2021-12-04,68,55,46,4,2,5
2021-12-05,82,36,26,8,2,5
2021-12-06,55,17,43,4,5,5
2021-12-07,36,56,59,16,25,7
2021-12-08,77,58,66,12,13,6
2021-12-09,71,32,44,7,4,3
2021-12-10,57,46,59,13,14,7
2021-12-11,67,49,70,11,11,8
2021-12-12,60,64,56,10,13,5
2021-12-13,69,51,62,7,8,4
2021-12-14,55,51,52,12,6,6
2021-12-15,68,34,37,6,2,6
2021-12-16,73,61,49,14,5,9
2021-12-17,115,42,41,15,7,6
2021-12-18,65,52,44,17,19,8
2021-12-19,79,88,44,7,8,5
2021-12-20,74,65,49,19,16,9
2021-12-21,78,51,50,12,7,6
2021-12-22,67,66,52,17,18,10
2021-12-23,82,48,49,11,17,7
2021-12-24,61,43,47,11,14,6
2021-12-25,63,41,43,9,9,7
2021-12-26,63,58,41,8,5,5
2021-12-27,79,75,54,16,21,8
2021-12-28,80,54,45,13,16,6
2021-12-29,71,68,48,16,10,7
2021-12-30,88,51,44,8,3,5
2021-12-31,63,56,43,13,13,8
2022-01-01,65,66,42,19,15,9
2022-01-02,76,51,34,9,3,6
2022-01-03,61,,,,,
2022-03-31,,56,28,17,10,7
2022-04-01,105,90,15,24,25,15
2022-04-02,134,82,7,20,14,11
