time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,153,43,34,8,3,5
2021-01-01,128,60,30,5,2,5
2021-01-02,143,95,31,12,3,6
2021-01-02,153,43,34,8,3,5
2021-01-03,141,86,36,14,5,7
2021-01-03,143,95,31,12,3,6
2021-01-04,142,79,45,17,4,7
2021-01-04,141,86,36,14,5,7
2021-01-05,151,227,39,14,3,6
2021-01-05,142,,,,,
2021-01-06,158,80,30,4,1,5
2021-01-07,90,50,32,8,2,6
2021-01-08,119,67,30,14,3,8
2021-01-09,151,47,31,9,1,5
2021-01-10,125,65,35,11,2,7
2021-01-11,140,74,34,18,4,7
2021-01-12,159,60,35,11,2,6
2021-01-13,141,75,35,13,3,7
2021-01-14,147,56,35,10,2,7
2021-01-15,131,75,33,17,3,10
2021-01-16,138,75,39,17,5,7
2021-01-17,151,91,25,25,7,8
2021-01-18,161,83,37,18,4,7
2021-01-19,145,68,31,7,2,4
2021-01-20,124,111,23,20,9,8
2021-01-21,161,103,26,22,8,9
2021-01-22,176,118,30,22,7,10
2021-01-23,179,91,26,9,3,6
2021-01-24,135,57,29,11,1,7
2021-01-25,123,63,27,11,3,8
2021-01-26,132,78,22,16,4,8
2021-01-27,154,100,24,18,6,10
2021-01-28,165,78,22,17,5,7
2021-01-29,123,45,24,8,3,6
2021-01-30,94,69,25,14,3,10
2021-01-31,120,76,24,14,3,10
2021-02-01,113,65,20,21,7,10
2021-02-02,126,104,18,23,16,14
2021-02-03,161,84,24,20,10,15
2021-02-04,164,32,20,6,3,6
2021-02-05,123,95,17,18,5,13
2021-02-06,146,101,20,23,8,13
2021-02-07,155,109,19,19,5,11
2021-02-08,160,120,17,21,5,12
2021-02-09,190,111,14,25,7,11
2021-02-10,144,76,17,21,7,10
2021-02-11,120,65,16,22,5,8
2021-02-12,114,84,19,20,4,9
2021-02-13,112,62,14,14,3,8
2021-02-14,104,61,6,17,6,8
2021-02-15,89,70,9,16,5,10
2021-02-16,116,67,11,12,2,11
2021-02-17,108,19,19,4,1,4
2021-02-18,46,22,20,4,6,6
2021-02-19,56,26,22,4,2,5
2021-02-20,59,69,10,16,4,10
2021-02-21,128,66,14,16,4,11
2021-02-22,131,58,17,16,4,8
2021-02-23,110,65,12,16,5,10
2021-02-24,103,72,12,13,3,10
2021-02-25,148,93,12,14,3,12
2021-02-26,167,65,22,12,3,8
2021-02-27,142,103,8,16,7,16
2021-02-28,170,74,11,15,5,10
2021-03-01,173,67,20,9,2,9
2021-03-02,156,50,24,8,2,7
2021-03-03,99,65,15,11,1,7
2021-03-04,151,68,12,19,1,8
2021-03-05,148,110,15,23,2,15
2021-03-06,196,105,16,19,4,12
2021-03-07,178,150,19,23,4,16
2021-03-08,203,168,11,25,2,19
2021-03-09,258,149,12,19,3,16
2021-03-10,255,213,20,21,5,21
2021-03-11,311,198,11,31,4,24
2021-03-12,307,160,15,29,6,19
2021-03-13,254,132,12,27,2,21
2021-03-14,238,134,10,23,5,17
2021-03-15,241,143,13,22,3,18
2021-03-16,251,191,11,24,4,24
2021-03-17,302,233,7,29,6,24
2021-03-18,333,342,7,38,4,31
2021-03-19,416,372,7,35,5,30
2021-03-20,401,254,7,35,3,26
2021-03-21,323,397,5,39,2,35
2021-03-22,434,335,17,30,4,25
2021-03-23,336,87,12,17,3,14
2021-03-24,158,133,11,23,3,19
2021-03-25,226,142,11,27,4,20
2021-03-26,256,130,10,25,3,20
2021-03-27,239,154,8,27,4,24
2021-03-28,259,146,3,20,4,17
2021-03-29,258,171,6,23,3,18
2021-03-30,260,134,2,27,5,19
2021-03-31,242,153,1,31,2,22
2021-04-01,,110,16,25,7,14
2021-04-01,254,122,1,29,2,17
2021-04-02,205,146,8,31,4,21
2021-04-02,191,145,6,27,4,21
2021-04-03,255,151,7,32,4,21
2021-04-03,241,112,22,13,3,12
2021-04-04,268,128,9,30,4,21
2021-04-04,189,124,15,19,2,15
2021-04-05,233,219,9,36,5,28
2021-04-05,205,,,,,
2021-04-06,304,132,16,26,4,19
2021-04-07,210,188,10,34,5,28
2021-04-08,273,175,21,32,7,22
2021-04-09,288,214,18,33,2,26
2021-04-10,323,236,20,37,6,27
2021-04-11,340,56,28,11,5,11
2021-04-12,135,90,15,26,4,15
2021-04-13,176,102,14,25,5,15
2021-04-14,178,88,19,29,10,17
2021-04-15,182,134,15,31,8,24
2021-04-16,215,191,11,33,4,29
2021-04-17,266,182,12,34,3,28
2021-04-18,255,216,21,31,4,32
2021-04-19,304,167,26,28,11,24
2021-04-20,259,86,23,26,7,20
2021-04-21,339,51,20,21,5,13
2021-04-22,118,66,32,12,5,12
2021-04-23,152,68,24,15,3,12
2021-04-24,159,126,21,23,3,18
2021-04-25,183,134,17,32,6,21
2021-04-26,242,258,29,33,3,24
2021-04-27,329,177,20,41,6,30
2021-04-28,337,254,21,42,2,31
2021-04-29,378,153,33,34,3,24
