time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,49,22,24,5,4,5
2021-01-02,40,24,19,8,6,8
2021-01-03,56,18,15,6,1,5
2021-01-04,39,22,15,7,3,7
2021-01-05,56,,,,,
2021-04-01,,60,22,11,4,3
2021-04-02,139,57,20,12,5,4
2021-04-03,124,56,22,9,4,7
2021-04-04,124,26,23,4,4,4
2021-04-05,61,38,24,6,5,5
2021-04-06,79,56,24,11,6,7
2021-04-07,124,55,18,10,5,6
2021-04-08,123,59,16,14,8,9
2021-04-09,125,52,13,13,8,9
2021-04-10,92,61,15,11,10,7
2021-04-11,123,52,19,12,4,6
2021-04-12,109,53,15,,4,8
2021-04-13,106,,,,,
2021-04-16,,,,16,,
2021-04-17,,53,26,11,3,7
2021-04-18,113,44,26,10,10,10
2021-04-19,70,54,26,14,5,7
2021-04-20,111,48,23,15,3,9
2021-04-21,100,52,22,11,10,14
2021-04-22,84,47,33,7,5,9
2021-04-23,97,25,28,9,4,6
2021-04-24,64,49,27,7,5,6
2021-04-25,97,46,28,6,3,7
2021-04-26,103,32,27,6,4,6
2021-04-27,63,30,26,5,3,6
2021-04-28,73,30,27,8,3,7
2021-04-29,65,31,26,4,8,10
2021-04-30,69,34,29,5,6,7
2021-05-01,75,29,29,4,3,7
2021-05-02,62,29,31,7,4,4
2021-05-03,71,45,33,11,4,6
2021-05-04,107,48,33,7,10,11
2021-05-05,91,39,33,5,4,5
2021-05-06,88,29,32,4,3,4
2021-05-07,64,26,35,6,4,4
2021-05-08,61,50,,11,5,6
2021-05-09,112,55,33,9,5,7
2021-05-10,131,47,41,7,11,7
2021-05-11,98,59,40,8,8,5
2021-05-12,135,31,38,3,3,3
2021-05-13,69,24,29,4,3,3
2021-05-14,60,27,29,2,2,4
2021-05-15,57,29,28,2,4,4
2021-05-16,67,25,28,3,3,3
2021-05-17,60,21,32,8,3,4
2021-05-18,51,42,32,3,6,8
2021-05-19,74,25,30,10,3,4
2021-05-20,62,30,28,8,3,6
2021-05-21,72,27,29,4,3,6
2021-05-22,58,24,30,6,2,5
2021-05-23,62,29,31,5,3,7
2021-05-24,63,34,38,8,3,6
2021-05-25,63,63,34,,7,7
2021-05-26,101,,,,,
2021-05-29,,,,8,,
2021-05-30,,22,34,7,3,5
2021-05-31,55,34,34,,8,8
2021-06-01,68,,,2,,
2021-06-02,,28,33,5,4,5
2021-06-03,66,24,33,9,3,5
2021-06-04,62,32,34,7,6,6
2021-06-05,67,41,45,5,7,7
2021-06-06,85,50,45,9,5,7
2021-06-07,100,22,38,8,3,4
2021-06-08,59,27,37,9,2,5
2021-06-09,70,26,37,9,2,5
2021-06-10,60,27,44,8,4,6
2021-06-11,55,36,43,5,6,8
2021-06-12,73,77,44,2,4,9
2021-06-13,97,68,35,2,2,9
2021-06-14,67,23,32,4,2,3
2021-06-15,57,21,34,7,2,5
2021-06-16,50,25,36,5,4,5
2021-06-17,53,24,34,4,3,6
2021-06-18,48,29,32,4,4,5
2021-06-19,69,18,36,4,2,5
2021-06-20,55,32,37,5,4,5
2021-06-21,70,25,38,6,4,6
2021-06-22,59,38,39,6,7,7
2021-06-23,69,32,39,6,2,6
2021-06-24,74,48,38,6,2,7
2021-06-25,97,43,36,5,4,9
2021-06-26,87,34,27,3,2,7
2021-06-27,55,22,32,4,2,6
2021-06-28,57,27,36,5,2,5
2021-06-29,59,26,41,7,2,4
2021-06-30,56,51,63,2,6,6
2021-07-01,,26,41,5,2,4
2021-07-01,84,24,43,4,2,5
2021-07-02,56,51,63,7,6,6
2021-07-02,64,23,42,,1,5
2021-07-03,84,24,43,2,2,5
2021-07-03,54,,,,,
2021-07-04,64,23,42,4,1,5
2021-07-05,54,28,42,4,2,4
2021-07-06,60,18,37,4,2,3
2021-07-07,54,22,35,1,2,4
2021-07-08,54,17,31,2,2,4
2021-07-09,42,21,34,5,2,4
2021-07-10,43,53,89,7,6,6
2021-07-11,102,90,89,9,4,7
2021-07-12,165,44,51,4,3,5
2021-07-13,91,24,33,2,2,4
2021-07-14,58,15,37,4,2,2
2021-07-15,37,36,46,6,6,5
2021-07-16,76,55,46,7,6,5
2021-07-17,116,35,46,4,2,3
2021-07-18,84,26,38,4,2,3
2021-07-19,57,40,57,5,3,4
2021-07-20,73,20,36,2,2,2
2021-07-21,59,45,71,8,6,5
2021-07-22,95,148,87,15,10,9
2021-07-23,217,43,87,6,2,3
2021-07-24,87,20,43,3,2,3
2021-07-25,51,20,37,4,2,3
2021-07-26,49,21,38,5,5,4
2021-07-27,46,69,44,6,4,4
2021-07-28,111,36,39,5,2,4
2021-07-29,66,38,43,6,3,4
2021-07-30,57,40,45,6,5,4
2021-07-31,59,34,45,6,4,4
2021-08-01,54,22,43,4,2,3
2021-08-02,47,21,46,5,2,3
2021-08-03,40,35,43,6,3,4
2021-08-04,67,33,39,5,5,5
2021-08-05,64,19,39,5,2,4
2021-08-06,52,21,29,6,2,4
2021-08-07,44,17,26,5,2,3
2021-08-08,51,19,25,2,2,4
2021-08-09,53,18,28,3,2,3
2021-08-10,50,20,39,4,3,4
2021-08-11,47,26,,5,3,5
2021-08-12,50,19,39,4,2,4
2021-08-13,41,23,53,4,4,4
2021-08-14,46,17,53,2,2,4
2021-08-15,53,23,43,3,2,4
2021-08-16,38,27,47,5,4,5
2021-08-17,52,32,63,4,2,5
2021-08-18,51,21,48,4,2,3
2021-08-19,48,40,85,5,3,5
2021-08-20,74,33,62,5,2,5
2021-08-21,69,42,91,5,3,6
2021-08-22,70,58,80,4,3,6
2021-08-23,96,43,55,3,2,5
2021-08-24,75,30,29,5,3,7
2021-08-25,58,27,32,5,4,8
2021-08-26,57,28,37,5,3,6
2021-08-27,56,27,39,4,2,6
2021-08-28,62,22,39,4,2,4
2021-08-29,56,22,39,4,3,6
2021-08-30,60,22,36,3,3,7
2021-08-31,50,26,32,6,5,7
2021-09-01,65,18,36,4,2,4
2021-09-02,43,18,41,3,2,5
2021-09-03,44,13,35,3,2,5
2021-09-04,43,,,,,
2021-09-06,,23,36,4,1,4
2021-09-07,49,19,45,4,2,3
2021-09-08,39,22,56,5,2,4
2021-09-09,45,27,60,5,2,5
2021-09-10,58,20,60,4,2,3
2021-09-11,51,16,40,3,2,2
2021-09-12,35,19,47,4,3,4
2021-09-13,40,21,44,4,4,4
2021-09-14,47,20,44,5,6,3
2021-09-15,51,22,44,5,2,2
2021-09-16,53,18,42,3,2,2
2021-09-17,45,19,41,4,2,2
2021-09-18,47,20,31,4,3,3
2021-09-19,48,21,31,4,2,2
2021-09-20,49,19,28,3,2,2
2021-09-21,47,19,32,4,2,2
2021-09-22,48,21,51,4,2,2
2021-09-23,42,15,53,4,2,2
2021-09-24,44,26,77,5,2,3
2021-09-25,55,34,,5,4,4
2021-09-26,67,25,73,5,2,3
2021-09-27,47,21,55,4,2,3
2021-09-28,40,23,50,5,2,3
2021-09-29,43,,,,,
2021-09-30,,23,34,4,4,5
2021-10-01,60,18,37,4,2,5
2021-10-01,,23,34,4,4,5
2021-10-02,45,26,35,4,4,8
2021-10-02,60,18,37,4,2,5
2021-10-03,54,19,,4,3,4
2021-10-03,45,26,35,4,4,8
2021-10-04,51,17,33,4,3,5
2021-10-04,54,,,,,
2021-10-05,41,23,43,4,3,9
2021-10-06,50,15,31,3,3,8
2021-10-07,34,21,32,4,4,8
2021-10-08,49,17,34,4,3,7
2021-10-09,38,15,39,3,2,8
2021-10-10,45,24,40,4,2,7
2021-10-11,46,32,39,5,3,10
2021-10-12,63,24,32,3,2,5
2021-10-13,45,18,41,3,2,5
2021-10-14,46,16,42,3,2,5
2021-10-15,37,15,32,3,2,4
2021-10-16,40,28,37,4,3,7
2021-10-17,61,23,46,4,4,8
2021-10-18,46,17,39,3,2,4
2021-10-19,35,22,37,3,3,6
2021-10-20,55,18,40,4,2,4
2021-10-21,46,22,43,4,3,7
2021-10-22,45,24,43,4,2,6
2021-10-23,52,16,43,4,2,5
2021-10-24,34,19,34,4,2,6
2021-10-25,40,27,35,4,5,6
2021-10-26,49,18,30,3,2,4
2021-10-27,38,12,29,3,2,3
2021-10-28,35,14,44,3,3,4
2021-10-29,38,19,31,4,4,6
