time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,54,14,20,3,3,3
2021-01-01,48,17,23,3,2,3
2021-01-02,53,12,19,3,2,3
2021-01-02,54,14,20,3,3,3
2021-01-03,46,16,18,3,2,4
2021-01-03,53,12,19,3,2,3
2021-01-04,51,14,22,3,2,3
2021-01-04,46,16,18,3,2,4
2021-01-05,49,13,17,3,2,4
2021-01-05,51,,,,,
2021-01-06,48,15,19,4,2,4
2021-01-07,54,17,23,3,2,4
2021-01-08,51,19,22,4,2,5
2021-01-09,50,20,22,4,2,5
2021-01-10,59,19,26,4,2,5
2021-01-11,57,20,33,4,2,5
2021-01-12,57,23,26,5,3,7
2021-01-13,60,25,36,5,2,6
2021-01-14,63,25,34,4,2,4
2021-01-15,63,14,20,4,2,4
2021-01-16,50,14,18,4,2,4
2021-01-17,48,16,18,4,2,4
2021-01-18,53,13,21,4,2,3
2021-01-19,44,11,15,4,2,3
2021-01-20,48,10,18,3,2,4
2021-01-21,40,8,23,2,2,5
2021-01-22,31,16,28,4,2,5
2021-01-23,52,25,18,8,2,6
2021-01-24,68,27,17,5,2,6
2021-01-25,64,17,25,3,2,4
2021-01-26,50,23,27,4,3,4
2021-01-27,57,21,28,3,2,5
2021-01-28,61,23,22,5,2,5
2021-01-29,60,23,17,6,3,5
2021-01-30,61,14,15,4,2,5
2021-01-31,43,15,15,4,2,5
2021-02-01,45,14,15,5,2,5
2021-02-02,48,12,17,4,2,5
2021-02-03,43,16,19,3,2,4
2021-02-04,45,13,21,2,2,4
2021-02-05,46,16,28,3,2,4
2021-02-06,55,21,32,5,4,4
2021-02-07,55,21,32,4,4,5
2021-02-08,57,26,33,5,3,5
2021-02-09,63,29,34,6,3,4
2021-02-10,63,35,40,7,3,5
2021-02-11,78,35,41,6,3,5
2021-02-12,78,33,40,6,3,5
2021-02-13,77,37,40,8,4,5
2021-02-14,82,34,39,7,4,4
2021-02-15,80,27,28,5,4,5
2021-02-16,64,20,29,5,2,4
2021-02-17,58,17,34,4,2,4
2021-02-18,56,23,36,4,2,4
2021-02-19,53,21,35,4,2,5
2021-02-20,50,25,34,4,2,5
2021-02-21,60,32,36,5,3,5
2021-02-22,78,25,34,4,2,5
2021-02-23,71,28,29,6,3,5
2021-02-24,61,19,31,4,3,4
2021-02-25,50,18,32,5,2,4
2021-02-26,41,24,35,6,3,5
2021-02-27,47,25,34,6,2,5
2021-02-28,55,22,34,4,3,5
2021-03-01,48,24,31,6,4,5
2021-03-02,56,22,30,6,2,4
2021-03-03,47,17,31,4,2,3
2021-03-04,43,21,28,5,3,6
2021-03-05,40,18,27,5,2,6
2021-03-06,38,16,28,4,2,5
2021-03-07,33,15,29,4,2,5
2021-03-08,38,20,30,5,2,6
2021-03-09,43,23,30,5,2,6
2021-03-10,49,25,27,5,2,6
2021-03-11,49,24,29,5,2,5
2021-03-12,53,22,30,4,2,6
2021-03-13,54,26,32,5,2,6
2021-03-14,55,22,32,5,3,6
2021-03-15,46,20,30,4,2,6
2021-03-16,43,22,30,4,2,5
2021-03-17,53,23,32,4,2,5
2021-03-18,62,23,36,3,2,4
2021-03-19,65,33,35,5,3,5
2021-03-20,79,31,32,4,2,5
2021-03-21,80,25,31,5,3,5
2021-03-22,62,25,29,5,3,6
2021-03-23,61,30,25,6,2,6
2021-03-24,79,26,30,4,2,5
2021-03-25,67,33,31,7,3,6
2021-03-26,82,32,29,7,3,6
2021-03-27,80,26,31,5,3,5
2021-03-28,67,26,31,6,3,6
2021-03-29,65,27,31,6,3,5
2021-03-30,72,30,32,6,3,5
2021-03-31,78,34,33,7,3,6
2021-04-01,,36,32,8,3,7
2021-04-01,84,36,31,8,3,7
2021-04-02,83,34,33,7,3,7
2021-04-02,97,31,32,6,3,6
2021-04-03,88,25,33,7,3,6
2021-04-03,89,27,32,5,3,6
2021-04-04,76,18,29,3,3,3
2021-04-04,82,29,32,7,3,6
2021-04-05,66,29,34,5,3,5
2021-04-05,80,,,,,
2021-04-06,80,36,32,5,3,5
2021-04-07,78,28,33,4,3,5
2021-04-08,78,34,33,6,3,5
2021-04-09,95,41,23,6,3,7
2021-04-10,104,43,33,8,3,7
2021-04-11,115,32,35,6,3,5
2021-04-12,94,36,36,6,2,5
2021-04-13,105,42,36,5,2,5
2021-04-14,119,53,33,12,3,7
2021-04-15,134,46,33,8,3,6
2021-04-16,127,44,32,9,2,7
