time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,31,25,17,8,0,5
2021-01-02,28,35,24,9,1,2
2021-01-03,49,41,25,13,1,3
2021-01-04,46,45,26,14,1,4
2021-01-05,40,,,,2,
2021-04-01,,42,14,21,1,5
2021-04-02,93,47,15,20,1,5
2021-04-03,106,50,16,18,1,7
2021-04-04,117,62,16,18,1,8
2021-04-05,134,70,23,16,1,10
2021-04-06,157,66,22,14,2,9
2021-04-07,147,76,27,19,1,9
2021-04-08,160,80,20,20,1,9
2021-04-09,174,80,25,18,1,10
2021-04-10,178,87,31,15,1,10
2021-04-11,178,59,24,10,1,7
2021-04-12,111,32,23,10,1,3
2021-04-13,48,45,18,19,1,4
2021-04-14,97,52,21,20,1,6
2021-04-15,121,69,19,20,1,7
2021-04-16,150,81,18,19,2,9
2021-04-17,170,80,25,16,2,11
2021-04-18,165,84,30,14,1,10
2021-04-19,160,77,28,19,1,10
2021-04-20,159,78,28,7,1,2
2021-04-21,58,45,26,9,1,4
2021-04-22,45,34,28,7,1,3
2021-04-23,35,31,28,9,1,5
2021-04-24,43,28,27,10,1,5
2021-04-25,47,32,24,12,1,8
2021-04-26,59,38,24,13,1,7
2021-04-27,70,35,23,14,1,5
2021-04-28,82,44,23,16,1,5
2021-04-29,102,65,28,15,2,8
2021-04-30,147,84,34,15,2,12
2021-05-01,175,97,31,15,2,12
2021-05-02,185,111,33,18,2,17
2021-05-03,203,97,29,17,2,16
2021-05-04,186,54,27,13,2,7
2021-05-05,101,89,30,15,2,12
2021-05-06,175,113,26,16,3,13
2021-05-07,193,93,29,11,2,11
2021-05-08,176,60,28,6,2,5
2021-05-09,69,21,27,9,2,5
2021-05-10,31,24,29,8,2,6
2021-05-11,39,26,28,9,2,6
2021-05-12,49,28,30,13,2,7
2021-05-13,68,31,29,11,2,10
2021-05-14,53,24,29,7,2,6
2021-05-15,48,36,31,11,2,9
2021-05-16,87,51,30,11,2,11
2021-05-17,117,54,30,14,2,10
2021-05-18,135,61,35,8,2,8
2021-05-19,147,49,26,11,2,8
2021-05-20,111,26,23,7,2,5
2021-05-21,53,30,26,8,2,7
2021-05-22,58,24,26,6,,5
2021-05-23,34,24,32,5,,4
2021-05-24,45,45,30,3,2,1
2021-05-25,34,34,29,5,2,1
2021-05-26,32,34,30,7,2,5
2021-05-27,43,36,31,7,2,5
2021-05-28,37,33,34,7,2,4
2021-05-29,35,40,37,7,2,5
2021-05-30,71,55,37,8,2,7
2021-05-31,115,26,30,6,2,3
2021-06-01,41,28,32,6,2,3
2021-06-02,41,31,28,7,2,6
2021-06-03,57,28,29,6,,3
2021-06-04,51,33,31,7,2,6
2021-06-05,50,33,29,8,2,7
2021-06-06,58,42,28,8,2,6
2021-06-07,79,47,31,7,2,6
2021-06-08,86,33,24,9,2,7
2021-06-09,54,39,31,4,2,2
2021-06-10,37,22,33,5,,2
2021-06-11,30,22,36,6,2,2
2021-06-12,40,23,33,4,2,2
2021-06-13,33,23,34,5,2,1
2021-06-14,30,25,35,4,,1
2021-06-15,32,28,37,8,2,2
2021-06-16,40,76,33,5,2,2
2021-06-17,38,70,32,7,2,4
2021-06-18,41,152,32,8,2,5
2021-06-19,64,135,36,6,2,5
2021-06-20,63,36,37,6,2,3
2021-06-21,25,44,32,8,2,4
2021-06-22,37,28,32,5,,3
2021-06-23,26,37,36,4,,2
2021-06-24,23,40,34,2,,2
2021-06-25,23,37,28,3,,1
2021-06-26,24,31,28,5,1,2
2021-06-27,27,23,33,7,1,3
2021-06-28,19,26,33,6,1,2
2021-06-29,29,28,34,4,1,2
2021-06-30,30,36,35,5,1,2
2021-07-01,,23,33,7,1,3
2021-07-01,17,,,,,
2021-07-02,19,26,33,6,1,2
2021-07-03,29,28,34,4,1,2
2021-07-04,30,36,35,5,1,2
2021-07-05,17,44,41,8,1,3
2021-07-06,37,45,41,4,1,4
2021-07-07,34,49,41,6,1,4
2021-07-08,38,53,38,8,1,4
2021-07-09,42,64,45,9,1,5
2021-07-10,44,38,40,5,1,4
2021-07-11,31,37,41,6,1,3
2021-07-12,31,44,39,5,1,2
2021-07-13,23,40,46,9,2,3
2021-07-14,27,54,44,6,1,3
2021-07-15,43,52,44,9,1,4
2021-07-16,56,55,42,12,1,5
2021-07-17,46,88,41,11,1,4
2021-07-18,55,40,43,4,1,4
2021-07-19,35,47,39,5,1,4
2021-07-20,42,39,35,5,1,5
2021-07-21,33,30,32,4,1,5
2021-07-22,27,36,36,2,1,3
2021-07-23,27,29,36,2,1,2
2021-07-24,48,32,36,4,1,2
2021-07-25,49,27,37,6,1,2
2021-07-26,30,36,39,9,1,3
2021-07-27,33,45,42,11,1,3
2021-07-28,34,48,46,11,2,5
2021-07-29,36,52,55,10,2,6
2021-07-30,49,58,52,13,1,6
2021-07-31,51,119,42,8,1,3
2021-08-01,73,32,42,2,1,1
2021-08-02,24,36,42,6,1,1
2021-08-03,36,50,46,10,1,2
2021-08-04,40,45,47,13,1,3
2021-08-05,45,42,45,11,1,3
2021-08-06,42,64,37,7,1,4
2021-08-07,43,58,37,2,1,5
2021-08-08,42,33,45,5,1,2
2021-08-09,38,44,35,7,1,3
2021-08-10,55,43,39,3,1,4
2021-08-11,35,30,38,4,1,4
2021-08-12,38,31,46,3,1,1
2021-08-13,29,43,45,3,1,2
2021-08-14,48,29,45,3,1,3
2021-08-15,33,34,49,7,1,3
2021-08-16,30,33,41,5,1,2
2021-08-17,35,35,42,3,1,2
2021-08-18,32,41,44,4,1,2
2021-08-19,30,56,38,4,1,2
2021-08-20,43,37,40,3,,1
2021-08-21,33,28,36,3,1,1
2021-08-22,21,31,38,6,1,1
2021-08-23,28,42,42,9,1,3
2021-08-24,26,45,42,10,1,3
2021-08-25,28,36,46,8,1,3
2021-08-26,29,48,43,9,1,4
2021-08-27,43,56,40,2,2,1
2021-08-28,42,39,42,5,,1
2021-08-29,31,35,43,5,2,1
2021-08-30,23,38,42,6,,1
2021-08-31,25,38,40,4,2,1
2021-09-01,25,42,38,9,2,2
2021-09-02,38,51,40,9,2,3
2021-09-03,41,54,44,4,2,2
2021-09-04,29,41,45,2,2,2
2021-09-05,35,26,36,5,2,1
2021-09-06,29,37,37,9,2,3
2021-09-07,32,49,43,13,2,4
2021-09-08,39,32,49,2,2,6
2021-09-09,32,32,40,5,2,7
2021-09-10,26,34,41,5,2,5
2021-09-11,25,25,40,3,2,3
2021-09-12,24,34,37,3,2,2
2021-09-13,26,29,35,4,2,1
2021-09-14,27,27,35,5,2,2
2021-09-15,25,34,41,8,2,2
2021-09-16,29,36,43,12,2,3
2021-09-17,35,43,50,11,2,3
2021-09-18,26,43,46,9,2,4
2021-09-19,23,59,37,2,2,2
2021-09-20,28,36,38,3,2,2
2021-09-21,32,43,32,7,2,3
2021-09-22,39,26,32,2,2,2
2021-09-23,23,29,38,4,2,3
2021-09-24,23,29,41,2,2,4
2021-09-25,26,36,36,5,2,5
2021-09-26,23,33,36,5,2,7
2021-09-27,21,31,42,6,2,6
2021-09-28,28,44,44,8,2,6
2021-09-29,28,44,44,6,2,5
2021-09-30,,39,40,4,2,5
2021-09-30,26,39,40,4,2,5
2021-10-01,30,42,41,4,2,5
2021-10-01,30,42,41,4,2,5
2021-10-02,28,43,40,4,2,4
2021-10-02,28,43,40,4,2,4
2021-10-03,21,38,42,6,2,3
2021-10-03,21,38,42,6,2,3
2021-10-04,24,44,46,8,2,3
2021-10-04,24,,,,,
2021-10-05,28,42,46,6,2,3
2021-10-06,28,46,41,7,2,3
2021-10-07,26,43,33,8,2,5
2021-10-08,27,40,36,8,2,3
2021-10-09,24,39,43,6,,3
2021-10-10,24,54,43,4,2,2
2021-10-11,34,49,37,3,2,5
2021-10-12,29,36,41,6,2,3
2021-10-13,20,40,40,5,2,3
2021-10-14,33,36,45,6,2,4
2021-10-15,23,39,40,4,2,3
2021-10-16,24,27,38,5,2,3
2021-10-17,24,29,41,4,2,2
2021-10-18,22,38,43,10,2,3
2021-10-19,33,32,41,6,2,2
2021-10-20,30,40,41,9,2,2
2021-10-21,38,44,41,9,2,2
2021-10-22,35,38,47,4,2,4
2021-10-23,28,36,54,4,2,6
2021-10-24,29,33,51,5,2,5
2021-10-25,27,36,45,4,2,4
2021-10-26,32,40,49,5,2,5
2021-10-27,32,37,42,2,3,3
2021-10-28,23,36,34,6,3,4
2021-10-29,30,63,41,7,3,6
2021-10-30,43,33,36,4,3,7
2021-10-31,25,29,42,5,2,7
2021-11-01,25,38,45,6,2,6
2021-11-02,27,43,49,10,3,7
2021-11-03,39,45,48,9,3,7
2021-11-04,28,40,46,5,2,7
2021-11-05,27,34,44,5,,9
2021-11-06,21,35,43,4,2,7
2021-11-07,34,39,43,5,2,5
2021-11-08,44,43,47,5,2,6
2021-11-09,34,,,,,
2021-11-19,,31,43,4,2,4
2021-11-20,23,30,36,5,2,2
2021-11-21,17,30,37,7,3,1
2021-11-22,22,36,39,9,2,3
2021-11-23,32,33,39,10,2,3
2021-11-24,28,34,36,11,2,4
2021-11-25,29,37,37,8,2,4
2021-11-26,26,51,37,9,2,5
2021-11-27,33,41,43,6,2,4
2021-11-28,23,27,40,6,2,4
2021-11-29,25,39,46,9,2,4
2021-11-30,28,35,38,8,2,5
2021-12-01,28,37,40,6,2,5
2021-12-02,33,36,43,4,2,5
2021-12-03,23,36,36,8,2,5
2021-12-04,25,35,40,9,,5
2021-12-05,23,39,42,10,2,5
2021-12-06,33,40,45,9,2,4
2021-12-07,31,42,43,11,2,4
2021-12-08,32,46,42,10,2,4
2021-12-09,31,49,37,4,2,3
2021-12-10,28,37,27,5,2,5
2021-12-11,19,34,35,6,2,4
2021-12-12,31,42,41,10,2,4
2021-12-13,38,45,31,7,2,5
2021-12-14,28,36,34,5,2,6
2021-12-15,20,36,34,8,2,6
2021-12-16,26,34,39,6,2,6
2021-12-17,23,40,35,5,2,7
2021-12-18,23,38,31,10,2,6
2021-12-19,29,55,30,12,2,5
2021-12-20,35,66,33,5,2,3
2021-12-21,38,29,28,5,2,3
2021-12-22,27,30,26,6,2,4
2021-12-23,36,36,31,5,2,4
2021-12-24,26,43,28,5,2,6
