time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,53,48,40,12,5,5
2021-01-01,60,41,30,11,3,3
2021-01-02,75,53,27,14,5,4
2021-01-02,53,48,40,12,5,5
2021-01-03,77,48,40,12,5,5
2021-01-03,75,53,27,14,5,4
2021-01-04,75,55,51,9,4,4
2021-01-04,77,48,40,12,5,5
2021-01-05,73,55,40,7,3,3
2021-01-05,75,,,,,
2021-01-06,71,16,28,6,3,3
2021-01-07,37,32,29,12,3,4
2021-01-08,67,33,27,10,2,3
2021-01-09,76,28,28,13,2,5
2021-01-10,67,39,35,12,3,4
2021-01-11,86,33,33,8,3,4
2021-01-12,68,26,31,8,2,3
2021-01-13,45,39,35,10,4,3
2021-01-14,61,44,28,12,4,4
2021-01-15,70,47,26,13,5,5
2021-01-16,74,59,34,13,5,5
2021-01-17,90,62,35,15,4,4
2021-01-18,93,47,36,10,3,3
2021-01-19,73,82,22,14,4,4
2021-01-20,93,64,26,17,5,5
2021-01-21,85,60,31,16,6,4
2021-01-22,81,71,29,11,3,4
2021-01-23,78,35,29,7,2,3
2021-01-24,64,27,22,8,3,3
2021-01-25,62,52,20,15,5,6
2021-01-26,88,57,26,14,5,5
2021-01-27,97,63,26,12,3,3
2021-01-28,87,47,18,6,2,1
2021-01-29,56,36,20,9,4,4
2021-01-30,57,78,19,19,8,5
2021-01-31,119,64,22,16,4,5
2021-02-01,103,58,24,13,3,5
2021-02-02,74,62,24,19,9,5
2021-02-03,85,49,24,10,2,3
2021-02-04,73,52,20,10,2,2
2021-02-05,67,66,16,16,4,5
2021-02-06,78,67,17,18,5,6
2021-02-07,100,67,19,17,5,5
2021-02-08,97,89,22,14,4,5
2021-02-09,105,63,17,12,3,4
2021-02-10,71,59,15,14,4,6
2021-02-11,73,67,23,17,4,7
2021-02-12,98,44,25,8,2,3
2021-02-13,52,42,17,12,2,3
2021-02-14,49,34,23,5,,3
2021-02-15,52,30,22,10,,4
2021-02-16,48,37,19,4,2,3
2021-02-17,51,25,16,6,2,3
2021-02-18,44,23,18,6,2,2
2021-02-19,52,38,18,8,2,3
2021-02-20,84,42,17,7,2,3
2021-02-21,99,46,20,8,2,4
2021-02-22,118,44,23,6,2,4
2021-02-23,87,44,21,11,2,4
2021-02-24,80,53,18,14,2,6
2021-02-25,97,77,9,19,2,8
2021-02-26,154,78,16,16,2,8
2021-02-27,156,90,16,14,2,8
2021-02-28,167,39,22,11,,5
2021-03-01,87,18,23,9,2,5
2021-03-02,61,35,21,11,2,4
2021-03-03,62,59,14,20,2,6
