time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,97,25,22,4,1,1
2021-01-01,89,36,18,8,1,2
2021-01-02,66,14,20,3,0,1
2021-01-02,97,25,22,4,1,1
2021-01-03,52,18,19,2,1,1
2021-01-03,66,14,20,3,0,1
2021-01-04,61,17,22,3,1,1
2021-01-04,52,18,19,2,1,1
2021-01-05,57,36,21,8,1,3
2021-01-05,61,,,,,
2021-01-06,74,31,22,7,4,3
2021-01-07,80,50,37,10,3,4
2021-01-08,97,55,35,6,2,4
2021-01-09,122,44,26,10,3,7
2021-01-10,80,21,26,2,1,1
2021-01-11,55,22,19,5,2,1
2021-01-12,60,29,19,4,1,1
2021-01-13,64,21,18,5,4,2
2021-01-14,55,34,23,12,2,4
2021-01-15,73,24,23,6,1,1
2021-01-16,53,29,22,6,1,2
2021-01-17,66,36,22,10,3,3
2021-01-18,73,47,21,13,2,5
2021-01-19,92,48,37,7,2,4
2021-01-20,86,127,32,2,5,12
2021-01-21,104,35,21,2,1,1
2021-01-22,63,34,25,3,1,1
2021-01-23,64,49,23,11,2,4
2021-01-24,88,58,22,14,2,6
2021-01-25,108,42,24,8,2,2
2021-01-26,89,25,19,1,1,1
2021-01-27,61,25,21,5,1,3
2021-01-28,60,47,17,11,4,4
2021-01-29,92,49,22,6,3,2
2021-01-30,84,66,21,4,4,
2021-01-31,93,23,20,1,1,1
2021-02-01,60,25,21,1,1,
2021-02-02,61,18,25,2,1,1
2021-02-03,56,41,17,10,6,7
2021-02-04,86,39,19,9,2,3
2021-02-05,95,47,20,5,3,3
2021-02-06,86,28,16,4,2,2
2021-02-07,69,21,17,1,1,1
2021-02-08,59,25,19,5,2,2
2021-02-09,75,44,16,13,4,6
2021-02-10,96,49,21,11,12,6
2021-02-11,93,50,23,8,2,5
2021-02-12,103,33,18,7,5,3
2021-02-13,70,61,13,13,4,8
2021-02-14,125,55,18,11,4,7
2021-02-15,116,48,15,9,4,5
2021-02-16,107,54,11,6,3,1
2021-02-17,138,23,19,1,2,1
2021-02-18,69,34,24,0,1,1
2021-02-19,55,23,25,5,2,2
2021-02-20,59,21,21,4,2,2
2021-02-21,67,22,21,5,3,2
2021-02-22,62,20,21,5,2,2
2021-02-23,59,23,19,7,3,2
2021-02-24,60,26,19,6,2,3
2021-02-25,67,26,17,7,4,4
2021-02-26,74,20,20,5,2,4
2021-02-27,60,30,20,7,4,6
2021-02-28,67,20,21,5,3,3
2021-03-01,63,17,22,4,2,3
2021-03-02,60,34,21,7,6,5
2021-03-03,78,20,22,5,3,3
2021-03-04,60,27,24,4,4,3
2021-03-05,59,18,24,4,2,3
2021-03-06,59,18,23,6,5,4
2021-03-07,60,22,23,4,2,4
2021-03-08,67,21,23,4,4,3
2021-03-09,60,21,23,7,4,3
2021-03-10,48,31,25,7,7,5
2021-03-11,72,23,23,5,3,2
