time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,96,32,26,7,3,7
2021-01-02,73,17,27,5,3,5
2021-01-03,46,28,28,8,4,5
2021-01-04,36,15,23,6,4,4
2021-01-05,35,,,,,
2021-07-01,,54,43,15,5,7
2021-07-02,86,52,42,10,4,5
2021-07-03,72,42,39,6,3,4
2021-07-04,64,50,39,12,8,7
2021-07-05,90,52,40,8,5,4
2021-07-06,76,57,37,11,7,6
2021-07-07,86,51,42,11,5,5
2021-07-08,94,123,56,18,7,10
2021-07-09,196,120,67,21,12,11
2021-07-10,219,70,57,12,5,8
2021-07-11,147,71,62,9,5,7
2021-07-12,137,46,47,7,3,5
2021-07-13,75,23,30,5,5,4
2021-07-14,49,40,39,8,4,5
2021-07-15,66,44,48,7,4,4
2021-07-16,86,61,44,5,3,3
2021-07-17,56,112,31,11,5,6
2021-07-18,117,73,40,13,4,6
2021-07-19,127,69,73,12,6,7
2021-07-20,116,83,69,16,7,7
2021-07-21,149,77,67,16,6,7
2021-07-22,137,63,58,13,5,6
2021-07-23,107,78,30,19,7,7
2021-07-24,157,51,30,12,4,6
2021-07-25,108,60,48,15,6,7
2021-07-26,122,60,53,16,4,6
2021-07-27,114,45,37,7,4,5
2021-07-28,71,59,37,8,3,4
2021-07-29,60,64,41,16,4,5
2021-07-30,81,58,25,17,6,7
2021-07-31,115,33,38,9,4,6
2021-08-01,73,50,47,13,5,7
2021-08-02,104,44,46,12,4,6
2021-08-03,80,26,41,5,3,4
2021-08-04,53,40,29,7,3,4
2021-08-05,46,65,69,7,4,5
2021-08-06,70,83,50,7,4,5
2021-08-07,106,23,29,6,3,5
2021-08-08,39,17,35,6,5,5
2021-08-09,47,27,38,9,4,6
2021-08-10,60,21,40,8,4,5
2021-08-11,44,31,40,6,4,6
2021-08-12,55,41,47,7,4,6
2021-08-13,81,35,43,7,5,6
2021-08-14,66,27,31,6,4,5
2021-08-15,53,29,42,10,6,5
2021-08-16,56,27,48,8,4,4
2021-08-17,49,33,57,7,4,4
2021-08-18,54,48,76,8,5,6
2021-08-19,66,53,89,8,5,7
2021-08-20,89,69,83,13,5,8
2021-08-21,123,55,88,9,4,8
2021-08-22,98,62,60,7,4,6
2021-08-23,90,65,29,6,4,4
2021-08-24,79,31,32,7,4,3
2021-08-25,37,36,35,6,5,5
2021-08-26,56,33,55,6,5,5
2021-08-27,56,37,35,9,5,5
2021-08-28,64,25,35,7,5,5
2021-08-29,51,26,38,9,4,6
2021-08-30,57,28,51,7,4,6
2021-08-31,64,33,33,10,4,6
2021-09-01,77,22,35,7,4,6
2021-09-02,51,15,30,5,4,4
2021-09-03,27,18,33,6,4,4
2021-09-04,32,18,30,6,4,5
2021-09-05,45,23,27,7,4,5
2021-09-06,64,21,55,7,5,5
2021-09-07,50,23,48,6,3,5
2021-09-08,48,37,53,7,4,7
2021-09-09,79,39,31,9,3,7
2021-09-10,83,24,48,5,4,6
2021-09-11,62,41,78,7,4,8
2021-09-12,105,37,45,8,3,7
2021-09-13,86,22,46,5,3,6
2021-09-14,74,27,42,7,3,5
2021-09-15,62,27,48,6,3,5
2021-09-16,62,16,28,6,3,5
2021-09-17,33,15,29,5,3,4
2021-09-18,19,15,34,5,4,4
2021-09-19,31,16,29,6,3,4
2021-09-20,42,16,25,7,3,5
2021-09-21,39,25,31,6,3,4
2021-09-22,33,19,35,7,3,4
2021-09-23,40,25,56,10,4,5
2021-09-24,49,35,77,10,4,6
2021-09-25,68,30,40,8,4,6
2021-09-26,63,24,29,6,3,6
2021-09-27,66,26,39,6,3,6
2021-09-28,64,33,53,8,4,6
2021-09-29,72,22,34,6,3,6
2021-09-30,,14,35,3,3,6
2021-09-30,52,14,35,3,3,6
2021-10-01,41,24,40,4,3,6
2021-10-01,41,24,40,4,3,6
2021-10-02,59,20,36,4,,5
2021-10-02,59,20,36,4,,5
2021-10-03,45,13,20,3,3,5
2021-10-03,45,13,20,3,3,5
2021-10-04,26,22,38,6,4,5
2021-10-04,26,,,,,
2021-10-05,43,23,40,5,,5
2021-10-06,54,24,25,5,,6
2021-10-07,57,33,40,5,4,7
2021-10-08,78,21,35,5,4,6
2021-10-09,54,17,40,5,4,5
2021-10-10,46,33,48,5,4,6
2021-10-11,67,34,37,6,4,7
2021-10-12,74,28,39,6,4,6
2021-10-13,67,21,29,4,4,5
2021-10-14,48,21,29,4,4,6
2021-10-15,41,17,29,5,4,6
2021-10-16,33,39,46,8,4,8
2021-10-17,70,18,37,5,4,6
2021-10-18,39,43,44,5,3,6
2021-10-19,55,22,38,4,3,6
2021-10-20,44,28,52,5,3,6
2021-10-21,63,30,48,6,3,6
2021-10-22,65,26,43,5,3,6
2021-10-23,57,21,44,5,3,5
2021-10-24,49,26,40,6,3,5
2021-10-25,50,28,42,6,4,5
2021-10-26,59,29,44,6,3,5
2021-10-27,59,39,56,7,4,7
2021-10-28,70,32,37,5,3,6
2021-10-29,64,24,17,6,3,6
2021-10-30,52,19,34,7,3,6
2021-10-31,48,26,38,7,4,6
2021-11-01,65,9,11,3,3,5
2021-11-02,20,10,36,3,3,5
2021-11-03,23,20,36,5,3,6
2021-11-04,48,29,42,4,3,6
2021-11-05,64,27,38,6,3,7
2021-11-06,63,35,49,9,4,7
2021-11-07,71,49,46,6,3,9
2021-11-08,117,36,37,5,3,7
2021-11-09,93,,,,,
2021-11-19,,25,33,7,3,6
2021-11-20,59,17,27,8,3,5
2021-11-21,43,16,33,7,5,5
2021-11-22,40,37,45,5,3,6
2021-11-23,77,26,38,4,3,6
2021-11-24,58,17,32,4,3,5
2021-11-25,31,20,42,7,3,5
2021-11-26,41,17,30,5,3,5
2021-11-27,37,16,27,5,4,4
2021-11-28,25,20,22,7,4,5
2021-11-29,46,19,26,6,4,4
2021-11-30,37,28,57,11,6,6
2021-12-01,47,26,47,9,3,6
2021-12-02,51,27,41,9,3,5
2021-12-03,57,24,39,8,3,5
2021-12-04,69,20,35,6,3,4
2021-12-05,44,20,33,7,3,3
2021-12-06,37,27,25,8,3,5
2021-12-07,59,17,23,5,3,6
2021-12-08,41,16,35,5,3,6
2021-12-09,35,16,41,5,3,6
2021-12-10,44,16,37,8,3,6
2021-12-11,37,19,31,7,5,6
2021-12-12,44,20,26,8,6,6
2021-12-13,39,19,19,11,,6
2021-12-14,45,36,29,10,6,6
2021-12-15,73,19,29,8,3,5
2021-12-16,39,28,19,10,4,6
2021-12-17,67,21,28,7,3,5
2021-12-18,48,25,35,10,6,6
2021-12-19,50,30,39,9,5,6
2021-12-20,56,33,19,12,3,5
2021-12-21,60,13,23,6,2,6
2021-12-22,28,9,10,7,2,5
2021-12-23,23,15,22,6,2,5
2021-12-24,33,21,23,9,3,5
2021-12-25,42,17,11,8,,6
2021-12-26,37,30,23,7,2,7
