time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,94,61,19,13,6,4
2021-01-01,110,74,30,8,5,4
2021-01-02,70,54,26,11,6,3
2021-01-02,94,61,19,13,6,4
2021-01-03,62,29,23,4,6,1
2021-01-03,70,54,26,11,6,3
2021-01-04,37,46,20,13,8,3
2021-01-04,62,29,23,4,6,1
2021-01-05,52,60,15,17,8,4
2021-01-05,37,,,,,
2021-01-06,63,66,37,18,11,6
2021-01-07,88,64,26,19,8,6
2021-01-08,105,53,29,14,5,5
2021-01-09,101,68,12,18,7,6
2021-01-10,108,42,33,12,4,3
2021-01-11,58,55,28,14,4,2
2021-01-12,55,57,35,14,5,2
2021-01-13,63,32,32,13,6,4
2021-01-14,45,60,31,17,5,4
2021-01-15,69,43,31,10,4,2
2021-01-16,52,55,25,16,5,3
2021-01-17,62,70,23,18,6,4
2021-01-18,70,65,28,18,7,4
2021-01-19,77,79,28,23,8,5
2021-01-20,89,150,26,13,5,2
2021-01-21,132,103,23,14,8,4
2021-01-22,98,70,23,19,7,4
2021-01-23,74,87,29,22,17,6
2021-01-24,113,97,34,25,9,7
2021-01-25,136,96,28,22,7,6
2021-01-26,127,92,5,21,9,4
2021-01-27,104,89,2,20,14,7
2021-01-28,104,72,20,21,9,8
2021-01-29,105,82,30,16,8,6
2021-01-30,139,115,26,6,4,3
2021-01-31,128,82,23,15,7,5
2021-02-01,96,60,22,14,7,3
2021-02-02,70,62,19,18,8,11
2021-02-03,77,82,22,21,9,4
2021-02-04,101,81,22,23,9,5
2021-02-05,108,85,30,18,6,3
2021-02-06,103,102,25,17,6,3
2021-02-07,105,77,20,18,8,4
2021-02-08,90,77,23,21,7,4
2021-02-09,87,95,22,27,13,6
2021-02-10,115,104,27,28,12,8
2021-02-11,144,104,30,25,9,8
2021-02-12,149,100,40,24,14,7
2021-02-13,150,82,37,22,13,8
2021-02-14,146,127,13,31,10,10
2021-02-15,163,119,41,21,9,9
2021-02-16,166,50,34,16,9,7
2021-02-17,102,25,17,8,2,3
2021-02-18,67,25,21,6,1,2
2021-02-19,62,62,7,18,7,6
2021-02-20,98,44,24,16,4,9
2021-02-21,107,33,19,6,2,2
2021-02-22,72,57,6,17,5,3
2021-02-23,88,68,6,19,6,6
2021-02-24,119,51,12,13,3,3
2021-02-25,100,67,7,17,5,5
2021-02-26,145,75,15,16,5,5
2021-02-27,146,68,9,21,6,5
2021-02-28,108,76,18,19,5,6
2021-03-01,119,75,10,20,7,4
2021-03-02,123,82,12,20,9,7
2021-03-03,136,61,16,14,6,6
2021-03-04,134,56,15,15,6,4
2021-03-05,104,61,11,19,6,3
2021-03-06,101,74,3,23,12,6
2021-03-07,132,66,28,15,10,7
2021-03-08,143,49,12,15,6,4
2021-03-09,84,74,4,23,10,7
2021-03-10,105,75,21,20,9,7
2021-03-11,124,82,14,22,9,6
2021-03-12,151,86,7,26,10,8
2021-03-13,155,81,26,19,8,6
2021-03-14,128,74,20,5,2,2
2021-03-15,61,73,12,15,7,4
2021-03-16,92,67,15,15,9,4
2021-03-17,103,74,11,18,11,5
2021-03-18,110,75,12,20,12,6
2021-03-19,113,75,6,22,13,6
2021-03-20,125,86,6,22,12,7
2021-03-21,136,77,16,19,11,6
2021-03-22,127,78,17,21,12,6
2021-03-23,129,84,14,23,11,7
2021-03-24,133,87,22,15,6,4
2021-03-25,100,81,20,16,10,4
2021-03-26,113,82,9,22,13,6
2021-03-27,118,84,8,23,18,9
2021-03-28,131,94,11,24,13,8
2021-03-29,140,82,20,19,12,6
2021-03-30,125,55,19,3,3,1
2021-03-31,52,31,20,5,3,1
2021-04-01,,81,18,17,12,7
2021-04-01,43,68,10,17,13,5
2021-04-02,120,75,20,15,9,4
2021-04-02,97,76,14,17,14,5
2021-04-03,104,78,22,5,5,2
2021-04-03,113,87,17,18,13,7
2021-04-04,70,43,19,7,7,2
2021-04-04,129,80,14,21,15,8
2021-04-05,57,73,19,13,12,2
2021-04-05,121,,,,,
2021-04-06,99,79,13,16,12,4
2021-04-07,108,76,10,19,14,4
2021-04-08,108,115,25,11,9,3
2021-04-09,110,184,12,19,13,5
2021-04-10,149,646,8,19,14,6
2021-04-11,244,527,13,15,13,6
2021-04-12,211,207,22,12,6,3
2021-04-13,137,87,24,9,8,3
2021-04-14,103,67,17,14,8,3
2021-04-15,72,104,14,18,16,7
2021-04-16,123,99,21,21,20,8
2021-04-17,135,108,11,25,19,9
