time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,43,39,34,7,0,4
2021-01-01,43,35,34,8,0,4
2021-01-02,37,37,34,12,0,4
2021-01-02,43,39,34,7,0,4
2021-01-03,42,42,32,14,1,5
2021-01-03,37,37,34,12,0,4
2021-01-04,48,56,32,17,1,5
2021-01-04,42,42,32,14,1,5
2021-01-05,49,53,39,15,0,4
2021-01-05,48,,,,,
2021-01-06,59,143,32,9,0,4
2021-01-07,95,36,33,5,0,3
2021-01-08,35,53,35,14,2,4
2021-01-09,54,39,34,5,0,3
2021-01-10,44,28,38,2,0,2
2021-01-11,33,36,34,12,0,4
2021-01-12,41,51,35,10,0,5
2021-01-13,53,39,35,10,1,3
2021-01-14,49,34,34,8,1,2
2021-01-15,46,46,32,14,1,2
2021-01-16,50,48,40,13,1,5
2021-01-17,51,74,37,20,1,4
2021-01-18,77,72,36,16,2,3
2021-01-19,74,86,35,11,2,4
2021-01-20,73,84,37,20,2,6
2021-01-21,94,87,34,25,1,4
2021-01-22,101,80,36,19,2,5
2021-01-23,94,79,35,18,2,6
2021-01-24,86,52,34,9,1,3
2021-01-25,56,58,27,17,3,7
2021-01-26,69,55,32,18,5,5
2021-01-27,63,62,34,13,12,3
2021-01-28,65,75,29,13,6,5
2021-01-29,81,64,26,6,2,3
2021-01-30,59,48,26,10,6,4
2021-01-31,58,55,32,15,4,6
2021-02-01,65,80,34,14,2,4
2021-02-02,87,94,29,18,9,6
2021-02-03,104,80,34,11,7,3
2021-02-04,91,60,29,6,2,2
2021-02-05,56,64,29,18,3,9
2021-02-06,77,74,35,17,9,6
2021-02-07,85,74,34,14,9,5
2021-02-08,83,83,31,20,10,6
2021-02-09,90,121,25,15,7,7
2021-02-10,107,96,26,15,8,4
2021-02-11,96,84,26,17,12,7
2021-02-12,97,86,30,17,13,7
2021-02-13,107,85,28,16,10,8
2021-02-14,111,72,31,14,3,6
2021-02-15,104,57,26,7,8,4
2021-02-16,82,48,27,9,4,5
2021-02-17,65,55,24,15,7,9
2021-02-18,74,56,21,8,2,3
2021-02-19,71,93,23,3,5,2
2021-02-20,65,37,22,8,4,4
2021-02-21,47,57,22,14,4,7
2021-02-22,94,46,21,13,6,5
2021-02-23,60,54,22,14,10,6
2021-02-24,69,49,26,9,11,3
2021-02-25,66,69,23,17,13,7
2021-02-26,103,69,23,17,6,7
2021-02-27,103,74,27,17,10,7
2021-02-28,107,76,18,18,7,6
2021-03-01,119,69,21,18,5,7
2021-03-02,128,61,22,13,4,5
2021-03-03,128,49,24,13,1,6
2021-03-04,110,60,19,14,7,11
2021-03-05,115,51,22,17,7,7
2021-03-06,80,64,20,17,17,9
2021-03-07,101,60,22,16,10,10
2021-03-08,101,59,21,16,8,8
2021-03-09,90,46,21,8,6,6
2021-03-10,79,66,20,15,3,10
2021-03-11,134,70,21,15,8,10
2021-03-12,144,69,23,13,7,8
2021-03-13,147,216,21,8,2,6
2021-03-14,134,185,18,10,3,6
2021-03-15,121,83,19,15,15,9
2021-03-16,111,69,17,16,17,9
2021-03-17,99,70,14,17,15,9
2021-03-18,111,79,16,18,17,12
2021-03-19,120,82,14,20,10,12
2021-03-20,133,89,16,20,19,14
2021-03-21,150,86,16,20,18,11
2021-03-22,149,84,17,16,16,11
2021-03-23,146,69,23,11,6,6
2021-03-24,116,64,19,15,11,8
2021-03-25,124,66,18,15,14,9
2021-03-26,125,70,24,15,7,11
2021-03-27,122,71,17,13,10,7
2021-03-28,123,87,16,18,15,13
2021-03-29,153,60,24,7,4,5
2021-03-30,96,55,18,18,2,9
2021-03-31,92,67,13,16,7,8
2021-04-01,,57,22,11,4,7
2021-04-01,99,64,15,16,4,10
2021-04-02,109,41,25,11,4,6
2021-04-02,105,64,16,13,14,8
2021-04-03,74,46,23,12,1,5
2021-04-03,88,67,17,13,11,9
2021-04-04,72,75,21,12,9,7
2021-04-04,107,51,25,7,5,5
2021-04-05,79,74,17,16,5,9
2021-04-05,85,,,,,
2021-04-06,97,69,21,12,10,8
2021-04-07,86,60,23,11,9,6
2021-04-08,80,87,22,17,6,11
2021-04-09,118,109,25,17,4,9
2021-04-10,133,157,21,11,3,7
2021-04-11,139,130,26,11,5,7
2021-04-12,127,71,24,8,3,5
2021-04-13,84,52,23,12,4,7
2021-04-14,80,62,23,18,4,11
2021-04-15,99,77,23,15,6,10
2021-04-16,105,197,24,11,5,6
2021-04-17,135,229,20,15,6,12
2021-04-18,169,152,24,14,13,9
2021-04-19,158,145,23,18,6,13
2021-04-20,160,143,22,18,7,11
2021-04-21,153,108,24,7,4,6
2021-04-22,105,70,25,8,4,5
2021-04-23,80,48,26,7,5,4
2021-04-24,65,39,27,5,3,4
2021-04-25,57,47,24,13,5,7
2021-04-26,67,50,28,12,8,6
2021-04-27,82,50,27,11,12,5
2021-04-28,75,86,34,10,7,5
2021-04-29,96,93,29,14,8,5
2021-04-30,97,106,31,14,8,9
2021-05-01,122,96,33,15,11,7
2021-05-02,126,88,36,14,11,8
