time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,47,42,29,5,0,3
2021-01-01,45,43,25,5,0,3
2021-01-02,58,45,30,6,0,4
2021-01-02,47,42,29,5,0,3
2021-01-03,52,50,32,7,0,3
2021-01-03,58,45,30,6,0,4
2021-01-04,55,41,30,5,0,3
2021-01-04,52,50,32,7,0,3
2021-01-05,50,53,16,8,0,6
2021-01-05,55,,,,,
2021-01-06,74,25,19,4,0,3
2021-01-07,50,34,25,6,0,5
2021-01-08,46,20,19,4,0,3
2021-01-09,37,27,22,5,0,5
2021-01-10,50,36,21,8,0,4
2021-01-11,50,27,24,6,0,4
2021-01-12,50,33,25,6,1,6
2021-01-13,50,39,24,7,0,6
2021-01-14,53,40,31,7,0,6
2021-01-15,46,46,26,6,0,4
2021-01-16,50,48,32,5,0,5
2021-01-17,56,43,31,7,0,4
2021-01-18,54,58,25,6,0,5
2021-01-19,52,62,27,8,0,4
2021-01-20,56,67,30,6,1,4
2021-01-21,52,67,28,7,0,7
2021-01-22,70,45,25,5,0,4
2021-01-23,53,16,19,4,0,4
2021-01-24,35,23,26,3,0,5
2021-01-25,42,28,27,5,0,7
2021-01-26,46,56,27,3,0,4
2021-01-27,48,99,26,4,2,4
2021-01-28,51,27,8,4,0,7
2021-01-29,39,21,14,3,0,5
2021-01-30,39,29,21,5,0,9
2021-01-31,47,32,25,6,0,11
2021-02-01,58,43,17,7,1,9
2021-02-02,47,46,19,6,0,10
2021-02-03,54,52,14,6,0,8
2021-02-04,60,62,14,3,0,6
2021-02-05,58,46,16,6,0,9
2021-02-06,54,53,19,7,0,8
2021-02-07,65,53,28,3,0,6
2021-02-08,50,61,18,5,0,6
2021-02-09,49,27,16,5,0,8
2021-02-10,42,45,24,3,0,7
2021-02-11,49,40,21,5,0,6
2021-02-12,49,24,15,5,0,5
2021-02-13,38,33,11,6,0,8
2021-02-14,49,29,12,5,0,6
2021-02-15,46,31,19,4,0,7
2021-02-16,62,25,19,4,1,4
2021-02-17,43,37,15,5,0,8
2021-02-18,57,28,15,6,0,9
2021-02-19,53,28,18,4,0,9
2021-02-20,50,36,21,2,0,4
2021-02-21,31,55,21,2,0,4
2021-02-22,32,40,18,5,0,4
2021-02-23,59,49,14,6,0,7
2021-02-24,95,41,19,5,0,6
2021-02-25,59,42,20,5,0,10
2021-02-26,68,33,25,3,1,7
2021-02-27,36,42,20,6,0,9
2021-02-28,52,22,21,5,0,7
2021-03-01,49,29,19,4,0,8
2021-03-02,48,28,24,2,0,7
2021-03-03,46,30,24,1,0,7
2021-03-04,40,41,25,3,0,5
2021-03-05,45,43,25,8,,9
2021-03-06,84,40,23,6,,2
2021-03-07,64,44,21,7,0,2
2021-03-08,74,31,24,6,0,4
2021-03-09,58,31,26,4,0,13
2021-03-10,71,46,22,8,0,14
2021-03-11,90,50,25,7,0,3
2021-03-12,94,41,24,6,0,2
2021-03-13,80,30,20,5,0,2
2021-03-14,45,31,20,5,0,4
2021-03-15,48,33,19,6,0,3
2021-03-16,54,30,21,6,0,3
2021-03-17,58,47,21,7,0,7
2021-03-18,81,47,21,8,1,9
2021-03-19,93,47,21,7,0,6
2021-03-20,69,38,25,6,0,3
2021-03-21,61,69,28,6,1,5
2021-03-22,63,52,21,8,0,4
2021-03-23,52,44,21,7,1,5
2021-03-24,74,28,24,5,0,6
2021-03-25,56,26,22,5,1,6
2021-03-26,43,24,21,5,0,3
2021-03-27,44,28,21,6,1,3
2021-03-28,47,34,21,6,0,3
2021-03-29,54,24,24,3,0,3
2021-03-30,44,445,26,4,0,4
2021-03-31,85,132,19,7,0,5
2021-04-01,,48,17,4,1,3
2021-04-01,71,68,20,7,0,3
2021-04-02,107,,,,,
2021-04-02,77,48,22,6,1,2
2021-04-03,,436,22,7,1,4
2021-04-03,71,40,22,6,0,2
2021-04-04,98,89,24,5,1,1
2021-04-04,73,32,23,7,1,5
2021-04-05,75,47,22,6,1,1
2021-04-05,74,,,,,
2021-04-06,77,46,24,5,0,1
2021-04-07,67,33,24,7,1,3
2021-04-08,55,26,25,5,0,5
2021-04-09,51,30,23,8,1,5
2021-04-10,40,35,23,8,0,4
2021-04-11,48,29,28,6,1,1
2021-04-12,55,25,28,4,0,3
2021-04-13,44,22,33,4,1,5
2021-04-14,38,253,26,8,1,7
2021-04-15,93,61,27,5,1,6
2021-04-16,59,36,26,8,1,7
2021-04-17,64,44,24,13,1,11
2021-04-18,70,26,33,4,0,4
2021-04-19,46,27,34,4,0,3
2021-04-20,48,21,27,4,1,3
2021-04-21,45,21,29,4,0,4
2021-04-22,39,22,29,3,0,4
2021-04-23,40,23,29,5,0,5
2021-04-24,43,21,29,5,0,4
2021-04-25,48,30,27,7,1,6
2021-04-26,59,21,33,4,0,2
2021-04-27,32,21,34,3,0,4
2021-04-28,33,15,38,2,0,3
2021-04-29,37,23,32,5,1,3
