time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,134,32,13,8,2,8
2021-01-01,95,49,16,12,3,9
2021-01-02,92,15,16,8,2,6
2021-01-02,134,32,13,8,2,8
2021-01-03,44,16,17,9,2,6
2021-01-03,92,15,16,8,2,6
2021-01-04,46,19,13,9,2,6
2021-01-04,44,16,17,9,2,6
2021-01-05,61,16,13,9,2,6
2021-01-05,46,,,,,
2021-01-06,49,21,25,8,3,6
2021-01-07,59,34,13,10,2,8
2021-01-08,115,29,12,10,2,7
2021-01-09,108,52,11,13,3,7
2021-01-10,144,53,15,14,3,8
2021-01-11,148,43,17,12,3,9
2021-01-12,121,25,5,12,2,7
2021-01-13,75,15,13,11,2,4
2021-01-14,36,25,23,10,2,4
2021-01-15,59,29,14,13,2,3
2021-01-16,63,32,18,11,4,2
2021-01-17,70,47,19,12,2,5
2021-01-18,110,40,11,16,3,7
2021-01-19,85,36,12,13,2,6
2021-01-20,75,25,13,14,3,3
2021-01-21,44,55,36,16,6,6
2021-01-22,96,72,22,21,3,8
2021-01-23,141,73,11,24,3,8
2021-01-24,142,87,5,26,3,8
2021-01-25,155,81,8,22,5,7
2021-01-26,157,72,11,18,3,8
2021-01-27,143,36,17,12,2,4
2021-01-28,82,48,29,15,4,5
2021-01-29,100,63,19,16,2,7
2021-01-30,138,47,12,14,2,7
2021-01-31,95,51,6,19,5,7
2021-02-01,82,64,3,21,7,6
2021-02-02,113,60,10,16,4,5
2021-02-03,117,60,14,17,3,4
2021-02-04,133,68,12,16,3,4
2021-02-05,155,49,31,18,4,5
2021-02-06,97,75,37,22,6,5
2021-02-07,132,84,21,25,6,8
2021-02-08,156,86,41,22,5,8
2021-02-09,151,96,49,25,9,8
2021-02-10,168,103,40,25,7,9
2021-02-11,176,104,44,26,6,9
2021-02-12,176,113,39,27,5,9
2021-02-13,187,136,29,27,7,11
2021-02-14,218,117,41,25,8,10
2021-02-15,194,113,47,28,6,11
2021-02-16,188,117,39,26,5,10
2021-02-17,201,84,37,21,4,7
2021-02-18,129,76,38,25,6,7
2021-02-19,105,86,48,24,6,8
2021-02-20,141,60,11,11,4,7
2021-02-21,116,25,14,10,3,4
2021-02-22,58,34,10,11,3,4
2021-02-23,75,47,11,11,3,3
2021-02-24,104,58,17,14,4,5
2021-02-25,141,75,12,19,5,5
2021-02-26,162,78,7,19,6,8
2021-02-27,165,59,8,16,3,6
2021-02-28,139,62,7,16,5,7
2021-03-01,150,61,7,17,3,6
2021-03-02,154,49,6,15,3,6
2021-03-03,120,59,5,17,4,8
2021-03-04,153,50,6,15,3,7
2021-03-05,129,35,5,13,3,9
2021-03-06,96,53,3,17,4,8
2021-03-07,133,65,6,18,4,9
2021-03-08,160,66,4,18,3,9
2021-03-09,163,52,7,16,4,8
2021-03-10,141,54,8,17,4,8
2021-03-11,143,53,9,18,4,8
2021-03-12,137,54,15,19,3,8
2021-03-13,131,64,1,19,6,8
2021-03-14,148,71,9,19,5,8
2021-03-15,157,26,10,14,3,5
2021-03-16,63,40,6,13,3,4
2021-03-17,92,27,3,13,3,5
2021-03-18,67,35,10,12,3,4
2021-03-19,84,53,9,17,3,3
2021-03-20,117,50,10,19,4,3
2021-03-21,106,60,22,18,6,3
2021-03-22,130,71,27,20,7,5
2021-03-23,156,92,5,24,7,6
2021-03-24,182,90,11,23,6,6
2021-03-25,179,90,2,24,6,8
2021-03-26,175,106,3,26,9,8
2021-03-27,200,116,11,25,6,9
2021-03-28,217,107,6,23,8,10
2021-03-29,215,115,3,23,4,11
2021-03-30,241,68,14,17,4,6
2021-03-31,133,55,7,17,5,5
2021-04-01,,80,7,22,5,10
2021-04-01,95,68,7,20,5,6
2021-04-02,170,99,6,23,5,9
2021-04-02,144,68,27,15,6,5
2021-04-03,195,109,5,20,5,10
2021-04-03,146,82,8,22,6,8
2021-04-04,224,18,10,11,3,3
2021-04-04,169,80,22,18,5,8
2021-04-05,67,46,10,12,3,5
2021-04-05,173,,,,,
2021-04-06,104,42,5,14,4,7
2021-04-07,106,48,8,14,4,8
2021-04-08,122,58,22,15,4,6
2021-04-09,121,69,12,21,7,7
2021-04-10,142,76,20,21,6,7
2021-04-11,155,80,25,20,8,8
2021-04-12,158,94,8,26,7,11
2021-04-13,176,103,15,20,7,11
2021-04-14,198,41,20,12,4,4
2021-04-15,65,54,18,16,8,5
2021-04-16,103,70,17,19,6,7
2021-04-17,144,79,15,23,6,6
2021-04-18,163,92,4,27,8,8
2021-04-19,173,81,33,20,9,7
2021-04-20,161,88,18,24,8,9
2021-04-21,182,127,11,26,7,11
2021-04-22,259,78,19,16,4,10
2021-04-23,188,71,2,21,4,8
2021-04-24,161,90,13,23,6,9
2021-04-25,185,90,26,19,6,8
2021-04-26,180,97,6,21,3,9
2021-04-27,195,78,21,20,3,7
2021-04-28,172,71,19,20,2,5
2021-04-29,160,76,31,20,5,6
2021-04-30,163,89,20,23,5,8
2021-05-01,179,111,27,23,5,10
2021-05-02,222,116,27,20,3,11
2021-05-03,235,84,38,18,3,8
2021-05-04,182,93,35,19,6,9
2021-05-05,202,82,42,18,4,9
2021-05-06,175,85,33,18,6,9
2021-05-07,181,103,24,14,4,11
2021-05-08,218,87,40,11,3,9
2021-05-09,193,87,15,14,2,9
2021-05-10,188,84,32,8,4,8
2021-05-11,187,84,17,12,3,9
2021-05-12,180,74,12,11,4,8
2021-05-13,174,56,24,11,2,6
2021-05-14,125,42,31,8,2,3
2021-05-15,78,52,14,10,5,3
2021-05-16,106,62,24,13,2,5
2021-05-17,140,50,35,10,2,5
2021-05-18,121,56,33,14,4,5
2021-05-19,117,67,48,17,6,6
2021-05-20,145,76,46,21,4,8
2021-05-21,162,84,59,23,4,9
2021-05-22,166,99,54,20,5,9
2021-05-23,184,69,18,12,2,8
2021-05-24,133,32,33,7,3,6
2021-05-25,65,23,9,7,2,7
2021-05-26,60,21,9,8,1,4
2021-05-27,56,32,15,11,2,3
2021-05-28,43,51,19,12,4,3
2021-05-29,71,63,38,11,4,3
2021-05-30,124,76,17,19,5,6
2021-05-31,162,73,41,16,3,5
2021-06-01,160,62,14,18,3,5
2021-06-02,138,56,13,14,3,5
2021-06-03,136,63,10,12,2,7
2021-06-04,159,73,12,15,3,8
2021-06-05,168,62,7,15,2,7
2021-06-06,155,57,22,17,6,8
2021-06-07,146,69,47,18,7,8
2021-06-08,154,83,58,20,5,8
2021-06-09,170,84,56,21,5,8
2021-06-10,166,85,63,16,6,7
2021-06-11,161,79,61,21,5,8
2021-06-12,161,71,46,14,6,8
2021-06-13,159,73,29,15,3,9
2021-06-14,159,58,10,12,2,9
2021-06-15,134,101,23,9,2,5
2021-06-16,95,104,19,12,2,2
2021-06-17,84,67,24,9,3,2
2021-06-18,71,65,39,15,5,2
2021-06-19,74,76,45,20,4,5
2021-06-20,113,92,26,21,4,5
2021-06-21,159,67,28,15,2,5
2021-06-22,122,64,50,19,6,4
2021-06-23,79,82,57,21,8,6
2021-06-24,93,85,72,16,4,6
2021-06-25,99,,,,,
2021-06-26,,63,18,16,2,8
2021-06-27,120,43,20,9,2,7
2021-06-28,79,38,23,14,2,4
2021-06-29,60,39,36,10,3,4
2021-06-30,65,46,23,9,3,6
2021-07-01,,43,20,9,2,7
2021-07-01,76,,,,,
2021-07-02,79,38,23,14,2,4
2021-07-03,60,39,36,10,3,4
